,Concept_ID,bg,uz
0,Auge::N,око,ko'z
1,Ohr::N,ухо,quloq
2,Nase::N,нос,burun
3,Mund::N,уста,og'iz
4,Zahn::N,зъб,tish
5,Zunge::N,език,til
6,Lippe::N,устна,dudoq
7,Wange::N,буза,bet
8,Gesicht::N,лице,yuz
9,Gesicht::N,образ,yuz
10,Stirn::N,чело,manglay
11,Haar::N,коса,soch
12,Haar::N,косъм,soch
13,Schnurrbart::N,мустаци,mo'ylov
14,Bart::N,брада,soqol
15,Kinn::N,брада,ängak
16,Kinn::N,брадичка,ängak
17,Kiefer[Anatomie]::N,челюст,iyak
18,Kehle::N,гърло,bo'g'iz
19,Hals::N,врат,bo'yin
20,Genick::N,тил,gardan
21,Kopf::N,глава,bosh
22,Rücken::N,гръб,orqa
23,Bauch::N,корем,qorin
24,Nabel::N,пъп,kindik
25,Busen::N,бозка,ämchak
26,Brust::N,гръд,ko'krak
27,Schulter::N,рамо,elka
28,Schulter::N,плещи,elka
29,Arm::N,ръка,bilak
30,Ellenbogen::N,лакът,tirsak
31,Hand::N,ръка,qo'l
32,Hand::N,китка,qo'l
33,Handfläche::N,длан,kaft
34,Finger::N,пръст,barmoq
35,Fingernagel::N,нокът,tirnoq
36,Nagel[Anatomie]::N,нокът,tirnoq
37,Zeh::N,пръст на крак,oyoq barmog'i
38,Fuß::N,крак,oyoq
39,Fuß::N,нога,oyoq
40,Ferse::N,пета,tovon
41,Knie::N,коляно,tiz
42,Oberschenkel::N,бедро,son
43,Bein::N,крак,oyoq
44,Bein::N,нога,oyoq
45,Körper::N,тяло,badna
46,Haut::N,кожа,teri
47,Blut::N,кръв,qon
48,Ader::N,вена,qon tomir
49,Ader::N,артерия,qon tomir
50,Sehne::N,жила,tomir
51,Sehne::N,сухожилие,tomir
52,Knochen::N,кост,suyak
53,Gehirn::N,мозък,miya
54,Herz::N,сърце,qalb
55,Magen::N,стомах,oshqozon
56,Leber::N,черен дроб,bag'ir
57,Atem::N,дишане,dam
58,Hunger::N,глад,ochlik
59,Träne::N,сълза,yosh
60,Geschmack::N,вкус,tam
61,Geruch::N,миризма,jid
62,Schlaf::N,сън,uyqu
63,Traum::N,сън,tush
64,Himmel::N,небе,osmon
65,Sonne::N,слънце,quyosh
66,Mond::N,луна,oy
67,Mond::N,месец,oy
68,Stern::N,звезда,yulduz
69,Luft::N,въздух,havo
70,Wind::N,вятър,el
71,Welle::N,вълна,to'lqin
72,Wasser::N,вода,suv
73,Stein::N,камък,tosh
74,Boden::N,земя,tuproq
75,Boden::N,почва,tuproq
76,Erde::N,земя,er
77,Erde::N,почва,er
78,Staub::N,прах,chang
79,Rauch::N,дим,tutun
80,Rauch::N,пушек,tutun
81,Funke::N,искра,yalt
82,Feuer::N,огън,o't
83,Licht::N,светлина,yorug'
84,Schatten::N,сянка,soya
85,Wetter::N,време,havo
86,Nebel::N,мъгла,tuman
87,Wolke::N,облак,bulut
88,Regen::N,дъжд,yomg'ir
89,Schnee::N,сняг,qor
90,Eis::N,лед,muz
91,Frost::N,мраз,ajoz
92,Kälte::N,студ,ajoz
93,Hitze::N,жега,issiq
94,Hitze::N,горещина,issiq
95,Raureif::N,скреж,qirov
96,Raureif::N,слана,qirov
97,Regenbogen::N,дъга,kamalak
98,Donner::N,гръм,guldur
99,Strömung::N,течение,oqim
100,Tropfen::N,капка,tomchi
101,Schaum::N,пяна,ko'pik
102,Schmutz::N,кал,gard
103,Schmutz::N,мръсотия,gard
104,See::N,езеро,ko'l
105,Sumpf::N,блато,botqoq
106,Moor::N,мочурище,qir-adir
107,Wiese::N,ливада,o'tzor
108,Wald::N,гора,o'rmon
109,Hügel::N,рид,tepa
110,Hügel::N,хълм,tepa
111,Anhöhe::N,могила,adir
112,Anhöhe::N,възвишение,adir
