,Concept_ID,fr,udm
0,Auge::N,œil,син
1,Ohr::N,oreille,пель
2,Nase::N,nez,ныр
3,Mund::N,bouche,ым
4,Zahn::N,dent,пинь
5,Zunge::N,langue,кыл
6,Lippe::N,lèvre,ымдур
7,Wange::N,joue,бам
8,Gesicht::N,face,ымныр
9,Gesicht::N,visage,ымныр
10,Stirn::N,front,кымес
11,Haar::N,cheveu,йырси
12,Schnurrbart::N,moustache,мыйык
13,Bart::N,barbe,туш
14,Kinn::N,menton,ангес
15,Kiefer[Anatomie]::N,mâchoire,ан
16,Kiefer[Anatomie]::N,mâchoire,анлы
17,Kehle::N,gorge,гульым
18,Hals::N,cou,чырты
19,Genick::N,nuque,йырбер
20,Kopf::N,tête,йыр
21,Rücken::N,dos,мыш
22,Bauch::N,ventre,кӧт
23,Nabel::N,nombril,гогы
24,Busen::N,sein,ноны
25,Brust::N,poitrine,мӧля
26,Schulter::N,épaule,пельпум
27,Arm::N,bras,суй
28,Ellenbogen::N,coude,гырпум
29,Hand::N,main,ки
30,Handfläche::N,paume,ки пыдэс
31,Handfläche::N,paume,кырым пыдэс
32,Finger::N,doigt,чиньы
33,Fingernagel::N,ongle,гижы
34,Fingernagel::N,ongle,гиждӥнь
35,Nagel[Anatomie]::N,ongle,гижы
36,Zeh::N,orteil,пыдчиньы
37,Zeh::N,doigt de pied,пыдчиньы
38,Fuß::N,pied,пыд
39,Ferse::N,talon,пыдбер
40,Knie::N,genou,пыдес
41,Oberschenkel::N,cuisse,макес
42,Bein::N,jambe,пыд
43,Körper::N,corps,мугор
44,Körper::N,corps,вылтыр
45,Haut::N,peau,ку
46,Blut::N,sang,вир
47,Ader::N,veine,вирсэр
48,Sehne::N,tendon,вуж
49,Knochen::N,os,лы
50,Gehirn::N,cerveau,вим
51,Herz::N,cœur,сюлэм
52,Magen::N,estomac,ӝуш
53,Leber::N,foie,мус
54,Atem::N,haleine,лул
55,Atem::N,haleine,шокан
56,Hunger::N,faim,кӧтсюман
57,Träne::N,larme,синкыли
58,Geschmack::N,goût,шӧм
59,Geschmack::N,saveur,шӧм
60,Geruch::N,odeur,зын
61,Schlaf::N,sommeil,вӧт
62,Traum::N,songe,уйвӧт
63,Himmel::N,ciel,ин
64,Sonne::N,soleil,шунды
65,Mond::N,lune,толэзь
66,Stern::N,étoile,кизили
67,Luft::N,air,омыр
68,Wind::N,vent,тӧл
69,Welle::N,vague,тулкым
70,Wasser::N,eau,ву
71,Stein::N,pierre,из
72,Boden::N,sol,музъем
73,Boden::N,terrain,музъем
74,Erde::N,terre,му
75,Staub::N,poussière,пыль
76,Rauch::N,fumée,ӵын
77,Funke::N,étincelle,гизьы
78,Feuer::N,feu,тыл
79,Licht::N,lumière,тыл
80,Schatten::N,ombre,вужер
81,Wetter::N,temps,куазь
82,Nebel::N,brume,бус
83,Nebel::N,brouillard,бус
84,Wolke::N,nuage,пилем
85,Regen::N,pluie,зор
86,Schnee::N,neige,лымы
87,Eis::N,glace,йӧ
88,Frost::N,gel,кезьыт
89,Frost::N,gelée,кезьыт
90,Kälte::N,froid,кезьыт
91,Hitze::N,chaleur,пӧсь
92,Raureif::N,givre,гӧр
93,Regenbogen::N,arc-en-ciel,вуюись
94,Donner::N,tonnerre,гудыри
95,Strömung::N,courant,бызён
96,Tropfen::N,goutte,шапык
97,Schaum::N,écume,шукы
