,Concept_ID,ko,sk
0,Auge::N,눈,oko
1,Ohr::N,귀,ucho
2,Nase::N,코,nos
3,Mund::N,입,ústa
4,Zahn::N,이,zub
5,Zunge::N,혀,jazyk
6,Lippe::N,입술,pera
7,Wange::N,뺨,líce
8,Gesicht::N,얼굴,tvár
9,Gesicht::N,얼굴,obličaj
10,Stirn::N,이마,čelo
11,Haar::N,털,vlas
12,Schnurrbart::N,윗수몀,fúzy
13,Schnurrbart::N,코밑수염,fúzy
14,Bart::N,수엄,brada
15,Kinn::N,아래턱,brada
16,Kiefer[Anatomie]::N,턱,čeľusť
17,Kehle::N,인후,hrdlo
18,Hals::N,목,krk
19,Genick::N,먹덜이,väzy
20,Kopf::N,머리,hlava
21,Rücken::N,든,chrbát
22,Bauch::N,배,brucho
23,Nabel::N,배꼽,pupok
24,Busen::N,가슴속,prsia
25,Brust::N,가슴,hruď
26,Schulter::N,어깨,plece
27,Arm::N,팔,rameno
28,Ellenbogen::N,팔쿰치,lakeť
29,Hand::N,손,ruka
30,Handfläche::N,손바닥,dlaň
31,Finger::N,속가락,prst
32,Fingernagel::N,손톱,necht
33,Nagel[Anatomie]::N,손톱,necht
34,Zeh::N,발가락,prst na nohe
35,Fuß::N,발,noha
36,Ferse::N,발꿈치,päta
37,Knie::N,무릎,koleno
38,Oberschenkel::N,허벅다리,stehno
39,Bein::N,다리,noha
40,Körper::N,구간,telo
41,Haut::N,살갗,koža
42,Blut::N,피,krv
43,Ader::N,정맥,žila
44,Sehne::N,현,šľacha
45,Knochen::N,뼈,kosť
46,Gehirn::N,뇌,mozog
47,Gehirn::N,뇌수,mozog
48,Herz::N,염통,srdce
49,Magen::N,위,žalúdok
50,Leber::N,간,pečeň
51,Atem::N,기식,dych
52,Hunger::N,공복,hlad
53,Träne::N,눈물,slza
54,Geschmack::N,기호,chuť
55,Geruch::N,냄새,pach
56,Schlaf::N,수면,spánok
57,Traum::N,쿰,sen
58,Himmel::N,하늘,nebo
59,Sonne::N,해,slnko
60,Mond::N,달,mesiac
61,Stern::N,별,hviezda
62,Luft::N,동준,vzduch
63,Luft::N,가스채,vzduch
64,Wind::N,바람,vietor
65,Welle::N,물결,vlna
66,Wasser::N,물,voda
67,Stein::N,돌,kameň
68,Boden::N,바닥,zem
69,Boden::N,바닥,pôda
70,Erde::N,흙,zem
71,Staub::N,먼지,prach
72,Rauch::N,연기,dym
73,Funke::N,불티,iskra
74,Feuer::N,불,oheň
75,Licht::N,불,svetlo
76,Schatten::N,어스레함,tieň
77,Wetter::N,기상,počasie
78,Nebel::N,안개,hmla
79,Wolke::N,구름,oblak
80,Wolke::N,구름,mračno
81,Regen::N,비,dážď
82,Schnee::N,눈,sneh
83,Eis::N,얼음,ľad
84,Frost::N,혹한,mráz
85,Kälte::N,추위,zima
86,Kälte::N,추위,chlad
87,Kälte::N,차가움,zima
88,Kälte::N,차가움,chlad
89,Hitze::N,고온,horúčava
90,Hitze::N,더위,horúčava
91,Regenbogen::N,무지개,dúha
92,Donner::N,뇌명,hrom
93,Strömung::N,유동,prúdenie
94,Tropfen::N,물방울,kvapka
95,Schaum::N,포말,pena
96,Schmutz::N,때,špina
97,Schmutz::N,때,nečistota
98,See::N,호수,jazero
99,Sumpf::N,습지,bahno
100,Moor::N,저습지,močiar
101,Wiese::N,목초지,lúka
102,Wald::N,숲,les
103,Wald::N,숲,hora
104,Hügel::N,언덕,vŕšok
105,Anhöhe::N,언덕,výšina
106,Anhöhe::N,언덕,vyvýšenina
107,Berg::N,산,hora
108,Gipfel::N,졀졍,vrchol
109,Höhle::N,공동,jaskyňa
110,Abhang::N,몰매,úbočie
111,Quelle::N,근원,prameň
112,Bach::N,내,potok
113,Fluss::N,강,rieka
114,Ufer::N,강변,breh
115,Ufer::N,바닷가,breh
116,Küste::N,해변,pobrežie
117,Küste::N,해변가,pobrežie
118,Festland::N,본토,pevnina
119,Meer::N,바다,more
120,Bucht::N,협만,záliv
121,Bucht::N,협만,zátoka
122,Insel::N,섬,ostrov
123,Blume::N,꽃,kvet
124,Blume::N,꽃,kvetina
125,Gras::N,풀,tráva
126,Wurzel::N,뿌리,koreň
127,Baum::N,나무,strom
128,Stamm::N,대,kmeň
129,Rinde::N,나무껍질,kôra
130,Ast::N,가지,konár
131,Zweig::N,가지,vetva
132,Blatt::N,잎,list
133,Birke::N,자작나무,breza
134,Kiefer[Baum]::N,소나무,sosna
135,Kiefer[Baum]::N,소나무,borovica
136,Weide[Baum]::N,쉬양버들,vŕba
137,Tanne::N,전나무,jedľa
138,Horn::N,뿔,roh
139,Feder::N,깃털,pero
140,Fell::N,피혁모피,koža
141,Fell::N,피혁모피,kožušina
142,Flügel::N,날개,krídlo
143,Klaue::N,갈고리 발톺,paznecht
144,Kralle::N,발툭,pazúr
145,Schwanz::N,꼬리,chvost
146,Ei::N,알,vajce
147,Ei::N,알,vajíčko
148,Nest::N,보금자리,hniezdo
149,Bau::N,굴,nora
150,Tier::N,짐승,zviera
151,Herde::N,가축의떼,stádo
152,Kuh::N,암소,krava
153,Bulle::N,황소,býk
154,Pferd::N,말,kôň
155,Schaf::N,양,ovca
156,Schwein::N,돼지,sviňa
157,Hund::N,개,pes
158,Katze::N,고양이,mačka
159,Bär::N,콤,medveď
160,Eichhörnchen::N,다람쥐,veverička
161,Elch::N,고라니,los
162,Fuchs::N,여우,líška
163,Hase::N,토끼,zajac
164,Maus::N,쥐,myš
165,Wolf::N,늑대,vlk
166,Vogel::N,새,vták
167,Schwarm::N,뗴,roj
168,Huhn::N,암탉,kurča
169,Huhn::N,암탉,sliepka
170,Hahn::N,수탉,kohút
171,Gans::N,거위,hus
172,Adler::N,수리,orol
173,Ente::N,오리,kačka
174,Ente::N,오리,kačica
175,Eule::N,부엉이,sova
176,Kranich::N,두루미,žeriav
177,Krähe::N,까마귀,vrana
178,Kuckuck::N,뻐꾸기,kukučka
179,Schwan::N,배조,labuť
180,Fisch::N,물고기,ryba
181,Barsch::N,농어,ostriež
182,Hecht::N,에속스,šťuka
183,Schlange[Tier]::N,뱀,had
184,Wurm::N,벌레,červ
185,Spinne::N,거미,pavúk
186,Ameise::N,개미,mravec
187,Laus::N,이,voš
188,Mücke::N,모기,komár
189,Fliege::N,날기,mucha
190,Schmetterling::N,나비,motýľ
191,Beere::N,장과,bobuľa
192,Apfel::N,사과,jablko
193,Pilz::N,고방이,hríb
194,Zwiebel::N,양파,cibuľa
195,Saat::N,씨,osivo
196,Korn::N,알맹이,zrno
197,Heu::N,건초,seno
198,Schale::N,피상,šupa
199,Schale::N,피상,škrupina
200,Falle::N,함정,pasca
201,Falle::N,함정,klepec
202,Schlinge::N,올가미,slučka
203,Schlinge::N,멜빵붕대,slučka
204,Spur::N,발지국,stopa
205,Asche::N,재,popol
206,Dreck::N,똥,kal
207,Dreck::N,똥,blato
208,Dreck::N,오물,kal
209,Dreck::N,오물,blato
210,Eisen::N,쇠,železo
211,Eisen::N,철,železo
212,Gold::N,항금,zlato
213,Silber::N,은,striebro
214,Kohle::N,슻,uhlie
215,Glas::N,유리,sklo
216,Lehm::N,찰흙,íl
217,Lehm::N,찰흙,hlina
218,Sand::N,모래,piesok
219,Mensch::N,사람,človek
220,Mann::N,남자,muž
221,Mann::N,남자,chlap
222,Frau::N,여자,žena
223,Kind::N,아이,dieťa
224,Junge::N,소녁,chlapec
225,Mädchen::N,소녀,dievka
226,Familie::N,가족,rodina
227,Großvater::N,할아버지,dedo
228,Großvater::N,할아버지,starý otec
229,Großmutter::N,할머니,babička
230,Großmutter::N,할머니,stará mať
231,Eltern::N,어버오,rodičia
232,Vater::N,아버지,otec
233,Mutter::N,어머니,mať
234,Mutter::N,어머니,matka
235,Sohn::N,아들,syn
236,Tochter::N,딸기,dcéra
237,Bruder::N,형제,brat
238,Schwester::N,누이,sestra
239,Onkel::N,백부,ujo
240,Onkel::N,백부,strýko
241,Tante::N,아주머니,teta
242,Tante::N,아주머니,tetka
243,Ehemann::N,남편,muž
244,Ehemann::N,남편,manžel
245,Ehefrau::N,아내,žena
246,Ehefrau::N,아내,manželka
247,Freude::N,기쁨,radosť
248,Gelächter::N,웃음,smiech
249,Glück::N,즐거움,šťastie
250,Kummer::N,슬픔,žiaľ
251,Kummer::N,슬픔,zármutok
252,Wunsch::N,소망,prianie
253,Geist::N,할기,duch
254,Gedanke::N,상념,myšlienka
255,Gedächtnis::N,기억,pamäť
256,Verstand::N,분별,rozum
257,Verstand::N,지능,rozum
258,Sinn::N,센스,zmysel
259,Grund::N,까닭,dôvod
260,Grund::N,까닭,príčina
261,Wahrheit::N,참,pravda
262,Wahrheit::N,진실,pravda
263,Gespräch::N,대화,reč
264,Gespräch::N,대화,rozhovor
265,Märchen::N,동화,rozprávka
266,Erzählung::N,이야기,poviedka
267,Neuigkeit::N,뉴스,novinka
268,Name::N,이름,meno
269,Rätsel::N,수수께끼,záhada
270,Rätsel::N,수수께끼,hádanka
271,Rede::N,연설,reč
272,Sprache::N,말,reč
273,Sprache::N,말,jazyk
274,Stimme::N,목소리,hlas
275,Wort::N,낱말,slovo
276,Zeichen::N,신호,znak
277,Ruf::N,부름,volanie
