,Concept_ID,be,kn
0,Auge::N,вока,ಕಣ್ಣು
1,Ohr::N,вуха,ಕಿವಿ
2,Nase::N,нос,ಮೂಗು
3,Mund::N,рот,ಬಾಯಿ
4,Zahn::N,зуб,ಹಲ್ಲು
5,Zunge::N,язык,ನಾಲಿಗೆ
6,Lippe::N,губа,ತುಟಿ
7,Wange::N,шчака,ಗಲ್ಲ
8,Gesicht::N,твар,ಮುಖ
9,Stirn::N,лоб,ಹಣೆ
10,Haar::N,волас,ಕೂದಲು
11,Haar::N,валасы,ಕೂದಲು
12,Schnurrbart::N,вус,ಮೀಸೆ
13,Schnurrbart::N,вусы,ಮೀಸೆ
14,Bart::N,барада,ಗಡ್ಡ
15,Kinn::N,падбародак,ಗದ್ದ
16,Kiefer[Anatomie]::N,сківіца,ದವಡೆ
17,Kehle::N,горла,ಗಂಟಲು
18,Hals::N,шыя,ಕೊರಳು
19,Genick::N,патыліца,ಹಿಂಗತ್ತು
20,Kopf::N,галава,ತಲೆ
21,Rücken::N,спіна,ಬೆನ್ನು
22,Bauch::N,жывот,ಹೊಟ್ಟೆ
23,Nabel::N,пупок,ಹೊಕ್ಕುಳು
24,Busen::N,грудзі,ಸ್ತನ
25,Brust::N,грудзі,ಎದೆ
26,Schulter::N,плячо,ಭುಜ
27,Arm::N,рука,ತೋಳು
28,Ellenbogen::N,локаць,ಮೊಣಕೈ
29,Hand::N,кісць,ಕೈ
30,Handfläche::N,далонь,ಅಂಗೈ
31,Finger::N,палец,ಕೈಬೆರಳು
32,Fingernagel::N,ногаць,ಉಗುರು
33,Nagel[Anatomie]::N,ногаць,ಉಗುರು
34,Zeh::N,палец,ಕಾಲ್ಬೆರಳು
35,Fuß::N,нага,ಪಾದ
36,Ferse::N,пята,ಹಿಮ್ಮಡಿ
37,Ferse::N,пятка,ಹಿಮ್ಮಡಿ
38,Knie::N,калена,ಮಂಡಿ
39,Oberschenkel::N,бядро,ತೊಡೆ
40,Oberschenkel::N,сцягно,ತೊಡೆ
41,Bein::N,нага,ಕಾಲು
42,Körper::N,цела,ದೇಹ
43,Haut::N,скура,ಚರ್ಮ
44,Blut::N,кроў,ರಕ್ತ
45,Ader::N,вена,ನರ
46,Ader::N,сасуд,ನರ
47,Sehne::N,жыла,ನರ
48,Sehne::N,цеціва,ನರ
49,Sehne::N,сухажылле,ನರ
