,Concept_ID,ko,pt
0,Auge::N,눈,olho
1,Ohr::N,귀,orelha
2,Nase::N,코,nariz
3,Mund::N,입,boca
4,Zahn::N,이,dente
5,Zunge::N,혀,língua
6,Lippe::N,입술,lábio
7,Wange::N,뺨,face
8,Gesicht::N,얼굴,cara
9,Gesicht::N,얼굴,rosto
10,Stirn::N,이마,testa
11,Haar::N,털,cabelo
12,Schnurrbart::N,윗수몀,bigode
13,Schnurrbart::N,코밑수염,bigode
14,Bart::N,수엄,barba
15,Kinn::N,아래턱,queixo
16,Kiefer[Anatomie]::N,턱,maxila
17,Kiefer[Anatomie]::N,턱,mandíbula
18,Kehle::N,인후,garganta
19,Hals::N,목,colo
20,Hals::N,목,pescoço
21,Genick::N,먹덜이,nuca
22,Kopf::N,머리,cabeça
23,Rücken::N,든,dorso
24,Rücken::N,든,costas
25,Bauch::N,배,ventre
26,Bauch::N,배,barriga
27,Nabel::N,배꼽,umbigo
28,Busen::N,가슴속,seio
29,Brust::N,가슴,peito
30,Schulter::N,어깨,ombro
31,Arm::N,팔,braço
32,Ellenbogen::N,팔쿰치,cotovelo
33,Hand::N,손,mão
34,Handfläche::N,손바닥,palma
35,Handfläche::N,손바닥,palma da mão
36,Finger::N,속가락,dedo
37,Fingernagel::N,손톱,unha
38,Nagel[Anatomie]::N,손톱,unha
39,Zeh::N,발가락,dedo do pé
40,Fuß::N,발,pé
41,Ferse::N,발꿈치,calcanhar
42,Knie::N,무릎,joelho
43,Oberschenkel::N,허벅다리,coxa
44,Bein::N,다리,perna
45,Körper::N,구간,corpo
46,Haut::N,살갗,pele
47,Blut::N,피,sangue
48,Ader::N,정맥,veia
49,Sehne::N,현,tendão
50,Knochen::N,뼈,osso
51,Gehirn::N,뇌,cérebro
52,Gehirn::N,뇌수,cérebro
53,Herz::N,염통,coração
54,Magen::N,위,estômago
55,Leber::N,간,fígado
56,Atem::N,기식,fôlego
57,Hunger::N,공복,fome
58,Träne::N,눈물,lágrima
59,Geschmack::N,기호,gosto
60,Geruch::N,냄새,odor
61,Geruch::N,냄새,cheiro
62,Schlaf::N,수면,sono
63,Traum::N,쿰,sonho
64,Himmel::N,하늘,céu
65,Sonne::N,해,sol
66,Mond::N,달,lua
67,Stern::N,별,estrela
68,Luft::N,동준,ar
69,Luft::N,가스채,ar
70,Wind::N,바람,vento
71,Welle::N,물결,onda
72,Wasser::N,물,água
73,Stein::N,돌,pedra
74,Boden::N,바닥,solo
75,Erde::N,흙,terra
76,Staub::N,먼지,pó
77,Rauch::N,연기,fumo
78,Funke::N,불티,faísca
79,Funke::N,불티,centelha
80,Feuer::N,불,fogo
81,Licht::N,불,luz
82,Schatten::N,어스레함,sombra
83,Wetter::N,기상,tempo
84,Nebel::N,안개,nevoeiro
85,Wolke::N,구름,nuvem
86,Regen::N,비,chuva
87,Schnee::N,눈,neve
88,Eis::N,얼음,gelo
89,Frost::N,혹한,gelo
90,Frost::N,혹한,geada
91,Kälte::N,추위,frio
92,Kälte::N,차가움,frio
93,Hitze::N,고온,ardor
94,Hitze::N,더위,ardor
95,Regenbogen::N,무지개,arco-iris
96,Donner::N,뇌명,trovão
97,Strömung::N,유동,corrente
98,Tropfen::N,물방울,gota
99,Schaum::N,포말,espuma
100,Schmutz::N,때,sujidade
101,Schmutz::N,때,imundície
102,See::N,호수,lago
103,Sumpf::N,습지,charco
104,Sumpf::N,습지,pântano
105,Moor::N,저습지,pântano
106,Wiese::N,목초지,prado
107,Wald::N,숲,bosque
108,Wald::N,숲,floresta
109,Hügel::N,언덕,colina
110,Anhöhe::N,언덕,alto
111,Anhöhe::N,언덕,outeiro
112,Berg::N,산,monte
113,Berg::N,산,montanha
114,Gipfel::N,졀졍,pico
115,Höhle::N,공동,caverna
116,Abhang::N,몰매,encosta
117,Quelle::N,근원,fonte
118,Bach::N,내,regato
119,Bach::N,내,ribeiro
120,Fluss::N,강,rio
121,Ufer::N,강변,beira
122,Ufer::N,바닷가,beira
123,Küste::N,해변,costa
124,Küste::N,해변가,costa
125,Festland::N,본토,terra firme
126,Meer::N,바다,mar
127,Bucht::N,협만,baía
128,Insel::N,섬,ilha
129,Blume::N,꽃,flor
130,Gras::N,풀,erva
131,Wurzel::N,뿌리,raiz
132,Baum::N,나무,árvore
133,Stamm::N,대,tronco
134,Rinde::N,나무껍질,casca
135,Ast::N,가지,ramo
136,Zweig::N,가지,galho
137,Blatt::N,잎,folha
138,Birke::N,자작나무,bétula
139,Kiefer[Baum]::N,소나무,pinheiro
140,Weide[Baum]::N,쉬양버들,salgueiro
141,Tanne::N,전나무,abeto
142,Horn::N,뿔,corno
143,Horn::N,뿔,chifre
144,Feder::N,깃털,pena
145,Fell::N,피혁모피,pele
146,Flügel::N,날개,asa
147,Klaue::N,갈고리 발톺,pata
148,Kralle::N,발툭,unha
149,Kralle::N,발툭,garra
150,Schwanz::N,꼬리,rabo
151,Schwanz::N,꼬리,cauda
152,Ei::N,알,ovo
153,Nest::N,보금자리,ninho
154,Bau::N,굴,toca
155,Bau::N,굴,covil
156,Tier::N,짐승,animal
157,Herde::N,가축의떼,rebanho
158,Kuh::N,암소,vaca
159,Bulle::N,황소,touro
160,Pferd::N,말,cavalo
161,Schaf::N,양,ovelha
162,Schwein::N,돼지,porco
163,Hund::N,개,cão
164,Katze::N,고양이,gata
165,Bär::N,콤,urso
166,Eichhörnchen::N,다람쥐,esquilo
167,Elch::N,고라니,alce
168,Fuchs::N,여우,raposa
169,Hase::N,토끼,lebre
170,Maus::N,쥐,rato
171,Wolf::N,늑대,lobo
172,Vogel::N,새,ave
173,Vogel::N,새,pássaro
174,Schwarm::N,뗴,bando
175,Schwarm::N,뗴,enxame
176,Huhn::N,암탉,galinha
177,Hahn::N,수탉,galo
178,Gans::N,거위,ganso
179,Adler::N,수리,águia
180,Ente::N,오리,pata
181,Eule::N,부엉이,mocho
182,Eule::N,부엉이,coruja
183,Kranich::N,두루미,grou
184,Krähe::N,까마귀,gralha
185,Kuckuck::N,뻐꾸기,cuco
186,Schwan::N,배조,cisne
187,Fisch::N,물고기,peixe
188,Barsch::N,농어,perca
189,Hecht::N,에속스,lúcio
190,Schlange[Tier]::N,뱀,serpente
191,Wurm::N,벌레,verme
192,Spinne::N,거미,aranha
193,Ameise::N,개미,formiga
194,Laus::N,이,piolho
195,Mücke::N,모기,mosquito
196,Fliege::N,날기,mosca
197,Schmetterling::N,나비,borboleta
198,Beere::N,장과,bago
199,Apfel::N,사과,maçã
200,Pilz::N,고방이,fungo
201,Pilz::N,고방이,cogumelo
202,Zwiebel::N,양파,cebola
203,Saat::N,씨,sementeira
204,Korn::N,알맹이,grão
205,Heu::N,건초,feno
206,Schale::N,피상,casca
207,Falle::N,함정,armadilha
208,Schlinge::N,올가미,laço
209,Schlinge::N,멜빵붕대,laço
210,Spur::N,발지국,pista
211,Spur::N,발지국,vestígio
212,Asche::N,재,cinza
213,Dreck::N,똥,sujidade
214,Dreck::N,오물,sujidade
215,Eisen::N,쇠,ferro
216,Eisen::N,철,ferro
217,Gold::N,항금,ouro
218,Silber::N,은,prata
219,Kohle::N,슻,carvão
220,Glas::N,유리,vidro
221,Lehm::N,찰흙,barro
222,Lehm::N,찰흙,argila
223,Sand::N,모래,areia
224,Mensch::N,사람,homem
225,Mensch::N,사람,pessoa
226,Mann::N,남자,homem
227,Frau::N,여자,mulher
228,Kind::N,아이,filho
229,Kind::N,아이,criança
230,Junge::N,소녁,rapaz
231,Junge::N,소녁,menino
232,Mädchen::N,소녀,menina
233,Mädchen::N,소녀,rapariga
234,Familie::N,가족,família
235,Großvater::N,할아버지,avô
236,Großmutter::N,할머니,avó
237,Eltern::N,어버오,pais
