,Concept_ID,fi,kn
0,Auge::N,silmä,ಕಣ್ಣು
1,Ohr::N,korva,ಕಿವಿ
2,Nase::N,nenä,ಮೂಗು
3,Mund::N,suu,ಬಾಯಿ
4,Zahn::N,hammas,ಹಲ್ಲು
5,Zunge::N,kieli,ನಾಲಿಗೆ
6,Lippe::N,huuli,ತುಟಿ
7,Wange::N,poski,ಗಲ್ಲ
8,Gesicht::N,naama,ಮುಖ
9,Gesicht::N,kasvot,ಮುಖ
10,Stirn::N,otsa,ಹಣೆ
11,Haar::N,hius,ಕೂದಲು
12,Haar::N,tukka,ಕೂದಲು
13,Schnurrbart::N,viikset,ಮೀಸೆ
14,Bart::N,parta,ಗಡ್ಡ
15,Kinn::N,leuka,ಗದ್ದ
16,Kiefer[Anatomie]::N,leukaluu,ದವಡೆ
17,Kehle::N,kurkku,ಗಂಟಲು
18,Hals::N,kaula,ಕೊರಳು
19,Genick::N,niska,ಹಿಂಗತ್ತು
20,Kopf::N,pää,ತಲೆ
21,Rücken::N,selkä,ಬೆನ್ನು
22,Bauch::N,maha,ಹೊಟ್ಟೆ
23,Bauch::N,vatsa,ಹೊಟ್ಟೆ
24,Nabel::N,napa,ಹೊಕ್ಕುಳು
25,Busen::N,rinta,ಸ್ತನ
26,Brust::N,rinta,ಎದೆ
27,Schulter::N,olka,ಭುಜ
28,Schulter::N,hartia,ಭುಜ
29,Schulter::N,olkapää,ಭುಜ
30,Arm::N,käsivarsi,ತೋಳು
31,Ellenbogen::N,kyynärpää,ಮೊಣಕೈ
32,Hand::N,käsi,ಕೈ
33,Handfläche::N,kämmen,ಅಂಗೈ
34,Finger::N,sormi,ಕೈಬೆರಳು
35,Fingernagel::N,kynsi,ಉಗುರು
36,Nagel[Anatomie]::N,kynsi,ಉಗುರು
37,Zeh::N,varvas,ಕಾಲ್ಬೆರಳು
38,Fuß::N,jalka,ಪಾದ
39,Ferse::N,kantapää,ಹಿಮ್ಮಡಿ
40,Knie::N,polvi,ಮಂಡಿ
41,Oberschenkel::N,reisi,ತೊಡೆ
42,Bein::N,jalka,ಕಾಲು
43,Körper::N,keho,ದೇಹ
44,Körper::N,ruumis,ದೇಹ
45,Haut::N,iho,ಚರ್ಮ
46,Blut::N,veri,ರಕ್ತ
47,Ader::N,suoni,ನರ
48,Sehne::N,jänne,ನರ
49,Knochen::N,luu,ಮೂಳೆ
50,Gehirn::N,aivot,ಮಿದುಳು
51,Herz::N,sydän,ಹೃದಯ
52,Magen::N,maha,ಉದರ
53,Magen::N,vatsa,ಉದರ
54,Leber::N,maksa,ಯಕೃತ್ತು
55,Atem::N,henki,ಉಸಿರು
56,Atem::N,hengitys,ಉಸಿರು
57,Hunger::N,nälkä,ಹಸಿವು
58,Träne::N,kyynel,ಕಣ್ಣೀರು
59,Geschmack::N,maku,ರುಚಿ
60,Geruch::N,haju,ವಾಸನೆ
61,Schlaf::N,uni,ನಿದ್ರೆ
62,Traum::N,uni,ಕನಸು
63,Himmel::N,taivas,ಬಾನು
64,Sonne::N,aurinko,ಸೂರ್ಯ
65,Mond::N,kuu,ಚಂದ್ರ
66,Stern::N,tähti,ಚುಕ್ಕಿ
67,Luft::N,ilma,ವಾಯು
68,Wind::N,tuuli,ಗಾಳಿ
69,Welle::N,aalto,ಅಲೆ
70,Wasser::N,vesi,ನೀರು
71,Stein::N,kivi,ಕಲ್ಲು
72,Boden::N,maa,ನೆಲ
73,Boden::N,maaperä,ನೆಲ
74,Erde::N,maa,ಭೂಮಿ
75,Staub::N,pöly,ದೂಳು
76,Rauch::N,savu,ಹೊಗೆ
77,Funke::N,kipinä,ಕಿಡಿ
78,Feuer::N,tuli,ಬೆಂಕಿ
79,Licht::N,valo,ಬೆಳಕು
80,Schatten::N,varjo,ನೆರಳು
81,Wetter::N,sää,ಹವ
82,Nebel::N,sumu,ಮಂಜು
83,Wolke::N,pilvi,ಮೋಡ
84,Regen::N,sade,ಮಳೆ
85,Schnee::N,lumi,ಹಿಮ
86,Eis::N,jää,ಮಂಜುಗಡ್ಡೆ
87,Frost::N,halla,ಮಂಜು
88,Frost::N,pakkanen,ಮಂಜು
89,Kälte::N,vilu,ಹಿಮ
90,Kälte::N,kylmyys,ಹಿಮ
91,Hitze::N,helle,ಉಷ್ಣ
92,Hitze::N,kuumuus,ಉಷ್ಣ
93,Raureif::N,huurre,ಇಬ್ಬನಿ
94,Regenbogen::N,sateenkaari,ಇಂದ್ರಚಾಪ
95,Donner::N,jyrinä,ಗುಡುಗು
96,Strömung::N,virtaus,ಪ್ರವಾಹ
97,Tropfen::N,tippa,ತೊಟ್ಟು
98,Tropfen::N,pisara,ತೊಟ್ಟು
99,Schaum::N,vaahto,ನೊರೆ
100,Schmutz::N,loka,ಕಸ
101,See::N,järvi,ಸರೋವರ
102,Sumpf::N,suo,ಜೌಗುಸ್ಥಳ
103,Moor::N,räme,ಬಂಜರು ಭೂಮಿ
104,Wiese::N,niitty,ಹುಲ್ಲುಗಾವಲು
105,Wald::N,metsä,ಕಾಡು
106,Hügel::N,mäki,ಗುಡ್ಡೆ
107,Hügel::N,kumpu,ಗುಡ್ಡೆ
108,Hügel::N,kukkula,ಗುಡ್ಡೆ
109,Anhöhe::N,mäki,ದಿಬ್ಬ
110,Anhöhe::N,kumpare,ದಿಬ್ಬ
111,Berg::N,mäki,ಮಲೆ
112,Berg::N,mäki,ಪರ್ವತ
113,Berg::N,vuori,ಮಲೆ
114,Berg::N,vuori,ಪರ್ವತ
115,Gipfel::N,laki,ಶೃಂಗ
116,Gipfel::N,huippu,ಶೃಂಗ
117,Höhle::N,luola,ಗುಹೆ
118,Abhang::N,rinne,ಇಳಿಜಾರು
119,Quelle::N,lähde,ಮೂಲ
120,Bach::N,puro,ತೊರೆ
121,Fluss::N,joki,ನದಿ
122,Ufer::N,ranta,ತೀರ
123,Küste::N,rannikko,ದಂಡೆ
124,Festland::N,manner,ಭೂಮಿ
125,Meer::N,meri,ಕಡಲು
126,Bucht::N,lahti,ಖಾರಿ
127,Insel::N,saari,ದ್ವೀಪ
128,Blume::N,kukka,ಸುಮ
129,Gras::N,ruoho,ಹುಲ್ಲು
130,Wurzel::N,juuri,ಬೇರು
131,Baum::N,puu,ಮರ
132,Stamm::N,runko,ಕಾಂಡ
133,Rinde::N,kuori,ತೂಗಟಿ
134,Rinde::N,parkki,ತೂಗಟಿ
135,Ast::N,oksa,ಶಾಖೆ
136,Zweig::N,haara,ರೆಂಬೆ
137,Blatt::N,lehti,ಎಲೆ
138,Birke::N,koivu,ಬರ್ಚ್ ಮರ
139,Kiefer[Baum]::N,mänty,ದೇವದಾರು ಮರ
140,Kiefer[Baum]::N,petäjä,ದೇವದಾರು ಮರ
141,Weide[Baum]::N,paju,ವಿಲೋಮರ
142,Tanne::N,kuusi,ಭದ್ರದಾರು
143,Horn::N,sarvi,ಕೊಂಬು
144,Feder::N,sulka,ಪುಕ್ಕ
145,Feder::N,höyhen,ಪುಕ್ಕ
146,Fell::N,talja,ರೋಮ
147,Flügel::N,siipi,ರೆಕ್ಕೆ
148,Klaue::N,kynsi,ಪಂಜ
149,Kralle::N,kynsi,ಉಗುರು
150,Schwanz::N,häntä,ಬಾಲ
151,Schwanz::N,pyrstö,ಬಾಲ
152,Ei::N,muna,ಮೊಟ್ಟೆ
153,Nest::N,pesä,ಗೂಡು
154,Bau::N,pesä,ಅಡಗುದಾಣ
155,Tier::N,eläin,ಪ್ರಾಣಿ
156,Herde::N,lauma,ಗುಂಪು
157,Kuh::N,lehmä,ಹಸು
158,Bulle::N,sonni,ಗೂಳಿ
159,Pferd::N,hevonen,ಕುದುರೆ
160,Schaf::N,lammas,ಕುರಿ
161,Schwein::N,sika,ಹಂದಿ
162,Hund::N,koira,ನಾಯಿ
163,Katze::N,kissa,ಬೆಕ್ಕು
164,Bär::N,karhu,ಕರಡಿ
165,Eichhörnchen::N,orava,ಉಡುತೆ
166,Elch::N,hirvi,ಕಡವೆ
167,Fuchs::N,kettu,ನರಿ
