,Concept_ID,ru,lv
0,Auge::N,глаз,син
1,Auge::N,глаз,acs
2,Ohr::N,ухо,пель
3,Ohr::N,ухо,auss
4,Nase::N,нос,ныр
5,Nase::N,нос,deguns
6,Mund::N,рот,вом
7,Mund::N,рот,mute
8,Zahn::N,зуб,пинь
9,Zahn::N,зуб,zobs
10,Zunge::N,язык,кыв
11,Zunge::N,язык,mēle
12,Lippe::N,губа,вом дор
13,Lippe::N,губа,lūpa
14,Wange::N,щека,бан
15,Wange::N,щека,vaigs
16,Gesicht::N,лицо,чужӧм
17,Gesicht::N,лицо,seja
18,Gesicht::N,лицо,ģīmis
19,Stirn::N,лоб,плеш
20,Stirn::N,лоб,кымӧс
21,Stirn::N,лоб,piere
22,Haar::N,волос,си
23,Haar::N,волос,юрси
24,Haar::N,волос,mats
25,Haar::N,волосы,си
26,Haar::N,волосы,юрси
27,Haar::N,волосы,mats
28,Schnurrbart::N,ус,ус
29,Schnurrbart::N,ус,пыртсим
30,Schnurrbart::N,ус,ūsas
31,Schnurrbart::N,усы,ус
32,Schnurrbart::N,усы,пыртсим
33,Schnurrbart::N,усы,ūsas
34,Bart::N,борода,тош
35,Bart::N,борода,bārda
36,Kinn::N,подбородок,тшӧка
37,Kinn::N,подбородок,zods
38,Kinn::N,подбородок,smakrs
39,Kiefer[Anatomie]::N,челюсть,черлы
40,Kiefer[Anatomie]::N,челюсть,алака лы
41,Kiefer[Anatomie]::N,челюсть,вомкӧтш лы
42,Kiefer[Anatomie]::N,челюсть,žoklis
43,Kehle::N,горло,голя
44,Kehle::N,горло,rīkle
45,Hals::N,шея,сьылі
46,Hals::N,шея,kakls
47,Genick::N,затылок,юрбӧр
48,Genick::N,затылок,балябӧж
49,Genick::N,затылок,sprands
50,Kopf::N,голова,юр
51,Kopf::N,голова,galva
52,Rücken::N,спина,мыш
53,Rücken::N,спина,mugura
54,Bauch::N,живот,рушку
55,Bauch::N,живот,vēders
56,Nabel::N,пупок,гӧг
57,Nabel::N,пупок,naba
58,Busen::N,женская грудь,морӧс
59,Busen::N,женская грудь,krūts
60,Brust::N,грудь,морӧс
61,Brust::N,грудь,krūts
62,Schulter::N,плечо,пельпом
63,Schulter::N,плечо,plecs
64,Arm::N,рука,ки
65,Arm::N,рука,roka
66,Arm::N,рука,delms
67,Ellenbogen::N,локоть,гырддза
68,Ellenbogen::N,локоть,elkonis
69,Hand::N,кисть,ки
70,Hand::N,кисть,roka
71,Hand::N,кисть,plauksta
72,Handfläche::N,ладонь,ки пыдӧс
73,Handfläche::N,ладонь,delna
74,Handfläche::N,ладонь,plauksta
