,Concept_ID,es,mdf
0,Auge::N,ojo,сельме
1,Ohr::N,oreja,пиле
2,Nase::N,nariz,шалхка
3,Mund::N,boca,курга
4,Zahn::N,diente,пей
5,Zunge::N,lengua,кяль
6,Lippe::N,labio,търва́
7,Wange::N,mejilla,щёка
8,Gesicht::N,cara,шама
9,Stirn::N,frente,коня
10,Haar::N,cabello,шя́ярь
11,Schnurrbart::N,bigote,уса́
12,Bart::N,barba,сакал
13,Kinn::N,barbilla,ула
14,Kiefer[Anatomie]::N,mandíbula,саласка
15,Kehle::N,garganta,кълдома
16,Kehle::N,garganta,кърга́парь
17,Hals::N,cuello,сялдаз
18,Genick::N,nuca,шовонь
19,Genick::N,cerviz,шовонь
20,Kopf::N,cabeza,пря
21,Rücken::N,espalda,копорь
22,Bauch::N,vientre,пеке
23,Nabel::N,ombligo,по́кон
24,Busen::N,pecho,потя
25,Brust::N,pecho,мяште
26,Schulter::N,hombro,лафту
27,Arm::N,brazo,кядь
28,Ellenbogen::N,codo,кенерьба́карь
29,Hand::N,mano,кядь
30,Handfläche::N,palma,кядьлапш
31,Finger::N,dedo,сур
32,Fingernagel::N,uña,кенже
33,Nagel[Anatomie]::N,uña,кенже
34,Zeh::N,dedo del pie,пильгосу́р
35,Fuß::N,pie,пильге
36,Fuß::N,pie,пильгелапа
37,Ferse::N,talón,кочкяря
38,Knie::N,rodilla,эль
39,Knie::N,rodilla,пълма́нжа
40,Oberschenkel::N,muslo,пильгепукша
41,Bein::N,pierna,пильге
42,Körper::N,cuerpo,ро́нга
43,Körper::N,cuerpo,по́нда
44,Haut::N,piel,киське
45,Blut::N,sangre,вер
46,Ader::N,vena,сан
47,Ader::N,vena,верза́н
48,Sehne::N,tendón,коське сан
49,Knochen::N,hueso,пакарь
50,Gehirn::N,cerebro,уй
51,Gehirn::N,encéfalo,уй
52,Herz::N,corazón,седи
53,Magen::N,estómago,коткърдазь
54,Leber::N,hígado,макса
55,Atem::N,aliento,лекома
56,Atem::N,aliento,ваймонь тарксема
57,Hunger::N,hambre,вачеши
58,Träne::N,lágrima,сельмове́дь
59,Geschmack::N,gusto,таньф
60,Geruch::N,olor,шине
61,Schlaf::N,sueño,удома́
62,Traum::N,sueño,он
63,Traum::N,ensueño,он
64,Himmel::N,cielo,менель
65,Sonne::N,sol,ши
66,Mond::N,luna,ков
67,Stern::N,estrella,тяште
68,Luft::N,aire,кожф
69,Wind::N,viento,варма
70,Welle::N,ola,тавла
71,Welle::N,onda,тавла
72,Wasser::N,agua,ведь
73,Stein::N,piedra,кев
74,Boden::N,suelo,мода
75,Boden::N,suelo,потмакс
76,Erde::N,tierra,мода
77,Erde::N,tierra,мастор
78,Staub::N,polvo,пуль
79,Rauch::N,humo,качам
80,Funke::N,chispa,ця́тка
81,Feuer::N,fuego,тол
82,Licht::N,luz,ва́лда
83,Schatten::N,sombra,цильф
84,Wetter::N,tiempo,уша
85,Nebel::N,niebla,тума́н
86,Wolke::N,nube,ковол
87,Regen::N,lluvia,пизем
88,Schnee::N,nieve,лов
89,Eis::N,hielo,эй
90,Frost::N,helada,ке́льме
91,Kälte::N,frío,якшама
92,Hitze::N,calor,пси
93,Raureif::N,escarcha,леш
94,Regenbogen::N,arco iris,а́тямъёнга
95,Donner::N,trueno,атям
96,Strömung::N,corriente,шудема́
97,Tropfen::N,gota,путькс
98,Tropfen::N,gota,пътняфкс
99,Schaum::N,espuma,шов
100,Schmutz::N,suciedad,ърда́з
101,See::N,lago,эрьхке
102,Sumpf::N,pantano,шяй
103,Moor::N,turbera,шяй
104,Wiese::N,prado,луга
105,Wiese::N,pradera,луга
106,Wald::N,bosque,вирь
107,Hügel::N,colina,губо́р
108,Hügel::N,colina,пандоня
109,Anhöhe::N,cerro,губо́р
110,Berg::N,monte,панда
111,Berg::N,montaña,панда
112,Gipfel::N,cima,пря
113,Gipfel::N,cumbre,пря
114,Höhle::N,cueva,у́нда
115,Höhle::N,caverna,у́нда
116,Abhang::N,cuesta,па́нда ша́ма
117,Abhang::N,declive,па́нда ша́ма
118,Quelle::N,fuente,эшиня
119,Quelle::N,manantial,эшиня
120,Bach::N,arroyo,шудерькс
121,Fluss::N,río,ляй
122,Ufer::N,orilla,търва́
123,Küste::N,costa,ляйтърва́
124,Festland::N,tierra firme,мода
125,Meer::N,mar,моря
126,Bucht::N,cala,ведьуське
127,Bucht::N,bahía,ведьуське
128,Insel::N,isla,цёнга
129,Blume::N,flor,панчф
130,Gras::N,hierba,тише
131,Wurzel::N,raíz,юр
132,Wurzel::N,raíz,ункс
133,Baum::N,árbol,шуфта
134,Stamm::N,tronco,ро́нга
135,Rinde::N,corteza,кер
136,Ast::N,rama,морга
137,Zweig::N,ramo,тарад
138,Blatt::N,hoja,лопа
139,Birke::N,abedul,ке́лу
140,Kiefer[Baum]::N,pino,пиче
141,Weide[Baum]::N,sauce,каль
142,Tanne::N,abeto,куз
143,Horn::N,asta,сюра
144,Horn::N,cuerno,сюра
145,Feder::N,pluma,толга
146,Fell::N,piel,кедь
147,Flügel::N,ala,паця
148,Klaue::N,garra,кенже
149,Kralle::N,uña,кенже
150,Kralle::N,garra,кенже
