,Concept_ID,cv,be
0,Auge::N,куҫ,вока
1,Ohr::N,хӑлха,вуха
2,Nase::N,сӑмса,нос
3,Mund::N,ҫӑвар,рот
4,Zahn::N,шӑл,зуб
5,Zunge::N,чӗлхе,язык
6,Lippe::N,тута,губа
7,Wange::N,пит ҫӑмарти,шчака
8,Gesicht::N,пит,твар
9,Gesicht::N,пит-куҫ,твар
10,Stirn::N,ҫамка,лоб
11,Haar::N,ҫӳҫ,волас
12,Haar::N,ҫӳҫ,валасы
13,Schnurrbart::N,усси,вус
14,Schnurrbart::N,усси,вусы
15,Bart::N,сухал,барада
16,Kinn::N,янах,падбародак
17,Kiefer[Anatomie]::N,янах,сківіца
18,Kehle::N,пыр,горла
19,Kehle::N,карланкӑ,горла
20,Hals::N,пыр,шыя
21,Genick::N,ӗнсе,патыліца
22,Kopf::N,пуҫ,галава
23,Rücken::N,ҫурӑм,спіна
24,Nabel::N,кӑвапа,пупок
25,Busen::N,кӑкӑр,грудзі
26,Brust::N,умӗ,грудзі
27,Schulter::N,хул пуҫҫи,плячо
28,Arm::N,алӑ,рука
29,Ellenbogen::N,чавса,локаць
30,Hand::N,алӑ сыппи,кісць
31,Handfläche::N,ал лаппи,далонь
32,Finger::N,пӳрне,палец
33,Fingernagel::N,чӗрне,ногаць
34,Nagel[Anatomie]::N,чӗрне,ногаць
35,Zeh::N,пӳрне,палец
36,Fuß::N,ура лаппи,нага
37,Ferse::N,кӗле,пята
38,Ferse::N,кӗле,пятка
39,Knie::N,чӗркуҫҫи,калена
40,Oberschenkel::N,пӗҫӗ,бядро
41,Oberschenkel::N,пӗҫӗ,сцягно
42,Bein::N,ура,нага
43,Körper::N,ӳт,цела
44,Körper::N,ӳт-пӳ,цела
45,Haut::N,тир,скура
46,Blut::N,юн,кроў
47,Ader::N,вена,вена
48,Ader::N,вена,сасуд
49,Sehne::N,шӑнӑр,жыла
50,Sehne::N,шӑнӑр,цеціва
51,Sehne::N,шӑнӑр,сухажылле
52,Knochen::N,шӑмӑ,косць
53,Gehirn::N,миме,мозг
54,Herz::N,чӗре,сэрца
55,Magen::N,хырӑмлӑх,страўнік
56,Leber::N,пӗвер,печань
57,Atem::N,сывлав,дыханне
58,Hunger::N,выҫлӑх,голад
59,Träne::N,куҫҫуль,сляза
60,Geschmack::N,техӗм,смак
61,Geruch::N,шӑршӑ,пах
62,Schlaf::N,ыйхӑ,сон
63,Traum::N,тӗлӗк,сон
64,Himmel::N,пӗлӗт,неба
65,Sonne::N,хӗвел,сонца
66,Mond::N,уйӑх,месяц
67,Stern::N,ҫӑлтӑр,зорка
68,Luft::N,сывлӑш,паветра
69,Wind::N,ҫил,вецер
70,Welle::N,хум,хваля
71,Wasser::N,шыв,вада
72,Wasser::N,шыв-шур,вада
73,Stein::N,чул,камень
74,Boden::N,тӑпра,глеба
75,Erde::N,ҫӗр,зямля
76,Staub::N,тусан,пыл
77,Rauch::N,тӗтӗм,дым
78,Funke::N,хӗм,іскра
79,Feuer::N,вут,агонь
80,Feuer::N,ҫулӑм,агонь
81,Licht::N,ҫутӑ,святло
82,Schatten::N,сулхӑн,цень
83,Wetter::N,ҫанталӑк,пагода
84,Wetter::N,ҫанталӑк,надворʼе
85,Nebel::N,тӗтре,туман
86,Wolke::N,пӗлӗт,воблака
87,Regen::N,ҫумӑр,дождж
88,Schnee::N,юр,снег
89,Eis::N,пӑр,лёд
90,Frost::N,сивӗ,мароз
91,Kälte::N,сивӗ,холад
92,Hitze::N,вӗри,спёка
93,Hitze::N,шӑрӑх,спёка
94,Raureif::N,пас,іней
95,Regenbogen::N,асамат кӗперӗ,вясёлка
96,Donner::N,аслати,гром
97,Strömung::N,юхӑ,цячэнне
98,Tropfen::N,тумлам,кропля
99,Schaum::N,кӑпӑк,пена
100,Schmutz::N,пылчӑк,гразь
101,See::N,кӳлӗ,возера
102,Sumpf::N,шур,багна
103,Sumpf::N,шурлӑх,багна
104,Moor::N,торфлӑ шурлӑх,балота
105,Wiese::N,улӑх,луг
106,Wiese::N,ҫаран,луг
107,Wald::N,вӑрман,лес
108,Hügel::N,сӑрт,узгорак
109,Hügel::N,тӗмеске,узгорак
110,Anhöhe::N,сӑрт,узвышша
111,Berg::N,ту,гара
112,Gipfel::N,тӳпе,вяршыня
113,Höhle::N,ҫӗр хӑвӑлӗ,пячора
114,Abhang::N,тӑвайкки,схіл
115,Quelle::N,ҫӑл куҫ,крыніца
116,Bach::N,пӗчӗк шыв,ручай
117,Fluss::N,юхан шыв,рака
118,Ufer::N,ҫыран,бераг
119,Küste::N,тинӗс ҫыранӗ,узбярэжжа
120,Festland::N,тип ҫӗр,суша
121,Meer::N,тинӗс,мора
122,Bucht::N,тинӗс кукӑрӗ,бухта
123,Insel::N,утрав,востраў
124,Blume::N,чечек,кветка
125,Gras::N,курӑк,трава
126,Wurzel::N,тымар,корань
127,Baum::N,йывӑҫ,дрэва
128,Stamm::N,вулӑ,ствол
129,Rinde::N,хуйӑр,кара
130,Ast::N,турат,сук
131,Zweig::N,турат,галіна
132,Blatt::N,ҫулҫӑ,ліст
133,Birke::N,хурӑн,бяроза
134,Kiefer[Baum]::N,хыр,хвоя
135,Kiefer[Baum]::N,хыр,сасна
136,Weide[Baum]::N,хӑва,вярба
137,Tanne::N,чӑрӑш,яліна
138,Horn::N,мӑйрака,рог
139,Feder::N,тӗк,пяро
140,Fell::N,ҫӑм,шкура
141,Flügel::N,ҫунат,крыло
142,Klaue::N,чӗрне,кіпцюр
143,Kralle::N,ура,лапа
144,Schwanz::N,хӳре,хвост
145,Ei::N,ҫӑмарта,яйка
146,Nest::N,йӑва,гняздо
147,Bau::N,йӗнӗ,нара
148,Tier::N,выльӑх,жывёла
149,Herde::N,кӗтӳ,статак
150,Kuh::N,ӗне,карова
151,Bulle::N,вӑкӑр,бык
152,Pferd::N,лаша,конь
153,Schaf::N,сурӑх,авечка
154,Schwein::N,сысна,свіння
155,Hund::N,йытӑ,сабака
156,Katze::N,кушак,кошка
157,Bär::N,упа,мядзведзь
158,Eichhörnchen::N,пакша,вавёрка
159,Elch::N,пӑши,лось
160,Fuchs::N,тилӗ,ліса
161,Hase::N,куян,заяц
162,Hase::N,мулкач,заяц
163,Maus::N,шӑши,мыш
164,Wolf::N,кашкӑр,воўк
165,Vogel::N,кайӑк,птах
166,Vogel::N,кайӑк,птушка
167,Vogel::N,вӗҫен кайӑк,птах
168,Vogel::N,вӗҫен кайӑк,птушка
169,Schwarm::N,ушкӑн,чарада
170,Huhn::N,чӑх,курыца
171,Huhn::N,чӑхӑ,курыца
172,Hahn::N,автан,певень
173,Gans::N,хур,гусь
174,Adler::N,ӑмӑрт кайӑк,арол
175,Ente::N,кӑвакал,качка
176,Eule::N,тӑмана,сава
177,Kranich::N,тӑрна,жораў
178,Kranich::N,тӑрна,журавель
179,Krähe::N,ула курак,варона
180,Kuckuck::N,куккук,зязюля
181,Schwan::N,акӑш,лебедзь
182,Fisch::N,пулӑ,рыба
183,Barsch::N,уланкӑ,акунь
184,Hecht::N,ҫӑрттан,шчупак
185,Schlange[Tier]::N,ҫӗлен,змяя
186,Wurm::N,ӑман,чарвяк
187,Spinne::N,эрешмен,павук
188,Ameise::N,кӑткӑ,мурашка
189,Laus::N,пыйтӑ,вош
190,Mücke::N,вӑрӑм туна,камар
191,Fliege::N,шӑна,муха
192,Schmetterling::N,лӗпӗш,матыль
193,Beere::N,ҫырла,ягада
194,Apfel::N,улма,яблык
195,Apfel::N,пан улми,яблык
196,Pilz::N,кӑмпа,грыб
197,Zwiebel::N,сухан,цыбуля
198,Saat::N,вӑрӑ,семя
199,Korn::N,тӗшӗ,зерне
200,Korn::N,пӗрчӗ,зерне
201,Heu::N,утӑ,сена
202,Schale::N,хупӑ,шалупінне
203,Grube::N,шӑтӑк,яма
204,Falle::N,тапӑ,пастка
205,Falle::N,капкӑн,пастка
206,Schlinge::N,йӑлӑ,сіло
207,Spur::N,йӗр,след
208,Asche::N,кӗл,попел
209,Dreck::N,пылчӑк,бруд
210,Eisen::N,тимӗр,жалеза
211,Gold::N,ылтӑн,золата
212,Silber::N,кӗмӗл,сребра
213,Kohle::N,кӑмрӑк,вугаль
214,Glas::N,кӗленче,шкло
215,Lehm::N,тӑм,гліна
216,Sand::N,хӑйӑр,пясок
