,Concept_ID,ro,he
0,Auge::N,ochi,עין
1,Ohr::N,ureche,אזן
2,Nase::N,nas,אף
3,Nase::N,nas,חטם
4,Mund::N,gură,פה
5,Zahn::N,dinte,שן
6,Zunge::N,limbă,לשון
7,Lippe::N,buză,שפה
8,Wange::N,bucă,לחי
9,Wange::N,obraz,לחי
10,Gesicht::N,față,פנים
11,Gesicht::N,figură,פנים
12,Stirn::N,frunte,מצח
13,Haar::N,păr,שערה
14,Schnurrbart::N,mustață,שפם
15,Bart::N,barbă,זקן
16,Kinn::N,bărbie,סנטר
17,Kiefer[Anatomie]::N,falcă,לסת
18,Kehle::N,beregată,גרון
19,Hals::N,gât,צואר
20,Genick::N,ceafă,ערף
21,Kopf::N,cap,ראש
22,Rücken::N,dos,גב
23,Rücken::N,spate,גב
24,Rücken::N,spinare,גב
25,Bauch::N,burtă,בטן
26,Bauch::N,pântece,בטן
27,Nabel::N,buric,טבור
28,Busen::N,sân,שד
29,Brust::N,piept,חזה
30,Schulter::N,umăr,כתף
31,Schulter::N,spate,כתף
32,Arm::N,braț,זרוע
33,Ellenbogen::N,cot,מרפק
34,Hand::N,mână,יד
35,Handfläche::N,palmă,כף יד
36,Finger::N,deget,אצבע
37,Fingernagel::N,unghie,צפרן
38,Nagel[Anatomie]::N,unghie,צפרן
39,Zeh::N,deget de la picior,אצבע
40,Fuß::N,picior,רגל
41,Ferse::N,călcâi,עקב
42,Knie::N,genunchi,ברך
43,Oberschenkel::N,coapsă,ירך
44,Bein::N,picior,רגל
45,Körper::N,corp,גוף
46,Haut::N,piele,עור
47,Blut::N,sânge,דם
48,Ader::N,vână,וריד
49,Ader::N,arteră,וריד
50,Sehne::N,tendon,גיד
51,Knochen::N,os,עצם
52,Gehirn::N,creier,מוח
53,Herz::N,inimă,לב
54,Magen::N,stomac,קבה
55,Leber::N,ficat,כבד
56,Atem::N,răsuflare,נשימה
57,Atem::N,respirație,נשימה
58,Hunger::N,foame,רעב
59,Träne::N,lacrimă,דמעה
60,Geschmack::N,gust,טעם
61,Geruch::N,miros,ריח
62,Schlaf::N,somn,שנה
63,Traum::N,vis,חלום
64,Himmel::N,cer,שמים
65,Sonne::N,soare,שמש
66,Mond::N,lună,ירח
67,Stern::N,stea,כוכב
68,Luft::N,aer,אויר
69,Wind::N,vânt,רוח
70,Welle::N,val,גל
71,Welle::N,undă,גל
72,Wasser::N,apă,מים
73,Stein::N,piatră,אבן
74,Boden::N,sol,קרקע
