,Concept_ID,bn,de
0,Auge::N,চক্ষু,Auge
1,Ohr::N,কর্ণ,Ohr
2,Nase::N,নাক,Nase
3,Mund::N,মুখ,Mund
4,Zahn::N,দাঁত,Zahn
5,Zunge::N,জিহবা,Zunge
6,Lippe::N,অধর,Lippe
7,Wange::N,গণ্ড,Wange
8,Gesicht::N,মুখমণ্ডল,Gesicht
9,Stirn::N,কপাল,Stirn
10,Haar::N,চুল,Haar
11,Schnurrbart::N,গোঁফ,Schnurrbart
12,Bart::N,শ্মশ্রু,Bart
13,Kinn::N,চিবুক,Kinn
14,Kiefer[Anatomie]::N,চোয়াল,Kiefer
15,Kehle::N,কণ্ঠ,Kehle
16,Hals::N,গল,Hals
17,Genick::N,ঘাড়,Genick
18,Kopf::N,মাথা,Kopf
19,Rücken::N,পৃষ্ঠ,Rücken
20,Bauch::N,উদর,Bauch
21,Nabel::N,নাভি,Nabel
22,Busen::N,স্তন,Busen
23,Brust::N,বুক,Brust
24,Schulter::N,স্কন্ধ,Schulter
25,Arm::N,বাহু,Arm
26,Ellenbogen::N,কনুই,Ellenbogen
27,Hand::N,হাত,Hand
28,Handfläche::N,করতল,Handfläche
29,Finger::N,আঙ্গুল,Finger
30,Fingernagel::N,হাতের নখ,Fingernagel
31,Nagel[Anatomie]::N,নখ,Nagel
32,Zeh::N,আঙ্গুল,Zeh
33,Fuß::N,পা,Fuß
34,Ferse::N,গোড়ালি,Ferse
35,Knie::N,হাঁটু,Knie
36,Oberschenkel::N,ঊরু,Oberschenkel
37,Bein::N,পা,Bein
38,Körper::N,দেহ,Körper
39,Haut::N,ত্বক,Haut
40,Blut::N,রক্ত,Blut
41,Ader::N,শিরা,Ader
42,Sehne::N,কণ্ডরা,Sehne
43,Knochen::N,অস্থি,Knochen
44,Gehirn::N,মস্তিষ্ক,Gehirn
45,Herz::N,হৃৎপিণ্ড,Herz
46,Magen::N,পাকস্থলী,Magen
47,Leber::N,যকৃৎ,Leber
48,Atem::N,শ্বাস,Atem
