,Concept_ID,it,lez
0,Auge::N,occhio,вил
1,Ohr::N,orecchio,яб
2,Nase::N,naso,нер
3,Mund::N,bocca,сив
4,Zahn::N,dente,сас
5,Zahn::N,dente,свах
6,Zunge::N,lingua,мез
7,Lippe::N,labbro,пӏуз
8,Wange::N,guancia,хъвехъ
9,Gesicht::N,viso,ччин
10,Gesicht::N,faccia,ччин
11,Stirn::N,fronte,пел
12,Haar::N,capello,чӏар
13,Schnurrbart::N,baffi,спел
14,Schnurrbart::N,baffi,спелар
15,Schnurrbart::N,mustacchi,спел
16,Schnurrbart::N,mustacchi,спелар
17,Bart::N,barba,ччуру
18,Kinn::N,mento,чене
19,Kiefer[Anatomie]::N,mascella,чене
20,Kehle::N,gola,туьд
21,Hals::N,collo,гардан
22,Genick::N,nuca,кьам
23,Kopf::N,capo,кьил
24,Kopf::N,testa,кьил
25,Rücken::N,dorso,далу
26,Rücken::N,schiena,далу
27,Bauch::N,ventre,руфун
28,Nabel::N,ombelico,пицӏ
29,Busen::N,seno,мам
30,Brust::N,petto,хур
31,Schulter::N,spalla,къуьн
32,Arm::N,braccio,гъил
33,Ellenbogen::N,gomito,кьуьнт
34,Hand::N,mano,капаш
35,Handfläche::N,palma,капан юкь
36,Finger::N,dito,тӏуб
37,Fingernagel::N,unghia,кек
38,Nagel[Anatomie]::N,unghia,кек
39,Zeh::N,dito del piede,кул
40,Fuß::N,piede,кӏвач
41,Ferse::N,tallone,дабан
42,Ferse::N,calcagno,дабан
43,Knie::N,ginocchio,мет
44,Oberschenkel::N,fèmore,
45,Bein::N,gamba,кӏвач
46,Körper::N,corpo,беден
47,Haut::N,pelle,хам
48,Blut::N,sangue,иви
49,Ader::N,vena,дамар
50,Sehne::N,tèndine,кьуру дамар
51,Knochen::N,osso,кӏараб
52,Gehirn::N,cervello,мефт
53,Herz::N,cuore,рикӏ
54,Magen::N,stòmaco,хук
55,Leber::N,fegato,лекь
56,Atem::N,fiato,ял
57,Atem::N,fiato,нефес
58,Atem::N,respiro,ял
59,Atem::N,respiro,нефес
60,Hunger::N,fame,каш
61,Träne::N,làcrima,вилин нагъв
62,Geschmack::N,gusto,дад
63,Geschmack::N,gusto,тӏям
64,Geschmack::N,sapore,дад
65,Geschmack::N,sapore,тӏям
66,Geruch::N,odore,ни
67,Schlaf::N,sonno,ахвар
68,Traum::N,sogno,ахвар
69,Himmel::N,cielo,цав
70,Sonne::N,sole,рагъ
71,Mond::N,luna,варз
72,Stern::N,stella,гъед
73,Luft::N,aria,гьава
74,Wind::N,vento,гар
75,Welle::N,onda,лепе
76,Wasser::N,acqua,яд
77,Stein::N,sasso,къван
78,Stein::N,pietra,къван
79,Boden::N,suolo,накьв
80,Boden::N,terreno,накьв
81,Erde::N,terra,ччил
82,Staub::N,polvere,руг
83,Rauch::N,fumo,гум
84,Funke::N,scintilla,цӏелхем
85,Feuer::N,fuoco,цӏай
86,Licht::N,luce,экв
87,Schatten::N,ombra,серин
88,Wetter::N,tempo,гьава
89,Nebel::N,nebbia,ччилин циф
90,Wolke::N,nube,циф
91,Wolke::N,nùvola,циф
92,Regen::N,pioggia,марф
93,Schnee::N,neve,жив
94,Eis::N,ghiaccio,мурк
95,Frost::N,gelo,аяз
96,Kälte::N,freddo,мекь
97,Kälte::N,freddo,мекьивал
98,Hitze::N,caldo,зегьем
99,Hitze::N,calura,зегьем
100,Raureif::N,brina,къирав
101,Regenbogen::N,arcobaleno,яргъируш
102,Donner::N,tuono,цавун ван
103,Strömung::N,corrente,
104,Tropfen::N,goccia,стӏал
105,Schaum::N,spuma,каф
106,Schaum::N,schiuma,каф
107,Schmutz::N,sudiciume,чирк
108,Schmutz::N,sudiciume,кьуруш
109,See::N,lago,вир
110,Sumpf::N,palude,уьлен
111,Moor::N,torbiera,
112,Wiese::N,prato,векь
113,Wald::N,bosco,там
114,Wald::N,foresta,там
115,Hügel::N,colle,кӏунтӏ
116,Hügel::N,collina,кӏунтӏ
117,Anhöhe::N,altura,тепе
118,Anhöhe::N,altura,гьуьндуьрвал
119,Berg::N,monte,дагъ
120,Berg::N,montagna,дагъ
121,Gipfel::N,cima,кӏукӏ
122,Höhle::N,grotta,кьветӏ
123,Höhle::N,caverna,кьветӏ
124,Abhang::N,pendìo,гуьне
125,Quelle::N,sorgente,чешме
126,Bach::N,ruscello,булах
127,Fluss::N,fiume,вацӏ
128,Ufer::N,riva,къерех
129,Küste::N,costa,къерех
130,Festland::N,terraferma,кьурамат
131,Meer::N,mare,гьуьл
132,Bucht::N,cala,бухта
133,Insel::N,ìsola,остров
134,Blume::N,fiore,цуьк
135,Gras::N,erba,хъач
136,Wurzel::N,radice,дувул
137,Baum::N,àlbero,ттар
138,Stamm::N,tronco,тан
139,Rinde::N,corteccia,чкал
140,Ast::N,ramo,тӏур
141,Zweig::N,ramo,хел
142,Blatt::N,foglia,пеш
143,Birke::N,betulla,верх
144,Kiefer[Baum]::N,pino,шамагъаж
145,Weide[Baum]::N,sàlice,цӏвелин ттар
146,Tanne::N,abete,ель
147,Horn::N,corno,карч
148,Feder::N,penna,цӏакул
149,Fell::N,manto,хам
150,Fell::N,pelame,хам
151,Flügel::N,ala,лув
152,Klaue::N,grinfia,къармах
153,Kralle::N,unghia,пац
154,Kralle::N,unghia,тапас
155,Kralle::N,artiglio,пац
156,Kralle::N,artiglio,тапас
157,Schwanz::N,coda,ттум
158,Ei::N,uovo,кака
159,Nest::N,nido,муг
160,Bau::N,covo,тӏеквен
161,Tier::N,bestia,гьайван
162,Tier::N,animale,гьайван
163,Herde::N,gregge,суьруь
164,Kuh::N,vacca,ккал
165,Bulle::N,toro,яц
166,Bulle::N,toro,бугъа
167,Pferd::N,cavallo,балкӏан
168,Schaf::N,pècora,хеб
169,Schwein::N,porco,вак
170,Schwein::N,maiale,вак
171,Hund::N,cane,кицӏ
172,Katze::N,gatta,кац
173,Bär::N,orso,сев
174,Eichhörnchen::N,scoiàttolo,белка
175,Elch::N,alce,лось
176,Fuchs::N,volpe,сикӏ
177,Hase::N,lepre,къуьр
178,Maus::N,topo,кьиф
179,Maus::N,sorcio,кьиф
180,Wolf::N,lupo,жанавур
181,Vogel::N,uccello,луван ничхир
182,Schwarm::N,stormo,луж
183,Huhn::N,gallina,верч
184,Hahn::N,gallo,кӏек
185,Gans::N,oca,къаз
186,Adler::N,àquila,лекь
187,Ente::N,ànatra,пӏатӏ
188,Eule::N,gufo,тӏиб
189,Eule::N,civetta,тӏиб
190,Kranich::N,gru,дурна
191,Krähe::N,cornacchia,къаргъа
192,Kuckuck::N,cuccù,кукупӏ
193,Kuckuck::N,cùculo,кукупӏ
194,Schwan::N,cigno,къугь
195,Fisch::N,pesce,гъед
