,Concept_ID,xal,hu
0,Auge::N,нүдн,szem
1,Ohr::N,чикн,fül
2,Nase::N,хамр,orr
3,Mund::N,амн,száj
4,Zahn::N,шүдн,fog
5,Zunge::N,келн,nyelv
6,Lippe::N,урл,ajak
7,Wange::N,халх,orca
8,Gesicht::N,нүр,arc
9,Stirn::N,маңна,homlok
10,Haar::N,үсн,haj
11,Schnurrbart::N,сахл,bajusz
12,Bart::N,сахл,szakáll
13,Bart::N,өргнә сахл,szakáll
14,Kinn::N,өргн,áll
15,Kiefer[Anatomie]::N,өргн,állkapocs
16,Kehle::N,хол,gége
17,Kehle::N,хол,torok
18,Hals::N,күзүн,nyak
19,Genick::N,гиҗг,tarkó
20,Kopf::N,толһа,fő
21,Kopf::N,толһа,fej
22,Rücken::N,нурһн,hát
23,Bauch::N,гесн,has
24,Nabel::N,киисн,köldök
25,Busen::N,көкн,mell
26,Busen::N,көкн,kebel
27,Brust::N,чееҗ,mell
28,Schulter::N,ээм,váll
29,Arm::N,һар,kar
30,Ellenbogen::N,тоха,könyök
31,Hand::N,баһлцг,kéz
32,Handfläche::N,альхн,tenyér
33,Finger::N,хурһн,ujj
34,Finger::N,һарин хурһн,ujj
35,Fingernagel::N,хумсн,köröm
36,Nagel[Anatomie]::N,хумсн,köröm
37,Zeh::N,хурһн,lábujj
38,Zeh::N,көлин хурһн,lábujj
39,Fuß::N,тавг,láb
40,Ferse::N,өскә,sarok
41,Knie::N,өвдг,térd
42,Oberschenkel::N,һуй,comb
43,Bein::N,көл,láb
44,Bein::N,көл,lábszár
45,Körper::N,махмуд,test
46,Haut::N,арсн,bőr
47,Blut::N,цусн,vér
48,Ader::N,судцн,ér
49,Sehne::N,шүрүсн,ín
50,Knochen::N,ясн,csont
51,Gehirn::N,экн,agy
52,Gehirn::N,экн,agyvelő
53,Herz::N,зүркн,szív
54,Magen::N,гесн,gyomor
55,Leber::N,элкн,máj
56,Atem::N,әмсхл,lehelet
57,Atem::N,әмсхл,lélegzet
58,Hunger::N,харһнлһн,éhség
59,Träne::N,нульмсн,könny
60,Geschmack::N,амтн,íz
61,Geruch::N,үнр,szag
62,Schlaf::N,нөр,álom
63,Schlaf::N,нөр,alvás
64,Traum::N,зүүдн,álom
65,Himmel::N,теңгр,ég
66,Himmel::N,теңгр,menny
67,Sonne::N,нарн,nap
68,Mond::N,сар,hold
69,Stern::N,одн,csillag
70,Luft::N,аһар,levegő
71,Wind::N,салькн,szél
72,Welle::N,дольган,hullám
73,Wasser::N,усн,víz
74,Stein::N,чолун,kő
75,Boden::N,Һазр,föld
76,Boden::N,Һазр,talaj
77,Erde::N,Һазр,föld
78,Staub::N,тоосн,por
79,Rauch::N,утан,füst
80,Funke::N,очн,szikra
81,Feuer::N,һал,tűz
82,Licht::N,герл,fény
83,Schatten::N,сүүдр,árnyék
84,Wetter::N,теңгр,idő
85,Wetter::N,теңгр,időjárás
86,Nebel::N,будн,köd
87,Wolke::N,үүлн,felhő
88,Regen::N,хур,eső
89,Schnee::N,цасн,hó
90,Eis::N,мөсн,jég
91,Frost::N,киитн,fagy
92,Kälte::N,киитн,hideg
93,Hitze::N,халун,hő
94,Hitze::N,халун,hőség
95,Raureif::N,цаң,zúzmara
96,Raureif::N,кирү,zúzmara
97,Regenbogen::N,солңһ,szivárvány
98,Donner::N,оһтрһун дун,dörgés
99,Donner::N,оһтрһун дун,mennydörgés
100,Strömung::N,урсхл,áramlat
101,Tropfen::N,дусал,csepp
102,Schaum::N,көөсн,hab
103,Schaum::N,көөсн,tajték
104,Schmutz::N,кир,piszok
105,See::N,нур,tó
106,Sumpf::N,унул,mocsár
107,Moor::N,улм,láp
108,Wiese::N,хадлһн,rét
109,Wiese::N,хадлһн,mező
110,Wald::N,ө-модн,erdő
111,Hügel::N,толһа,domb
112,Anhöhe::N,хамр,magaslat
113,Berg::N,уул,hegy
114,Gipfel::N,ора,csúcs
115,Höhle::N,хадин көндә,barlang
116,Abhang::N,ташу,lejtő
117,Quelle::N,булг,forrás
118,Bach::N,һооҗур,patak
119,Fluss::N,һол,folyó
120,Ufer::N,көвә,part
121,Küste::N,көвә,tengerpart
122,Küste::N,теңгсин көвә,tengerpart
123,Festland::N,хүүрә һазр,szárazföld
124,Meer::N,теңгс,tenger
125,Bucht::N,цекә,öböl
126,Bucht::N,теңгсин цекә,öböl
127,Insel::N,арл,sziget
128,Blume::N,цецг,virág
129,Gras::N,ноһан,fű
130,Wurzel::N,уңг,gyökér
131,Baum::N,модн,fa
132,Stamm::N,шилв,tő
133,Stamm::N,шилв,törzs
134,Stamm::N,һол модн,tő
135,Stamm::N,һол модн,törzs
136,Rinde::N,көрсн,kéreg
137,Ast::N,ац,ág
138,Zweig::N,ац,gally
139,Blatt::N,хамтхасн,levél
140,Birke::N,хусм модн,nyír
141,Kiefer[Baum]::N,шар харһа,fenyő
142,Weide[Baum]::N,удн,fűz
143,Tanne::N,җөөлн цаһан модн,fenyő
144,Horn::N,өвр,szarv
145,Feder::N,өрвлг,toll
146,Fell::N,арсн,szőr
147,Fell::N,арсн,bunda
148,Flügel::N,җивр,szárny
149,Klaue::N,хумсн,köröm
150,Kralle::N,тавг,karom
151,Schwanz::N,сүл,farok
152,Ei::N,өндгн,tojás
153,Nest::N,үр,fészek
154,Bau::N,нүкн,odú
155,Tier::N,мал,állat
156,Herde::N,сүрг мал,nyáj
157,Herde::N,сүрг мал,csorda
158,Kuh::N,үкр,tehén
159,Bulle::N,бух,bika
160,Pferd::N,мөрн,ló
161,Schaf::N,хөн,juh
162,Schaf::N,хөн,birka
163,Schwein::N,һаха,sertés
164,Hund::N,ноха,eb
165,Hund::N,ноха,kutya
166,Katze::N,мис,macska
167,Bär::N,аю,medve
168,Eichhörnchen::N,кермн,mókus
169,Elch::N,хандһа,jávorszarvas
170,Fuchs::N,арат,róka
171,Hase::N,туула,nyúl
172,Maus::N,хулһн,egér
173,Wolf::N,чон,farkas
174,Vogel::N,шовун,madár
175,Schwarm::N,зел,raj
176,Huhn::N,така,tyúk
177,Hahn::N,эр така,kakas
178,Gans::N,һалун,lúd
179,Gans::N,һалун,liba
180,Adler::N,һәрд,sas
181,Ente::N,нуһсн,kacsa
182,Eule::N,һурвлһ,bagoly
183,Kranich::N,тоһрун,daru
184,Krähe::N,шаазһа,varjú
185,Kuckuck::N,эргин хуцдг,kakukk
186,Schwan::N,хун,hattyú
187,Fisch::N,заһсн,hal
188,Barsch::N,шүрг,sügér
189,Hecht::N,цурх,csuka
190,Schlange[Tier]::N,моһа,kígyó
191,Wurm::N,өтн,kukac
192,Spinne::N,аралҗн,pók
193,Ameise::N,шорһлҗн,hangya
194,Laus::N,бөөсн,tetű
195,Mücke::N,бөкүн,szúnyog
196,Fliege::N,батхн,légy
197,Schmetterling::N,эрвәкә,lepke
198,Schmetterling::N,эрвәкә,pillangó
199,Beere::N,бөөлҗрһн,bogyó
200,Apfel::N,альмн,alma
201,Pilz::N,теңгрин ки,gomba
202,Zwiebel::N,мәңгрснә толһа,hagyma
203,Saat::N,буудян экн,vetőmag
204,Korn::N,экн,mag
205,Korn::N,экн,szem
206,Heu::N,өвсн,széna
207,Schale::N,хальсн,héj
208,Grube::N,нүкн,verem
209,Falle::N,урх,csapda
210,Falle::N,хавх,csapda
211,Schlinge::N,бүтү,tőr
212,Spur::N,мөр,nyom
213,Asche::N,үмсн,hamu
214,Dreck::N,бальчг,sár
215,Dreck::N,бальчг,piszok
216,Eisen::N,төмр,vas
217,Gold::N,алтн,arany
218,Silber::N,мөңгн,ezüst
219,Silber::N,цаһан мөңгн,ezüst
220,Kohle::N,нүүрсн,szén
221,Glas::N,шил,üveg
222,Lehm::N,шавр,agyag
223,Lehm::N,шавр,vályog
224,Sand::N,элсн,homok
225,Mensch::N,күн,ember
226,Mensch::N,күмн,ember
227,Mann::N,эр,úr
228,Mann::N,эр,férfi
229,Frau::N,күүкд күн,nő
230,Frau::N,күүкд күн,asszony
231,Kind::N,үрн,gyerek
232,Kind::N,үрн,gyermek
233,Junge::N,көвүн,fiú
234,Mädchen::N,бичкн күүкн,lány
235,Familie::N,бүл,család
236,Großvater::N,өвк эцк,nagyapa
237,Großvater::N,наһц эцк,nagyapa
238,Großmutter::N,эмг эк,nagyanya
239,Großmutter::N,наһц эк,nagyanya
240,Eltern::N,эк эцк хойр,szülők
241,Vater::N,эцк,apa
242,Vater::N,эцк,atya
243,Mutter::N,эк,anya
244,Sohn::N,көвүн,fiú
245,Tochter::N,күүкн,lány
246,Bruder::N,дү көвүн,fivér
247,Bruder::N,дү көвүн,testvér
248,Schwester::N,эгч,nővér
249,Schwester::N,эгч,lánytestvér
250,Schwester::N,дү күүкн,nővér
251,Schwester::N,дү күүкн,lánytestvér
252,Onkel::N,авһ,nagybácsi
253,Onkel::N,наһцх,nagybácsi
254,Tante::N,наһц эгч,nagynéni
255,Ehemann::N,залу,férj
256,Ehefrau::N,гергн,feleség
257,Freude::N,байр,öröm
258,Gelächter::N,инәдн,nevetés
259,Gelächter::N,инәдн,hahotázás
260,Glück::N,җирһл,boldogság
261,Glück::N,сәәхн җирһл,boldogság
262,Kummer::N,зовлң,bánat
263,Wunsch::N,дурн,óhaj
264,Lust::N,җилвтлһн,kedv
265,Geist::N,зөрг,elme
266,Geist::N,зөрг,szellem
267,Gedanke::N,ухан,gondolat
268,Gedächtnis::N,чееҗин тодлвр,emlékezet
269,Verstand::N,ухан,ész
270,Verstand::N,ухан,értelem
271,Sinn::N,учр-утх,értelem
272,Grund::N,учр,ok
273,Grund::N,учр,alap
274,Grund::N,шалтан,ok
275,Grund::N,шалтан,alap
276,Wahrheit::N,үнн,igaz
277,Wahrheit::N,үнн,igazság
278,Gespräch::N,күүндвүр,beszélgetés
279,Märchen::N,тууль,mese
280,Erzählung::N,келвр,elbeszélés
281,Nachricht::N,медүллһн,hír
282,Nachricht::N,медүллһн,híradás
283,Neuigkeit::N,зәңг,újság
284,Name::N,нерн,név
285,Rätsel::N,тәәлвртә тууль,rejtvény
286,Rede::N,келлһн,beszéd
287,Rede::N,келлһн,szónoklat
288,Sprache::N,келн,nyelv
289,Stimme::N,дун,hang
290,Wort::N,үг,szó
291,Zeichen::N,темдг,jel
292,Ruf::N,дуудлһн,kiáltás
293,Lärm::N,шууган,zaj
294,Laut::N,ә,hang
295,Ton::N,дун,hang
296,Lied::N,дун,dal
297,Lied::N,дун,ének
298,Ruhe::N,амулң,csend
299,Ruhe::N,амулң,nyugalom
300,Leute::N,әмтн,emberek
301,Volk::N,улс,nép
302,Arbeit::N,көдлмш,dolog
303,Gast::N,гиич,vendég
304,Geschenk::N,белг,ajándék
305,Spiel::N,наадн,játék
306,Gesellschaft::N,олн,társaság
307,Hilfe::N,нөкд,segítség
308,Freund::N,иньг,barát
309,Kamerad::N,үр,társ
310,Angelegenheit::N,керг,ügy
311,Anzahl::N,то,szám
312,Art::N,зүүл,faj
313,Art::N,зүүл,fajta
314,Stück::N,хусг,darab
315,Teil::N,хүв,rész
316,Hälfte::N,өрәл,fél
317,Kreis::N,төгрг,kör
318,Kreuz::N,кирс,kereszt
319,Linie::N,зурасн,vonal
320,Strich::N,татасн,vonás
321,Abstand::N,зә,köz
322,Entfernung::N,һазр,távolság
323,Gegend::N,һазр,táj
324,Gegend::N,һазр,vidék
325,Platz::N,зә,hely
326,Ort::N,бәәрн,hely
327,Seite::N,тал,fél
328,Seite::N,тал,oldal
329,Seite::N,хаҗу,fél
330,Seite::N,хаҗу,oldal
331,Seite::N,хәврһ,fél
332,Seite::N,хәврһ,oldal
333,Mitte::N,дунд,közép
334,Gegenstand::N,юмн,tárgy
335,Sache::N,юмн,dolog
336,Rand::N,зах,szél
337,Rand::N,зах,perem
338,Rand::N,зах,szegély
339,Kante::N,ирмәг,él
340,Ecke::N,өнцг,sarok
341,Ecke::N,өнцг,szöglet
342,Spitze::N,үзүр,csúcs
343,Ende::N,үзүр,vég
344,Loch::N,хаһрха,lyuk
345,Winkel::N,булң,szög
346,Muster::N,намч,minta
347,Größe::N,кемҗән,nagyság
348,Länge::N,ут,hossz
349,Länge::N,ут,hosszúság
350,Höhe::N,өндр,magasság
351,Gewicht::N,күнд,súly
352,Gewicht::N,чиңнүр,súly
353,Menge::N,ик,sokaság
354,Menge::N,ик,mennyiség
355,Haufen::N,ова,halom
356,Reihe::N,зерг,sor
357,Reihe::N,зерглән,sor
358,Boot::N,оңһц,csónak
359,Ruder::N,хәәв,evező
360,Schlitten::N,цан,szánkó
