,Concept_ID,se,et
0,Auge::N,tjelmie,silm
1,Auge::N,tjalmme,silm
2,Auge::N,čalbmi,silm
3,Auge::N,čalme,silm
4,Auge::N,čâ´lmm,silm
5,Auge::N,ча̄лльм,silm
6,Ohr::N,bieljie,kõrv
7,Ohr::N,biellje,kõrv
8,Ohr::N,beallji,kõrv
9,Ohr::N,pelji,kõrv
10,Ohr::N,pe´llj,kõrv
11,Ohr::N,пе̄лльй,kõrv
12,Nase::N,njuenie,nina
13,Nase::N,njunnje,nina
14,Nase::N,njunni,nina
15,Nase::N,njuṇe,nina
16,Nase::N,njuu´nn,nina
17,Nase::N,нюннҍ,nina
18,Mund::N,njaelmie,suu
19,Mund::N,njálmme,suu
20,Mund::N,njálbmi,suu
21,Mund::N,njälmi,suu
22,Mund::N,njä´lmm,suu
23,Mund::N,ня̄лльм,suu
24,Zahn::N,baenie,hammas
25,Zahn::N,bádne,hammas
26,Zahn::N,bátni,hammas
27,Zahn::N,pääṇi,hammas
28,Zahn::N,pää´nn,hammas
29,Zahn::N,па̄ннҍ,hammas
30,Zunge::N,njoektjeme,keel
31,Zunge::N,njuovtjav,keel
32,Zunge::N,njuovčča,keel
33,Zunge::N,njuovčâ,keel
34,Zunge::N,njuhččâm,keel
35,Zunge::N,нюхчем,keel
36,Lippe::N,bangseme,huul
37,Lippe::N,njálmmerabdda,huul
38,Lippe::N,bavssa,huul
39,Lippe::N,poovsâ,huul
40,Lippe::N,põõus,huul
41,Lippe::N,пэ̄кс,huul
42,Wange::N,skiehrie,põsk
43,Wange::N,nierra,põsk
44,Wange::N,muohtu,põsk
45,Wange::N,nieṛâ,põsk
46,Wange::N,njiõrr,põsk
47,Wange::N,нӣрр,põsk
48,Gesicht::N,ååredæjja,nägu
49,Gesicht::N,muohto,nägu
50,Gesicht::N,muođut,nägu
51,Gesicht::N,ámadadju,nägu
52,Gesicht::N,muáđuh,nägu
53,Gesicht::N,muâđ,nägu
54,Gesicht::N,ка̄ссв,nägu
55,Stirn::N,gaalloe,otsmik
56,Stirn::N,gállo,otsmik
57,Stirn::N,gállu,otsmik
58,Stirn::N,kállu,otsmik
59,Stirn::N,käll,otsmik
60,Stirn::N,вуэххьц,otsmik
61,Haar::N,voepte,juus
62,Haar::N,vuoppta,juus
63,Haar::N,vuokta,juus
64,Haar::N,vuop'tâ,juus
65,Haar::N,vuõpt,juus
66,Haar::N,вӯппт,juus
67,Schnurrbart::N,bijjie-skaavtjoe,vurrud
68,Schnurrbart::N,bijjie-skaavtjoe,vuntsid
69,Schnurrbart::N,njunjevuolskávttjá,vurrud
70,Schnurrbart::N,njunjevuolskávttjá,vuntsid
71,Schnurrbart::N,seamu,vurrud
72,Schnurrbart::N,seamu,vuntsid
