,Concept_ID,udm,bn
0,Auge::N,син,চক্ষু
1,Ohr::N,пель,কর্ণ
2,Nase::N,ныр,নাক
3,Mund::N,ым,মুখ
4,Zahn::N,пинь,দাঁত
5,Zunge::N,кыл,জিহবা
6,Lippe::N,ымдур,অধর
7,Wange::N,бам,গণ্ড
8,Gesicht::N,ымныр,মুখমণ্ডল
9,Stirn::N,кымес,কপাল
10,Haar::N,йырси,চুল
11,Schnurrbart::N,мыйык,গোঁফ
12,Bart::N,туш,শ্মশ্রু
13,Kinn::N,ангес,চিবুক
14,Kiefer[Anatomie]::N,ан,চোয়াল
15,Kiefer[Anatomie]::N,анлы,চোয়াল
16,Kehle::N,гульым,কণ্ঠ
17,Hals::N,чырты,গল
18,Genick::N,йырбер,ঘাড়
19,Kopf::N,йыр,মাথা
20,Rücken::N,мыш,পৃষ্ঠ
21,Bauch::N,кӧт,উদর
22,Nabel::N,гогы,নাভি
23,Busen::N,ноны,স্তন
24,Brust::N,мӧля,বুক
25,Schulter::N,пельпум,স্কন্ধ
26,Arm::N,суй,বাহু
27,Ellenbogen::N,гырпум,কনুই
28,Hand::N,ки,হাত
29,Handfläche::N,ки пыдэс,করতল
30,Handfläche::N,кырым пыдэс,করতল
31,Finger::N,чиньы,আঙ্গুল
32,Fingernagel::N,гижы,হাতের নখ
33,Fingernagel::N,гиждӥнь,হাতের নখ
34,Nagel[Anatomie]::N,гижы,নখ
35,Zeh::N,пыдчиньы,আঙ্গুল
36,Fuß::N,пыд,পা
37,Ferse::N,пыдбер,গোড়ালি
38,Knie::N,пыдес,হাঁটু
39,Oberschenkel::N,макес,ঊরু
40,Bein::N,пыд,পা
41,Körper::N,мугор,দেহ
42,Körper::N,вылтыр,দেহ
43,Haut::N,ку,ত্বক
44,Blut::N,вир,রক্ত
45,Ader::N,вирсэр,শিরা
46,Sehne::N,вуж,কণ্ডরা
47,Knochen::N,лы,অস্থি
48,Gehirn::N,вим,মস্তিষ্ক
49,Herz::N,сюлэм,হৃৎপিণ্ড
50,Magen::N,ӝуш,পাকস্থলী
51,Leber::N,мус,যকৃৎ
52,Atem::N,лул,শ্বাস
53,Atem::N,шокан,শ্বাস
54,Hunger::N,кӧтсюман,ক্ষুধা
55,Träne::N,синкыли,অশ্রু
56,Geschmack::N,шӧм,স্বাদ
57,Geruch::N,зын,গন্ধ
58,Schlaf::N,вӧт,ঘুম
59,Traum::N,уйвӧт,স্বপ্ন
60,Himmel::N,ин,আকাশ
61,Sonne::N,шунды,সূর্য
62,Mond::N,толэзь,চন্দ্র
63,Stern::N,кизили,নক্ষত্র
64,Luft::N,омыр,বায়ু
65,Wind::N,тӧл,বাতাস
66,Welle::N,тулкым,ঢেউ
67,Welle::N,тулкым,তরঙ্গ
68,Wasser::N,ву,জল
69,Stein::N,из,ঢিল
70,Stein::N,из,প্রস্তর
71,Boden::N,музъем,ভূতল
72,Erde::N,му,ভূমি
73,Staub::N,пыль,ধুলা
74,Rauch::N,ӵын,ধোঁয়া
75,Funke::N,гизьы,স্ফুলিঙ্গ
76,Feuer::N,тыл,অগ্নি
77,Licht::N,тыл,আলো
78,Schatten::N,вужер,ছায়া
79,Wetter::N,куазь,আবহাওয়া
80,Nebel::N,бус,কুহেলিকা
81,Wolke::N,пилем,মেঘ
82,Regen::N,зор,বৃষ্টি
83,Schnee::N,лымы,তুষার
84,Eis::N,йӧ,বরফ
85,Frost::N,кезьыт,তুষার
86,Kälte::N,кезьыт,শৈত্য
87,Hitze::N,пӧсь,তাপ
88,Raureif::N,гӧр,তুহিন
89,Regenbogen::N,вуюись,রামধনু
90,Donner::N,гудыри,বজ্রধ্বনি
91,Strömung::N,бызён,স্রোত
92,Tropfen::N,шапык,ফোঁটা
93,Schaum::N,шукы,ফেনা
94,Schmutz::N,нӧд,ধুলা
95,Schmutz::N,дэри,ধুলা
96,See::N,ты,হ্রদ
97,Sumpf::N,нюр,জলা
98,Moor::N,нюр,মাঠ
99,Wiese::N,возь,তৃণভূমি
100,Wiese::N,возьвыл,তৃণভূমি
101,Wald::N,сик,বন
102,Wald::N,нюлэс,বন
103,Hügel::N,выр,পাহাড়
104,Hügel::N,вырйыл,পাহাড়
105,Anhöhe::N,выр,টিলা
106,Anhöhe::N,вырйыл,টিলা
107,Berg::N,гурезь,পর্বত
108,Gipfel::N,йыл,শীর্ষ
109,Höhle::N,гу,গুহা
110,Abhang::N,бам,ঢাল
111,Quelle::N,ошмес,উৎস
112,Bach::N,пичи шур,ক্ষুদ্র নদী
113,Fluss::N,шур,নদী
114,Ufer::N,ярдур,উপকূল
115,Küste::N,вудур,তীর
116,Festland::N,мувыр,ভূমি
117,Meer::N,зарезь,সমুদ্র
118,Bucht::N,вукож,উপসাগর
119,Insel::N,вумуӵ,দ্বীপ
120,Insel::N,шормуӵ,দ্বীপ
121,Blume::N,сяська,ফুল
122,Gras::N,турын,ঘাস
123,Wurzel::N,выжы,শিকড়
124,Baum::N,пу,গাছ
125,Stamm::N,модос,স্কন্ধ
126,Rinde::N,сул,বল্কল
127,Ast::N,ул,শাখা
128,Zweig::N,вай,ডাল
129,Blatt::N,куар,পর্ণ
130,Birke::N,кызьпу,ভুর্জ
131,Kiefer[Baum]::N,пужым,পাইন গাছ
132,Weide[Baum]::N,бадьпу,উইলো
133,Tanne::N,кыз,দেবদারূ গাছ
134,Horn::N,сюр,শিং
135,Feder::N,тылы,পালক
136,Fell::N,ку,রোম
137,Flügel::N,бурд,ডানা
138,Klaue::N,гижы,নখর
139,Kralle::N,пыд,নখর
140,Schwanz::N,быж,লেজ
141,Ei::N,пуз,ডিম
142,Ei::N,кукей,ডিম
143,Nest::N,кар,কুলায়
144,Nest::N,пузкар,কুলায়
145,Bau::N,кар,ডেরা
146,Bau::N,гу,ডেরা
147,Tier::N,пӧйшур,জন্তু
148,Herde::N,уллё,ঝাঁক
149,Kuh::N,скал,গোরু
150,Bulle::N,ош,বৃষ
151,Bulle::N,пороз,বৃষ
152,Pferd::N,вал,ঘোড়া
153,Schaf::N,ыж,ভেড়া
154,Schwein::N,парсь,শূকর
155,Hund::N,пуны,কুকুর
156,Katze::N,коӵыш,বেড়াল
157,Bär::N,гондыр,ভল্লুক
158,Eichhörnchen::N,коньы,কাঠবিড়াল
159,Elch::N,койык,হরিণবিশেষ
160,Fuchs::N,ӟичы,পাঁতিশিয়াল
161,Hase::N,кеч,শশক
162,Maus::N,шыр,নেংটি ইঁদুর
163,Wolf::N,кион,নেকড়ে
164,Vogel::N,тылобурдо,পক্ষী
165,Schwarm::N,уллё,ঝাঁক
166,Huhn::N,курег,মোরগ
167,Hahn::N,атас,কুক্কুট
168,Gans::N,ӟазег,হংসী
169,Adler::N,ӧрзи,ইগল
170,Ente::N,ӵӧж,হংসী
171,Eule::N,кучыран,পেচক
172,Kranich::N,тури,সারস
173,Krähe::N,куака,কাক
174,Kuckuck::N,кикы,কোকিল
175,Schwan::N,юсь,মরাল
176,Fisch::N,чорыг,মাছ
177,Barsch::N,юш,মৎন্যবিশেষ
178,Hecht::N,чипей,বানমাছ
179,Schlange[Tier]::N,кый,সর্প
180,Wurm::N,нумыр,কীট
181,Spinne::N,чонари,মাকড়সা
