,Concept_ID,fr,br
0,Auge::N,œil,lagad
1,Ohr::N,oreille,skouarn
2,Nase::N,nez,fri
3,Mund::N,bouche,genoù
4,Zahn::N,dent,dant
5,Zunge::N,langue,teod
6,Lippe::N,lèvre,muzell
7,Wange::N,joue,chot
8,Gesicht::N,face,dremm
9,Gesicht::N,visage,dremm
10,Stirn::N,front,tal
11,Haar::N,cheveu,blev
12,Schnurrbart::N,moustache,mourenn
13,Bart::N,barbe,barv
14,Kinn::N,menton,groñj
15,Kiefer[Anatomie]::N,mâchoire,javed
16,Kehle::N,gorge,gouzoug
17,Hals::N,cou,gouzoug
18,Genick::N,nuque,choug
19,Kopf::N,tête,penn
20,Rücken::N,dos,kein
21,Bauch::N,ventre,kof
22,Nabel::N,nombril,begel
23,Busen::N,sein,bronn
24,Brust::N,poitrine,bruched
25,Schulter::N,épaule,skoaz
26,Arm::N,bras,brec'h
27,Ellenbogen::N,coude,ilin
28,Hand::N,main,dorn
29,Handfläche::N,paume,palv
30,Finger::N,doigt,biz
31,Fingernagel::N,ongle,ivin
32,Nagel[Anatomie]::N,ongle,ivin
33,Zeh::N,orteil,biz-troad
34,Zeh::N,doigt de pied,biz-troad
35,Fuß::N,pied,troad
36,Ferse::N,talon,seul
37,Knie::N,genou,glin
38,Oberschenkel::N,cuisse,morzhed
39,Bein::N,jambe,gar
40,Körper::N,corps,korf
41,Haut::N,peau,kroc'hen
42,Blut::N,sang,gwad
43,Ader::N,veine,gwazhi
44,Sehne::N,tendon,stir
45,Knochen::N,os,askorn
46,Gehirn::N,cerveau,empenn
47,Herz::N,cœur,kalon
48,Magen::N,estomac,stomog
49,Leber::N,foie,avu
50,Atem::N,haleine,anal
51,Hunger::N,faim,naon
52,Träne::N,larme,daer
53,Geschmack::N,goût,blaz
54,Geschmack::N,saveur,blaz
55,Geruch::N,odeur,c'hwezh
56,Schlaf::N,sommeil,kousked
57,Traum::N,songe,hune
58,Himmel::N,ciel,oabl
59,Sonne::N,soleil,heol
60,Mond::N,lune,loar
61,Stern::N,étoile,steredenn
62,Luft::N,air,aer
63,Wind::N,vent,avel
64,Welle::N,vague,houlenn
65,Wasser::N,eau,dour
66,Stein::N,pierre,maen
67,Boden::N,sol,tachenn
68,Boden::N,terrain,tachenn
69,Erde::N,terre,douar
70,Staub::N,poussière,poultr
71,Rauch::N,fumée,moged
72,Funke::N,étincelle,ful
73,Feuer::N,feu,tan
74,Licht::N,lumière,gouloù
75,Schatten::N,ombre,disheol
76,Wetter::N,temps,amzer
77,Nebel::N,brume,brumenn
78,Nebel::N,brouillard,brumenn
79,Wolke::N,nuage,koumoulenn
80,Regen::N,pluie,glav
81,Schnee::N,neige,erc'h
82,Eis::N,glace,skorn
83,Frost::N,gel,rev
84,Frost::N,gelée,rev
85,Kälte::N,froid,yen
86,Hitze::N,chaleur,tommder
87,Raureif::N,givre,frim
88,Regenbogen::N,arc-en-ciel,gwareg-ar-glav
89,Donner::N,tonnerre,kurun
90,Strömung::N,courant,red
91,Tropfen::N,goutte,bannac'h
92,Tropfen::N,goutte,takenn
93,Schaum::N,écume,spoum
94,Schaum::N,mousse,spoum
