,Concept_ID,da,ku
0,Auge::N,øje,çav
1,Ohr::N,øre,guh
2,Nase::N,næse,bêvil
3,Mund::N,mund,dev
4,Zahn::N,tand,didan
5,Zunge::N,tunge,ziman
6,Lippe::N,læbe,lêv
7,Wange::N,kind,dêm
8,Wange::N,kind,hinarik
9,Gesicht::N,ansigt,rû
10,Stirn::N,pande,enî
11,Haar::N,hår,por
12,Schnurrbart::N,overskæg,simbêl
13,Bart::N,skæg,rih
14,Kinn::N,hage,zenî
15,Kiefer[Anatomie]::N,kæbe,arguşk
16,Kehle::N,strube,qirik
17,Hals::N,hals,stû
18,Hals::N,hals,qirik
19,Genick::N,nakke,stû
20,Kopf::N,hoved,serî
21,Rücken::N,ryg,pişt
22,Bauch::N,mave,ûr
23,Bauch::N,mave,zik
24,Nabel::N,navle,navik
25,Busen::N,barm,sîng
26,Brust::N,bryst,sîng
27,Schulter::N,skulder,mil
28,Arm::N,arm,çepil
29,Ellenbogen::N,albue,enîşk
30,Hand::N,hånd,dest
31,Handfläche::N,håndflade,kefadest
32,Finger::N,finger,tilî
33,Fingernagel::N,fingernegl,neynuk
34,Nagel[Anatomie]::N,negl,bizmar
35,Zeh::N,tå,tilî linga
36,Fuß::N,fod,ling
37,Ferse::N,hæl,pahnî
38,Knie::N,knæ,kabok
39,Oberschenkel::N,lår,rahn
40,Bein::N,ben,çip
41,Körper::N,krop,laş
42,Körper::N,krop,gowde
43,Körper::N,legeme,laş
44,Körper::N,legeme,gowde
45,Haut::N,hud,çerm
46,Blut::N,blod,xwîn
47,Ader::N,åre,reh
48,Sehne::N,sene,reh
49,Knochen::N,ben,hestî
50,Gehirn::N,hjerne,mêjî
51,Herz::N,hjerte,dil
52,Magen::N,mave,navêş
53,Leber::N,lever,kezeb
54,Atem::N,ånde,hilm
55,Hunger::N,sult,birçîtî
56,Träne::N,tåre,hêstir
57,Geschmack::N,smag,tam
58,Geruch::N,lugt,bêhn
59,Schlaf::N,søvn,xew
60,Traum::N,drøm,xewn
61,Himmel::N,himmel,ezman
62,Sonne::N,sol,roj
63,Mond::N,måne,heyv
64,Stern::N,stjerne,stêrk
65,Luft::N,luft,ba
66,Wind::N,vind,ba
67,Welle::N,bølge,şewl
68,Wasser::N,vand,av
69,Stein::N,sten,kevir
70,Boden::N,jord,herd
71,Erde::N,jord,ax
72,Staub::N,støv,toz
73,Rauch::N,røg,dû
74,Funke::N,gnist,çirûşk
75,Feuer::N,ild,agir
76,Licht::N,lys,ronahî
77,Schatten::N,skygge,sî
78,Wetter::N,vejr,hewa
79,Nebel::N,tåge,mij
80,Wolke::N,sky,ewr
81,Regen::N,regn,baran
82,Schnee::N,sne,berf
83,Eis::N,is,qeşa
84,Frost::N,frost,xûsik
85,Kälte::N,kulde,serma
86,Hitze::N,hede,germayî
87,Raureif::N,rimfrost,şext
88,Regenbogen::N,regnbue,heftreng
89,Donner::N,torden,gire-gir
90,Strömung::N,strømning,şewl
91,Tropfen::N,dråbe,dilop
92,Schaum::N,skum,kef
93,Schmutz::N,snavs,gemar
94,See::N,sø,gol
95,Sumpf::N,sump,hezek
96,Moor::N,mose,mafêl
97,Wiese::N,eng,sûrik
98,Wald::N,skov,çiya
99,Wald::N,skov,daristan
100,Hügel::N,høj,gir
101,Hügel::N,bakke,gir
102,Anhöhe::N,høj,sere gir
103,Anhöhe::N,bakke,sere gir
104,Berg::N,bjerg,kaş
105,Gipfel::N,top,sere gir
106,Höhle::N,hule,şikeft
107,Abhang::N,skrænt,kaş
108,Abhang::N,skråning,kaş
109,Quelle::N,kilde,kanî
110,Bach::N,bæk,çem
111,Fluss::N,flod,çem
112,Fluss::N,flod,rûbar
113,Ufer::N,bred,kevî
114,Küste::N,kyst,berav
115,Festland::N,fastland,bejahî
116,Meer::N,hav,behr
117,Bucht::N,bugt,derav
118,Insel::N,ø,girav
119,Blume::N,blomst,kulînk
120,Gras::N,græs,giha
121,Wurzel::N,rod,reh
122,Baum::N,træ,dar
123,Stamm::N,stamme,bavik
124,Rinde::N,bark,qaqil
125,Ast::N,gren,gulî
126,Zweig::N,kvist,şax
127,Blatt::N,blad,pel
128,Birke::N,birk,dara sipî
129,Kiefer[Baum]::N,fyrretræ,dara bî
130,Weide[Baum]::N,piletræ,dara belalûk
131,Tanne::N,gran,merx
132,Horn::N,horn,strô
133,Feder::N,fjer,pîrtîk
134,Fell::N,skind,heyar
135,Flügel::N,vinge,per
136,Klaue::N,klov,napîk
137,Kralle::N,klo,dinik
138,Kralle::N,klo,dirnax
139,Schwanz::N,hale,dûv
140,Ei::N,æg,hêk
141,Nest::N,rede,hêlîn
142,Bau::N,bo,avahî
143,Tier::N,dyr,heywan
144,Herde::N,flok,hoz
145,Kuh::N,ko,çêlek
146,Bulle::N,tyr,ga
147,Pferd::N,hest,hesp
148,Schaf::N,får,mîh
149,Schwein::N,gris,beraz
150,Hund::N,hund,seh
151,Katze::N,kat,pişîk
152,Bär::N,bjørn,hirç
153,Eichhörnchen::N,egern,pilûr
154,Elch::N,elg,pazkovî
155,Fuchs::N,ræv,rovî
156,Hase::N,hare,kîroşk
157,Maus::N,mus,mişk
158,Wolf::N,ulv,gur
159,Vogel::N,fugl,çûk
160,Schwarm::N,sværm,lufik
161,Huhn::N,høne,mirîşk
162,Hahn::N,hane,dîk
163,Gans::N,gås,qaz
164,Adler::N,ørn,eylo
165,Ente::N,and,werdek
166,Eule::N,ugle,bûm
167,Eule::N,ugle,kund
168,Kranich::N,trane,quling
169,Krähe::N,krage,qijik
170,Kuckuck::N,gøg,pepûk
171,Schwan::N,svane,qû
172,Fisch::N,fisk,masî
173,Barsch::N,aborre,okûn
174,Hecht::N,gedde,mesîyê lûf
175,Schlange[Tier]::N,slange,mar
176,Wurm::N,orm,kurm
177,Spinne::N,edderkop,pîrê
178,Ameise::N,myre,mîro
179,Ameise::N,myre,gêrîk
180,Laus::N,lus,spi
181,Mücke::N,myg,mêş
182,Fliege::N,flue,mêş
183,Schmetterling::N,sommerfugl,perperîk
184,Beere::N,bær,hirç
185,Apfel::N,æble,sêv
186,Pilz::N,svamp,bîrov
187,Zwiebel::N,løg,pîvaz
188,Saat::N,sæd,tov
189,Korn::N,korn,dexl
190,Heu::N,hø,sap
191,Schale::N,skræl,qaşik
192,Grube::N,grav,çahl
193,Falle::N,fælde,dafik
194,Schlinge::N,snare,dahf
