,Concept_ID,de,ca
0,Auge::N,Auge,ull
1,Ohr::N,Ohr,orella
2,Nase::N,Nase,nas
3,Mund::N,Mund,boca
4,Zahn::N,Zahn,dent
5,Zunge::N,Zunge,llēngua
6,Lippe::N,Lippe,llavi
7,Wange::N,Wange,galta
8,Gesicht::N,Gesicht,cara
9,Stirn::N,Stirn,front
10,Haar::N,Haar,cabēll
11,Schnurrbart::N,Schnurrbart,bigoti
12,Bart::N,Bart,barba
13,Kinn::N,Kinn,mentó
14,Kinn::N,Kinn,barbeta
15,Kiefer[Anatomie]::N,Kiefer,queix
16,Kiefer[Anatomie]::N,Kiefer,mandíbula
17,Kehle::N,Kehle,gola
18,Kehle::N,Kehle,gorja
19,Hals::N,Hals,coll
20,Genick::N,Genick,nuca
21,Kopf::N,Kopf,cap
22,Rücken::N,Rücken,esquena
23,Bauch::N,Bauch,panxa
24,Nabel::N,Nabel,llombrígol
25,Busen::N,Busen,pit
26,Busen::N,Busen,mama
27,Brust::N,Brust,pit
28,Schulter::N,Schulter,espatlla
29,Arm::N,Arm,braç
30,Ellenbogen::N,Ellenbogen,colze
31,Hand::N,Hand,mà
32,Handfläche::N,Handfläche,palma
33,Finger::N,Finger,dit
34,Fingernagel::N,Fingernagel,ungla
35,Nagel[Anatomie]::N,Nagel,ungla
36,Zeh::N,Zeh,dit del peu
37,Fuß::N,Fuß,peu
38,Ferse::N,Ferse,taló
39,Knie::N,Knie,genoll
40,Oberschenkel::N,Oberschenkel,cuixa
41,Bein::N,Bein,cama
42,Körper::N,Körper,cos
43,Haut::N,Haut,pell
44,Blut::N,Blut,sang
45,Ader::N,Ader,vena
46,Sehne::N,Sehne,tendó
47,Knochen::N,Knochen,os
48,Gehirn::N,Gehirn,cervell
49,Herz::N,Herz,cor
50,Magen::N,Magen,estómac
51,Leber::N,Leber,fetge
52,Atem::N,Atem,alè
53,Atem::N,Atem,hàlit
54,Hunger::N,Hunger,fam
55,Hunger::N,Hunger,gana
56,Träne::N,Träne,llàgrima
57,Geschmack::N,Geschmack,gust
58,Geschmack::N,Geschmack,sabor
59,Geruch::N,Geruch,olor
60,Schlaf::N,Schlaf,son
61,Traum::N,Traum,somni
62,Himmel::N,Himmel,celm
63,Sonne::N,Sonne,sol
64,Mond::N,Mond,lluna
65,Stern::N,Stern,estel
66,Stern::N,Stern,estrella
67,Luft::N,Luft,aire
68,Wind::N,Wind,vent
