,Concept_ID,nl,se
0,Auge::N,oog,tjelmie
1,Auge::N,oog,tjalmme
2,Auge::N,oog,čalbmi
3,Auge::N,oog,čalme
4,Auge::N,oog,čâ´lmm
5,Auge::N,oog,ча̄лльм
6,Ohr::N,oor,bieljie
7,Ohr::N,oor,biellje
8,Ohr::N,oor,beallji
9,Ohr::N,oor,pelji
10,Ohr::N,oor,pe´llj
11,Ohr::N,oor,пе̄лльй
12,Nase::N,neus,njuenie
13,Nase::N,neus,njunnje
14,Nase::N,neus,njunni
15,Nase::N,neus,njuṇe
16,Nase::N,neus,njuu´nn
17,Nase::N,neus,нюннҍ
18,Mund::N,mond,njaelmie
19,Mund::N,mond,njálmme
20,Mund::N,mond,njálbmi
21,Mund::N,mond,njälmi
22,Mund::N,mond,njä´lmm
23,Mund::N,mond,ня̄лльм
24,Zahn::N,tand,baenie
25,Zahn::N,tand,bádne
26,Zahn::N,tand,bátni
27,Zahn::N,tand,pääṇi
28,Zahn::N,tand,pää´nn
29,Zahn::N,tand,па̄ннҍ
30,Zunge::N,tong,njoektjeme
31,Zunge::N,tong,njuovtjav
32,Zunge::N,tong,njuovčča
33,Zunge::N,tong,njuovčâ
34,Zunge::N,tong,njuhččâm
35,Zunge::N,tong,нюхчем
36,Lippe::N,lip,bangseme
37,Lippe::N,lip,njálmmerabdda
38,Lippe::N,lip,bavssa
39,Lippe::N,lip,poovsâ
40,Lippe::N,lip,põõus
41,Lippe::N,lip,пэ̄кс
42,Wange::N,wang,skiehrie
43,Wange::N,wang,nierra
44,Wange::N,wang,muohtu
45,Wange::N,wang,nieṛâ
46,Wange::N,wang,njiõrr
47,Wange::N,wang,нӣрр
48,Gesicht::N,gelaat,ååredæjja
49,Gesicht::N,gelaat,muohto
50,Gesicht::N,gelaat,muođut
51,Gesicht::N,gelaat,ámadadju
52,Gesicht::N,gelaat,muáđuh
53,Gesicht::N,gelaat,muâđ
54,Gesicht::N,gelaat,ка̄ссв
55,Gesicht::N,gezicht,ååredæjja
56,Gesicht::N,gezicht,muohto
57,Gesicht::N,gezicht,muođut
58,Gesicht::N,gezicht,ámadadju
59,Gesicht::N,gezicht,muáđuh
60,Gesicht::N,gezicht,muâđ
61,Gesicht::N,gezicht,ка̄ссв
62,Stirn::N,voorhoofd,gaalloe
63,Stirn::N,voorhoofd,gállo
64,Stirn::N,voorhoofd,gállu
65,Stirn::N,voorhoofd,kállu
66,Stirn::N,voorhoofd,käll
67,Stirn::N,voorhoofd,вуэххьц
68,Haar::N,haar,voepte
69,Haar::N,haar,vuoppta
70,Haar::N,haar,vuokta
71,Haar::N,haar,vuop'tâ
72,Haar::N,haar,vuõpt
73,Haar::N,haar,вӯппт
74,Schnurrbart::N,snor,bijjie-skaavtjoe
75,Schnurrbart::N,snor,njunjevuolskávttjá
76,Schnurrbart::N,snor,seamu
77,Schnurrbart::N,snor,siämu
78,Schnurrbart::N,snor,ää´bben
79,Schnurrbart::N,snor,о̄а̄бпан
80,Bart::N,baard,skaavtja
81,Bart::N,baard,skaavtjoe
82,Bart::N,baard,skávttjá
83,Bart::N,baard,seamu
84,Bart::N,baard,siämu
85,Bart::N,baard,seäm
86,Bart::N,baard,ся̄м
87,Kinn::N,kin,gaejpie
88,Kinn::N,kin,gájbbe
89,Kinn::N,kin,gáibi
90,Kinn::N,kin,käibi
91,Kinn::N,kin,käi´bb
92,Kinn::N,kin,ка̄ййп
93,Kiefer[Anatomie]::N,kaak,gaejpie
94,Kiefer[Anatomie]::N,kaak,oalol
95,Kiefer[Anatomie]::N,kaak,oaloldákte
96,Kiefer[Anatomie]::N,kaak,gáibi
97,Kiefer[Anatomie]::N,kaak,uá'lultähti
98,Kiefer[Anatomie]::N,kaak,vuâl'lõš
99,Kiefer[Anatomie]::N,kaak,вуаллнешш
100,Kehle::N,keel,gealoe
101,Kehle::N,keel,tjåttå
102,Kehle::N,keel,njiello
103,Kehle::N,keel,čotta
104,Kehle::N,keel,čuudâ
105,Kehle::N,keel,čoodd
106,Kehle::N,keel,чонт
107,Kehle::N,keel,кэ̄ҏс
108,Kehle::N,strot,gealoe
109,Kehle::N,strot,tjåttå
110,Kehle::N,strot,njiello
111,Kehle::N,strot,čotta
112,Kehle::N,strot,čuudâ
113,Kehle::N,strot,čoodd
114,Kehle::N,strot,чонт
115,Kehle::N,strot,кэ̄ҏс
116,Hals::N,hals,tjeapohke
117,Hals::N,hals,tjiebet
118,Hals::N,hals,čeabet
119,Hals::N,hals,čiäppát
120,Hals::N,hals,čeäppat
121,Hals::N,hals,ча̄пэх
122,Genick::N,nek,tjovrese
123,Genick::N,nek,nisske
124,Genick::N,nek,niehkki
125,Genick::N,nek,niski
126,Genick::N,nek,niek'ki
127,Genick::N,nek,nji´šǩǩmaadd
128,Genick::N,nek,нышшькмоант
129,Kopf::N,hoofd,åejjie
130,Kopf::N,hoofd,oajvve
131,Kopf::N,hoofd,oaivi
132,Kopf::N,hoofd,uái'vi
133,Kopf::N,hoofd,vuei´vv
134,Kopf::N,hoofd,вуэййв
135,Rücken::N,rug,rudtje
136,Rücken::N,rug,hárddo
137,Rücken::N,rug,tjavelk
138,Rücken::N,rug,sealgi
139,Rücken::N,rug,selgi
140,Rücken::N,rug,čielgi
141,Rücken::N,rug,seä´lǧǧ
142,Rücken::N,rug,се̄лльк
143,Bauch::N,buik,tjåejjie
144,Bauch::N,buik,tjoajvve
145,Bauch::N,buik,čoavji
146,Bauch::N,buik,čuáv'ji
147,Bauch::N,buik,čåu´jj
148,Bauch::N,buik,чо̄ввьй
149,Nabel::N,navel,naepie
150,Nabel::N,navel,náhpe
151,Nabel::N,navel,náhpi
152,Nabel::N,navel,nääpi
153,Nabel::N,navel,nää´pp
154,Nabel::N,navel,на̄бпь
155,Busen::N,boezem,boenge
156,Busen::N,boezem,bållå
157,Busen::N,boezem,čižži
158,Busen::N,boezem,njamma
159,Busen::N,boezem,njižže
160,Busen::N,boezem,nje´ǯǯ
161,Busen::N,boezem,раннҍт
162,Brust::N,borst,mïelke
163,Brust::N,borst,radde
164,Brust::N,borst,mielgga
165,Brust::N,borst,raddi
166,Brust::N,borst,radde
167,Brust::N,borst,râ´dd
168,Brust::N,borst,раннҍт
169,Schulter::N,schouder,åelkie
170,Schulter::N,schouder,oalgge
171,Schulter::N,schouder,hárdu
172,Schulter::N,schouder,ärdee
173,Schulter::N,schouder,uál'gi
174,Schulter::N,schouder,a´rddi
175,Schulter::N,schouder,vuä´lǧǧ
176,Schulter::N,schouder,вуэллык
177,Arm::N,arm,gïete
178,Arm::N,arm,giehta
179,Arm::N,arm,giehta
180,Arm::N,arm,kietâ
181,Arm::N,arm,kie'tâkaaṿâ
182,Arm::N,arm,ǩiõtt
183,Arm::N,arm,кӣдт
184,Ellenbogen::N,elleboog,gernjere
185,Ellenbogen::N,elleboog,garŋŋel
186,Ellenbogen::N,elleboog,gargŋil
187,Ellenbogen::N,elleboog,käŋŋir
188,Ellenbogen::N,elleboog,kõõnjâr
189,Ellenbogen::N,elleboog,карьнэль
190,Hand::N,hand,gïete
191,Hand::N,hand,giehta
192,Hand::N,hand,giehta
193,Hand::N,hand,kietâ
194,Hand::N,hand,ǩiõtt
195,Hand::N,hand,кӣдт
196,Handfläche::N,handpalm,gïeten-låapoe
197,Handfläche::N,handpalm,giehtavuodo
198,Handfläche::N,handpalm,tjårmmåvuodo
199,Handfläche::N,handpalm,giehtaloahpu
200,Handfläche::N,handpalm,kiämád
201,Handfläche::N,handpalm,kuámmir
202,Handfläche::N,handpalm,kuä´m'mer
203,Handfläche::N,handpalm,ǩiõttǩeä´m'men
204,Handfläche::N,handpalm,ко̄а̄ллдэгк
205,Handfläche::N,handpalm,кӣдткоалдэгк
206,Finger::N,vinger,soerme
207,Finger::N,vinger,tjuvdde
208,Finger::N,vinger,suorbma
209,Finger::N,vinger,čuvde
210,Finger::N,vinger,suor'mâ
211,Finger::N,vinger,suõrmm
212,Finger::N,vinger,це̄ххп
213,Fingernagel::N,nagel,gadtse
214,Fingernagel::N,nagel,guehpere
215,Fingernagel::N,nagel,gadtsa
216,Fingernagel::N,nagel,gazza
217,Fingernagel::N,nagel,kozzâ
218,Fingernagel::N,nagel,kõʒʒ
219,Fingernagel::N,nagel,кэ̄ннц
220,Nagel[Anatomie]::N,nagel,gadtse
221,Nagel[Anatomie]::N,nagel,guehpere
222,Nagel[Anatomie]::N,nagel,gadtsa
223,Nagel[Anatomie]::N,nagel,gazza
224,Nagel[Anatomie]::N,nagel,kozzâ
225,Nagel[Anatomie]::N,nagel,kõʒʒ
226,Nagel[Anatomie]::N,nagel,кэ̄ннц
227,Zeh::N,teen,tjiehtjere
228,Zeh::N,teen,juolggetjuvdde
229,Zeh::N,teen,juolgesuorbma
230,Zeh::N,teen,jyel'gisuor'mâ
231,Zeh::N,teen,jue´lǧǧsuõrmm
232,Zeh::N,teen,ю̄лльк-це̄һп
233,Fuß::N,voet,juelkie
234,Fuß::N,voet,juolgge
235,Fuß::N,voet,juolgi
236,Fuß::N,voet,jyel'gi
237,Fuß::N,voet,jue´lǧǧ
238,Fuß::N,voet,ла̄бпь
239,Ferse::N,hak,båetskie
240,Ferse::N,hak,boasske
241,Ferse::N,hak,šušmi
242,Ferse::N,hak,šušme
243,Ferse::N,hak,jue´lǧǧkädd
244,Ferse::N,hak,ка̄ннт
245,Ferse::N,hiel,båetskie
246,Ferse::N,hiel,boasske
247,Ferse::N,hiel,šušmi
248,Ferse::N,hiel,šušme
249,Ferse::N,hiel,jue´lǧǧkädd
250,Ferse::N,hiel,ка̄ннт
251,Knie::N,knie,boelve
252,Knie::N,knie,buolvva
253,Knie::N,knie,čibbi
254,Knie::N,knie,veaŋki
255,Knie::N,knie,iidâ
256,Knie::N,knie,puõlvv
257,Knie::N,knie,пуллв
258,Oberschenkel::N,dij,ruaksja
259,Oberschenkel::N,dij,tjibbe
260,Oberschenkel::N,dij,gassaváhkká
261,Oberschenkel::N,dij,badjeváhkáa
262,Oberschenkel::N,dij,čuár'bpeeḷi
263,Oberschenkel::N,dij,če´bb
264,Oberschenkel::N,dij,чуаррбе̄лль
265,Bein::N,been,juelkie
266,Bein::N,been,juolgge
267,Bein::N,been,juolgi
268,Bein::N,been,jyel'gi
269,Bein::N,been,jue´lǧǧ
270,Bein::N,been,ю̄лльк
271,Körper::N,lichaam,kråahpe
272,Körper::N,lichaam,rumáj
273,Körper::N,lichaam,rumaš
274,Körper::N,lichaam,ruumâš
275,Körper::N,lichaam,rå´pp
276,Körper::N,lichaam,лышшьк
277,Körper::N,lichaam,роаӈӈьк
278,Haut::N,huid,njaltja
279,Haut::N,huid,lijkke
280,Haut::N,huid,tjuobma
281,Haut::N,huid,liiki
282,Haut::N,huid,liške
283,Haut::N,huid,le´šǩǩ
284,Haut::N,huid,лышшьк
285,Blut::N,bloed,vïrre
286,Blut::N,bloed,maelie
287,Blut::N,bloed,varra
288,Blut::N,bloed,varra
289,Blut::N,bloed,vorrâ
290,Blut::N,bloed,võrr
291,Blut::N,bloed,вэ̄рр
292,Ader::N,ader,åerie
293,Ader::N,ader,aajroe
294,Ader::N,ader,suodna
295,Ader::N,ader,varrasuotna
296,Ader::N,ader,suoṇâ
297,Ader::N,ader,suõnn
298,Ader::N,ader,сӯнн
299,Sehne::N,pees,soene
300,Sehne::N,pees,gåårtenje
301,Sehne::N,pees,suodna
302,Sehne::N,pees,suotna
303,Sehne::N,pees,suoṇâ
304,Sehne::N,pees,suõnn
305,Sehne::N,pees,сӯнн
306,Knochen::N,bot,måara
307,Knochen::N,bot,måaroe
308,Knochen::N,bot,dákte
309,Knochen::N,bot,dákti
310,Knochen::N,bot,tähti
311,Knochen::N,bot,tä´htt
312,Knochen::N,bot,та̄ххт
313,Knochen::N,bot,та̄ффьт
314,Knochen::N,been,måara
315,Knochen::N,been,måaroe
316,Knochen::N,been,dákte
317,Knochen::N,been,dákti
318,Knochen::N,been,tähti
319,Knochen::N,been,tä´htt
320,Knochen::N,been,та̄ххт
321,Knochen::N,been,та̄ффьт
322,Knochen::N,knook,måara
323,Knochen::N,knook,måaroe
324,Knochen::N,knook,dákte
325,Knochen::N,knook,dákti
326,Knochen::N,knook,tähti
327,Knochen::N,knook,tä´htt
328,Knochen::N,knook,та̄ххт
329,Knochen::N,knook,та̄ффьт
330,Gehirn::N,hersenen,aajla
331,Gehirn::N,hersenen,vuojŋam
332,Gehirn::N,hersenen,vuoigŋašat
333,Gehirn::N,hersenen,vuoi'ŋâšeh
334,Gehirn::N,hersenen,vuo'ivâšneh
335,Gehirn::N,hersenen,vuõivâšn
336,Gehirn::N,hersenen,вуэййвэшна
337,Herz::N,hart,vaajmoe
338,Herz::N,hart,tsåhke
339,Herz::N,hart,váibmu
340,Herz::N,hart,váimu
341,Herz::N,hart,čââ´đ
342,Herz::N,hart,кӯттҌк
343,Magen::N,maag,tjåejjie
344,Magen::N,maag,tjoajvve
345,Magen::N,maag,čoavji
346,Magen::N,maag,čuáv'ji
347,Magen::N,maag,čåu´jj
348,Magen::N,maag,чо̄ввьй
349,Leber::N,lever,mueksie
350,Leber::N,lever,librre
351,Leber::N,lever,vuoivvas
352,Leber::N,lever,vuoivâs
353,Leber::N,lever,vuõivâs
