,Concept_ID,sv,tr
0,Auge::N,öga,göz
1,Ohr::N,öra,kulak
2,Nase::N,näsa,burun
3,Mund::N,mun,ağız
4,Zahn::N,tand,diş
5,Zunge::N,tunga,dil
6,Lippe::N,läpp,dudak
7,Wange::N,kind,yanak
8,Gesicht::N,syn,yüz
9,Gesicht::N,ansikte,yüz
10,Stirn::N,panna,alın
11,Haar::N,hår,saç
12,Schnurrbart::N,mustasch,bıyık
13,Bart::N,skägg,sakal
14,Kinn::N,haka,çene
15,Kiefer[Anatomie]::N,käke,çene
16,Kehle::N,strupe,boğaz
17,Hals::N,hals,boyun
18,Hals::N,hals,gerdan
19,Genick::N,nacke,ense
20,Kopf::N,huvud,baş
21,Kopf::N,huvud,kafa
22,Rücken::N,rygg,arka
23,Bauch::N,buk,karın
24,Bauch::N,mage,karın
25,Nabel::N,navel,göbek
26,Busen::N,barm,koyun
27,Brust::N,bröst,göğüs
28,Schulter::N,skuldra,omuz
29,Arm::N,arm,kol
30,Ellenbogen::N,armbåge,dirsek
31,Hand::N,hand,el
32,Handfläche::N,handflata,avuç
33,Handfläche::N,handflata,el ayası
34,Finger::N,finger,parmak
35,Fingernagel::N,fingernagel,el tırnağı
36,Nagel[Anatomie]::N,nagel,tırnak
37,Zeh::N,tå,ayak parmağı
38,Fuß::N,fot,ayak
39,Ferse::N,häl,topuk
40,Knie::N,knä,diz
41,Oberschenkel::N,lår,uyluk
42,Bein::N,ben,bacak
43,Körper::N,kropp,vücut
44,Haut::N,hud,cilt
45,Haut::N,skinn,cilt
46,Blut::N,blod,kan
47,Ader::N,åder,damar
48,Sehne::N,sena,kiriş
49,Knochen::N,ben,kemik
50,Gehirn::N,hjärna,beyin
51,Herz::N,hjärta,kalp
52,Herz::N,hjärta,yürek
53,Magen::N,mage,mide
54,Leber::N,lever,karaciğer
55,Atem::N,anda,nefes
56,Atem::N,andedräkt,nefes
57,Hunger::N,svält,açlık
58,Hunger::N,hunger,açlık
59,Träne::N,tår,gözyaşı
60,Geschmack::N,smak,tat
61,Geschmack::N,smak,lezzet
62,Geruch::N,lukt,koku
63,Schlaf::N,sömn,uyku
64,Traum::N,dröm,düş
65,Traum::N,dröm,rüya
66,Himmel::N,himmel,gök
67,Sonne::N,sol,güneş
68,Mond::N,måne,ay
69,Stern::N,stjärna,yıldız
70,Luft::N,luft,hava
71,Wind::N,vind,yel
72,Wind::N,vind,rüzgâr
73,Welle::N,våg,dalga
74,Welle::N,bölja,dalga
75,Wasser::N,vatten,su
76,Stein::N,sten,taş
77,Boden::N,mark,yer
78,Boden::N,mark,zemin
79,Erde::N,jord,toprak
80,Staub::N,damm,toz
81,Rauch::N,rök,duman
82,Funke::N,gnista,kıvılcım
83,Feuer::N,eld,ateş
84,Licht::N,ljus,ışık
85,Schatten::N,skugga,gölge
86,Wetter::N,väder,hava
87,Nebel::N,dimma,pus
88,Nebel::N,töcken,pus
89,Wolke::N,sky,bulut
90,Wolke::N,moln,bulut
91,Regen::N,regn,yağmur
92,Schnee::N,snö,kar
93,Eis::N,is,buz
94,Frost::N,frost,don
95,Kälte::N,köld,soğukluk
96,Hitze::N,hetta,sıcaklık
97,Raureif::N,rimfrost,kırç
98,Regenbogen::N,regnbåge,gökkuşağı
99,Donner::N,åska,gök gürlemesi
100,Donner::N,dunder,gök gürlemesi
101,Strömung::N,strömning,akıntı
102,Strömung::N,strömning,cereyan
103,Tropfen::N,dropper,damla
104,Schaum::N,skum,köpük
105,Schmutz::N,lort,çamur
106,Schmutz::N,lort,pislik
107,Schmutz::N,smuts,çamur
108,Schmutz::N,smuts,pislik
109,See::N,sjö,göl
110,Sumpf::N,träsk,batak
111,Moor::N,myr,cılgıt
112,Moor::N,mosse,cılgıt
113,Wiese::N,äng,çimen
114,Wald::N,skog,koru
115,Wald::N,skog,orman
116,Hügel::N,höjd,tepe
117,Hügel::N,kulle,tepe
118,Anhöhe::N,höjd,tümsek
119,Anhöhe::N,höjd,yükseklik
120,Anhöhe::N,backe,tümsek
121,Anhöhe::N,backe,yükseklik
122,Berg::N,berg,dağ
123,Berg::N,fjäll,dağ
124,Gipfel::N,topp,zirve
125,Höhle::N,håla,in
126,Höhle::N,håla,mağara
127,Höhle::N,grotta,in
128,Höhle::N,grotta,mağara
129,Abhang::N,slänt,bayır
130,Abhang::N,sluttning,bayır
131,Quelle::N,källa,pınar
132,Quelle::N,källa,kaynak
133,Bach::N,bäck,çay
134,Bach::N,bäck,dere
135,Fluss::N,älv,nehir
136,Fluss::N,flod,nehir
137,Ufer::N,strand,kıyı
138,Ufer::N,strand,sahil
139,Küste::N,kust,kıyı
140,Küste::N,kust,sahil
141,Festland::N,fastland,kara
142,Meer::N,hav,deniz
143,Bucht::N,vik,koy
144,Bucht::N,vik,körfez
145,Bucht::N,bukt,koy
146,Bucht::N,bukt,körfez
147,Insel::N,ö,ada
148,Blume::N,blomma,çiçek
149,Blume::N,blomster,çiçek
150,Gras::N,gräs,ot
151,Gras::N,gräs,çim
152,Wurzel::N,rot,kök
153,Baum::N,träd,ağaç
154,Stamm::N,stam,gövde
155,Rinde::N,bark,kabuk
156,Ast::N,gren,dal
157,Ast::N,gren,budak
158,Zweig::N,kvist,dal
159,Blatt::N,löv,yaprak
160,Blatt::N,blad,yaprak
161,Birke::N,björk,huş
162,Kiefer[Baum]::N,tall,çam
163,Weide[Baum]::N,pil,söğüt
164,Weide[Baum]::N,vide,söğüt
165,Tanne::N,gran,çam
166,Tanne::N,gran,köknar
167,Horn::N,horn,boynuz
168,Feder::N,fjäder,tüy
169,Fell::N,fäll,post
170,Fell::N,skinn,post
171,Flügel::N,vinge,kanat
172,Klaue::N,klöv,pençe
173,Kralle::N,klo,tırnak
174,Schwanz::N,svans,kuyruk
175,Schwanz::N,stjärt,kuyruk
176,Ei::N,ägg,yumurta
177,Nest::N,rede,yuva
178,Nest::N,näste,yuva
179,Bau::N,bo,in
180,Tier::N,djur,hayvan
181,Herde::N,flock,sürü
182,Kuh::N,ko,inek
183,Bulle::N,tjur,boğa
184,Pferd::N,häst,at
185,Pferd::N,häst,beygir
186,Schaf::N,får,koyun
187,Schwein::N,svin,domuz
188,Hund::N,hund,it
189,Hund::N,hund,köpek
190,Katze::N,katt,kedi
191,Bär::N,björn,ayı
192,Eichhörnchen::N,ekorre,sincap
193,Elch::N,älg,büyük kuzey geyiği
194,Fuchs::N,räv,tilki
195,Hase::N,hare,tavşan
196,Maus::N,mus,fare
197,Maus::N,mus,sıçan
198,Wolf::N,varg,kurt
199,Vogel::N,fågel,kuş
200,Schwarm::N,svärm,sürü
201,Huhn::N,höns,tavuk
202,Hahn::N,tupp,horoz
