,Concept_ID,ru,ka
0,Auge::N,глаз,თვალი
1,Ohr::N,ухо,ყური
2,Nase::N,нос,ცხვირი
3,Mund::N,рот,პირი
4,Zahn::N,зуб,კბილი
5,Zunge::N,язык,ენა
6,Lippe::N,губа,ბაგე
7,Wange::N,щека,ლოყა
8,Gesicht::N,лицо,სახე
9,Stirn::N,лоб,შუბლი
10,Haar::N,волос,თმა
11,Haar::N,волосы,თმა
12,Schnurrbart::N,ус,ულვაში
13,Schnurrbart::N,усы,ულვაში
14,Bart::N,борода,წვერი
15,Kinn::N,подбородок,ნიკაპი
16,Kiefer[Anatomie]::N,челюсть,ყბა
17,Kehle::N,горло,ყელი
18,Hals::N,шея,ყელი
19,Hals::N,шея,კისერი
20,Genick::N,затылок,კეფა
21,Kopf::N,голова,თავი
22,Rücken::N,спина,ზურგი
23,Bauch::N,живот,მუცელი
24,Nabel::N,пупок,ჭიპი
25,Busen::N,женская грудь,ძუძუ
26,Brust::N,грудь,მკერდი
27,Schulter::N,плечо,მხარი
28,Schulter::N,плечо,მკლავი
29,Arm::N,рука,ხელი
30,Ellenbogen::N,локоть,იდაყვი
31,Hand::N,кисть,ხელი
32,Handfläche::N,ладонь,ნები
33,Handfläche::N,ладонь,ხელისგული
34,Finger::N,палец,თითი
35,Fingernagel::N,ноготь,ფრჩხილი
36,Nagel[Anatomie]::N,ноготь,ფრჩხილი
37,Zeh::N,палец,ფეხის თითი
38,Fuß::N,ступня,ტერფი
39,Fuß::N,ступня,ფეხისგული
40,Ferse::N,пята,ქუსლი
41,Ferse::N,пятка,ქუსლი
42,Knie::N,колено,მუხლი
43,Oberschenkel::N,бедро,ბარძაყი
44,Bein::N,нога,ფეხი
45,Körper::N,тело,ტანი
46,Körper::N,тело,სხეული
47,Haut::N,кожа,კანი
48,Blut::N,кровь,სისხლი
49,Ader::N,вена,ძარღვი
50,Ader::N,сосуд,ძარღვი
51,Sehne::N,жила,მყესი
52,Sehne::N,тетива,მყესი
53,Sehne::N,сухожилие,მყესი
54,Knochen::N,кость,ძვალი
55,Gehirn::N,мозг,ტვინი
56,Herz::N,сердце,გული
57,Magen::N,желудок,კუჭი
58,Leber::N,печень,ღვიძლი
59,Atem::N,дух,სუნთქვა
60,Atem::N,дыхание,სუნთქვა
61,Hunger::N,голод,შიმშილი
62,Träne::N,слеза,ცრემლი
63,Geschmack::N,вкус,გემო
64,Geruch::N,запах,სუნი
65,Schlaf::N,сон,ძილი
66,Traum::N,сновидение,სიზმარი
67,Himmel::N,небо,ცა
68,Sonne::N,солнце,მზე
69,Mond::N,луна,მთვარე
70,Stern::N,звезда,ვარსკვლავი
71,Luft::N,воздух,ჰაერი
72,Wind::N,ветер,ქარი
73,Welle::N,волна,ტალღა
74,Wasser::N,вода,წყალი
