,Concept_ID,lez,ga
0,Auge::N,вил,súil
1,Ohr::N,яб,cluas
2,Nase::N,нер,soc
3,Mund::N,сив,béal
4,Zahn::N,сас,fiacail
5,Zahn::N,свах,fiacail
6,Zunge::N,мез,teanga
7,Lippe::N,пӏуз,liopa
8,Wange::N,хъвехъ,grua
9,Wange::N,хъвехъ,leiceann
10,Gesicht::N,ччин,éadan
11,Gesicht::N,ччин,aghaidh
12,Stirn::N,пел,baithis
13,Stirn::N,пел,clár éadain
14,Haar::N,чӏар,gruaig
15,Schnurrbart::N,спел,croiméal
16,Schnurrbart::N,спелар,croiméal
17,Bart::N,ччуру,féasóg
18,Kinn::N,чене,smig
19,Kiefer[Anatomie]::N,чене,giall
20,Kehle::N,туьд,scornach
21,Hals::N,гардан,muinéal
22,Genick::N,кьам,baic
23,Kopf::N,кьил,ceann
24,Rücken::N,далу,droim
25,Bauch::N,руфун,bolg
26,Nabel::N,пицӏ,imleacán
27,Busen::N,мам,cíoch
28,Brust::N,хур,brollach
29,Schulter::N,къуьн,gualainn
30,Arm::N,гъил,lámh
31,Ellenbogen::N,кьуьнт,uillinn
32,Hand::N,капаш,lámh
33,Handfläche::N,капан юкь,bos
34,Finger::N,тӏуб,méar
35,Fingernagel::N,кек,ionga
36,Nagel[Anatomie]::N,кек,ionga
37,Zeh::N,кул,ladhar
38,Fuß::N,кӏвач,cos
39,Fuß::N,кӏвач,troigh
40,Ferse::N,дабан,sáil
41,Knie::N,мет,glúin
42,Bein::N,кӏвач,cos
43,Körper::N,беден,corp
44,Körper::N,беден,colainn
45,Haut::N,хам,cneas
46,Haut::N,хам,craiceann
47,Blut::N,иви,fuil
48,Ader::N,дамар,
49,Sehne::N,кьуру дамар,teannán
50,Sehne::N,кьуру дамар,féitheog
51,Knochen::N,кӏараб,cnámh
52,Gehirn::N,мефт,inchinn
53,Herz::N,рикӏ,croí
54,Magen::N,хук,bolg
55,Magen::N,хук,goile
56,Leber::N,лекь,ae
