,Concept_ID,ko,hu
0,Auge::N,눈,szem
1,Ohr::N,귀,fül
2,Nase::N,코,orr
3,Mund::N,입,száj
4,Zahn::N,이,fog
5,Zunge::N,혀,nyelv
6,Lippe::N,입술,ajak
7,Wange::N,뺨,orca
8,Gesicht::N,얼굴,arc
9,Stirn::N,이마,homlok
10,Haar::N,털,haj
11,Schnurrbart::N,윗수몀,bajusz
12,Schnurrbart::N,코밑수염,bajusz
13,Bart::N,수엄,szakáll
14,Kinn::N,아래턱,áll
15,Kiefer[Anatomie]::N,턱,állkapocs
16,Kehle::N,인후,gége
17,Kehle::N,인후,torok
18,Hals::N,목,nyak
19,Genick::N,먹덜이,tarkó
20,Kopf::N,머리,fő
21,Kopf::N,머리,fej
22,Rücken::N,든,hát
23,Bauch::N,배,has
24,Nabel::N,배꼽,köldök
25,Busen::N,가슴속,mell
26,Busen::N,가슴속,kebel
27,Brust::N,가슴,mell
28,Schulter::N,어깨,váll
29,Arm::N,팔,kar
30,Ellenbogen::N,팔쿰치,könyök
31,Hand::N,손,kéz
32,Handfläche::N,손바닥,tenyér
33,Finger::N,속가락,ujj
34,Fingernagel::N,손톱,köröm
35,Nagel[Anatomie]::N,손톱,köröm
36,Zeh::N,발가락,lábujj
37,Fuß::N,발,láb
38,Ferse::N,발꿈치,sarok
39,Knie::N,무릎,térd
40,Oberschenkel::N,허벅다리,comb
41,Bein::N,다리,láb
42,Bein::N,다리,lábszár
43,Körper::N,구간,test
44,Haut::N,살갗,bőr
45,Blut::N,피,vér
46,Ader::N,정맥,ér
47,Sehne::N,현,ín
48,Knochen::N,뼈,csont
49,Gehirn::N,뇌,agy
50,Gehirn::N,뇌,agyvelő
51,Gehirn::N,뇌수,agy
52,Gehirn::N,뇌수,agyvelő
53,Herz::N,염통,szív
54,Magen::N,위,gyomor
55,Leber::N,간,máj
56,Atem::N,기식,lehelet
57,Atem::N,기식,lélegzet
58,Hunger::N,공복,éhség
59,Träne::N,눈물,könny
60,Geschmack::N,기호,íz
61,Geruch::N,냄새,szag
62,Schlaf::N,수면,álom
63,Schlaf::N,수면,alvás
64,Traum::N,쿰,álom
65,Himmel::N,하늘,ég
66,Himmel::N,하늘,menny
67,Sonne::N,해,nap
68,Mond::N,달,hold
69,Stern::N,별,csillag
70,Luft::N,동준,levegő
71,Luft::N,가스채,levegő
72,Wind::N,바람,szél
73,Welle::N,물결,hullám
74,Wasser::N,물,víz
75,Stein::N,돌,kő
76,Boden::N,바닥,föld
77,Boden::N,바닥,talaj
78,Erde::N,흙,föld
79,Staub::N,먼지,por
80,Rauch::N,연기,füst
81,Funke::N,불티,szikra
82,Feuer::N,불,tűz
83,Licht::N,불,fény
84,Schatten::N,어스레함,árnyék
85,Wetter::N,기상,idő
86,Wetter::N,기상,időjárás
87,Nebel::N,안개,köd
88,Wolke::N,구름,felhő
89,Regen::N,비,eső
90,Schnee::N,눈,hó
91,Eis::N,얼음,jég
92,Frost::N,혹한,fagy
93,Kälte::N,추위,hideg
94,Kälte::N,차가움,hideg
95,Hitze::N,고온,hő
96,Hitze::N,고온,hőség
97,Hitze::N,더위,hő
98,Hitze::N,더위,hőség
99,Regenbogen::N,무지개,szivárvány
100,Donner::N,뇌명,dörgés
101,Donner::N,뇌명,mennydörgés
102,Strömung::N,유동,áramlat
103,Tropfen::N,물방울,csepp
104,Schaum::N,포말,hab
105,Schaum::N,포말,tajték
106,Schmutz::N,때,piszok
107,See::N,호수,tó
108,Sumpf::N,습지,mocsár
109,Moor::N,저습지,láp
110,Wiese::N,목초지,rét
111,Wiese::N,목초지,mező
112,Wald::N,숲,erdő
113,Hügel::N,언덕,domb
114,Anhöhe::N,언덕,magaslat
