,Concept_ID,be,az
0,Auge::N,вока,göz
1,Ohr::N,вуха,qulaq
2,Nase::N,нос,burun
3,Mund::N,рот,ağız
4,Zahn::N,зуб,diş
5,Zunge::N,язык,dil
6,Lippe::N,губа,dodaq
7,Wange::N,шчака,yanaq
8,Gesicht::N,твар,üz
9,Stirn::N,лоб,alın
10,Haar::N,волас,saç
11,Haar::N,валасы,saç
12,Schnurrbart::N,вус,bığ
13,Schnurrbart::N,вусы,bığ
14,Bart::N,барада,saqqal
15,Kinn::N,падбародак,çənə
16,Kiefer[Anatomie]::N,сківіца,çənə
17,Kehle::N,горла,boğaz
18,Hals::N,шыя,boyun
19,Genick::N,патыліца,ənsə
20,Kopf::N,галава,baş
21,Rücken::N,спіна,bel
22,Bauch::N,жывот,qarın
23,Nabel::N,пупок,göbək
24,Busen::N,грудзі,məmə
25,Brust::N,грудзі,döş
26,Schulter::N,плячо,çiyin
27,Arm::N,рука,qol
28,Ellenbogen::N,локаць,dirsək
29,Hand::N,кісць,əl
30,Handfläche::N,далонь,ovuc
31,Finger::N,палец,barmaq
32,Fingernagel::N,ногаць,barmaq dırnağı
33,Nagel[Anatomie]::N,ногаць,dırnak
34,Zeh::N,палец,ayaq barmağı
35,Fuß::N,нага,ayaq
36,Ferse::N,пята,daban
37,Ferse::N,пятка,daban
38,Knie::N,калена,diz
39,Oberschenkel::N,бядро,bud
40,Oberschenkel::N,сцягно,bud
41,Bein::N,нага,qıç
42,Körper::N,цела,əndam
43,Haut::N,скура,dəri
44,Blut::N,кроў,qan
45,Ader::N,вена,damar
46,Ader::N,сасуд,damar
47,Sehne::N,жыла,vətər
48,Sehne::N,цеціва,vətər
49,Sehne::N,сухажылле,vətər
50,Knochen::N,косць,sümük
51,Gehirn::N,мозг,beyin
52,Herz::N,сэрца,ürək
53,Magen::N,страўнік,mədə
54,Leber::N,печань,qara ciyər
55,Atem::N,дыханне,nəfəs
56,Hunger::N,голад,aclıq
57,Träne::N,сляза,göz yaşı
58,Geschmack::N,смак,tam
59,Geschmack::N,смак,ləzzət
60,Geruch::N,пах,qoxu
61,Schlaf::N,сон,yuxu
62,Traum::N,сон,röya
63,Himmel::N,неба,göy
64,Himmel::N,неба,səma
65,Sonne::N,сонца,günəş
66,Mond::N,месяц,ay
67,Stern::N,зорка,ulduz
68,Luft::N,паветра,hava
69,Wind::N,вецер,yel
70,Wind::N,вецер,külək
71,Welle::N,хваля,dalğa
72,Wasser::N,вада,su
73,Stein::N,камень,daş
74,Boden::N,глеба,yer
75,Boden::N,глеба,zəmin
76,Erde::N,зямля,yer torpaq
77,Staub::N,пыл,toz
78,Rauch::N,дым,tüstü
79,Funke::N,іскра,qığılcım
80,Feuer::N,агонь,od
81,Licht::N,святло,işıq
82,Schatten::N,цень,kölgə
83,Wetter::N,пагода,hava
84,Wetter::N,надворʼе,hava
85,Nebel::N,туман,duman
86,Wolke::N,воблака,bulud
87,Regen::N,дождж,yağış
88,Regen::N,дождж,yağmur
89,Schnee::N,снег,qar
90,Eis::N,лёд,buz
91,Frost::N,мароз,ayaz
92,Kälte::N,холад,soyuq
93,Hitze::N,спёка,coşğunluq
94,Raureif::N,іней,qırov
95,Regenbogen::N,вясёлка,göy qurşağı
96,Donner::N,гром,göy gurultusu
97,Strömung::N,цячэнне,axın
98,Tropfen::N,кропля,damcı
99,Schaum::N,пена,köpük
100,Schmutz::N,гразь,çamır
101,See::N,возера,göl
102,Sumpf::N,багна,bataqlıq
103,Moor::N,балота,bataqlıq
104,Wiese::N,луг,çəmən
105,Wald::N,лес,meşə
106,Hügel::N,узгорак,təpə
107,Anhöhe::N,узвышша,təpə
108,Berg::N,гара,dağ
109,Gipfel::N,вяршыня,zirvə
110,Höhle::N,пячора,mağara
111,Abhang::N,схіл,yamac
