,Concept_ID,ba,ta
63,Welle::N,тулҡын,அலை
64,Wasser::N,һыу,நீர்
65,Stein::N,таш,கல்
66,Boden::N,тупраҡ,தரை
67,Erde::N,балсҡ,மண்
68,Staub::N,туҙан,தூசி
69,Rauch::N,төтөн,புகை
70,Funke::N,осҡон,தீப்பொறி
71,Feuer::N,ут,தீ
72,Licht::N,яҡтылыҡ,வெளிச்சம்
73,Schatten::N,күләгә,நிழல்
74,Wetter::N,һауа торошо,வானிலை
75,Nebel::N,төман,பனிமூட்டம்
76,Wolke::N,болот,மேகம்
77,Regen::N,ямғыр,மழை
78,Schnee::N,ҡар,உறைபனி
79,Eis::N,боҙ,பனிக்கட்டி
80,Frost::N,һалҡын,உறைபனி
81,Kälte::N,һыуыҡ,குளிர்ந்த
82,Hitze::N,томра,சூடு
83,Hitze::N,эҫелек,சூடு
84,Raureif::N,ҡырау,உறைபனி வெண்திரை
85,Regenbogen::N,йәйғор,வானவில்
86,Donner::N,күк күкрәү,இடி
87,Strömung::N,ағым,நீரோட்டம்
88,Tropfen::N,тамсы,துளி
89,Schaum::N,күбек,நுரை
90,Schmutz::N,батҡаҡ,அழுக்கு
91,See::N,күл,ஏரி
92,Sumpf::N,һаҙлык,சதுப்பு நிலம்
93,Moor::N,һаҙ,முட்புதற்காடு
94,Wiese::N,болон,பசும் புல்தரை
95,Wald::N,урман,காடு
96,Hügel::N,түбә,குன்று
97,Anhöhe::N,түбә,பதுக்கை
98,Anhöhe::N,ҡалҡыулыҡ,பதுக்கை
99,Berg::N,тау,மலை
100,Gipfel::N,түбә,உச்சி மாநாடு
101,Höhle::N,мәмерйә,குகை
102,Abhang::N,ипкен,சரிவு
103,Quelle::N,шишмә,மூலம்
104,Bach::N,шишмә,ஓடை
105,Fluss::N,йылға,ஆறு
106,Ufer::N,яр,நீர்க்கரை
107,Küste::N,яр буйы,கடற்கரை
108,Festland::N,ҡоро ер,நிலம்
109,Meer::N,диңгез,கடல்
110,Bucht::N,бухта,சிறுகுடா
111,Insel::N,үтрау,தீவு
112,Blume::N,сәскә,பூ
113,Gras::N,үлән,புல்தரை
114,Wurzel::N,тамыр,வேர்
115,Baum::N,ағас,மரம்
116,Stamm::N,олон,அடிமரம்
117,Stamm::N,көбәк,அடிமரம்
118,Rinde::N,ҡабыҡ,பட்டை
119,Rinde::N,ҡабыҡ,மரப்பட்டை
120,Ast::N,ботаҡ,கினை
121,Zweig::N,ботаҡ,குச்சி
122,Zweig::N,тармаҡ,குச்சி
123,Blatt::N,япраҡ,இலை
124,Birke::N,ҡайын,பிர்ச் மரம்
125,Kiefer[Baum]::N,ҡарғай,தேவதாரு மரம்
126,Weide[Baum]::N,тал,மர வகைகளுள் ஒன்று
127,Tanne::N,шыршы,சாதிக்கய்
128,Horn::N,мөғөҙ,கொம்பு
129,Feder::N,ҡауырһын,இறகு
130,Fell::N,тире,மென்முடி
