,Concept_ID,et,sl
0,Auge::N,silm,okó
1,Ohr::N,kõrv,uhó
2,Nase::N,nina,nós
3,Mund::N,suu,ústa
4,Zahn::N,hammas,zób
5,Zunge::N,keel,jêzik
6,Lippe::N,huul,ústnica
7,Wange::N,põsk,líce
8,Gesicht::N,nägu,oblíčje
9,Stirn::N,otsmik,čêlo
10,Haar::N,juus,lás
11,Schnurrbart::N,vurrud,bŕki
12,Schnurrbart::N,vuntsid,bŕki
13,Bart::N,habe,bráda
14,Kinn::N,lõug,bráda
15,Kiefer[Anatomie]::N,lõualuu,čeljúst
16,Kehle::N,kõri,gŕlo
17,Hals::N,kael,vrát
18,Genick::N,kukal,zatílnik
19,Kopf::N,pea,gláva
20,Rücken::N,selg,hrbèt
21,Bauch::N,kõht,trébuh
22,Nabel::N,naba,pópek
23,Busen::N,rind,nédrja
24,Brust::N,rind,pŕsi
25,Schulter::N,õlg,ráma
26,Schulter::N,õlg,plêče
27,Arm::N,käsivars,rôka
28,Ellenbogen::N,küünarnukk,komólec
29,Hand::N,käsi,rôka
30,Handfläche::N,pihk,dlán
31,Finger::N,sõrm,pŕst
32,Fingernagel::N,küüs,nóht na rôki
33,Nagel[Anatomie]::N,küüs,nóht
34,Zeh::N,varvas,pŕst na nôgi
35,Fuß::N,jalg,nôga
36,Ferse::N,kand,pêta
37,Knie::N,põlv,koléno
38,Oberschenkel::N,reis,stêgno
39,Bein::N,jalg,nôga
40,Körper::N,ihu,teló
41,Körper::N,keha,teló
42,Haut::N,nahk,kóža
43,Blut::N,veri,krí
44,Ader::N,veen,žíla
45,Sehne::N,kõõlus,kíta
46,Knochen::N,luu,kóst
47,Gehirn::N,aju,možgáni
48,Herz::N,süda,srcé
49,Magen::N,magu,želódec
50,Leber::N,maks,jétra
51,Atem::N,hingeõhk,díh
52,Atem::N,hingamine,díh
53,Hunger::N,nälg,glád
54,Träne::N,pisar,sólza
55,Geschmack::N,maitse,okús
56,Geruch::N,lõhn,vónj
57,Schlaf::N,uni,sèn
58,Schlaf::N,uni,spánec
59,Traum::N,unenägu,sánje
60,Himmel::N,taevas,nebó
61,Sonne::N,päike,sónce
62,Mond::N,kuu,lúna
63,Mond::N,kuu,mésec
64,Stern::N,täht,zvézda
65,Luft::N,õhk,zràk
66,Wind::N,tuul,véter
67,Welle::N,laine,vál
68,Wasser::N,vesi,vôda
69,Stein::N,kivi,kámen
70,Boden::N,maa,tlà
71,Boden::N,pinnas,tlà
72,Erde::N,maa,pŕst
73,Erde::N,maa,zêmlja
74,Staub::N,põrm,práh
75,Rauch::N,suits,dìm
76,Funke::N,säde,ískra
77,Feuer::N,tuli,ôgenj
78,Licht::N,valgus,lúč
79,Schatten::N,vari,sénca
80,Wetter::N,ilm,vrême
81,Nebel::N,udu,meglà
82,Wolke::N,pilv,oblák
83,Regen::N,sadu,dèž
84,Schnee::N,lumi,snég
85,Eis::N,jää,léd
86,Frost::N,pakane,zmrzál
87,Kälte::N,külm,mràz
88,Kälte::N,külmus,mràz
89,Hitze::N,kuumus,pripéka
90,Hitze::N,palavus,pripéka
91,Raureif::N,härmatis,ívje
92,Raureif::N,härmatis,slána
93,Regenbogen::N,vikerkaar,mávrica
94,Donner::N,kõu,gròm
95,Donner::N,müristamine,gròm
96,Strömung::N,voolus,strúja
97,Strömung::N,jõevool,strúja
98,Tropfen::N,tilk,káplja
99,Schaum::N,vaht,péna
100,Schmutz::N,pori,nesnága
101,Schmutz::N,mustus,nesnága
102,See::N,järv,jézero
103,Sumpf::N,soo,močvírje
104,Moor::N,raba,bárje
105,Wiese::N,aas,trávnik
106,Wiese::N,nurm,trávnik
107,Wald::N,mets,lés
108,Wald::N,mets,gòzd
109,Hügel::N,küngas,brég
110,Hügel::N,küngas,goríca
111,Anhöhe::N,küngas,gríč
112,Anhöhe::N,küngas,višína
113,Berg::N,mägi,gôra
114,Berg::N,mägi,planína
115,Gipfel::N,mäetipp,vŕh
116,Höhle::N,koobas,jáma
117,Höhle::N,koobas,votlína
118,Abhang::N,nõlvak,pobóčje
119,Quelle::N,allikas,izvír
120,Bach::N,oja,pôtok
121,Fluss::N,jõgi,réka
122,Ufer::N,kallas,brég
123,Küste::N,rannik,obála
124,Küste::N,rannik,obréžje
125,Festland::N,mander,celína
126,Festland::N,mander,kopnína
127,Festland::N,maismaa,celína
128,Festland::N,maismaa,kopnína
129,Meer::N,meri,mórje
130,Bucht::N,laht,zalív
131,Insel::N,saar,ôtok
132,Blume::N,lill,cvetlíca
133,Gras::N,rohi,tráva
134,Wurzel::N,juur,korenína
135,Baum::N,puu,drevó
136,Stamm::N,tüvi,dêblo
137,Rinde::N,koor,lúbje
138,Rinde::N,koor,skórja
139,Ast::N,oks,véja
140,Zweig::N,oks,véja
141,Blatt::N,leht,líst
142,Birke::N,kask,bréza
143,Kiefer[Baum]::N,mänd,bòr
144,Weide[Baum]::N,paju,vŕba
145,Tanne::N,nulg,hója
146,Horn::N,sarv,róg
147,Feder::N,sulg,peró
148,Fell::N,karvkate,kŕzno
149,Fell::N,karusnahk,kŕzno
150,Flügel::N,tiib,krílo
151,Flügel::N,tiivik,krílo
152,Klaue::N,küüs,párkelj
153,Kralle::N,küünis,krémpelj
154,Schwanz::N,saba,rèp
155,Ei::N,muna,jájce
156,Nest::N,pesa,gnézdo
157,Bau::N,urg,brlòg
158,Tier::N,loom,živál
159,Herde::N,kari,čréda
160,Kuh::N,lehm,kráva
161,Bulle::N,pull,bìk
162,Pferd::N,hobune,kònj
163,Schaf::N,lammas,ôvca
164,Schwein::N,siga,svínja
165,Hund::N,koer,pès
166,Katze::N,kass,máčka
167,Bär::N,karu,mêdved
168,Eichhörnchen::N,orav,véverica
169,Elch::N,põder,lós
170,Fuchs::N,rebane,lisíca
171,Hase::N,jänes,zájec
172,Maus::N,hiir,mìš
173,Wolf::N,hunt,vólk
174,Vogel::N,lind,ptìč
175,Vogel::N,lind,ptíca
176,Schwarm::N,parv,játa
177,Huhn::N,kana,kokóš
178,Hahn::N,kukk,petêlin
179,Gans::N,hani,gós
180,Adler::N,kotkas,ôrel
181,Ente::N,part,ráca
182,Eule::N,kakk,sôva
183,Eule::N,öökull,sôva
184,Kranich::N,kurg,žerjàv
185,Krähe::N,vares,vrána
186,Kuckuck::N,kägu,kúkavica
187,Schwan::N,luik,labód
188,Fisch::N,kala,ríba
189,Barsch::N,ahven,ostríž
190,Hecht::N,haug,ščúka
191,Schlange[Tier]::N,uss,káča
192,Wurm::N,uss,čr̀v
193,Wurm::N,uss,glísta
194,Wurm::N,vagel,čr̀v
195,Wurm::N,vagel,glísta
196,Spinne::N,ämblik,pájek
197,Ameise::N,sipelgas,mrávlja
198,Laus::N,täi,úš
199,Mücke::N,sääsk,komár
200,Fliege::N,kärbes,múha
201,Schmetterling::N,liblikas,metúlj
202,Beere::N,mari,jágoda
203,Apfel::N,õun,jábolko
204,Pilz::N,seen,góba
205,Zwiebel::N,sibul,čebúla
206,Saat::N,seeme,séme
207,Korn::N,iva,zŕno
208,Korn::N,tera,zŕno
209,Heu::N,hein,senó
210,Schale::N,koor,lupína
211,Grube::N,kaevand,jáma
212,Falle::N,lõks,pást
213,Falle::N,püünis,pást
214,Schlinge::N,aas,zánka
215,Schlinge::N,aas,pêtlja
216,Spur::N,jälg,sléd
217,Asche::N,tuhk,pepél
218,Dreck::N,saast,bláto
219,Dreck::N,mustus,bláto
220,Eisen::N,raud,želézo
221,Gold::N,kuld,zlató
222,Silber::N,hõbe,srebró
223,Kohle::N,süsi,ógel
224,Glas::N,klaas,stêklo
225,Lehm::N,savi,ílo
226,Sand::N,liiv,pések
227,Mensch::N,inimene,člôvek
228,Mann::N,mees,móž
229,Mann::N,mees,môški
230,Frau::N,naine,gospá
231,Frau::N,naine,žénska
232,Kind::N,laps,déte
233,Kind::N,laps,otròk
234,Junge::N,poiss,fànt
235,Junge::N,poiss,déček
236,Mädchen::N,tüdruk,deklè
237,Mädchen::N,tüdruk,déklica
238,Familie::N,perekond,družína
239,Großvater::N,vanaisa,dèd
240,Großvater::N,vanaisa,dédek
241,Großmutter::N,vanaema,bábica
242,Eltern::N,vanemad,stárši
243,Vater::N,isa,ôče
244,Mutter::N,ema,máma
245,Sohn::N,poeg,sín
246,Tochter::N,tütar,hčí
247,Tochter::N,tütar,hčérka
248,Bruder::N,vend,bràt
249,Schwester::N,õde,sêstra
250,Onkel::N,onu,újec
251,Onkel::N,onu,stríc
252,Tante::N,tädi,têta
253,Tante::N,tädi,strína
254,Ehemann::N,mees,móž
255,Ehemann::N,mees,sopróg
256,Ehemann::N,abikaasa,móž
257,Ehemann::N,abikaasa,sopróg
258,Ehefrau::N,naine,žêna
259,Ehefrau::N,naine,sopróga
260,Ehefrau::N,abikaasa,žêna
261,Ehefrau::N,abikaasa,sopróga
262,Freude::N,rõõm,rádost
263,Freude::N,rõõm,vesêlje
264,Gelächter::N,naer,sméh
