,Concept_ID,cv,av
0,Auge::N,куҫ,
1,Ohr::N,хӑлха,гӏин
2,Nase::N,сӑмса,мегӏер
3,Mund::N,ҫӑвар,кӏал
4,Zahn::N,шӑл,гӏус
5,Zunge::N,чӗлхе,мацӏ
6,Lippe::N,тута,кӏветӏ
7,Wange::N,пит ҫӑмарти,гӏоно
8,Gesicht::N,пит,гьумер
9,Gesicht::N,пит-куҫ,гьумер
10,Stirn::N,ҫамка,нодо
11,Haar::N,ҫӳҫ,рас
12,Schnurrbart::N,усси,михъ
13,Bart::N,сухал,мегеж
14,Kinn::N,янах,нилъу
15,Kiefer[Anatomie]::N,янах,чанагъ
16,Kehle::N,пыр,щекъер
17,Kehle::N,карланкӑ,щекъер
18,Hals::N,пыр,габур
19,Genick::N,ӗнсе,гъванща
20,Kopf::N,пуҫ,бетӏер
21,Rücken::N,ҫурӑм,мугъ
22,Nabel::N,кӑвапа,цӏину
23,Busen::N,кӑкӑр,керен
24,Brust::N,умӗ,керен
25,Schulter::N,хул пуҫҫи,гъажазубетӏер
26,Arm::N,алӑ,гъеж
27,Ellenbogen::N,чавса,гӏункӏрукь
28,Hand::N,алӑ сыппи,квер
29,Handfläche::N,ал лаппи,огъохъат
30,Handfläche::N,ал лаппи,жанисахъат
31,Finger::N,пӳрне,килищ
32,Fingernagel::N,чӗрне,малъ
33,Nagel[Anatomie]::N,чӗрне,малъ
34,Zeh::N,пӳрне,килищ
35,Fuß::N,ура лаппи,хӏетӏ
36,Fuß::N,ура лаппи,хӏетӏе
37,Ferse::N,кӗле,эгъе
38,Knie::N,чӗркуҫҫи,наку
39,Oberschenkel::N,пӗҫӗ,мачӏ
40,Bein::N,ура,бох
41,Körper::N,ӳт,къаркъала
42,Körper::N,ӳт-пӳ,къаркъала
43,Haut::N,тир,тӏом
44,Blut::N,юн,би
45,Ader::N,вена,бидурихь
46,Sehne::N,шӑнӑр,
47,Knochen::N,шӑмӑ,ракьа
48,Gehirn::N,миме,гӏадалнах
49,Herz::N,чӗре,ракӏ
50,Magen::N,хырӑмлӑх,кванирукъ
51,Leber::N,пӗвер,тӏул
52,Atem::N,сывлав,хӏухь
53,Hunger::N,выҫлӑх,ракъи
54,Träne::N,куҫҫуль,магӏу
55,Geschmack::N,техӗм,тату
56,Geruch::N,шӑршӑ,махӏ
57,Schlaf::N,ыйхӑ,макьу
58,Traum::N,тӗлӗк,макьу
59,Himmel::N,пӗлӗт,зоб
60,Sonne::N,хӗвел,бакъ
61,Mond::N,уйӑх,моцӏ
62,Stern::N,ҫӑлтӑр,цӏва
63,Luft::N,сывлӑш,гьава
64,Wind::N,ҫил,гьури
65,Welle::N,хум,карачел
66,Wasser::N,шыв,лъим
67,Wasser::N,шыв-шур,лъим
68,Stein::N,чул,гьецӏо
69,Boden::N,тӑпра,ракь
70,Erde::N,ҫӗр,ракь
71,Erde::N,ҫӗр,дуниял
72,Staub::N,тусан,хӏур
73,Rauch::N,тӗтӗм,кӏкӏуй
74,Funke::N,хӗм,
75,Feuer::N,вут,цӏа
76,Feuer::N,ҫулӑм,цӏа
77,Licht::N,ҫутӑ,канлъи
78,Schatten::N,сулхӑн,рагӏад
79,Wetter::N,ҫанталӑк,гьава-бакъ
80,Nebel::N,тӗтре,гӏодобнакӏкӏ
81,Wolke::N,пӗлӗт,накӏкӏ
82,Regen::N,ҫумӑр,цӏад
83,Schnee::N,юр,гӏазу
84,Eis::N,пӑр,цӏер
85,Frost::N,сивӗ,замгьари
86,Kälte::N,сивӗ,квач
87,Hitze::N,вӗри,багӏари
88,Hitze::N,шӑрӑх,багӏари
89,Raureif::N,пас,мартӏ
90,Regenbogen::N,асамат кӗперӗ,нур
91,Regenbogen::N,асамат кӗперӗ,чамбара
92,Donner::N,аслати,гъугъай
93,Donner::N,аслати,гъугъади
94,Strömung::N,юхӑ,чвахи
95,Tropfen::N,тумлам,резел
96,Tropfen::N,тумлам,тӏинкӏ
97,Tropfen::N,тумлам,къатӏра
98,Tropfen::N,тумлам,тӏенкӏел
99,Schaum::N,кӑпӑк,полоп
100,Schmutz::N,пылчӑк,чороклъи
101,See::N,кӳлӗ,хӏор
102,Sumpf::N,шур,хьуцӏ
103,Sumpf::N,шурлӑх,хьуцӏ
104,Moor::N,торфлӑ шурлӑх,
105,Wiese::N,улӑх,мегъ
106,Wiese::N,улӑх,гӏурдаллъи
107,Wiese::N,ҫаран,мегъ
108,Wiese::N,ҫаран,гӏурдаллъи
109,Wald::N,вӑрман,рохь
110,Hügel::N,сӑрт,гохӏ
111,Hügel::N,тӗмеске,гохӏ
112,Anhöhe::N,сӑрт,сийитма
113,Berg::N,ту,мегӏер
114,Gipfel::N,тӳпе,тӏогь
115,Höhle::N,ҫӗр хӑвӑлӗ,нохъо
116,Abhang::N,тӑвайкки,лабаллъи
117,Quelle::N,ҫӑл куҫ,ицц
118,Bach::N,пӗчӗк шыв,лъар
119,Fluss::N,юхан шыв,гӏор
120,Ufer::N,ҫыран,рагӏал
121,Küste::N,тинӗс ҫыранӗ,рагӏал
122,Festland::N,тип ҫӗр,ракь
123,Festland::N,тип ҫӗр,ракъдаллъи
124,Meer::N,тинӗс,ралъад
125,Bucht::N,тинӗс кукӑрӗ,кӏветӏ
126,Insel::N,утрав,чӏинкӏиллъи
127,Blume::N,чечек,тӏегь
128,Gras::N,курӑк,хер
129,Wurzel::N,тымар,кьибил
130,Baum::N,йывӑҫ,гъветӏ
131,Stamm::N,вулӑ,рохти
132,Rinde::N,хуйӑр,макъар
133,Ast::N,турат,ноцӏ
134,Zweig::N,турат,гӏаркьел
135,Blatt::N,ҫулҫӑ,тӏамах
136,Birke::N,хурӑн,мах
137,Birke::N,хурӑн,махигъветӏ
138,Kiefer[Baum]::N,хыр,накӏкӏигъветӏ
139,Weide[Baum]::N,хӑва,рицӏцӏ
140,Weide[Baum]::N,хӑва,рицӏцӏигъветӏ
141,Tanne::N,чӑрӑш,ёлка
142,Horn::N,мӑйрака,лълъар
143,Feder::N,тӗк,хӏули
144,Fell::N,ҫӑм,тӏом
145,Fell::N,ҫӑм,цӏоко
146,Flügel::N,ҫунат,кваркьи
147,Klaue::N,чӗрне,галъ
148,Kralle::N,ура,квачӏ
149,Kralle::N,ура,катиквачӏ
150,Schwanz::N,хӳре,рачӏ
151,Ei::N,ҫӑмарта,хоно
152,Nest::N,йӑва,бусен
153,Bau::N,йӗнӗ,каратӏ
154,Tier::N,выльӑх,хӏайван
155,Herde::N,кӗтӳ,рехъен
156,Herde::N,кӗтӳ,рехъед
157,Kuh::N,ӗне,гӏака
158,Bulle::N,вӑкӑр,оц
159,Pferd::N,лаша,чу
160,Schaf::N,сурӑх,чахъу
161,Schwein::N,сысна,болъон
162,Hund::N,йытӑ,гьой
163,Katze::N,кушак,кету
164,Bär::N,упа,ци
165,Eichhörnchen::N,пакша,гвангва
166,Elch::N,пӑши,
167,Fuchs::N,тилӗ,цер
168,Hase::N,куян,гӏанкӏ
169,Hase::N,мулкач,гӏанкӏ
170,Maus::N,шӑши,гӏункӏкӏ
171,Wolf::N,кашкӑр,бацӏ
172,Vogel::N,кайӑк,хӏинчӏ
173,Vogel::N,вӗҫен кайӑк,хӏинчӏ
174,Schwarm::N,ушкӑн,тӏел
175,Huhn::N,чӑх,гӏанкӏу
176,Huhn::N,чӑхӑ,гӏанкӏу
177,Hahn::N,автан,хӏелеко
178,Gans::N,хур,хъаз
179,Adler::N,ӑмӑрт кайӑк,цӏум
180,Ente::N,кӑвакал,ордек
181,Eule::N,тӑмана,беццаруз
182,Kranich::N,тӑрна,къункъра
183,Krähe::N,ула курак,гъеду
184,Kuckuck::N,куккук,гагу
185,Schwan::N,акӑш,хӏанкъва
186,Fisch::N,пулӑ,ччугӏа
187,Barsch::N,уланкӑ,окунь
188,Hecht::N,ҫӑрттан,щука
189,Schlange[Tier]::N,ҫӗлен,борохь
190,Wurm::N,ӑман,хӏапара
191,Spinne::N,эрешмен,хъанхъра
192,Ameise::N,кӑткӑ,цӏунцӏра
193,Laus::N,пыйтӑ,нацӏ
194,Mücke::N,вӑрӑм туна,кӏкӏара
195,Fliege::N,шӑна,тӏутӏ
196,Schmetterling::N,лӗпӗш,кӏалкӏучӏ
197,Beere::N,ҫырла,
198,Apfel::N,улма,гӏеч
199,Apfel::N,пан улми,гӏеч
200,Pilz::N,кӑмпа,гӏурдахӏан
201,Zwiebel::N,сухан,кӏочӏопер
202,Saat::N,вӑрӑ,хьон
