,Concept_ID,uk,tr
0,Auge::N,око,göz
1,Ohr::N,вухо,kulak
2,Nase::N,ніс,burun
3,Mund::N,рот,ağız
4,Zahn::N,зуб,diş
5,Zunge::N,язик,dil
6,Lippe::N,губа,dudak
7,Wange::N,щока,yanak
8,Gesicht::N,обличчя,yüz
9,Stirn::N,лоб,alın
10,Haar::N,волосся,saç
11,Schnurrbart::N,вуса,bıyık
12,Bart::N,борода,sakal
13,Kinn::N,підборіддя,çene
14,Kiefer[Anatomie]::N,щелепа,çene
15,Kehle::N,горло,boğaz
16,Hals::N,шия,boyun
17,Hals::N,шия,gerdan
18,Genick::N,потилиця,ense
19,Kopf::N,голова,baş
20,Kopf::N,голова,kafa
21,Rücken::N,спина,arka
22,Bauch::N,живіт,karın
23,Nabel::N,пупок,göbek
24,Busen::N,груди,koyun
25,Brust::N,груди,göğüs
26,Schulter::N,плече,omuz
27,Arm::N,рука,kol
28,Ellenbogen::N,лікоть,dirsek
29,Hand::N,рука,el
30,Handfläche::N,долоня,avuç
31,Handfläche::N,долоня,el ayası
32,Finger::N,палець,parmak
33,Fingernagel::N,ніготь,el tırnağı
34,Nagel[Anatomie]::N,ніготь,tırnak
35,Zeh::N,палець на нозі,ayak parmağı
36,Fuß::N,нога,ayak
37,Ferse::N,п’ятка,topuk
38,Knie::N,коліно,diz
39,Oberschenkel::N,стегно,uyluk
40,Bein::N,нога,bacak
41,Körper::N,тіло,vücut
42,Haut::N,шкіра,cilt
43,Blut::N,кров,kan
44,Ader::N,вена,damar
45,Sehne::N,сухожилля,kiriş
46,Knochen::N,кістка,kemik
47,Gehirn::N,мозок,beyin
48,Herz::N,серце,kalp
49,Herz::N,серце,yürek
50,Magen::N,шлунок,mide
51,Leber::N,печінка,karaciğer
52,Atem::N,дихання,nefes
53,Hunger::N,голод,açlık
54,Träne::N,сльоза,gözyaşı
55,Geschmack::N,смак,tat
56,Geschmack::N,смак,lezzet
57,Geruch::N,запах,koku
58,Schlaf::N,сон,uyku
59,Schlaf::N,сплячка,uyku
60,Traum::N,сон,düş
61,Traum::N,сон,rüya
62,Himmel::N,небо,gök
63,Sonne::N,сонце,güneş
64,Mond::N,місяць,ay
65,Stern::N,зірка,yıldız
66,Luft::N,повітря,hava
67,Wind::N,вітер,yel
68,Wind::N,вітер,rüzgâr
69,Welle::N,хвиля,dalga
70,Wasser::N,вода,su
71,Stein::N,камінь,taş
72,Boden::N,ґрунт,yer
73,Boden::N,ґрунт,zemin
74,Erde::N,земля,toprak
75,Staub::N,пил,toz
76,Rauch::N,дим,duman
77,Funke::N,іскра,kıvılcım
78,Feuer::N,вогонь,ateş
79,Licht::N,світло,ışık
80,Schatten::N,тінь,gölge
81,Wetter::N,погода,hava
82,Nebel::N,туман,pus
83,Wolke::N,хмара,bulut
84,Regen::N,дощ,yağmur
85,Schnee::N,сніг,kar
86,Eis::N,лід,buz
87,Frost::N,мороз,don
88,Kälte::N,холод,soğukluk
89,Hitze::N,жар,sıcaklık
90,Raureif::N,іній,kırç
91,Regenbogen::N,райдуга,gökkuşağı
92,Donner::N,грім,gök gürlemesi
93,Strömung::N,струмина,akıntı
94,Strömung::N,струмина,cereyan
95,Tropfen::N,крапля,damla
96,Schaum::N,піна,köpük
97,Schmutz::N,бруд,çamur
98,Schmutz::N,бруд,pislik
99,See::N,озеро,göl
100,Sumpf::N,драговина,batak
101,Moor::N,болото,cılgıt
102,Wiese::N,луг,çimen
103,Wiese::N,лука,çimen
104,Wald::N,ліс,koru
105,Wald::N,ліс,orman
106,Hügel::N,горб,tepe
107,Anhöhe::N,височина,tümsek
108,Anhöhe::N,височина,yükseklik
109,Berg::N,гора,dağ
110,Gipfel::N,вершина,zirve
111,Höhle::N,печера,in
112,Höhle::N,печера,mağara
