,Concept_ID,bg,ga
0,Auge::N,око,súil
1,Ohr::N,ухо,cluas
2,Nase::N,нос,soc
3,Mund::N,уста,béal
4,Zahn::N,зъб,fiacail
5,Zunge::N,език,teanga
6,Lippe::N,устна,liopa
7,Wange::N,буза,grua
8,Wange::N,буза,leiceann
9,Gesicht::N,лице,éadan
10,Gesicht::N,лице,aghaidh
11,Gesicht::N,образ,éadan
12,Gesicht::N,образ,aghaidh
13,Stirn::N,чело,baithis
14,Stirn::N,чело,clár éadain
15,Haar::N,коса,gruaig
16,Haar::N,косъм,gruaig
17,Schnurrbart::N,мустаци,croiméal
18,Bart::N,брада,féasóg
19,Kinn::N,брада,smig
20,Kinn::N,брадичка,smig
21,Kiefer[Anatomie]::N,челюст,giall
22,Kehle::N,гърло,scornach
23,Hals::N,врат,muinéal
24,Genick::N,тил,baic
25,Kopf::N,глава,ceann
26,Rücken::N,гръб,droim
27,Bauch::N,корем,bolg
28,Nabel::N,пъп,imleacán
29,Busen::N,бозка,cíoch
30,Brust::N,гръд,brollach
31,Schulter::N,рамо,gualainn
32,Schulter::N,плещи,gualainn
33,Arm::N,ръка,lámh
34,Ellenbogen::N,лакът,uillinn
35,Hand::N,ръка,lámh
36,Hand::N,китка,lámh
37,Handfläche::N,длан,bos
38,Finger::N,пръст,méar
39,Fingernagel::N,нокът,ionga
40,Nagel[Anatomie]::N,нокът,ionga
41,Zeh::N,пръст на крак,ladhar
42,Fuß::N,крак,cos
43,Fuß::N,крак,troigh
44,Fuß::N,нога,cos
45,Fuß::N,нога,troigh
46,Ferse::N,пета,sáil
47,Knie::N,коляно,glúin
48,Oberschenkel::N,бедро,ceathrú
49,Bein::N,крак,cos
50,Bein::N,нога,cos
51,Körper::N,тяло,corp
52,Körper::N,тяло,colainn
53,Haut::N,кожа,cneas
54,Haut::N,кожа,craiceann
55,Blut::N,кръв,fuil
56,Ader::N,вена,
57,Ader::N,артерия,
58,Sehne::N,жила,teannán
59,Sehne::N,жила,féitheog
60,Sehne::N,сухожилие,teannán
61,Sehne::N,сухожилие,féitheog
62,Knochen::N,кост,cnámh
63,Gehirn::N,мозък,inchinn
64,Herz::N,сърце,croí
65,Magen::N,стомах,bolg
66,Magen::N,стомах,goile
67,Leber::N,черен дроб,ae
68,Atem::N,дишане,anáil
69,Hunger::N,глад,ocras
70,Träne::N,сълза,deoir
71,Geschmack::N,вкус,blas
72,Geruch::N,миризма,boladh
73,Schlaf::N,сън,suan
74,Schlaf::N,сън,codladh
75,Traum::N,сън,taibhreamh
76,Himmel::N,небе,spéir
77,Sonne::N,слънце,grian
78,Mond::N,луна,ré
79,Mond::N,луна,gealach
80,Mond::N,месец,ré
81,Mond::N,месец,gealach
82,Stern::N,звезда,rinn
83,Stern::N,звезда,réalta
84,Luft::N,въздух,aer
85,Wind::N,вятър,gaoth
86,Welle::N,вълна,tonn
87,Wasser::N,вода,uisce
88,Stein::N,камък,cloch
89,Boden::N,земя,talamh
90,Boden::N,почва,talamh
91,Erde::N,земя,cré
92,Erde::N,земя,ithir
93,Erde::N,почва,cré
94,Erde::N,почва,ithir
95,Staub::N,прах,dusta
96,Staub::N,прах,deannach
97,Rauch::N,дим,toit
98,Rauch::N,дим,deatach
99,Rauch::N,пушек,toit
100,Rauch::N,пушек,deatach
101,Funke::N,искра,drithle
102,Feuer::N,огън,tine
103,Licht::N,светлина,solas
104,Schatten::N,сянка,scáth
105,Wetter::N,време,aimsir
106,Nebel::N,мъгла,ceo
107,Wolke::N,облак,néal
108,Wolke::N,облак,scamall
109,Regen::N,дъжд,báisteach
110,Regen::N,дъжд,fearthainn
111,Schnee::N,сняг,sneachta
112,Eis::N,лед,oighear
113,Frost::N,мраз,sioc
114,Kälte::N,студ,fuacht
115,Hitze::N,жега,teas
116,Hitze::N,жега,teocht
117,Hitze::N,горещина,teas
118,Hitze::N,горещина,teocht
119,Raureif::N,скреж,sioc bán
120,Raureif::N,слана,sioc bán
121,Regenbogen::N,дъга,stua ceatha
122,Regenbogen::N,дъга,bogha báistí
123,Donner::N,гръм,toirneach
124,Strömung::N,течение,sruth
125,Tropfen::N,капка,deoir
126,Schaum::N,пяна,cúr
127,Schmutz::N,кал,salachar
128,Schmutz::N,мръсотия,salachar
129,See::N,езеро,loch
130,Sumpf::N,блато,portach
131,Moor::N,мочурище,caorán
132,Moor::N,мочурище,móinteán
133,Wiese::N,ливада,cluain
134,Wiese::N,ливада,móinéar
135,Wald::N,гора,coill
136,Wald::N,гора,foraois
137,Hügel::N,рид,ard
138,Hügel::N,хълм,ard
139,Anhöhe::N,могила,ard
140,Anhöhe::N,могила,ardán
141,Anhöhe::N,възвишение,ard
142,Anhöhe::N,възвишение,ardán
143,Berg::N,планина,sliabh
144,Gipfel::N,връх,barr
145,Gipfel::N,връх,mullach
146,Höhle::N,пещера,uaimh
147,Höhle::N,пещера,pluais
148,Abhang::N,склон,fána
149,Abhang::N,стръмнина,fána
150,Quelle::N,извор,foinse
151,Bach::N,поток,sruthán
152,Fluss::N,река,abhainn
153,Ufer::N,бряг,bruach
154,Küste::N,бряг,cósta
155,Küste::N,бряг,cladach
156,Küste::N,крайбрежие,cósta
157,Küste::N,крайбрежие,cladach
158,Festland::N,суша,míntír
159,Meer::N,море,muir
160,Meer::N,море,farraige
161,Bucht::N,залив,bá
162,Bucht::N,залив,cuan
163,Insel::N,остров,inis
164,Insel::N,остров,oileán
165,Blume::N,цвете,bláth
166,Gras::N,трева,féar
167,Wurzel::N,корен,rúta
168,Wurzel::N,корен,fréamh
169,Baum::N,дърво,crann
170,Stamm::N,стъбло,stoc
171,Stamm::N,стъбло,tamhan
172,Rinde::N,кора,coirt
173,Rinde::N,кора,craiceann
174,Ast::N,клон,géag
175,Zweig::N,клон,géag
176,Zweig::N,клон,craobh
177,Blatt::N,лист,duille
178,Blatt::N,лист,duilleog
179,Birke::N,бреза,beith
180,Birke::N,бреза,crann beithe
181,Kiefer[Baum]::N,бор,péine
182,Weide[Baum]::N,върба,saileach
183,Tanne::N,ела,giúis
184,Horn::N,рог,adharc
185,Feder::N,перо,cleite
186,Fell::N,кожа,clúmh
187,Flügel::N,крило,eite
188,Flügel::N,крило,sciathán
189,Klaue::N,нокът,crúb
190,Klaue::N,нокът,crobh
191,Kralle::N,нокът,crobh
192,Schwanz::N,опашка,eireaball
193,Ei::N,яйце,ubh
194,Nest::N,гнездо,nead
195,Bau::N,дупка,brocais
196,Tier::N,животно,ainmhí
197,Tier::N,животно,beithíoch
198,Herde::N,стадо,tréad
199,Kuh::N,крава,bó
200,Bulle::N,бик,tarbh
