,Concept_ID,sah,uk
0,Auge::N,харах,око
1,Ohr::N,кулгаах,вухо
2,Nase::N,мурун,ніс
3,Mund::N,айах,рот
4,Zahn::N,тиис,зуб
5,Zunge::N,тыл,язик
6,Lippe::N,уос,губа
7,Wange::N,иэдэс,щока
8,Gesicht::N,сирэй,обличчя
9,Stirn::N,сүүс,лоб
10,Haar::N,баттах,волосся
11,Schnurrbart::N,уос бытыга,вуса
12,Bart::N,сэҥийэ бытыга,борода
13,Kinn::N,сэҥийэ,підборіддя
14,Kiefer[Anatomie]::N,сыҥаах,щелепа
15,Kehle::N,тамах,горло
16,Kehle::N,күөмэй,горло
17,Hals::N,моой,шия
18,Genick::N,кэтэх,потилиця
19,Kopf::N,бас,голова
20,Rücken::N,көҕүс,спина
21,Bauch::N,ис,живіт
22,Nabel::N,киин,пупок
23,Busen::N,эмиий,груди
24,Brust::N,түөс,груди
25,Schulter::N,сарын,плече
26,Arm::N,илии,рука
27,Ellenbogen::N,тоҕонох,лікоть
28,Hand::N,илии,рука
29,Handfläche::N,ытыс,долоня
30,Finger::N,тарбах,палець
31,Fingernagel::N,тыҥырах,ніготь
32,Nagel[Anatomie]::N,тыҥырах,ніготь
33,Zeh::N,тарбах,палець на нозі
34,Fuß::N,уллуҥах,нога
35,Ferse::N,тилэх,п’ятка
36,Knie::N,тобук,коліно
37,Knie::N,дьилбэк,коліно
38,Oberschenkel::N,уллук,стегно
39,Oberschenkel::N,өттүк,стегно
40,Bein::N,атах,нога
41,Körper::N,бэйэ,тіло
42,Haut::N,тирии,шкіра
43,Blut::N,хаан,кров
44,Ader::N,вена,вена
45,Ader::N,күөх_тымыр,вена
46,Sehne::N,иҥиир,сухожилля
47,Knochen::N,уҥуох,кістка
48,Knochen::N,уҥгуох,кістка
49,Gehirn::N,мэйии,мозок
50,Herz::N,сүрэх,серце
51,Magen::N,куртах,шлунок
52,Leber::N,быар,печінка
53,Atem::N,тыын,дихання
54,Hunger::N,аас,голод
55,Träne::N,харах уута,сльоза
56,Geschmack::N,амтан,смак
57,Geruch::N,сыт,запах
58,Schlaf::N,утуйуу,сон
59,Schlaf::N,утуйуу,сплячка
60,Traum::N,түүл,сон
61,Himmel::N,халлаан,небо
62,Sonne::N,күн,сонце
63,Mond::N,ый,місяць
64,Stern::N,сулус,зірка
65,Luft::N,салгын,повітря
66,Wind::N,тыал,вітер
67,Welle::N,долгун,хвиля
68,Welle::N,балхаан,хвиля
69,Wasser::N,уу,вода
70,Stein::N,таас,камінь
71,Boden::N,сир,ґрунт
72,Erde::N,буор,земля
73,Staub::N,быыл,пил
74,Rauch::N,буруо,дим
75,Funke::N,кыым,іскра
76,Feuer::N,уот,вогонь
77,Licht::N,уот,світло
78,Schatten::N,күлүк,тінь
79,Wetter::N,күн-дьыл,погода
80,Nebel::N,туман,туман
81,Wolke::N,былыт,хмара
82,Regen::N,самыыр,дощ
83,Schnee::N,хаар,сніг
84,Eis::N,муус,лід
85,Frost::N,тымныы,мороз
86,Kälte::N,тымныы,холод
87,Hitze::N,куйаас,жар
88,Raureif::N,кырыа,іній
89,Regenbogen::N,кустук,райдуга
90,Donner::N,этиҥ,грім
91,Strömung::N,сүүрүк,струмина
92,Tropfen::N,таммах,крапля
93,Tropfen::N,хааппыла,крапля
94,Schaum::N,күүгэн,піна
95,Schmutz::N,кир,бруд
96,See::N,күөл,озеро
97,Sumpf::N,бадараан,драговина
98,Moor::N,дьэбэрэ,болото
99,Wiese::N,ходуһа,луг
100,Wiese::N,ходуһа,лука
101,Wald::N,ойуур,ліс
102,Hügel::N,булгунньах,горб
103,Anhöhe::N,үрдэл,височина
104,Berg::N,хайа,гора
105,Gipfel::N,чыпчаал,вершина
106,Höhle::N,хайа_хаспаҕа,печера
107,Höhle::N,көҥүс,печера
108,Abhang::N,эниэ,схил
109,Quelle::N,дьүүктэ,джерело
110,Bach::N,үрүйэ,струмок
111,Fluss::N,өрүс,річка
112,Ufer::N,биэрэк,берег
113,Küste::N,кытыл,узбережжя
114,Festland::N,кураанах сир,суша
115,Meer::N,муора,море
116,Bucht::N,хомо,бухта
117,Bucht::N,хомо,затока
118,Bucht::N,бухта,бухта
119,Bucht::N,бухта,затока
120,Insel::N,арыы,острів
121,Blume::N,сибэкки,квітка
122,Gras::N,от,трава
123,Wurzel::N,силис,корінь
124,Baum::N,мас,дерево
125,Stamm::N,умнас,стовбур
126,Rinde::N,хатырык,кора
127,Ast::N,мутук,гілка
128,Zweig::N,лабаа,галузь
129,Blatt::N,сэбирдэх,лист
130,Birke::N,хатыҥ,береза
131,Kiefer[Baum]::N,бэс,сосна
132,Weide[Baum]::N,үөт,верба
133,Weide[Baum]::N,талах,верба
134,Tanne::N,харыйа,ялиця
135,Horn::N,муос,ріг
136,Feder::N,куорсун,перо
137,Fell::N,тирии,хутро
138,Flügel::N,кынат,крило
139,Klaue::N,тыҥырах,кіготь
140,Kralle::N,баппаҕай,лапа
141,Schwanz::N,кутурук,хвіст
142,Ei::N,сымыыт,яйце
143,Nest::N,уйа,гніздо
144,Bau::N,хороон,лігво
145,Tier::N,кыыл,тварина
146,Tier::N,харамай,тварина
147,Herde::N,үөр,стадо
148,Kuh::N,ынах,корова
149,Bulle::N,оҕус,бик
150,Bulle::N,оҕус,бугай
151,Pferd::N,сылгы,кінь
152,Schaf::N,овца,вівця
153,Schwein::N,сибиинньэ,свиня
154,Hund::N,ыт,собака
155,Katze::N,куоска,кішка
156,Bär::N,эһэ,ведмідь
157,Eichhörnchen::N,тииҥ,білка
158,Elch::N,тайах,лось
159,Fuchs::N,саһыл,лисиця
160,Hase::N,куобах,заєць
161,Maus::N,кутуйах,миша
162,Wolf::N,бөрө,вовк
163,Vogel::N,көтөр,птах
164,Schwarm::N,бөлөх,зграя
165,Huhn::N,куурусса,курка
166,Hahn::N,бөтүүк,півень
167,Gans::N,хаас,гуска
168,Adler::N,хотой,орел
169,Ente::N,кус,качка
170,Eule::N,мэкчиргэ,сова
171,Kranich::N,туруйа,журавель
172,Krähe::N,тураах,ворона
173,Kuckuck::N,кэҕэ,зозуля
174,Schwan::N,куба,лебідь
175,Fisch::N,балык,риба
176,Barsch::N,алыһар,окунь
177,Hecht::N,сордон,щука
178,Schlange[Tier]::N,моҕой,змія
179,Schlange[Tier]::N,эриэн үөн,змія
180,Wurm::N,үөн,черв’як
181,Spinne::N,ооҕуй,павук
182,Ameise::N,кымырдаҕас,мурашка
183,Laus::N,быт,воша
184,Mücke::N,кумаар,комар
185,Fliege::N,сахсырҕа,муха
186,Schmetterling::N,лыах,метелик
187,Schmetterling::N,үрүмэччи,метелик
188,Beere::N,отон,ягода
189,Apfel::N,яблоко,яблуко
190,Pilz::N,тэллэй,гриб
191,Zwiebel::N,луук,цибуля
192,Saat::N,сиэмэ,сім’я
193,Korn::N,сиэмэ,зерно
194,Heu::N,от,сіно
195,Schale::N,хах,шкірка
196,Grube::N,дьаама,яма
197,Falle::N,сохсо,пастка
198,Schlinge::N,уктаа,петля
199,Spur::N,суол,слід
200,Asche::N,күл,зола
201,Asche::N,күл,попіл
202,Dreck::N,бадараан,бруд
203,Eisen::N,тимир,залізо
204,Gold::N,көмүс,золото
205,Gold::N,кыһыл көмүс,золото
206,Silber::N,көмүс,срібло
207,Silber::N,үрүҥ көмүс,срібло
208,Kohle::N,чох,вугілля
209,Glas::N,өстүөкүлэ,скло
210,Lehm::N,туой,глина
211,Sand::N,кумах,пісок
212,Mensch::N,киһи,людина
213,Mann::N,эр,чоловік
214,Frau::N,дьахтар,жінка
215,Kind::N,оҕо,дитина
216,Junge::N,уол,хлопець
217,Mädchen::N,кыыс оҕо,дівчина
218,Familie::N,кэргэн,сім’я
219,Familie::N,кэргэн,родина
220,Großvater::N,эһэ,дідусь
221,Großmutter::N,эбэ,бабуся
222,Eltern::N,аҕа-ийэ,батьки
223,Vater::N,аҕа,батько
224,Mutter::N,ийэ,мати
225,Sohn::N,уол,син
226,Tochter::N,кыыс,дочка
227,Bruder::N,убай,брат
228,Bruder::N,быраат,брат
229,Schwester::N,аҕас,сестра
230,Schwester::N,балыс,сестра
231,Onkel::N,таай,дядько
232,Onkel::N,абаҕа,дядько
233,Tante::N,эдьиий,тітка
234,Ehemann::N,эр,чоловік
235,Ehefrau::N,ойох,жінка
236,Ehefrau::N,ойох,дружина
237,Freude::N,үөрүү,радощі
238,Gelächter::N,күлүү,сміх
239,Glück::N,дьол,щастя
240,Glück::N,соргу,щастя
241,Kummer::N,кутурҕан,горе
242,Wunsch::N,баҕарыы,бажання
243,Lust::N,баҕа,бажання
244,Geist::N,тыын,дух
245,Gedanke::N,санаа,думка
246,Gedächtnis::N,өй,пам’ять
247,Verstand::N,өй,розум
248,Sinn::N,суолта,зміст
249,Sinn::N,суолта,значення
250,Grund::N,төрүөт,причина
251,Wahrheit::N,кырдьык,правда
252,Gespräch::N,бэсиэдэ,розмова
253,Gespräch::N,кэпсэтии,розмова
254,Märchen::N,остуоруйа,байка
255,Erzählung::N,кэпсээн,повість
256,Erzählung::N,кэпсээн,оповідання
257,Nachricht::N,биллэриллии,повідомлення
258,Neuigkeit::N,сонун,новина
259,Name::N,аат,ім’я
260,Rätsel::N,таабырын,загадка
261,Rede::N,этии,промова
262,Sprache::N,тыл,мова
263,Stimme::N,куолас,голос
264,Wort::N,тыл,слово
265,Zeichen::N,бэлиэ,знак
266,Ruf::N,ыҥырыы,оклик
267,Lärm::N,айдаан,шум
268,Laut::N,тыас,звук
269,Ton::N,дорҕоон,тон
270,Lied::N,ырыа,пісня
271,Ruhe::N,уу чуумпу,спокій
272,Leute::N,дьон,люди
273,Volk::N,дьон,народ
274,Volk::N,норуот,народ
275,Arbeit::N,үлэ,робота
276,Gast::N,ыалдьыт,гість
277,Geschenk::N,бэлэх,подарунок
278,Spiel::N,оонньуу,гра
279,Gesellschaft::N,общество,товариство
280,Hilfe::N,көмө,допомога
281,Freund::N,доҕор,друг
282,Freund::N,доҕор,приятель
283,Kamerad::N,атас,товариш
284,Angelegenheit::N,дьыала,справа
285,Anzahl::N,ахсаан,число
286,Art::N,биис,рід
287,Stück::N,кырбас,кусок
288,Teil::N,ирээт,частина
289,Hälfte::N,аҥар,половина
290,Kreis::N,төгүрүк,круг
291,Kreis::N,төгүрүк,коло
292,Kreis::N,төгүрүмтэ,круг
293,Kreis::N,төгүрүмтэ,коло
294,Kreuz::N,кириэс,хрест
295,Linie::N,сурааһын,лінія
296,Strich::N,сурааһын,штрих
297,Abstand::N,арыт,проміжок
298,Entfernung::N,ыраах,відстань
299,Gegend::N,сир,місцевість
300,Platz::N,арыт,площа
301,Ort::N,сир,місце
302,Seite::N,өрүт,сторона
303,Seite::N,сирэй,сторона
304,Mitte::N,орто,середина
305,Gegenstand::N,предмет,предмет
306,Sache::N,мал,річ
307,Rand::N,кытыы,край
308,Rand::N,ойоҕос,край
309,Kante::N,кырыы,ребро
310,Ecke::N,муннук,ріг
311,Spitze::N,чыпчаал,кінчик
312,Ende::N,төбө,кінець
313,Loch::N,тэһэҕэс,діра
314,Loch::N,дьөлөҕөс,діра
315,Winkel::N,муннук,куток
316,Muster::N,оһуор,узор
317,Größe::N,кээмэй,розмір
318,Länge::N,уста,довжина
319,Höhe::N,үрдүк,висота
320,Gewicht::N,ыйааһын,вага
321,Menge::N,ахсаан,кількість
322,Haufen::N,чөмчөх,купа
323,Reihe::N,кэккэ,ряд
324,Boot::N,оҥочо,човен
325,Ruder::N,эрдии,весло
326,Schlitten::N,сыарҕа,сани
327,Ski::N,хайыһар,лижа
