,Concept_ID,,el
0,Auge::N,,μάτι
1,Auge::N,,οφθαλμός
2,Ohr::N,,αυτί
3,Nase::N,,μύτη
4,Mund::N,,στόμα
5,Zahn::N,,δόντι
6,Zunge::N,,γλώσσα
7,Lippe::N,,χείλος
8,Wange::N,,παρειά
9,Wange::N,,μάγουλο
10,Gesicht::N,,πρόσωπο
11,Stirn::N,,μέτωπο
12,Haar::N,,μαλλιά
13,Schnurrbart::N,,μουστάκι
14,Bart::N,,γένια
15,Kinn::N,,πιγούνι
16,Kiefer[Anatomie]::N,,σαγόνι
17,Kehle::N,,λαρύγγι
18,Hals::N,,λαιμός
19,Genick::N,,σβέρκος
20,Kopf::N,,κεφάλι
21,Rücken::N,,ράχη
22,Bauch::N,,κοιλιά
23,Nabel::N,,αφαλός
24,Busen::N,,στήθος
25,Brust::N,,στήθος
26,Schulter::N,,ώμος
27,Arm::N,,χέρι
28,Arm::N,,μπράτςο
29,Ellenbogen::N,,αγκώνας
30,Hand::N,,χέρι
31,Handfläche::N,,παλάμη
32,Finger::N,,δάχτυλο
33,Fingernagel::N,,νύχι
34,Nagel[Anatomie]::N,,νύχι
35,Zeh::N,,δάχτυλο του ποδιού
36,Fuß::N,,πόδι
37,Ferse::N,,φτέρνα
38,Knie::N,,γόνατο
39,Oberschenkel::N,,μηρός
40,Bein::N,,πόδι
41,Körper::N,,σώμα
42,Körper::N,,κορμί
43,Haut::N,,πετσί
44,Blut::N,,αίμα
45,Ader::N,,φλέβα
46,Sehne::N,,νεύρο
47,Sehne::N,,τένοντας
48,Knochen::N,,οστό
49,Knochen::N,,κόκκαλο
50,Gehirn::N,,μυαλό
51,Gehirn::N,,εγκέφαλος
52,Herz::N,,καρδιά
53,Magen::N,,στομάχι
54,Leber::N,,ήπαρ
55,Leber::N,,συκωτί
56,Atem::N,,αναπνοή
57,Hunger::N,,πείνα
58,Träne::N,,δάκρυ
59,Geschmack::N,,γεύση
60,Geruch::N,,οσμή
61,Geruch::N,,μυρωδία
62,Schlaf::N,,ύπνος
63,Traum::N,,όνειρο
64,Himmel::N,,ουρανός
65,Sonne::N,,ήλιος
66,Mond::N,,σελήνη
67,Mond::N,,φεγγάρι
68,Stern::N,,άστρο
69,Stern::N,,αστέρι
70,Luft::N,,αέρας
71,Wind::N,,αέρας
72,Wind::N,,άνεμος
73,Welle::N,,κύμα
74,Wasser::N,,νερό
75,Stein::N,,πέτρα
76,Boden::N,,χώμα
77,Erde::N,,γη
78,Staub::N,,σκόνη
79,Rauch::N,,καπνός
80,Funke::N,,σπίθα
81,Funke::N,,σπινθήρας
82,Feuer::N,,φωτιά
83,Licht::N,,φως
84,Schatten::N,,σκιά
85,Schatten::N,,ίσκιος
86,Wetter::N,,καιρός
87,Nebel::N,,ομίχλη
88,Wolke::N,,σύννεφο
89,Regen::N,,βροχή
90,Schnee::N,,χιόνι
91,Eis::N,,πάγος
92,Frost::N,,παγωνία
93,Kälte::N,,κρύο
94,Kälte::N,,ψύχος
95,Hitze::N,,ζέστη
96,Raureif::N,,πάχνη
97,Regenbogen::N,,ουράνιο τόξο
98,Donner::N,,βροντή
99,Strömung::N,,ρεύμα
100,Tropfen::N,,στάλα
101,Schaum::N,,αφρός
102,Schmutz::N,,βρωμιά
103,See::N,,λίμνη
104,Sumpf::N,,βάλτος
105,Moor::N,,έλος
106,Wiese::N,,λιβάδι
107,Wald::N,,δάσος
108,Hügel::N,,λόφος
109,Anhöhe::N,,ύψωμα
110,Berg::N,,όρος
111,Berg::N,,βουνό
112,Gipfel::N,,κορυφή
113,Höhle::N,,σπηλιά
114,Abhang::N,,πλαγιά
115,Quelle::N,,πηγή
116,Quelle::N,,βρύση
117,Bach::N,,ρυάκι
118,Fluss::N,,ποτάμι
119,Fluss::N,,ποταμός
120,Ufer::N,,όχθη
121,Küste::N,,ακτή
122,Küste::N,,ακρογιαλιά
123,Festland::N,,στεριά
124,Meer::N,,θάλασσα
125,Bucht::N,,κόλπος
126,Insel::N,,νησί
127,Insel::N,,νήσος
128,Blume::N,,άνθος
129,Blume::N,,λουλούδι
130,Gras::N,,χόρτο
131,Gras::N,,χορτάρι
132,Wurzel::N,,ρίζα
133,Baum::N,,δέντρο
134,Stamm::N,,κορμός
135,Rinde::N,,φλούδα
136,Ast::N,,κλαδί
137,Zweig::N,,κλαδί
138,Zweig::N,,κλάδος
139,Blatt::N,,φύλλο
140,Birke::N,,σημύδα
141,Kiefer[Baum]::N,,πεύκο
142,Weide[Baum]::N,,ιτιά
143,Tanne::N,,έλατο
144,Horn::N,,κέρας
145,Horn::N,,κέρατο
146,Feder::N,,φτερό
147,Fell::N,,δέρμα
148,Fell::N,,τομάρι
149,Flügel::N,,πτερύγιο
150,Klaue::N,,κουλό
151,Kralle::N,,νύχι
152,Schwanz::N,,ουρά
153,Ei::N,,αβγό
154,Nest::N,,φωλιά
155,Bau::N,,φωλιά
156,Tier::N,,ζώο
157,Herde::N,,κοπάδι
158,Kuh::N,,αγελάδα
159,Bulle::N,,ταύρος
160,Pferd::N,,άλογο
161,Schaf::N,,πρόβατο
162,Schwein::N,,γουρούνι
163,Hund::N,,σκυλί
164,Hund::N,,σκύλος
165,Katze::N,,γάτα
166,Bär::N,,άρκτος
167,Bär::N,,αρκούδα
168,Eichhörnchen::N,,βερβερίτσα
169,Elch::N,,άλκη
170,Fuchs::N,,αλεπού
171,Hase::N,,λαγός
172,Maus::N,,ποντικός
173,Wolf::N,,λύκος
174,Vogel::N,,πουλί
175,Schwarm::N,,σμήνος
176,Huhn::N,,κότα
177,Huhn::N,,όρνιθα
178,Hahn::N,,πετεινός
179,Gans::N,,χήνα
180,Adler::N,,αετός
181,Ente::N,,πάπια
182,Eule::N,,κουκουβάγια
183,Kranich::N,,γερανός
184,Krähe::N,,καρακάξα
185,Kuckuck::N,,κούκος
186,Schwan::N,,κύκνος
187,Fisch::N,,ψάρι
188,Barsch::N,,πέρκα
189,Hecht::N,,λούτσος
190,Schlange[Tier]::N,,φίδι
191,Wurm::N,,σκουλήκι
192,Spinne::N,,αράχνη
193,Ameise::N,,μυρμήγκι
194,Laus::N,,ψείρα
195,Mücke::N,,κουνούπι
196,Fliege::N,,μύγα
197,Schmetterling::N,,πεταλούδα
198,Beere::N,,ρόγα
199,Apfel::N,,μήλο
200,Pilz::N,,μανιτάρι
201,Zwiebel::N,,κρεμμύδι
202,Saat::N,,σπόρος
203,Korn::N,,σπυρί
204,Heu::N,,σανός
205,Schale::N,,τσόφλι
206,Grube::N,,λάκκος
207,Falle::N,,παγίδα
208,Schlinge::N,,θηλειά
209,Spur::N,,ίχνος
210,Asche::N,,στάχτη
211,Dreck::N,,βρωμιά
212,Eisen::N,,σίδερο
213,Gold::N,,μάλαμα
214,Gold::N,,χρυσάφι
215,Silber::N,,ασήμι
216,Silber::N,,άργυρος
217,Kohle::N,,κάρβουνο
218,Glas::N,,γυαλί
219,Lehm::N,,πηλός
220,Sand::N,,άμμος
221,Mensch::N,,άνθρωπος
222,Mann::N,,άνδρας
223,Frau::N,,γυναίκα
224,Kind::N,,παιδί
225,Junge::N,,αγόρι
226,Mädchen::N,,κοπέλα
227,Mädchen::N,,κορίτσι
228,Familie::N,,οικογένεια
229,Großvater::N,,παππούς
230,Großmutter::N,,γιαγιά
231,Eltern::N,,γονείς
232,Vater::N,,πατέρας
233,Mutter::N,,μητέρα
234,Sohn::N,,γιος
235,Tochter::N,,κόρη
236,Bruder::N,,αδελφός
237,Schwester::N,,αδελφή
238,Onkel::N,,θείος
239,Tante::N,,θεία
240,Ehemann::N,,σύζυγος
241,Ehefrau::N,,σύζυγος
