,Concept_ID,az,no
0,Auge::N,göz,øye
1,Ohr::N,qulaq,øre
2,Nase::N,burun,nese
3,Mund::N,ağız,munn
4,Zahn::N,diş,tann
5,Zunge::N,dil,tunge
6,Lippe::N,dodaq,leppe
7,Wange::N,yanaq,kinn
8,Gesicht::N,üz,fjes
9,Gesicht::N,üz,ansikt
10,Stirn::N,alın,panne
11,Haar::N,saç,hår
12,Schnurrbart::N,bığ,bart
13,Bart::N,saqqal,skjegg
14,Kinn::N,çənə,hake
15,Kiefer[Anatomie]::N,çənə,kjeve
16,Kehle::N,boğaz,strupe
17,Hals::N,boyun,hals
18,Genick::N,ənsə,nakke
19,Kopf::N,baş,hode
20,Rücken::N,bel,rygg
21,Bauch::N,qarın,buk
22,Bauch::N,qarın,mage
23,Nabel::N,göbək,navle
24,Busen::N,məmə,barm
25,Brust::N,döş,bryst
26,Schulter::N,çiyin,skulder
27,Arm::N,qol,arm
28,Ellenbogen::N,dirsək,albue
29,Hand::N,əl,hånd
30,Handfläche::N,ovuc,håndflate
31,Finger::N,barmaq,finger
32,Fingernagel::N,barmaq dırnağı,fingernegl
33,Nagel[Anatomie]::N,dırnak,negl
34,Zeh::N,ayaq barmağı,tå
35,Fuß::N,ayaq,fot
36,Ferse::N,daban,hæl
37,Knie::N,diz,kne
38,Oberschenkel::N,bud,lår
39,Bein::N,qıç,bein
40,Körper::N,əndam,kropp
41,Körper::N,əndam,legeme
42,Haut::N,dəri,hud
43,Haut::N,dəri,skinn
44,Blut::N,qan,blod
45,Ader::N,damar,åre
46,Sehne::N,vətər,sene
47,Knochen::N,sümük,bein
48,Knochen::N,sümük,knokkel
49,Gehirn::N,beyin,hjerne
50,Herz::N,ürək,hjerte
51,Magen::N,mədə,mage
52,Leber::N,qara ciyər,lever
53,Atem::N,nəfəs,pust
54,Hunger::N,aclıq,sult
55,Träne::N,göz yaşı,tåre
56,Geschmack::N,tam,smak
57,Geschmack::N,ləzzət,smak
58,Geruch::N,qoxu,lukt
59,Schlaf::N,yuxu,søvn
60,Traum::N,röya,drøm
61,Himmel::N,göy,himmel
