,Concept_ID,cv,nl
0,Auge::N,куҫ,oog
1,Ohr::N,хӑлха,oor
2,Nase::N,сӑмса,neus
3,Mund::N,ҫӑвар,mond
4,Zahn::N,шӑл,tand
5,Zunge::N,чӗлхе,tong
6,Lippe::N,тута,lip
7,Wange::N,пит ҫӑмарти,wang
8,Gesicht::N,пит,gelaat
9,Gesicht::N,пит,gezicht
10,Gesicht::N,пит-куҫ,gelaat
11,Gesicht::N,пит-куҫ,gezicht
12,Stirn::N,ҫамка,voorhoofd
13,Haar::N,ҫӳҫ,haar
14,Schnurrbart::N,усси,snor
15,Bart::N,сухал,baard
16,Kinn::N,янах,kin
17,Kiefer[Anatomie]::N,янах,kaak
18,Kehle::N,пыр,keel
19,Kehle::N,пыр,strot
20,Kehle::N,карланкӑ,keel
21,Kehle::N,карланкӑ,strot
22,Hals::N,пыр,hals
23,Genick::N,ӗнсе,nek
24,Kopf::N,пуҫ,hoofd
25,Rücken::N,ҫурӑм,rug
26,Nabel::N,кӑвапа,navel
27,Busen::N,кӑкӑр,boezem
28,Brust::N,умӗ,borst
29,Schulter::N,хул пуҫҫи,schouder
30,Arm::N,алӑ,arm
31,Ellenbogen::N,чавса,elleboog
32,Hand::N,алӑ сыппи,hand
33,Handfläche::N,ал лаппи,handpalm
34,Finger::N,пӳрне,vinger
35,Fingernagel::N,чӗрне,nagel
36,Nagel[Anatomie]::N,чӗрне,nagel
37,Zeh::N,пӳрне,teen
38,Fuß::N,ура лаппи,voet
39,Ferse::N,кӗле,hak
40,Ferse::N,кӗле,hiel
41,Knie::N,чӗркуҫҫи,knie
42,Oberschenkel::N,пӗҫӗ,dij
43,Bein::N,ура,been
44,Körper::N,ӳт,lichaam
45,Körper::N,ӳт-пӳ,lichaam
46,Haut::N,тир,huid
47,Blut::N,юн,bloed
48,Ader::N,вена,ader
49,Sehne::N,шӑнӑр,pees
50,Knochen::N,шӑмӑ,bot
51,Knochen::N,шӑмӑ,been
52,Knochen::N,шӑмӑ,knook
53,Gehirn::N,миме,hersenen
54,Herz::N,чӗре,hart
55,Magen::N,хырӑмлӑх,maag
56,Leber::N,пӗвер,lever
57,Atem::N,сывлав,adem
58,Hunger::N,выҫлӑх,honger
59,Träne::N,куҫҫуль,traan
60,Geschmack::N,техӗм,smaak
61,Geruch::N,шӑршӑ,geur
62,Schlaf::N,ыйхӑ,slaap
63,Traum::N,тӗлӗк,droom
64,Himmel::N,пӗлӗт,hemel
65,Sonne::N,хӗвел,zon
66,Mond::N,уйӑх,maan
67,Stern::N,ҫӑлтӑр,ster
68,Luft::N,сывлӑш,lucht
69,Wind::N,ҫил,wind
70,Welle::N,хум,golf
71,Wasser::N,шыв,water
72,Wasser::N,шыв-шур,water
73,Stein::N,чул,steen
74,Boden::N,тӑпра,grond
75,Erde::N,ҫӗр,aarde
76,Staub::N,тусан,stof
77,Rauch::N,тӗтӗм,rook
78,Funke::N,хӗм,vonk
79,Feuer::N,вут,vuur
80,Feuer::N,ҫулӑм,vuur
81,Licht::N,ҫутӑ,licht
82,Schatten::N,сулхӑн,schaduw
83,Wetter::N,ҫанталӑк,weer
84,Nebel::N,тӗтре,mist
85,Nebel::N,тӗтре,nevel
86,Wolke::N,пӗлӗт,wolk
87,Regen::N,ҫумӑр,regen
88,Schnee::N,юр,sneeuw
89,Eis::N,пӑр,ijs
90,Frost::N,сивӗ,vorst
91,Kälte::N,сивӗ,kou
92,Kälte::N,сивӗ,koude
93,Hitze::N,вӗри,hitte
94,Hitze::N,шӑрӑх,hitte
95,Raureif::N,пас,rijp
96,Regenbogen::N,асамат кӗперӗ,regenboog
97,Donner::N,аслати,donder
98,Strömung::N,юхӑ,stroming
99,Tropfen::N,тумлам,druppel
100,Schaum::N,кӑпӑк,schuim
101,Schmutz::N,пылчӑк,vuil
102,See::N,кӳлӗ,meer
103,Sumpf::N,шур,moeras
104,Sumpf::N,шурлӑх,moeras
105,Moor::N,торфлӑ шурлӑх,veen
106,Wiese::N,улӑх,wei
107,Wiese::N,улӑх,weide
108,Wiese::N,ҫаран,wei
109,Wiese::N,ҫаран,weide
110,Wald::N,вӑрман,bos
111,Hügel::N,сӑрт,heuvel
