,Concept_ID,es,ku
0,Auge::N,ojo,çav
1,Ohr::N,oreja,guh
2,Nase::N,nariz,bêvil
3,Mund::N,boca,dev
4,Zahn::N,diente,didan
5,Zunge::N,lengua,ziman
6,Lippe::N,labio,lêv
7,Wange::N,mejilla,dêm
8,Wange::N,mejilla,hinarik
9,Gesicht::N,cara,rû
10,Stirn::N,frente,enî
11,Haar::N,cabello,por
12,Schnurrbart::N,bigote,simbêl
13,Bart::N,barba,rih
14,Kinn::N,barbilla,zenî
15,Kiefer[Anatomie]::N,mandíbula,arguşk
16,Kehle::N,garganta,qirik
17,Hals::N,cuello,stû
18,Hals::N,cuello,qirik
19,Genick::N,nuca,stû
20,Genick::N,cerviz,stû
21,Kopf::N,cabeza,serî
22,Rücken::N,espalda,pişt
23,Bauch::N,vientre,ûr
24,Bauch::N,vientre,zik
25,Nabel::N,ombligo,navik
26,Busen::N,pecho,sîng
27,Brust::N,pecho,sîng
28,Schulter::N,hombro,mil
29,Arm::N,brazo,çepil
30,Ellenbogen::N,codo,enîşk
31,Hand::N,mano,dest
32,Handfläche::N,palma,kefadest
33,Finger::N,dedo,tilî
34,Fingernagel::N,uña,neynuk
35,Nagel[Anatomie]::N,uña,bizmar
36,Zeh::N,dedo del pie,tilî linga
37,Fuß::N,pie,ling
38,Ferse::N,talón,pahnî
39,Knie::N,rodilla,kabok
40,Oberschenkel::N,muslo,rahn
41,Bein::N,pierna,çip
42,Körper::N,cuerpo,laş
43,Körper::N,cuerpo,gowde
44,Haut::N,piel,çerm
45,Blut::N,sangre,xwîn
46,Ader::N,vena,reh
47,Sehne::N,tendón,reh
48,Knochen::N,hueso,hestî
49,Gehirn::N,cerebro,mêjî
50,Gehirn::N,encéfalo,mêjî
51,Herz::N,corazón,dil
52,Magen::N,estómago,navêş
53,Leber::N,hígado,kezeb
54,Atem::N,aliento,hilm
55,Hunger::N,hambre,birçîtî
56,Träne::N,lágrima,hêstir
57,Geschmack::N,gusto,tam
58,Geruch::N,olor,bêhn
59,Schlaf::N,sueño,xew
60,Traum::N,sueño,xewn
61,Traum::N,ensueño,xewn
62,Himmel::N,cielo,ezman
63,Sonne::N,sol,roj
64,Mond::N,luna,heyv
65,Stern::N,estrella,stêrk
66,Luft::N,aire,ba
67,Wind::N,viento,ba
68,Welle::N,ola,şewl
69,Welle::N,onda,şewl
70,Wasser::N,agua,av
71,Stein::N,piedra,kevir
72,Boden::N,suelo,herd
73,Erde::N,tierra,ax
74,Staub::N,polvo,toz
75,Rauch::N,humo,dû
76,Funke::N,chispa,çirûşk
77,Feuer::N,fuego,agir
78,Licht::N,luz,ronahî
79,Schatten::N,sombra,sî
80,Wetter::N,tiempo,hewa
81,Nebel::N,niebla,mij
82,Wolke::N,nube,ewr
83,Regen::N,lluvia,baran
84,Schnee::N,nieve,berf
85,Eis::N,hielo,qeşa
86,Frost::N,helada,xûsik
87,Kälte::N,frío,serma
88,Hitze::N,calor,germayî
89,Raureif::N,escarcha,şext
