,Concept_ID,,cs
0,Auge::N,,oko
1,Ohr::N,,ucho
2,Nase::N,,nos
3,Mund::N,,pusa
4,Zahn::N,,zub
5,Zunge::N,,jazyk
6,Lippe::N,,ret
7,Wange::N,,tvář
8,Gesicht::N,,obličej
9,Stirn::N,,čelo
10,Haar::N,,vlas
11,Haar::N,,vlasy
12,Schnurrbart::N,,kníry
13,Bart::N,,vousy
14,Kinn::N,,brada
15,Kiefer[Anatomie]::N,,čelist
16,Kehle::N,,hrdlo
17,Hals::N,,krk
18,Genick::N,,týl
19,Kopf::N,,hlava
20,Rücken::N,,záda
21,Rücken::N,,hřbet
22,Bauch::N,,břicho
23,Nabel::N,,pupek
24,Busen::N,,ňadra
25,Brust::N,,prsa
26,Schulter::N,,plece
27,Schulter::N,,rameno
28,Arm::N,,ruka
29,Ellenbogen::N,,loket
30,Hand::N,,ruka
31,Handfläche::N,,dlaň
32,Finger::N,,prst
33,Fingernagel::N,,nehet
34,Nagel[Anatomie]::N,,nehet
35,Zeh::N,,prst u nohy
36,Fuß::N,,noha
37,Ferse::N,,pata
38,Knie::N,,koleno
39,Oberschenkel::N,,stehno
40,Bein::N,,noha
41,Körper::N,,tělo
42,Haut::N,,kůže
43,Blut::N,,krev
44,Ader::N,,céva
45,Sehne::N,,šlacha
46,Knochen::N,,kost
47,Gehirn::N,,mozek
48,Herz::N,,srdce
49,Magen::N,,žaludek
50,Leber::N,,játra
51,Atem::N,,dech
52,Hunger::N,,hlad
53,Träne::N,,slza
54,Geschmack::N,,vkus
55,Geruch::N,,vůně
56,Geruch::N,,zápach
57,Schlaf::N,,spánek
58,Traum::N,,sen
59,Himmel::N,,nebe
60,Sonne::N,,slunce
61,Mond::N,,měsíc
62,Stern::N,,hvězda
63,Luft::N,,vzduch
64,Wind::N,,vítr
65,Welle::N,,vlna
66,Wasser::N,,voda
67,Stein::N,,kámen
68,Boden::N,,půda
69,Erde::N,,země
70,Staub::N,,prach
71,Rauch::N,,dým
72,Rauch::N,,kouř
73,Funke::N,,jiskra
