,Concept_ID,mdf,kk
0,Auge::N,сельме,көз
1,Ohr::N,пиле,құлақ
2,Nase::N,шалхка,мұрын
3,Mund::N,курга,ауыз
4,Zahn::N,пей,тіс
5,Zunge::N,кяль,тіл
6,Lippe::N,търва́,ерін
7,Wange::N,щёка,ұрт
8,Gesicht::N,шама,бет-аузы
9,Stirn::N,коня,маңдай
10,Haar::N,шя́ярь,қыл
11,Schnurrbart::N,уса́,мұрт
12,Bart::N,сакал,сақал
13,Kinn::N,ула,иек
14,Kiefer[Anatomie]::N,саласка,жақ
15,Kehle::N,кълдома,алқым
16,Kehle::N,кърга́парь,алқым
17,Hals::N,сялдаз,мойын
18,Genick::N,шовонь,желке
19,Kopf::N,пря,кәллә
20,Rücken::N,копорь,арқа
21,Bauch::N,пеке,қарын
22,Nabel::N,по́кон,кіндік
23,Busen::N,потя,омырау
24,Brust::N,мяште,кеуде
25,Schulter::N,лафту,иық
26,Arm::N,кядь,қол
27,Ellenbogen::N,кенерьба́карь,шынтақ
28,Hand::N,кядь,қол
29,Handfläche::N,кядьлапш,алақан
30,Finger::N,сур,саусақ
31,Fingernagel::N,кенже,тырнақ
32,Nagel[Anatomie]::N,кенже,тырнақ
33,Zeh::N,пильгосу́р,тырнақ
34,Zeh::N,пильгосу́р,тұяқ
35,Fuß::N,пильге,аяқ-басы
36,Fuß::N,пильгелапа,аяқ-басы
37,Ferse::N,кочкяря,өкше
38,Ferse::N,кочкяря,өкшелік
39,Knie::N,эль,тізе
40,Knie::N,пълма́нжа,тізе
41,Oberschenkel::N,пильгепукша,жамбас
42,Bein::N,пильге,аяқ
43,Körper::N,ро́нга,дене
44,Körper::N,по́нда,дене
45,Haut::N,киське,тері
46,Blut::N,вер,қан
47,Ader::N,сан,көктамыр
48,Ader::N,сан,күретамыр
49,Ader::N,верза́н,көктамыр
50,Ader::N,верза́н,күретамыр
51,Sehne::N,коське сан,сіңір
52,Knochen::N,пакарь,жілік
53,Gehirn::N,уй,ми
54,Herz::N,седи,жүрек
55,Magen::N,коткърдазь,асқазан
56,Leber::N,макса,бауыр
57,Atem::N,лекома,леп
58,Atem::N,ваймонь тарксема,леп
59,Hunger::N,вачеши,ашаршылық
60,Träne::N,сельмове́дь,жас
61,Geschmack::N,таньф,дәм
62,Geschmack::N,таньф,татым
63,Geschmack::N,таньф,талғам
64,Geruch::N,шине,иіс
65,Schlaf::N,удома́,ұйқы
66,Schlaf::N,удома́,ұйықтау
67,Traum::N,он,түс
68,Himmel::N,менель,аспан
69,Himmel::N,менель,көқ
70,Himmel::N,менель,таңдай
71,Sonne::N,ши,күн
72,Mond::N,ков,ай
73,Stern::N,тяште,жұлдыз
74,Luft::N,кожф,әуе
75,Wind::N,варма,жел
76,Welle::N,тавла,толқын
77,Wasser::N,ведь,су
78,Stein::N,кев,тас
79,Boden::N,мода,қыртыс
80,Boden::N,потмакс,қыртыс
81,Erde::N,мода,топырақ
82,Erde::N,мастор,топырақ
83,Staub::N,пуль,шаң
84,Rauch::N,качам,түтін
85,Funke::N,ця́тка,ұшқын
86,Feuer::N,тол,алау
87,Licht::N,ва́лда,шұғыла
88,Schatten::N,цильф,көлеңке
89,Wetter::N,уша,ауа райы
90,Nebel::N,тума́н,тұман
91,Wolke::N,ковол,бұлт
92,Regen::N,пизем,жаңбыр
93,Schnee::N,лов,қар
94,Eis::N,эй,мұз
95,Frost::N,ке́льме,суық
96,Kälte::N,якшама,ызғар
97,Kälte::N,якшама,суықтық
98,Hitze::N,пси,аптап
99,Raureif::N,леш,қырау
100,Regenbogen::N,а́тямъёнга,кемпірқосақ
101,Donner::N,атям,күн күркіреу
102,Strömung::N,шудема́,ағын
103,Tropfen::N,путькс,тамшы
104,Tropfen::N,пътняфкс,тамшы
105,Schaum::N,шов,көбік
106,Schmutz::N,ърда́з,кір
107,See::N,эрьхке,көл
108,Sumpf::N,шяй,саз
109,Moor::N,шяй,саз
110,Wiese::N,луга,шалғын
111,Wald::N,вирь,орман
112,Hügel::N,губо́р,төбе
113,Hügel::N,губо́р,белес
114,Hügel::N,губо́р,белес-белес
115,Hügel::N,пандоня,төбе
116,Hügel::N,пандоня,белес
117,Hügel::N,пандоня,белес-белес
118,Anhöhe::N,губо́р,дөң
119,Anhöhe::N,губо́р,адыр
120,Anhöhe::N,губо́р,қырат
121,Berg::N,панда,тау
122,Gipfel::N,пря,төбе
123,Höhle::N,у́нда,үңгір
124,Abhang::N,па́нда ша́ма,бауыр
125,Quelle::N,эшиня,қайнар
126,Bach::N,шудерькс,жылға
127,Fluss::N,ляй,өзен
128,Ufer::N,търва́,жиек
129,Küste::N,ляйтърва́,жиегі
130,Küste::N,ляйтърва́,жағалау
131,Festland::N,мода,құрылық
132,Meer::N,моря,теңіз
133,Bucht::N,ведьуське,шығанақ
134,Insel::N,цёнга,арал
135,Blume::N,панчф,гүл
136,Gras::N,тише,от
137,Wurzel::N,юр,түбір
138,Wurzel::N,ункс,түбір
139,Baum::N,шуфта,ағаш
140,Baum::N,шуфта,дарақ
141,Stamm::N,ро́нга,сояу
142,Stamm::N,ро́нга,оқпан
143,Rinde::N,кер,қабық
144,Ast::N,морга,бұтақ
145,Zweig::N,тарад,шыбық
146,Blatt::N,лопа,жапырақ
147,Birke::N,ке́лу,қайың
148,Kiefer[Baum]::N,пиче,қарағай
149,Weide[Baum]::N,каль,тал
150,Tanne::N,куз,шырша
151,Horn::N,сюра,мүйіз
152,Feder::N,толга,қаламұш
153,Fell::N,кедь,тері
154,Flügel::N,паця,қанат
155,Klaue::N,кенже,тырнақ
156,Kralle::N,кенже,аяқ
157,Schwanz::N,пула,құйрық
158,Ei::N,ал,жұмыртқа
159,Nest::N,пиза,ұя
160,Bau::N,пиза,жатақ
161,Tier::N,жува́та,айуан
162,Tier::N,жува́та,жануар
163,Herde::N,нал,пада
164,Herde::N,стада,пада
165,Kuh::N,скал,сиыр
166,Kuh::N,тракс,сиыр
167,Bulle::N,бука,өгіз
168,Pferd::N,лишме,жылқы
169,Schaf::N,уча́,қой
170,Schwein::N,тува,шошқа
171,Hund::N,пине,ит
172,Katze::N,катоня,мысық
173,Katze::N,аваката,мысық
174,Bär::N,офта,аю
175,Eichhörnchen::N,ур,тиін
176,Elch::N,ся́рда,бұғы
177,Fuchs::N,келазь,түлкі
178,Hase::N,ну́мол,қоян
179,Maus::N,шеер,қаптесер
180,Wolf::N,върьгаз,бөрі
181,Wolf::N,върьгаз,қасқыр
182,Vogel::N,нармонь,құс
183,Schwarm::N,ко́вол,топ
184,Schwarm::N,ко́вол,үйір
185,Schwarm::N,ме́швеле,топ
186,Schwarm::N,ме́швеле,үйір
187,Huhn::N,сараз,тауық
188,Huhn::N,сараз,мекиен
189,Hahn::N,а́тякш,әтеш
190,Hahn::N,а́тякш,қораз
191,Gans::N,маци,қаз
192,Adler::N,куцькан,бүркіт
193,Ente::N,яксярга,үйрек
194,Eule::N,ко́рож,жапалақ
195,Kranich::N,ка́рга,тырна
196,Krähe::N,ва́рси,қарға
197,Kuckuck::N,ку́ку,көкек
198,Schwan::N,ло́ксти,аққу
199,Fisch::N,кал,балық
200,Barsch::N,о́кунь,алабұға
201,Hecht::N,щу́ка,шортан
202,Schlange[Tier]::N,куй,жылан
203,Wurm::N,сукс,шұбалшаң
204,Spinne::N,унжа́,өрмекші
205,Ameise::N,панжам,қүмырска
206,Laus::N,си,бит
207,Mücke::N,ся́ське,маса
208,Fliege::N,кару,шыбын
209,Schmetterling::N,ме́лав,көбелек
210,Beere::N,и́мож,жидек
211,Apfel::N,марь,алма
212,Pilz::N,панга,қозықұйрық
213,Pilz::N,панга,саңыраукулақ
214,Zwiebel::N,шурьхкя́,жуа
215,Saat::N,видьмот,тұқым
216,Korn::N,сёра,дән
217,Heu::N,тише,шөп
218,Schale::N,кедь,қабық
219,Schale::N,кедь,қабығы
220,Grube::N,лотка,ор
221,Falle::N,туфкс,дұзақ
222,Falle::N,туфкс,қақпан
223,Falle::N,кунда́ма,дұзақ
224,Falle::N,кунда́ма,қақпан
225,Schlinge::N,килькш,ілмек
226,Spur::N,пильгоки́,із
227,Asche::N,кулу,күл
228,Dreck::N,ърда́з,былғаныш
229,Eisen::N,кшни,темір
230,Gold::N,ока,алтын
231,Gold::N,золота,алтын
232,Silber::N,сия́,күміс
233,Kohle::N,седь,көмір
234,Kohle::N,седьвальмя,көмір
235,Glas::N,кля́нцек,шыны
236,Lehm::N,сёвонь,балшық
237,Sand::N,шува́р,құм
238,Mensch::N,ломань,адам
239,Mann::N,аля,еркек
240,Mann::N,аля,ер адам
241,Mann::N,цёраломань,еркек
242,Mann::N,цёраломань,ер адам
243,Frau::N,ава,бике
244,Frau::N,ава,қатын
245,Kind::N,идь,бала
246,Kind::N,идь,перзент
247,Kind::N,шаба,бала
248,Kind::N,шаба,перзент
249,Junge::N,цёраня,бала
250,Junge::N,цёраня,ер бала
251,Mädchen::N,стирня́,қыз
252,Familie::N,тнал,жанұя
253,Familie::N,семья,жанұя
254,Großvater::N,атя,ата
255,Großvater::N,щя́тя,ата
256,Großmutter::N,баба,әже
257,Großmutter::N,баба,әжей
258,Eltern::N,тя́дят-а́лят,ата-аналар
259,Vater::N,аля,әке
260,Mutter::N,ава,ана
261,Mutter::N,тядя,ана
262,Sohn::N,цёра,ұл
263,Tochter::N,стирь,қызым
264,Bruder::N,дуган,бауырым
265,Bruder::N,пяльне,бауырым
266,Schwester::N,ака,әпке
267,Schwester::N,сазор,әпке
268,Onkel::N,оця,көке
269,Onkel::N,патя,көке
270,Onkel::N,щеня́,көке
271,Tante::N,ака,тәте
272,Tante::N,щака,тәте
273,Ehemann::N,мирде,ер
274,Ehefrau::N,ърьвя́,зайып
275,Freude::N,ке́нярдема,қуаныш
276,Freude::N,ке́нярдема,сүйініш
277,Freude::N,ке́нярдема,шат-думан
278,Freude::N,ке́нярдема,қуаныштылық
279,Gelächter::N,рахсема,күлу
280,Glück::N,паваз,бақыт
281,Glück::N,паваз,бақыттылық
282,Kummer::N,ризф,аза
283,Kummer::N,ризф,қайғы
284,Kummer::N,ризф,қасырет
285,Kummer::N,пичефкс,аза
286,Kummer::N,пичефкс,қайғы
287,Kummer::N,пичефкс,қасырет
288,Wunsch::N,мяль,мүдде
289,Wunsch::N,таколдома,мүдде
290,Lust::N,таколдома,тәбет
291,Lust::N,таколдома,ынтызар
292,Lust::N,таколдома,құштарлық
293,Geist::N,вайме,рух
294,Gedanke::N,мяль,ой
295,Gedächtnis::N,прявий,ес
296,Gedächtnis::N,прявий,жады
297,Gedächtnis::N,прявий,ақыл-ес
298,Verstand::N,прявий,ақыл
299,Verstand::N,прявий,парасат
300,Sinn::N,ён,мән
301,Sinn::N,ён,маныз
302,Sinn::N,ён,мағына
303,Sinn::N,ён,мән-мағына
304,Grund::N,туфта́л,себеп
305,Wahrheit::N,ви́де,рас
306,Wahrheit::N,видеши́,рас
307,Gespräch::N,корхтама,әңгіме
308,Märchen::N,ёфкс,ертеп
309,Märchen::N,ёфкс,ертек
310,Erzählung::N,азкс,әңгіме
311,Nachricht::N,куля́,хабар
312,Neuigkeit::N,куля́,жаңалық
313,Name::N,лем,ат
314,Name::N,лем,атау
315,Rätsel::N,со́дама ёфкс,жұмбақ
316,Rede::N,вал,сөз
317,Rede::N,корхтама,сөз
318,Sprache::N,кяль,тіл
319,Stimme::N,вайгяль,үн
320,Stimme::N,вайгяль,әуен
321,Stimme::N,вайгяль,дауыс
322,Wort::N,вал,сөз
323,Zeichen::N,тя́ште,ишара
324,Zeichen::N,тя́штькс,ишара
325,Ruf::N,тердема,айғай
326,Lärm::N,гайф,айғай-шу
327,Lärm::N,гайф,айғай-ұйғай
328,Lärm::N,жалакодома,айғай-шу
329,Lärm::N,жалакодома,айғай-ұйғай
330,Laut::N,вайгяль,дыбыс
331,Laut::N,вайгяль,дауыс
332,Ton::N,вайгяль,әуен
333,Lied::N,мора,ән
334,Lied::N,мора,жыр
335,Lied::N,мора,ән-жыр
336,Ruhe::N,сетьме,тыныштық
337,Leute::N,ломатть,кісілер
338,Volk::N,наро́д,халық
339,Arbeit::N,тев,еңбек
340,Gast::N,и́нжи,қонақ
341,Gast::N,и́нжи,мейман
342,Gast::N,ко́нак,қонақ
343,Gast::N,ко́нак,мейман
344,Geschenk::N,казне,қадия
345,Spiel::N,налхкома,ойын
346,Spiel::N,налхксема,ойын
347,Gesellschaft::N,кружок,қауым
348,Gesellschaft::N,кружок,жұртшылық
349,Hilfe::N,лездома,жэрдем
350,Freund::N,я́лга,дос
351,Kamerad::N,я́лга,дос-жар
352,Angelegenheit::N,тев,жұмыс
353,Anzahl::N,лувкс,сан
354,Anzahl::N,лувкс,саны
355,Art::N,вид,түр
356,Stück::N,пакш,тілім
357,Teil::N,часть,үлес
358,Teil::N,часть,бөлшек
359,Teil::N,пялькс,үлес
360,Teil::N,пялькс,бөлшек
361,Hälfte::N,пяле,жарты
362,Kreis::N,шаркс,шеңбер
363,Kreuz::N,крёз,крест
364,Linie::N,межа,сызық
365,Linie::N,китькс,сызық
366,Strich::N,межа,сызық
367,Abstand::N,ётка,ара
368,Abstand::N,ётка,аралық
369,Entfernung::N,ётка,аралық
370,Gegend::N,ва́ста,өңір
371,Gegend::N,перьфпя́ль,өңір
372,Platz::N,ва́ста,орны
373,Ort::N,ва́ста,орын
374,Seite::N,пяле,жақ
375,Seite::N,пяле,бүйір
376,Mitte::N,кучка́,ортасы
377,Gegenstand::N,веща,зат
378,Gegenstand::N,веща,нәрсе
379,Sache::N,тев,бұйым
380,Sache::N,веща,бұйым
381,Rand::N,пе,шет
382,Rand::N,пе,шеті
383,Kante::N,и́рдез,қыр
384,Kante::N,и́рдез,қыры
385,Ecke::N,ужа,қыры
386,Ecke::N,ужа,бұрыш
387,Spitze::N,пря,ұшы
388,Ende::N,пе,аяқ
389,Ende::N,пе,соңы
390,Loch::N,варя,тесік
391,Winkel::N,ужа,мүйіс
392,Muster::N,сёрма,мәнер
393,Größe::N,серь,ауқым
394,Größe::N,серь,көлемдік
395,Länge::N,кува́лма,бой
396,Länge::N,кува́лма,ұзындық
397,Höhe::N,серь,жоғарылық
398,Höhe::N,серь,биіктік
399,Gewicht::N,сталма,салмақ
400,Menge::N,лувкс,мөлшер
401,Haufen::N,мар,үйме
402,Haufen::N,мар,үйінді
403,Reihe::N,ряд,сап
404,Boot::N,венеж,қайық
405,Ruder::N,миле,ескек
406,Schlitten::N,ну́рда,шана
407,Ski::N,сокс,шаңғы
408,Lagerfeuer::N,то́лмар,алау
409,Last::N,канкс,ауырлық
410,Last::N,канкс,ауыр зат
411,Last::N,сталма,ауырлық
412,Last::N,сталма,ауыр зат
413,Gang::N,молема,жүріс
414,Schritt::N,аськолкс,адым
415,Norden::N,якшама шире,солтүстік
416,Norden::N,якшама шире,терістік
417,Süden::N,ля́мбе ши́ре,оңтүстік
418,Westen::N,ши валгома шире,батыс
419,Osten::N,шинь стяма шире,күншығыс
420,Holz::N,вирь,ағаш
421,Holz::N,вирь,сүрек
422,Holz::N,шуфта,ағаш
423,Holz::N,шуфта,сүрек
424,Brett::N,лавця,тақта
425,Platte::N,плита́,тақта
426,Stütze::N,неже,тіреу
427,Stange::N,олга,қада
428,Stock::N,байдек,сойыл
429,Stab::N,олгоня,сырық
430,Rohr::N,турама,құбыр
431,Haus::N,куд,үй
432,Heim::N,куд,үйлі
433,Heim::N,куд,шаңырақ
434,Ofen::N,пянакуд,ошақ
435,Ofen::N,пянакуд,пеш
436,Fußboden::N,кия́кс,еден
437,Tisch::N,шра,үстел
438,Tisch::N,моркш,үстел
439,Stuhl::N,стул,орындық
440,Wiege::N,нюря́м,бесік
441,Bett::N,ацам,кереует
442,Regal::N,лавцяланга,сөре
443,Kiste::N,парга,жәшік
444,Fenster::N,валмья,терезе
445,Tür::N,кенкш,есік
446,Tor::N,ортат,дарбаза
447,Zaun::N,перяфкс,дуал
448,Dach::N,кудпря,шатыр
449,Leiter::N,куцема,саты
450,Leiter::N,куцема,басқыш
451,Besen::N,тяльме,сыпырғыш
452,Spaten::N,ка́йме,күрек
453,Schaufel::N,ко́поня,қалақ
454,Schaufel::N,ця́рдом,қалақ
455,Gabel::N,ця́нгоня,аша
456,Gabel::N,ця́нгоня,шанышқы
457,Löffel::N,куцю,қасық
458,Messer::N,пеель,пышақ
459,Nagel::N,эска,мық
460,Nagel::N,эска,шеге
461,Haken::N,кя́чказ,ілмек
462,Griff::N,недь,сап
463,Griff::N,недь,тұтқа
464,Griff::N,кунда́мка,сап
465,Griff::N,кунда́мка,тұтқа
466,Schloss::N,замо́к,құлып
467,Schloss::N,замо́к,бекіткіш
468,Bild::N,карти́на,сурет
469,Figur::N,ронга-понда,тұлға
470,Puppe::N,ня́ка,қуыршақ
471,Beutel::N,кяскав,қапшық
472,Bündel::N,кярьме,байлам
473,Tasche::N,кошяльня,дорба
474,Eimer::N,ве́дарка,шелек
475,Deckel::N,тавадкс,жапқыш
476,Deckel::N,вельхкс,жапқыш
477,Geschirr::N,кядьге,ыдыс
478,Sack::N,кяскав,қап
479,Tasse::N,ша́ваня,шыныаяқ
480,Topf::N,кавозь,кәстрөл
481,Kessel::N,сргавозь,қазан
482,Essen::N,ярхцама,ас
483,Nahrung::N,ярхцампяль,ас
484,Nahrung::N,ярхцампяль,тамақ
485,Speise::N,ярхцама,тағам
486,Fleisch::N,пал,ет
