,Concept_ID,hu,ab
0,Auge::N,szem,ала
1,Ohr::N,fül,алымҳа
2,Nase::N,orr,аҧынҵа
3,Mund::N,száj,аҧышə
4,Zahn::N,fog,ахаҧыц
5,Zunge::N,nyelv,абз
6,Lippe::N,ajak,ақьышə
7,Wange::N,orca,аӡамҩа
8,Gesicht::N,arc,аҿы
9,Stirn::N,homlok,алахь
10,Haar::N,haj,ахəыц
11,Schnurrbart::N,bajusz,аҧаҵа
12,Bart::N,szakáll,ажакьа
13,Kinn::N,áll,ацламкəыгə
14,Kiefer[Anatomie]::N,állkapocs,ацламҳəа
15,Kehle::N,gége,ахəда
16,Kehle::N,torok,ахəда
17,Hals::N,nyak,ахəда
18,Genick::N,tarkó,ахəдаџьал
19,Kopf::N,fő,ахы
20,Kopf::N,fej,ахы
21,Rücken::N,hát,азқəа
22,Bauch::N,has,амгəа
23,Nabel::N,köldök,аҷапан
24,Busen::N,mell,агəыҧҳəы
25,Busen::N,kebel,агəыҧҳəы
26,Brust::N,mell,агəышҧы
27,Schulter::N,váll,ажəҩахыр
28,Arm::N,kar,амахəар
29,Ellenbogen::N,könyök,амашьхəылҵ
30,Hand::N,kéz,анапы
31,Handfläche::N,tenyér,анапсаргəыҵа
32,Finger::N,ujj,анацəа
33,Fingernagel::N,köröm,анапхыц
34,Nagel[Anatomie]::N,köröm,ашьапхыц
35,Zeh::N,lábujj,ашьацəа
36,Fuß::N,láb,ашьапсыргəыҵа
37,Ferse::N,sarok,ашьхəа
38,Knie::N,térd,ашьамхы
39,Oberschenkel::N,comb,ауаҭəа
40,Bein::N,láb,ашьапы
41,Bein::N,lábszár,ашьапы
42,Körper::N,test,ацəеижь
43,Haut::N,bőr,ацəа
44,Blut::N,vér,ашьа
45,Ader::N,ér,ада
46,Sehne::N,ín,адаш
47,Knochen::N,csont,абаҩ
48,Gehirn::N,agy,ахшлыбаҩ
49,Gehirn::N,agy,ахшыбаҩ
50,Gehirn::N,agyvelő,ахшлыбаҩ
51,Gehirn::N,agyvelő,ахшыбаҩ
52,Herz::N,szív,агəы
53,Magen::N,gyomor,аца
54,Magen::N,gyomor,ацар
55,Leber::N,máj,агəаҵəа
56,Atem::N,lehelet,аҧсыҧлагаҩгара
57,Atem::N,lélegzet,аҧсыҧлагаҩгара
58,Hunger::N,éhség,амла
59,Träne::N,könny,алабжыш
60,Geschmack::N,íz,агьама
61,Geruch::N,szag,афҩы
62,Schlaf::N,álom,ацəа
63,Schlaf::N,alvás,ацəа
64,Traum::N,álom,аҧхыӡ
65,Himmel::N,ég,ажəҩан
66,Himmel::N,menny,ажəҩан
67,Sonne::N,nap,амра
68,Mond::N,hold,амза
69,Stern::N,csillag,аеҵəа
70,Luft::N,levegő,аҳаир
71,Wind::N,szél,аҧша
72,Welle::N,hullám,ацəқəырҧа
73,Wasser::N,víz,аӡы
74,Stein::N,kő,ахаҳə
75,Boden::N,föld,адгьыл
76,Boden::N,talaj,адгьыл
77,Erde::N,föld,адгьыл
78,Staub::N,por,асаба
79,Rauch::N,füst,алҩа
80,Funke::N,szikra,акəиц
81,Funke::N,szikra,ацҧхь
82,Feuer::N,tűz,амца
83,Licht::N,fény,алашара
84,Schatten::N,árnyék,ашəшьыра
85,Wetter::N,idő,амш
86,Wetter::N,időjárás,амш
87,Nebel::N,köd,анаҟəа
88,Wolke::N,felhő,аҧсҭҳəа
89,Regen::N,eső,ақəа
90,Schnee::N,hó,асы
91,Eis::N,jég,аҵаа
92,Frost::N,fagy,аҵаа
93,Kälte::N,hideg,ахьҭа
94,Hitze::N,hő,ашоура
95,Hitze::N,hőség,ашоура
96,Raureif::N,zúzmara,аҵааҧшқа
97,Regenbogen::N,szivárvány,ацəаҟəа
98,Donner::N,dörgés,адыд
99,Donner::N,mennydörgés,адыд
100,Strömung::N,áramlat,аиасра
101,Strömung::N,áramlat,амҩасра
102,Tropfen::N,csepp,ацəыкəбар
103,Schaum::N,hab,ашəах
104,Schaum::N,tajték,ашəах
105,Schmutz::N,piszok,алымт
106,See::N,tó,аӡиа
107,Sumpf::N,mocsár,аӡмах
108,Moor::N,láp,
109,Wiese::N,rét,адəы
110,Wiese::N,mező,адəы
111,Wald::N,erdő,абна
112,Hügel::N,domb,ахəы
113,Anhöhe::N,magaslat,аҳаракыра
114,Berg::N,hegy,ашьха
115,Gipfel::N,csúcs,ацəқəа
116,Höhle::N,barlang,аҳаҧы
117,Abhang::N,lejtő,анаара
118,Quelle::N,forrás,аҵҵырҭа
119,Bach::N,patak,акəараҷҷа
120,Fluss::N,folyó,аӡиас
121,Ufer::N,part,ахықə
122,Küste::N,tengerpart,ахықə
123,Festland::N,szárazföld,абарра
124,Meer::N,tenger,амшын
125,Bucht::N,öböl,аӡбжьахала
126,Insel::N,sziget,адгьылбжьаха
127,Blume::N,virág,ашəҭ
128,Gras::N,fű,аҳасакьын
129,Wurzel::N,gyökér,адац
130,Baum::N,fa,аҵла
