,Concept_ID,ru,ml
0,Auge::N,глаз,കണ്ണ്
1,Ohr::N,ухо,ചെവി
2,Nase::N,нос,മൂക്ക്
3,Mund::N,рот,വായ
4,Zahn::N,зуб,പല്ല്
5,Zunge::N,язык,നാക്ക്
6,Lippe::N,губа,ചുണ്ട്
7,Wange::N,щека,കവിൾത്തടം
8,Gesicht::N,лицо,മുഖം
9,Stirn::N,лоб,നെറ്റി
10,Haar::N,волос,തലമുടി
11,Haar::N,волосы,തലമുടി
12,Schnurrbart::N,ус,മീശ
13,Schnurrbart::N,усы,മീശ
14,Bart::N,борода,താടിരോമം
15,Kinn::N,подбородок,താടി
16,Kiefer[Anatomie]::N,челюсть,താടിയെല്ല്
17,Kehle::N,горло,കണ്ഠനാളം
18,Hals::N,шея,കഴുത്ത്
19,Genick::N,затылок,പിടലി
20,Kopf::N,голова,തല
21,Rücken::N,спина,മുതുക്
22,Bauch::N,живот,നയറ്
23,Nabel::N,пупок,നാഭി
24,Busen::N,женская грудь,സ്തനം
25,Brust::N,грудь,സ്തനം
26,Schulter::N,плечо,തോൾ
27,Arm::N,рука,കൈ
28,Ellenbogen::N,локоть,കൈമുട്ട്
29,Hand::N,кисть,കൈ
30,Handfläche::N,ладонь,ഉള്ളം കൈ
31,Finger::N,палец,വിരൽ
32,Fingernagel::N,ноготь,നഖം
33,Nagel[Anatomie]::N,ноготь,നഖം
34,Zeh::N,палец,കാൽവിരൽ
35,Fuß::N,ступня,കാൽപ്പാദം
36,Ferse::N,пята,ഉപ്പൂറ്റി
37,Ferse::N,пятка,ഉപ്പൂറ്റി
38,Knie::N,колено,കാൽമുട്ട്
39,Oberschenkel::N,бедро,തുട
40,Bein::N,нога,കാൽ
41,Körper::N,тело,ശരീരം
42,Haut::N,кожа,ചർമ്മം
43,Blut::N,кровь,രക്തം
44,Ader::N,вена,ഞരമ്പ്
45,Ader::N,сосуд,ഞരമ്പ്
46,Sehne::N,жила,സ്നായു
47,Sehne::N,тетива,സ്നായു
48,Sehne::N,сухожилие,സ്നായു
49,Knochen::N,кость,അസ്ഥി
50,Gehirn::N,мозг,തലച്ചോറ്
51,Herz::N,сердце,ഹൃദയം
52,Magen::N,желудок,വയർ
53,Leber::N,печень,കരൾ
54,Atem::N,дух,ശ്വാസം
55,Atem::N,дыхание,ശ്വാസം
56,Hunger::N,голод,വിശപ്പ്
57,Träne::N,слеза,കണ്ണീർ
58,Geschmack::N,вкус,രുചി
59,Geruch::N,запах,ഗന്ധം
60,Schlaf::N,сон,ഉറകും
61,Traum::N,сновидение,സ്വപ്നം
62,Himmel::N,небо,ആകാശം
63,Sonne::N,солнце,സൂര്യൻ
64,Mond::N,луна,ചന്ദ്രൻ
65,Stern::N,звезда,നക്ഷത്രം
66,Luft::N,воздух,കാറ്റ്
67,Wind::N,ветер,കാറ്റ്
68,Welle::N,волна,തിരമാല
69,Wasser::N,вода,വെള്ളം
70,Stein::N,камень,ശില
71,Stein::N,камень,കല്ല്
72,Boden::N,почва,തറ
73,Boden::N,почва,നിലം
74,Erde::N,земля,മണ്ണ്
75,Staub::N,пыль,പൊടി
76,Rauch::N,дым,പുക
77,Funke::N,искра,തീപ്പൊരി
78,Feuer::N,огонь,തീ
79,Licht::N,свет,വിളക്ക്
80,Licht::N,свет,സൂര്യപ്രകാശം
81,Schatten::N,тень,തണൽ
82,Wetter::N,погода,കാലാവസ്ഥ
83,Nebel::N,туман,മൂടൽമഞ്ഞ്
84,Wolke::N,облако,മേഘം
85,Regen::N,дождь,മഴ
86,Schnee::N,снег,മഞ്ഞ്
87,Eis::N,лед,ഐസ്
88,Frost::N,мороз,മൂടൽമഞ്ഞ്
89,Kälte::N,холод,തണുപ്പ്
90,Hitze::N,жара,ചൂട്
91,Raureif::N,иней,കോടമഞ്ഞ്
92,Regenbogen::N,радуга,മഴവില്ല്
93,Donner::N,гром,ഇടി
94,Strömung::N,течение,പ്രവാഹം
95,Tropfen::N,капля,തുള്ളി
96,Schaum::N,пена,നുര
97,Schmutz::N,грязь,അഴുക്ക്
98,See::N,озеро,തടാകം
99,Sumpf::N,топь,ചതുപ്പുനിലം
100,Moor::N,болото,പാഴ്നിലം
101,Wiese::N,луг,പുൽത്തകിടി
102,Wald::N,лес,വനം
103,Wald::N,лес,കാട്
104,Hügel::N,холм,കുന്ന്
105,Anhöhe::N,возвышенность,ഉയർന്ന ഭൂമി
106,Berg::N,гора,പർവ്വതം
107,Gipfel::N,вершина,ഉച്ചകോടി
108,Höhle::N,пещера,ഗുഹ
109,Abhang::N,склон,ചരിവ്
110,Quelle::N,источник,ഉറവിടം
111,Bach::N,ручей,അരുവി
112,Fluss::N,река,നദി
113,Ufer::N,берег,തീരം
114,Küste::N,побережье,കടൽത്തീരം
115,Festland::N,суша,കര
116,Meer::N,море,കടൽ
117,Bucht::N,бухта,ഉൾക്കടല്
118,Insel::N,остров,ദ്വീപ്
119,Blume::N,цветок,പൂവ്
120,Gras::N,трава,പുല്ല്
121,Wurzel::N,корень,വേര്
122,Baum::N,дерево,മരം
123,Stamm::N,ствол,തായ്ത്തടി
124,Rinde::N,кора,പട്ട
125,Ast::N,сук,ശാഖ
126,Zweig::N,ветвь,ശാഖ
127,Blatt::N,лист,ഇല
128,Birke::N,береза,പൂവരശ്
129,Kiefer[Baum]::N,сосна,പൈൻമരം
130,Weide[Baum]::N,ива,വില്ലോ
131,Tanne::N,ель,ദേവദാരു
132,Horn::N,рог,മൃഗത്തിൻറെ കൊമ്പ്
133,Feder::N,перо,തൂവൽ
134,Fell::N,шкура,മൃദുരോമം
135,Flügel::N,крыло,ചിറക്
136,Klaue::N,коготь,നഖം
137,Kralle::N,лапа,നഖം
138,Schwanz::N,хвост,വാൽ
139,Ei::N,яйцо,മുട്ട
140,Nest::N,гнездо,കൂട്
141,Bau::N,нора,മാളം
142,Tier::N,животное,മൃഗം
143,Herde::N,стадо,കൂട്ടം
144,Kuh::N,корова,പശു
145,Bulle::N,бык,കാള
146,Pferd::N,лошадь,കുതിര
147,Schaf::N,овца,ആട്
148,Schwein::N,свинья,പന്നി
149,Hund::N,собака,നായ്
150,Katze::N,кошка,പൂച്ച
151,Bär::N,медведь,കരടി
152,Eichhörnchen::N,белка,അണ്ണാൻ
153,Elch::N,лось,കടമാന്
154,Fuchs::N,лиса,കുറുക്കൻ
155,Hase::N,заяц,മുയൽ
156,Maus::N,мышь,ചുണ്ടലി
157,Wolf::N,волк,ചെന്നായ
158,Vogel::N,птица,പക്ഷി
159,Schwarm::N,стая,കൂട്ടം
160,Huhn::N,курица,കോഴി
161,Hahn::N,петух,പൂവൻകോഴി
162,Gans::N,гусь,അരയന്നം
163,Adler::N,орел,കഴുകൻ
164,Ente::N,утка,താറാവ്
165,Eule::N,сова,മൂങ്ങ
166,Kranich::N,журавль,കൊക്ക്
167,Krähe::N,ворона,കാക്ക
168,Kuckuck::N,кукушка,കുയിൽ
169,Schwan::N,лебедь,അരയന്നം
170,Fisch::N,рыба,മത്സ്യം
171,Barsch::N,окунь,ഒരിനം മത്സ്യം
172,Hecht::N,щука,ഒരു മത്സ്യം
173,Schlange[Tier]::N,змея,പാമ്പ്
174,Wurm::N,червяк,വിര
175,Spinne::N,паук,ചിലന്തി
176,Ameise::N,муравей,ഉറുമ്പ്
177,Laus::N,вошь,പേന്
178,Mücke::N,комар,മശകം
179,Fliege::N,муха,ഈച്ച
180,Schmetterling::N,бабочка,ചിത്രശലഭം
181,Beere::N,ягода,ബെറി
182,Apfel::N,яблоко,ആപ്പിൾ
183,Pilz::N,гриб,കൂൺ
