,Concept_ID,br,se
0,Auge::N,lagad,tjelmie
1,Auge::N,lagad,tjalmme
2,Auge::N,lagad,čalbmi
3,Auge::N,lagad,čalme
4,Auge::N,lagad,čâ´lmm
5,Auge::N,lagad,ча̄лльм
6,Ohr::N,skouarn,bieljie
7,Ohr::N,skouarn,biellje
8,Ohr::N,skouarn,beallji
9,Ohr::N,skouarn,pelji
10,Ohr::N,skouarn,pe´llj
11,Ohr::N,skouarn,пе̄лльй
12,Nase::N,fri,njuenie
13,Nase::N,fri,njunnje
14,Nase::N,fri,njunni
15,Nase::N,fri,njuṇe
16,Nase::N,fri,njuu´nn
17,Nase::N,fri,нюннҍ
18,Mund::N,genoù,njaelmie
19,Mund::N,genoù,njálmme
20,Mund::N,genoù,njálbmi
21,Mund::N,genoù,njälmi
22,Mund::N,genoù,njä´lmm
23,Mund::N,genoù,ня̄лльм
24,Zahn::N,dant,baenie
25,Zahn::N,dant,bádne
26,Zahn::N,dant,bátni
27,Zahn::N,dant,pääṇi
28,Zahn::N,dant,pää´nn
29,Zahn::N,dant,па̄ннҍ
30,Zunge::N,teod,njoektjeme
31,Zunge::N,teod,njuovtjav
32,Zunge::N,teod,njuovčča
33,Zunge::N,teod,njuovčâ
34,Zunge::N,teod,njuhččâm
35,Zunge::N,teod,нюхчем
36,Lippe::N,muzell,bangseme
37,Lippe::N,muzell,njálmmerabdda
38,Lippe::N,muzell,bavssa
39,Lippe::N,muzell,poovsâ
40,Lippe::N,muzell,põõus
41,Lippe::N,muzell,пэ̄кс
42,Wange::N,chot,skiehrie
43,Wange::N,chot,nierra
44,Wange::N,chot,muohtu
45,Wange::N,chot,nieṛâ
46,Wange::N,chot,njiõrr
47,Wange::N,chot,нӣрр
48,Gesicht::N,dremm,ååredæjja
49,Gesicht::N,dremm,muohto
50,Gesicht::N,dremm,muođut
51,Gesicht::N,dremm,ámadadju
52,Gesicht::N,dremm,muáđuh
53,Gesicht::N,dremm,muâđ
54,Gesicht::N,dremm,ка̄ссв
55,Stirn::N,tal,gaalloe
56,Stirn::N,tal,gállo
57,Stirn::N,tal,gállu
58,Stirn::N,tal,kállu
59,Stirn::N,tal,käll
60,Stirn::N,tal,вуэххьц
61,Haar::N,blev,voepte
62,Haar::N,blev,vuoppta
63,Haar::N,blev,vuokta
64,Haar::N,blev,vuop'tâ
65,Haar::N,blev,vuõpt
66,Haar::N,blev,вӯппт
67,Schnurrbart::N,mourenn,bijjie-skaavtjoe
68,Schnurrbart::N,mourenn,njunjevuolskávttjá
69,Schnurrbart::N,mourenn,seamu
70,Schnurrbart::N,mourenn,siämu
71,Schnurrbart::N,mourenn,ää´bben
72,Schnurrbart::N,mourenn,о̄а̄бпан
73,Bart::N,barv,skaavtja
74,Bart::N,barv,skaavtjoe
75,Bart::N,barv,skávttjá
76,Bart::N,barv,seamu
77,Bart::N,barv,siämu
78,Bart::N,barv,seäm
79,Bart::N,barv,ся̄м
80,Kinn::N,groñj,gaejpie
81,Kinn::N,groñj,gájbbe
82,Kinn::N,groñj,gáibi
83,Kinn::N,groñj,käibi
84,Kinn::N,groñj,käi´bb
85,Kinn::N,groñj,ка̄ййп
86,Kiefer[Anatomie]::N,javed,gaejpie
87,Kiefer[Anatomie]::N,javed,oalol
88,Kiefer[Anatomie]::N,javed,oaloldákte
89,Kiefer[Anatomie]::N,javed,gáibi
90,Kiefer[Anatomie]::N,javed,uá'lultähti
91,Kiefer[Anatomie]::N,javed,vuâl'lõš
92,Kiefer[Anatomie]::N,javed,вуаллнешш
93,Kehle::N,gouzoug,gealoe
94,Kehle::N,gouzoug,tjåttå
95,Kehle::N,gouzoug,njiello
96,Kehle::N,gouzoug,čotta
97,Kehle::N,gouzoug,čuudâ
98,Kehle::N,gouzoug,čoodd
99,Kehle::N,gouzoug,чонт
100,Kehle::N,gouzoug,кэ̄ҏс
101,Hals::N,gouzoug,tjeapohke
102,Hals::N,gouzoug,tjiebet
103,Hals::N,gouzoug,čeabet
104,Hals::N,gouzoug,čiäppát
105,Hals::N,gouzoug,čeäppat
106,Hals::N,gouzoug,ча̄пэх
107,Genick::N,choug,tjovrese
108,Genick::N,choug,nisske
109,Genick::N,choug,niehkki
110,Genick::N,choug,niski
111,Genick::N,choug,niek'ki
112,Genick::N,choug,nji´šǩǩmaadd
113,Genick::N,choug,нышшькмоант
114,Kopf::N,penn,åejjie
115,Kopf::N,penn,oajvve
116,Kopf::N,penn,oaivi
117,Kopf::N,penn,uái'vi
118,Kopf::N,penn,vuei´vv
119,Kopf::N,penn,вуэййв
120,Rücken::N,kein,rudtje
121,Rücken::N,kein,hárddo
122,Rücken::N,kein,tjavelk
123,Rücken::N,kein,sealgi
124,Rücken::N,kein,selgi
125,Rücken::N,kein,čielgi
126,Rücken::N,kein,seä´lǧǧ
127,Rücken::N,kein,се̄лльк
128,Bauch::N,kof,tjåejjie
129,Bauch::N,kof,tjoajvve
130,Bauch::N,kof,čoavji
131,Bauch::N,kof,čuáv'ji
132,Bauch::N,kof,čåu´jj
133,Bauch::N,kof,чо̄ввьй
134,Nabel::N,begel,naepie
135,Nabel::N,begel,náhpe
136,Nabel::N,begel,náhpi
137,Nabel::N,begel,nääpi
138,Nabel::N,begel,nää´pp
139,Nabel::N,begel,на̄бпь
140,Busen::N,bronn,boenge
141,Busen::N,bronn,bållå
142,Busen::N,bronn,čižži
143,Busen::N,bronn,njamma
144,Busen::N,bronn,njižže
145,Busen::N,bronn,nje´ǯǯ
146,Busen::N,bronn,раннҍт
147,Brust::N,bruched,mïelke
148,Brust::N,bruched,radde
149,Brust::N,bruched,mielgga
150,Brust::N,bruched,raddi
151,Brust::N,bruched,radde
152,Brust::N,bruched,râ´dd
153,Brust::N,bruched,раннҍт
154,Schulter::N,skoaz,åelkie
155,Schulter::N,skoaz,oalgge
156,Schulter::N,skoaz,hárdu
157,Schulter::N,skoaz,ärdee
158,Schulter::N,skoaz,uál'gi
159,Schulter::N,skoaz,a´rddi
160,Schulter::N,skoaz,vuä´lǧǧ
161,Schulter::N,skoaz,вуэллык
162,Arm::N,brec'h,gïete
163,Arm::N,brec'h,giehta
164,Arm::N,brec'h,giehta
165,Arm::N,brec'h,kietâ
166,Arm::N,brec'h,kie'tâkaaṿâ
167,Arm::N,brec'h,ǩiõtt
168,Arm::N,brec'h,кӣдт
169,Ellenbogen::N,ilin,gernjere
170,Ellenbogen::N,ilin,garŋŋel
171,Ellenbogen::N,ilin,gargŋil
172,Ellenbogen::N,ilin,käŋŋir
173,Ellenbogen::N,ilin,kõõnjâr
174,Ellenbogen::N,ilin,карьнэль
175,Hand::N,dorn,gïete
176,Hand::N,dorn,giehta
177,Hand::N,dorn,giehta
178,Hand::N,dorn,kietâ
179,Hand::N,dorn,ǩiõtt
180,Hand::N,dorn,кӣдт
181,Handfläche::N,palv,gïeten-låapoe
182,Handfläche::N,palv,giehtavuodo
183,Handfläche::N,palv,tjårmmåvuodo
184,Handfläche::N,palv,giehtaloahpu
185,Handfläche::N,palv,kiämád
186,Handfläche::N,palv,kuámmir
187,Handfläche::N,palv,kuä´m'mer
188,Handfläche::N,palv,ǩiõttǩeä´m'men
189,Handfläche::N,palv,ко̄а̄ллдэгк
190,Handfläche::N,palv,кӣдткоалдэгк
191,Finger::N,biz,soerme
192,Finger::N,biz,tjuvdde
193,Finger::N,biz,suorbma
194,Finger::N,biz,čuvde
195,Finger::N,biz,suor'mâ
196,Finger::N,biz,suõrmm
197,Finger::N,biz,це̄ххп
198,Fingernagel::N,ivin,gadtse
199,Fingernagel::N,ivin,guehpere
200,Fingernagel::N,ivin,gadtsa
201,Fingernagel::N,ivin,gazza
202,Fingernagel::N,ivin,kozzâ
203,Fingernagel::N,ivin,kõʒʒ
204,Fingernagel::N,ivin,кэ̄ннц
205,Nagel[Anatomie]::N,ivin,gadtse
206,Nagel[Anatomie]::N,ivin,guehpere
207,Nagel[Anatomie]::N,ivin,gadtsa
208,Nagel[Anatomie]::N,ivin,gazza
209,Nagel[Anatomie]::N,ivin,kozzâ
210,Nagel[Anatomie]::N,ivin,kõʒʒ
211,Nagel[Anatomie]::N,ivin,кэ̄ннц
212,Zeh::N,biz-troad,tjiehtjere
213,Zeh::N,biz-troad,juolggetjuvdde
214,Zeh::N,biz-troad,juolgesuorbma
215,Zeh::N,biz-troad,jyel'gisuor'mâ
216,Zeh::N,biz-troad,jue´lǧǧsuõrmm
217,Zeh::N,biz-troad,ю̄лльк-це̄һп
218,Fuß::N,troad,juelkie
219,Fuß::N,troad,juolgge
220,Fuß::N,troad,juolgi
221,Fuß::N,troad,jyel'gi
222,Fuß::N,troad,jue´lǧǧ
223,Fuß::N,troad,ла̄бпь
224,Ferse::N,seul,båetskie
225,Ferse::N,seul,boasske
226,Ferse::N,seul,šušmi
227,Ferse::N,seul,šušme
228,Ferse::N,seul,jue´lǧǧkädd
229,Ferse::N,seul,ка̄ннт
230,Knie::N,glin,boelve
231,Knie::N,glin,buolvva
232,Knie::N,glin,čibbi
233,Knie::N,glin,veaŋki
234,Knie::N,glin,iidâ
235,Knie::N,glin,puõlvv
236,Knie::N,glin,пуллв
237,Oberschenkel::N,morzhed,ruaksja
238,Oberschenkel::N,morzhed,tjibbe
239,Oberschenkel::N,morzhed,gassaváhkká
240,Oberschenkel::N,morzhed,badjeváhkáa
241,Oberschenkel::N,morzhed,čuár'bpeeḷi
242,Oberschenkel::N,morzhed,če´bb
243,Oberschenkel::N,morzhed,чуаррбе̄лль
244,Bein::N,gar,juelkie
245,Bein::N,gar,juolgge
246,Bein::N,gar,juolgi
247,Bein::N,gar,jyel'gi
248,Bein::N,gar,jue´lǧǧ
249,Bein::N,gar,ю̄лльк
250,Körper::N,korf,kråahpe
251,Körper::N,korf,rumáj
252,Körper::N,korf,rumaš
253,Körper::N,korf,ruumâš
254,Körper::N,korf,rå´pp
255,Körper::N,korf,лышшьк
256,Körper::N,korf,роаӈӈьк
257,Haut::N,kroc'hen,njaltja
258,Haut::N,kroc'hen,lijkke
259,Haut::N,kroc'hen,tjuobma
260,Haut::N,kroc'hen,liiki
261,Haut::N,kroc'hen,liške
262,Haut::N,kroc'hen,le´šǩǩ
263,Haut::N,kroc'hen,лышшьк
264,Blut::N,gwad,vïrre
265,Blut::N,gwad,maelie
266,Blut::N,gwad,varra
267,Blut::N,gwad,varra
268,Blut::N,gwad,vorrâ
269,Blut::N,gwad,võrr
270,Blut::N,gwad,вэ̄рр
271,Ader::N,gwazhi,åerie
272,Ader::N,gwazhi,aajroe
273,Ader::N,gwazhi,suodna
274,Ader::N,gwazhi,varrasuotna
275,Ader::N,gwazhi,suoṇâ
276,Ader::N,gwazhi,suõnn
277,Ader::N,gwazhi,сӯнн
278,Sehne::N,stir,soene
279,Sehne::N,stir,gåårtenje
