,Concept_ID,udm,fi
0,Auge::N,син,silmä
1,Ohr::N,пель,korva
2,Nase::N,ныр,nenä
3,Mund::N,ым,suu
4,Zahn::N,пинь,hammas
5,Zunge::N,кыл,kieli
6,Lippe::N,ымдур,huuli
7,Wange::N,бам,poski
8,Gesicht::N,ымныр,naama
9,Gesicht::N,ымныр,kasvot
10,Stirn::N,кымес,otsa
11,Haar::N,йырси,hius
12,Haar::N,йырси,tukka
13,Schnurrbart::N,мыйык,viikset
14,Bart::N,туш,parta
15,Kinn::N,ангес,leuka
16,Kiefer[Anatomie]::N,ан,leukaluu
17,Kiefer[Anatomie]::N,анлы,leukaluu
18,Kehle::N,гульым,kurkku
19,Hals::N,чырты,kaula
20,Genick::N,йырбер,niska
21,Kopf::N,йыр,pää
22,Rücken::N,мыш,selkä
23,Bauch::N,кӧт,maha
24,Bauch::N,кӧт,vatsa
25,Nabel::N,гогы,napa
26,Busen::N,ноны,rinta
27,Brust::N,мӧля,rinta
28,Schulter::N,пельпум,olka
29,Schulter::N,пельпум,hartia
30,Schulter::N,пельпум,olkapää
31,Arm::N,суй,käsivarsi
32,Ellenbogen::N,гырпум,kyynärpää
33,Hand::N,ки,käsi
34,Handfläche::N,ки пыдэс,kämmen
35,Handfläche::N,кырым пыдэс,kämmen
36,Finger::N,чиньы,sormi
37,Fingernagel::N,гижы,kynsi
38,Fingernagel::N,гиждӥнь,kynsi
39,Nagel[Anatomie]::N,гижы,kynsi
40,Zeh::N,пыдчиньы,varvas
41,Fuß::N,пыд,jalka
42,Ferse::N,пыдбер,kantapää
43,Knie::N,пыдес,polvi
44,Oberschenkel::N,макес,reisi
45,Bein::N,пыд,jalka
46,Körper::N,мугор,keho
47,Körper::N,мугор,ruumis
48,Körper::N,вылтыр,keho
49,Körper::N,вылтыр,ruumis
50,Haut::N,ку,iho
51,Blut::N,вир,veri
52,Ader::N,вирсэр,suoni
53,Sehne::N,вуж,jänne
54,Knochen::N,лы,luu
55,Gehirn::N,вим,aivot
56,Herz::N,сюлэм,sydän
57,Magen::N,ӝуш,maha
58,Magen::N,ӝуш,vatsa
59,Leber::N,мус,maksa
60,Atem::N,лул,henki
61,Atem::N,лул,hengitys
62,Atem::N,шокан,henki
63,Atem::N,шокан,hengitys
64,Hunger::N,кӧтсюман,nälkä
65,Träne::N,синкыли,kyynel
66,Geschmack::N,шӧм,maku
67,Geruch::N,зын,haju
68,Schlaf::N,вӧт,uni
69,Traum::N,уйвӧт,uni
70,Himmel::N,ин,taivas
71,Sonne::N,шунды,aurinko
72,Mond::N,толэзь,kuu
73,Stern::N,кизили,tähti
74,Luft::N,омыр,ilma
75,Wind::N,тӧл,tuuli
76,Welle::N,тулкым,aalto
77,Wasser::N,ву,vesi
78,Stein::N,из,kivi
79,Boden::N,музъем,maa
80,Boden::N,музъем,maaperä
81,Erde::N,му,maa
82,Staub::N,пыль,pöly
83,Rauch::N,ӵын,savu
84,Funke::N,гизьы,kipinä
85,Feuer::N,тыл,tuli
86,Licht::N,тыл,valo
87,Schatten::N,вужер,varjo
88,Wetter::N,куазь,sää
89,Nebel::N,бус,sumu
90,Wolke::N,пилем,pilvi
91,Regen::N,зор,sade
92,Schnee::N,лымы,lumi
93,Eis::N,йӧ,jää
94,Frost::N,кезьыт,halla
95,Frost::N,кезьыт,pakkanen
96,Kälte::N,кезьыт,vilu
97,Kälte::N,кезьыт,kylmyys
98,Hitze::N,пӧсь,helle
99,Hitze::N,пӧсь,kuumuus
100,Raureif::N,гӧр,huurre
101,Regenbogen::N,вуюись,sateenkaari
102,Donner::N,гудыри,jyrinä
103,Strömung::N,бызён,virtaus
104,Tropfen::N,шапык,tippa
105,Tropfen::N,шапык,pisara
106,Schaum::N,шукы,vaahto
107,Schmutz::N,нӧд,loka
108,Schmutz::N,дэри,loka
109,See::N,ты,järvi
110,Sumpf::N,нюр,suo
111,Moor::N,нюр,räme
112,Wiese::N,возь,niitty
113,Wiese::N,возьвыл,niitty
114,Wald::N,сик,metsä
115,Wald::N,нюлэс,metsä
116,Hügel::N,выр,mäki
117,Hügel::N,выр,kumpu
118,Hügel::N,выр,kukkula
119,Hügel::N,вырйыл,mäki
120,Hügel::N,вырйыл,kumpu
121,Hügel::N,вырйыл,kukkula
122,Anhöhe::N,выр,mäki
123,Anhöhe::N,выр,kumpare
124,Anhöhe::N,вырйыл,mäki
125,Anhöhe::N,вырйыл,kumpare
126,Berg::N,гурезь,mäki
127,Berg::N,гурезь,vuori
128,Gipfel::N,йыл,laki
129,Gipfel::N,йыл,huippu
130,Höhle::N,гу,luola
131,Abhang::N,бам,rinne
132,Quelle::N,ошмес,lähde
133,Bach::N,пичи шур,puro
134,Fluss::N,шур,joki
135,Ufer::N,ярдур,ranta
136,Küste::N,вудур,rannikko
137,Festland::N,мувыр,manner
138,Meer::N,зарезь,meri
139,Bucht::N,вукож,lahti
140,Insel::N,вумуӵ,saari
141,Insel::N,шормуӵ,saari
142,Blume::N,сяська,kukka
143,Gras::N,турын,ruoho
144,Wurzel::N,выжы,juuri
145,Baum::N,пу,puu
146,Stamm::N,модос,runko
147,Rinde::N,сул,kuori
148,Rinde::N,сул,parkki
149,Ast::N,ул,oksa
150,Zweig::N,вай,haara
151,Blatt::N,куар,lehti
152,Birke::N,кызьпу,koivu
153,Kiefer[Baum]::N,пужым,mänty
154,Kiefer[Baum]::N,пужым,petäjä
155,Weide[Baum]::N,бадьпу,paju
156,Tanne::N,кыз,kuusi
157,Horn::N,сюр,sarvi
