,Concept_ID,la,os
0,Auge::N,oculus,цӕст
1,Ohr::N,auris,хъус
2,Nase::N,nasus,фындз
3,Mund::N,os,дзых
4,Zahn::N,dens,дӕндаг
5,Zunge::N,lingua,ӕвзаг
6,Lippe::N,labrum,был
7,Wange::N,gena,рус
8,Wange::N,gena,уадул
9,Wange::N,gena,ӕхсӕрфарс
10,Gesicht::N,vultus,цӕсгом
11,Stirn::N,frons,ных
12,Haar::N,capillus,хил
13,Schnurrbart::N,barba labri superioris,рихи
14,Bart::N,barba,зачъе
15,Kinn::N,mentum,роцъо
16,Kiefer[Anatomie]::N,mala,ӕфсӕр
17,Kehle::N,iugulums,хъуыр
18,Hals::N,collum,къубал
19,Genick::N,cervices,къӕбут
20,Kopf::N,caput,сӕр
21,Rücken::N,tergum,фӕсонтӕ
22,Bauch::N,venter,гуыбын
23,Nabel::N,umbilicus,бикъ
24,Busen::N,sinus,дзидзи
25,Brust::N,pectus,риу
26,Schulter::N,umerus,уӕхск
27,Arm::N,bracchium,цонг
28,Ellenbogen::N,cubitum,рæмбын
29,Hand::N,manus,къух
30,Handfläche::N,palma,армытъӕпӕн
31,Finger::N,digitus,ӕнруылдз
32,Fingernagel::N,unguiculus,ных
33,Nagel[Anatomie]::N,unguis,ных
34,Zeh::N,digitus,къух
35,Fuß::N,pes,фад
36,Ferse::N,calx,зӕвӕт
37,Knie::N,genu,уӕраг
38,Oberschenkel::N,femur,агъд
39,Bein::N,crus,зӕнг
40,Körper::N,corpus,буар
41,Haut::N,cutis,царм
42,Haut::N,pellis,царм
43,Blut::N,sanguis,туг
44,Ader::N,vena,дадзин
45,Ader::N,vena,тугдадзин
46,Sehne::N,nervus,хъиутæ
47,Sehne::N,nervus,нуар
48,Knochen::N,os,стӕг
49,Gehirn::N,cerebrum,магъз
50,Herz::N,cor,зӕрдӕ
51,Herz::N,animus,зӕрдӕ
52,Magen::N,stomachus,ахсӕн
53,Leber::N,iecur,игæр
54,Atem::N,spiritus,улӕфт
55,Hunger::N,fames,стонг
56,Träne::N,lacrima,цæссыг
57,Geschmack::N,sapor,ад
58,Geschmack::N,gustus,ад
59,Geruch::N,odor,смаг
60,Schlaf::N,somnus,хуыссӕг
61,Traum::N,somnium,фын
62,Himmel::N,caelum,арв
63,Himmel::N,caelum,уӕларв
64,Sonne::N,sol,хур
65,Mond::N,luna,мӕй
66,Stern::N,sidus,стъалы
67,Stern::N,stella,стъалы
68,Luft::N,aer,уӕлдӕф
69,Wind::N,ventus,дымгӕ
70,Welle::N,unda,уылӕн
71,Wasser::N,aqua,дон
72,Stein::N,lapis,дур
73,Boden::N,solum,зӕхх
74,Erde::N,terra,сыджыт
75,Staub::N,pulvis,рыг
