,Concept_ID,hr,sq
0,Auge::N,oko,sy
1,Ohr::N,uho,vesh
2,Nase::N,nos,hundë
3,Mund::N,usta,gojë
4,Zahn::N,zub,dhëmb
5,Zunge::N,jezik,gjuhë
6,Lippe::N,usna,buzë
7,Wange::N,obraz,faqe
8,Wange::N,obraz,mollëz
9,Gesicht::N,lice,fytyrë
10,Stirn::N,čelo,ballë
11,Haar::N,kosa,flokë
12,Schnurrbart::N,brkovi,mustaqe
13,Bart::N,brada,mjekër
14,Kinn::N,brada,mjekër
15,Kinn::N,podbradak,mjekër
16,Kiefer[Anatomie]::N,čeljust,nofull
17,Kehle::N,grlo,fyt
18,Kehle::N,grlo,grykë
19,Hals::N,vrat,qafë
20,Genick::N,zatiljak,arrëz
21,Kopf::N,glava,kokë
22,Rücken::N,leđa,kurriz
23,Rücken::N,hrbat,kurriz
24,Bauch::N,trbuh,bark
25,Nabel::N,pupak,kërthizë
26,Busen::N,sisa,gji
27,Busen::N,njedra,gji
28,Brust::N,prsa,gjoks
29,Brust::N,prsa,kraharor
30,Schulter::N,rame,sup
31,Schulter::N,rame,krah
32,Schulter::N,pleći,sup
33,Schulter::N,pleći,krah
34,Arm::N,ruka,krah
35,Ellenbogen::N,lakat,bërryl
36,Hand::N,ruka,dorë
37,Handfläche::N,dlan,pëllëmbë
38,Finger::N,prst,gisht
39,Fingernagel::N,nokat,thua
40,Nagel[Anatomie]::N,nokat,thua
41,Zeh::N,nozni prst,gisht i këmbës
42,Fuß::N,noga,këmbë
43,Fuß::N,stopalo,këmbë
44,Ferse::N,peta,thembër
45,Knie::N,koljeno,gju
46,Oberschenkel::N,bedro,kofshë
47,Bein::N,noga,këmbë
48,Körper::N,tijelo,trup
49,Haut::N,put,lëkurë
50,Haut::N,koža,lëkurë
51,Blut::N,krv,gjak
52,Ader::N,žila,venë
53,Sehne::N,tetiva,dell
54,Knochen::N,kost,asht
55,Knochen::N,kost,kockë
56,Herz::N,srce,zemër
57,Magen::N,stomak,stomak
58,Magen::N,želudac,stomak
59,Leber::N,jetra,mëlçi
60,Atem::N,dah,frymë
61,Hunger::N,glad,uri
62,Träne::N,suza,lot
63,Geschmack::N,ukus,shije
64,Geruch::N,njuh,erë
65,Geruch::N,miris,erë
66,Schlaf::N,san,gjumë
67,Traum::N,san,ëndërr
68,Himmel::N,nebo,qiell
