,Concept_ID,cv,ab
0,Auge::N,куҫ,ала
1,Ohr::N,хӑлха,алымҳа
2,Nase::N,сӑмса,аҧынҵа
3,Mund::N,ҫӑвар,аҧышə
4,Zahn::N,шӑл,ахаҧыц
5,Zunge::N,чӗлхе,абз
6,Lippe::N,тута,ақьышə
7,Wange::N,пит ҫӑмарти,аӡамҩа
8,Gesicht::N,пит,аҿы
9,Gesicht::N,пит-куҫ,аҿы
10,Stirn::N,ҫамка,алахь
11,Haar::N,ҫӳҫ,ахəыц
12,Schnurrbart::N,усси,аҧаҵа
13,Bart::N,сухал,ажакьа
14,Kinn::N,янах,ацламкəыгə
15,Kiefer[Anatomie]::N,янах,ацламҳəа
16,Kehle::N,пыр,ахəда
17,Kehle::N,карланкӑ,ахəда
18,Hals::N,пыр,ахəда
19,Genick::N,ӗнсе,ахəдаџьал
20,Kopf::N,пуҫ,ахы
21,Rücken::N,ҫурӑм,азқəа
22,Nabel::N,кӑвапа,аҷапан
23,Busen::N,кӑкӑр,агəыҧҳəы
24,Brust::N,умӗ,агəышҧы
25,Schulter::N,хул пуҫҫи,ажəҩахыр
26,Arm::N,алӑ,амахəар
27,Ellenbogen::N,чавса,амашьхəылҵ
28,Hand::N,алӑ сыппи,анапы
29,Handfläche::N,ал лаппи,анапсаргəыҵа
30,Finger::N,пӳрне,анацəа
31,Fingernagel::N,чӗрне,анапхыц
32,Nagel[Anatomie]::N,чӗрне,ашьапхыц
33,Zeh::N,пӳрне,ашьацəа
34,Fuß::N,ура лаппи,ашьапсыргəыҵа
35,Ferse::N,кӗле,ашьхəа
36,Knie::N,чӗркуҫҫи,ашьамхы
37,Oberschenkel::N,пӗҫӗ,ауаҭəа
38,Bein::N,ура,ашьапы
39,Körper::N,ӳт,ацəеижь
40,Körper::N,ӳт-пӳ,ацəеижь
41,Haut::N,тир,ацəа
42,Blut::N,юн,ашьа
43,Ader::N,вена,ада
44,Sehne::N,шӑнӑр,адаш
45,Knochen::N,шӑмӑ,абаҩ
46,Gehirn::N,миме,ахшлыбаҩ
47,Gehirn::N,миме,ахшыбаҩ
48,Herz::N,чӗре,агəы
49,Magen::N,хырӑмлӑх,аца
50,Magen::N,хырӑмлӑх,ацар
51,Leber::N,пӗвер,агəаҵəа
52,Atem::N,сывлав,аҧсыҧлагаҩгара
53,Hunger::N,выҫлӑх,амла
54,Träne::N,куҫҫуль,алабжыш
55,Geschmack::N,техӗм,агьама
56,Geruch::N,шӑршӑ,афҩы
57,Schlaf::N,ыйхӑ,ацəа
58,Traum::N,тӗлӗк,аҧхыӡ
59,Himmel::N,пӗлӗт,ажəҩан
60,Sonne::N,хӗвел,амра
61,Mond::N,уйӑх,амза
62,Stern::N,ҫӑлтӑр,аеҵəа
63,Luft::N,сывлӑш,аҳаир
64,Wind::N,ҫил,аҧша
65,Welle::N,хум,ацəқəырҧа
66,Wasser::N,шыв,аӡы
67,Wasser::N,шыв-шур,аӡы
68,Stein::N,чул,ахаҳə
69,Boden::N,тӑпра,адгьыл
70,Erde::N,ҫӗр,адгьыл
71,Staub::N,тусан,асаба
72,Rauch::N,тӗтӗм,алҩа
73,Funke::N,хӗм,акəиц
74,Funke::N,хӗм,ацҧхь
75,Feuer::N,вут,амца
76,Feuer::N,ҫулӑм,амца
77,Licht::N,ҫутӑ,алашара
78,Schatten::N,сулхӑн,ашəшьыра
79,Wetter::N,ҫанталӑк,амш
80,Nebel::N,тӗтре,анаҟəа
81,Wolke::N,пӗлӗт,аҧсҭҳəа
82,Regen::N,ҫумӑр,ақəа
83,Schnee::N,юр,асы
84,Eis::N,пӑр,аҵаа
85,Frost::N,сивӗ,аҵаа
86,Kälte::N,сивӗ,ахьҭа
87,Hitze::N,вӗри,ашоура
88,Hitze::N,шӑрӑх,ашоура
89,Raureif::N,пас,аҵааҧшқа
90,Regenbogen::N,асамат кӗперӗ,ацəаҟəа
91,Donner::N,аслати,адыд
92,Strömung::N,юхӑ,аиасра
93,Strömung::N,юхӑ,амҩасра
94,Tropfen::N,тумлам,ацəыкəбар
95,Schaum::N,кӑпӑк,ашəах
96,Schmutz::N,пылчӑк,алымт
97,See::N,кӳлӗ,аӡиа
98,Sumpf::N,шур,аӡмах
99,Sumpf::N,шурлӑх,аӡмах
100,Moor::N,торфлӑ шурлӑх,
101,Wiese::N,улӑх,адəы
102,Wiese::N,ҫаран,адəы
103,Wald::N,вӑрман,абна
104,Hügel::N,сӑрт,ахəы
105,Hügel::N,тӗмеске,ахəы
106,Anhöhe::N,сӑрт,аҳаракыра
107,Berg::N,ту,ашьха
108,Gipfel::N,тӳпе,ацəқəа
109,Höhle::N,ҫӗр хӑвӑлӗ,аҳаҧы
110,Abhang::N,тӑвайкки,анаара
111,Quelle::N,ҫӑл куҫ,аҵҵырҭа
112,Bach::N,пӗчӗк шыв,акəараҷҷа
113,Fluss::N,юхан шыв,аӡиас
114,Ufer::N,ҫыран,ахықə
115,Küste::N,тинӗс ҫыранӗ,ахықə
116,Festland::N,тип ҫӗр,абарра
117,Meer::N,тинӗс,амшын
118,Bucht::N,тинӗс кукӑрӗ,аӡбжьахала
119,Insel::N,утрав,адгьылбжьаха
120,Blume::N,чечек,ашəҭ
121,Gras::N,курӑк,аҳасакьын
122,Wurzel::N,тымар,адац
123,Baum::N,йывӑҫ,аҵла
124,Stamm::N,вулӑ,ашьапы
125,Rinde::N,хуйӑр,ацəа
126,Ast::N,турат,амахə
127,Ast::N,турат,амахəҭа
128,Zweig::N,турат,амахə
129,Zweig::N,турат,амахəҭа
130,Blatt::N,ҫулҫӑ,абҕьы
131,Birke::N,хурӑн,аҵааҵла
132,Kiefer[Baum]::N,хыр,амза
133,Weide[Baum]::N,хӑва,аҧслыш
134,Tanne::N,чӑрӑш,аҧсаӡ
135,Horn::N,мӑйрака,атəыҩа
136,Feder::N,тӗк,ахӡы
137,Fell::N,ҫӑм,ацəа
138,Flügel::N,ҫунат,амҵəыжəа
139,Klaue::N,чӗрне,ашьапхыц
140,Kralle::N,ура,
141,Schwanz::N,хӳре,аҵыхəа
142,Ei::N,ҫӑмарта,акəтаӷь
143,Nest::N,йӑва,аҭра
144,Nest::N,йӑва,аҵысҭра
145,Bau::N,йӗнӗ,аҭыҩра
146,Tier::N,выльӑх,аҧстəы
147,Tier::N,выльӑх,агыгшəыг
148,Herde::N,кӗтӳ,агəарҭа
149,Kuh::N,ӗне,ажə
150,Bulle::N,вӑкӑр,ацə
151,Pferd::N,лаша,аҽы
152,Schaf::N,сурӑх,ауаса
153,Schwein::N,сысна,аҳəа
154,Hund::N,йытӑ,ала
155,Katze::N,кушак,ацгəы
156,Bär::N,упа,амшə
157,Eichhörnchen::N,пакша,аеш
158,Elch::N,пӑши,аҽаҩа
159,Fuchs::N,тилӗ,абгахəыҷы
160,Hase::N,куян,ажьа
161,Hase::N,мулкач,ажьа
162,Maus::N,шӑши,аҳəынаҧ
163,Wolf::N,кашкӑр,абгаду
164,Vogel::N,кайӑк,аҧсаатə
165,Vogel::N,вӗҫен кайӑк,аҧсаатə
166,Schwarm::N,ушкӑн,
167,Huhn::N,чӑх,акəты
168,Huhn::N,чӑхӑ,акəты
169,Hahn::N,автан,арбаҕь
170,Gans::N,хур,аҟыз
171,Adler::N,ӑмӑрт кайӑк,ауарба
