,Concept_ID,eu,it
0,Auge::N,begi,occhio
1,Ohr::N,belarri,orecchio
2,Nase::N,sudur,naso
3,Mund::N,aho,bocca
4,Zahn::N,hortz,dente
5,Zunge::N,mihi,lingua
6,Lippe::N,ezpain,labbro
7,Wange::N,masail,guancia
8,Gesicht::N,aurpegi,viso
9,Gesicht::N,aurpegi,faccia
10,Stirn::N,bekoki,fronte
11,Haar::N,ile,capello
12,Haar::N,bilo,capello
13,Schnurrbart::N,bibote,baffi
14,Schnurrbart::N,bibote,mustacchi
15,Schnurrbart::N,sudurpeko,baffi
16,Schnurrbart::N,sudurpeko,mustacchi
17,Bart::N,bizar,barba
18,Kinn::N,kokots,mento
19,Kiefer[Anatomie]::N,masailezur,mascella
20,Kehle::N,eztarri,gola
21,Hals::N,sama,collo
22,Genick::N,garondo,nuca
23,Kopf::N,buru,capo
24,Kopf::N,buru,testa
25,Rücken::N,bizkar,dorso
26,Rücken::N,bizkar,schiena
27,Bauch::N,sabel,ventre
28,Nabel::N,zilbor,ombelico
29,Busen::N,titi,seno
30,Busen::N,ugatz,seno
31,Brust::N,bular,petto
32,Schulter::N,besaburu,spalla
33,Arm::N,beso,braccio
34,Ellenbogen::N,ukondo,gomito
35,Hand::N,esku,mano
36,Handfläche::N,ahur,palma
37,Finger::N,hatz,dito
38,Fingernagel::N,azazkal,unghia
39,Nagel[Anatomie]::N,azazkal,unghia
40,Zeh::N,behatz,dito del piede
41,Fuß::N,oin,piede
42,Ferse::N,orpo,tallone
43,Ferse::N,orpo,calcagno
44,Ferse::N,oinburu,tallone
45,Ferse::N,oinburu,calcagno
46,Knie::N,belaun,ginocchio
47,Oberschenkel::N,izter,fèmore
48,Bein::N,zango,gamba
49,Körper::N,soin,corpo
50,Haut::N,azal,pelle
51,Blut::N,odol,sangue
52,Ader::N,zain,vena
53,Sehne::N,gihar-zain,tèndine
54,Knochen::N,hezur,osso
55,Gehirn::N,garun,cervello
56,Gehirn::N,burmuin,cervello
57,Herz::N,bihotz,cuore
58,Magen::N,urdail,stòmaco
59,Leber::N,gibel,fegato
60,Atem::N,hats,fiato
61,Atem::N,hats,respiro
62,Atem::N,arnasa,fiato
63,Atem::N,arnasa,respiro
64,Hunger::N,gose,fame
65,Träne::N,malko,làcrima
66,Geschmack::N,dasta,gusto
67,Geschmack::N,dasta,sapore
68,Geruch::N,usain,odore
69,Schlaf::N,lo,sonno
70,Traum::N,amets,sogno
71,Himmel::N,zeru,cielo
72,Sonne::N,eguzki,sole
73,Mond::N,ilargi,luna
74,Stern::N,izar,stella
75,Luft::N,aire,aria
76,Wind::N,haize,vento
77,Welle::N,uhin,onda
78,Welle::N,olatu,onda
79,Wasser::N,ur,acqua
80,Stein::N,harri,sasso
81,Stein::N,harri,pietra
82,Boden::N,lur,suolo
83,Boden::N,lur,terreno
84,Boden::N,zoru,suolo
85,Boden::N,zoru,terreno
86,Erde::N,lur,terra
87,Staub::N,hauts,polvere
88,Rauch::N,ke,fumo
89,Funke::N,zirta,scintilla
90,Funke::N,txinparta,scintilla
91,Feuer::N,su,fuoco
92,Licht::N,argi,luce
93,Schatten::N,itzal,ombra
94,Schatten::N,geriza,ombra
95,Wetter::N,eguraldi,tempo
96,Nebel::N,laino,nebbia
97,Wolke::N,hodei,nube
98,Wolke::N,hodei,nùvola
99,Regen::N,euri,pioggia
100,Schnee::N,elur,neve
101,Eis::N,horma,ghiaccio
102,Frost::N,izotzaldi,gelo
103,Kälte::N,hotz,freddo
104,Hitze::N,bero,caldo
105,Hitze::N,bero,calura
106,Raureif::N,antzigar,brina
107,Regenbogen::N,ostadar,arcobaleno
108,Regenbogen::N,ortzadar,arcobaleno
109,Donner::N,ostots,tuono
110,Donner::N,ihurtzuri,tuono
111,Strömung::N,laster,corrente
112,Tropfen::N,xorta,goccia
113,Schaum::N,bits,spuma
114,Schaum::N,bits,schiuma
115,Schmutz::N,lohi,sudiciume
116,Schmutz::N,zikin,sudiciume
117,See::N,laku,lago
118,See::N,aintzira,lago
119,Sumpf::N,zingira,palude
120,Moor::N,zohikaztegi,torbiera
121,Wiese::N,larre,prato
122,Wiese::N,belardi,prato
123,Wald::N,baso,bosco
124,Wald::N,baso,foresta
125,Wald::N,oihan,bosco
126,Wald::N,oihan,foresta
127,Hügel::N,muino,colle
128,Hügel::N,muino,collina
129,Hügel::N,pentoka,colle
130,Hügel::N,pentoka,collina
131,Anhöhe::N,garai,altura
132,Anhöhe::N,goragune,altura
133,Berg::N,mendi,monte
134,Berg::N,mendi,montagna
135,Gipfel::N,gain,cima
136,Gipfel::N,tontor,cima
137,Höhle::N,kobazulo,grotta
138,Höhle::N,kobazulo,caverna
139,Abhang::N,aldapa,pendìo
140,Quelle::N,iturri,sorgente
141,Quelle::N,iturbegi,sorgente
142,Bach::N,lats,ruscello
143,Bach::N,erreka,ruscello
144,Fluss::N,ibai,fiume
145,Fluss::N,uhaitz,fiume
146,Ufer::N,bazter,riva
147,Küste::N,itsasalde,costa
148,Festland::N,lehor,terraferma
149,Meer::N,itsaso,mare
150,Bucht::N,golko,cala
151,Insel::N,irla,ìsola
152,Insel::N,uharte,ìsola
153,Blume::N,lili,fiore
154,Gras::N,belar,erba
155,Wurzel::N,zuztar,radice
156,Wurzel::N,sustrai,radice
157,Baum::N,zuhaitz,àlbero
158,Stamm::N,enbor,tronco
159,Rinde::N,azal,corteccia
160,Ast::N,adar,ramo
161,Zweig::N,abar,ramo
162,Blatt::N,hosto,foglia
163,Birke::N,urki,betulla
164,Kiefer[Baum]::N,ler,pino
165,Weide[Baum]::N,zume,sàlice
166,Weide[Baum]::N,sahats,sàlice
167,Tanne::N,izei,abete
168,Horn::N,adar,corno
169,Feder::N,luma,penna
170,Feder::N,hegaki,penna
171,Fell::N,ile,manto
172,Fell::N,ile,pelame
173,Fell::N,larru,manto
174,Fell::N,larru,pelame
175,Flügel::N,hego,ala
176,Klaue::N,atzapar,grinfia
177,Kralle::N,erpe,unghia
178,Kralle::N,erpe,artiglio
179,Kralle::N,atzapar,unghia
180,Kralle::N,atzapar,artiglio
181,Schwanz::N,isats,coda
182,Schwanz::N,buztan,coda
183,Ei::N,arrautza,uovo
184,Nest::N,habia,nido
185,Bau::N,ohantze,covo
186,Tier::N,abere,bestia
187,Tier::N,abere,animale
188,Tier::N,piztia,bestia
189,Tier::N,piztia,animale
190,Herde::N,saldo,gregge
191,Herde::N,abere talde,gregge
192,Kuh::N,behi,vacca
193,Bulle::N,zezen,toro
194,Pferd::N,zaldi,cavallo
195,Schaf::N,ardi,pècora
196,Schwein::N,urde,porco
197,Schwein::N,urde,maiale
198,Schwein::N,txerri,porco
199,Schwein::N,txerri,maiale
200,Hund::N,txakur,cane
201,Katze::N,katu,gatta
202,Bär::N,hartz,orso
203,Eichhörnchen::N,urtxintxa,scoiàttolo
204,Elch::N,altze,alce
205,Fuchs::N,azeri,volpe
206,Hase::N,erbi,lepre
207,Maus::N,sagu,topo
208,Maus::N,sagu,sorcio
209,Wolf::N,otso,lupo
210,Vogel::N,txori,uccello
211,Vogel::N,hegazti,uccello
212,Schwarm::N,aldra,stormo
213,Huhn::N,oilo,gallina
214,Hahn::N,oilar,gallo
215,Gans::N,antzara,oca
216,Adler::N,arrano,àquila
217,Ente::N,ahate,ànatra
218,Eule::N,hontza,gufo
219,Eule::N,hontza,civetta
220,Kranich::N,kurrilo,gru
221,Krähe::N,bele,cornacchia
222,Kuckuck::N,kuku,cuccù
223,Kuckuck::N,kuku,cùculo
224,Schwan::N,beltxarga,cigno
225,Fisch::N,arrain,pesce
226,Barsch::N,perka,pèrsico
227,Hecht::N,lutxo,luccio
228,Schlange[Tier]::N,suge,serpente
229,Wurm::N,har,baco
230,Wurm::N,har,verme
231,Spinne::N,armiarma,ragno
232,Ameise::N,inurri,formica
233,Laus::N,zorri,pidocchio
234,Mücke::N,eltxo,zanzara
235,Fliege::N,euli,mosca
236,Schmetterling::N,pinpirin,farfalla
237,Schmetterling::N,tximeleta,farfalla
238,Beere::N,baia,bacca
239,Apfel::N,sagar,mela
240,Pilz::N,onddo,fungo
241,Pilz::N,perretxiko,fungo
242,Zwiebel::N,tipula,cipolla
243,Saat::N,haziak,semente
244,Korn::N,ale,grano
245,Korn::N,pikor,grano
246,Heu::N,belar ondu,fieno
247,Schale::N,azal,buccia
248,Grube::N,hobi,cava
249,Grube::N,hobi,fossa
250,Falle::N,harrapagailu,tràppola
251,Schlinge::N,bilur,laccio
252,Schlinge::N,xedera,laccio
253,Spur::N,lorratz,traccia
254,Asche::N,errauts,cenere
255,Dreck::N,satsukeria,fango
256,Eisen::N,burdina,ferro
257,Gold::N,urre,oro
258,Gold::N,urregorri,oro
259,Silber::N,zilar,argento
260,Silber::N,urrezuri,argento
261,Kohle::N,ikatz,carbone
262,Glas::N,beira,vetro
263,Lehm::N,buztin,argilla
264,Sand::N,harea,arena
265,Sand::N,harea,sabbia
266,Sand::N,hondar,arena
267,Sand::N,hondar,sabbia
268,Mensch::N,gizaki,uomo
269,Mensch::N,gizaki,èssere umano
270,Mann::N,gizon,uomo
271,Frau::N,andere,donna
272,Frau::N,emakume,donna
273,Kind::N,haur,bambino
274,Junge::N,mutil,ragazzo
275,Mädchen::N,neska,ragazza
276,Familie::N,sendi,famiglia
277,Familie::N,familia,famiglia
278,Großvater::N,aitona,nonno
279,Großvater::N,aitatxi,nonno
280,Großmutter::N,amona,nonna
281,Großmutter::N,amatxi,nonna
282,Eltern::N,gurasoak,genitori
283,Vater::N,aita,padre
