,Concept_ID,ta,la
0,Auge::N,கண்,oculus
1,Ohr::N,காது,auris
2,Nase::N,மூக்கு,nasus
3,Mund::N,வாய்,os
4,Zahn::N,பல்,dens
5,Zunge::N,நாக்கு,lingua
6,Lippe::N,உதடு,labrum
7,Wange::N,கன்னம்,gena
8,Gesicht::N,முகம்,vultus
9,Stirn::N,முன்னெற்றி,frons
10,Haar::N,முடி,capillus
11,Schnurrbart::N,மீசை,barba labri superioris
12,Bart::N,தாடி,barba
13,Kinn::N,கீழதாடை,mentum
14,Kiefer[Anatomie]::N,தாடை,mala
15,Kehle::N,தொண்டை,iugulums
16,Hals::N,கழுத்து,collum
17,Genick::N,கழுத்து,cervices
18,Kopf::N,தலை,caput
19,Rücken::N,முதுகு,tergum
20,Bauch::N,வயிறு,venter
21,Nabel::N,தொப்புள்,umbilicus
22,Busen::N,மார்பகம்,sinus
23,Brust::N, மார்பு,pectus
24,Schulter::N,தோள்பட்டை,umerus
25,Arm::N,கரம்,bracchium
26,Ellenbogen::N,முழங்கை,cubitum
27,Hand::N,கை,manus
28,Handfläche::N,உள்ளங்கை,palma
29,Finger::N,விரல்,digitus
30,Fingernagel::N,விரல் நகம்,unguiculus
31,Nagel[Anatomie]::N,நகம்,unguis
32,Zeh::N,கால்விரல்,digitus
33,Fuß::N,கால்,pes
34,Ferse::N,குதிகால்,calx
35,Knie::N,முழங்கால்,genu
36,Oberschenkel::N,தொடை,femur
37,Bein::N,கால்,crus
38,Körper::N,உடல்,corpus
39,Haut::N,சருமம்,cutis
40,Haut::N,சருமம்,pellis
41,Blut::N,இரத்தம்,sanguis
42,Ader::N,நாளம்,vena
43,Sehne::N,தசைநார்,nervus
44,Knochen::N,எலுமபு,os
45,Gehirn::N,மூனை,cerebrum
46,Herz::N,இதயம,cor
47,Herz::N,இதயம,animus
48,Magen::N,வயிறு,stomachus
49,Leber::N,கல்லீரல்,iecur
50,Atem::N,மூச்சு,spiritus
51,Hunger::N,பசி,fames
52,Träne::N,கண்ணீர்,lacrima
53,Geschmack::N,நறுமணம்,sapor
54,Geschmack::N,நறுமணம்,gustus
55,Geruch::N,துர்நாற்றம்,odor
56,Schlaf::N,தூக்கம்,somnus
57,Traum::N,கனவு,somnium
58,Himmel::N,வானம்,caelum
59,Sonne::N,சூரியன்,sol
60,Mond::N,சந்திரன்,luna
61,Stern::N,நட்சத்திரம்,sidus
62,Stern::N,நட்சத்திரம்,stella
63,Luft::N,காறறு,aer
64,Wind::N,காற்று,ventus
65,Welle::N,அலை,unda
66,Wasser::N,நீர்,aqua
67,Stein::N,கல்,lapis
68,Boden::N,தரை,solum
69,Erde::N,மண்,terra
70,Staub::N,தூசி,pulvis
71,Rauch::N,புகை,fumus
72,Funke::N,தீப்பொறி,scintilla
73,Feuer::N,தீ,ignis
74,Licht::N,வெளிச்சம்,lux
75,Licht::N,வெளிச்சம்,lumen
76,Schatten::N,நிழல்,umbra
77,Wetter::N,வானிலை,caelum
78,Wetter::N,வானிலை,tempestas
79,Nebel::N,பனிமூட்டம்,nebula
80,Wolke::N,மேகம்,nubes
