,Concept_ID,xal,cv
0,Auge::N,нүдн,куҫ
1,Ohr::N,чикн,хӑлха
2,Nase::N,хамр,сӑмса
3,Mund::N,амн,ҫӑвар
4,Zahn::N,шүдн,шӑл
5,Zunge::N,келн,чӗлхе
6,Lippe::N,урл,тута
7,Wange::N,халх,пит ҫӑмарти
8,Gesicht::N,нүр,пит
9,Gesicht::N,нүр,пит-куҫ
10,Stirn::N,маңна,ҫамка
11,Haar::N,үсн,ҫӳҫ
12,Schnurrbart::N,сахл,усси
13,Bart::N,сахл,сухал
14,Bart::N,өргнә сахл,сухал
15,Kinn::N,өргн,янах
16,Kiefer[Anatomie]::N,өргн,янах
17,Kehle::N,хол,пыр
18,Kehle::N,хол,карланкӑ
19,Hals::N,күзүн,пыр
20,Genick::N,гиҗг,ӗнсе
21,Kopf::N,толһа,пуҫ
22,Rücken::N,нурһн,ҫурӑм
23,Bauch::N,гесн,
24,Nabel::N,киисн,кӑвапа
25,Busen::N,көкн,кӑкӑр
26,Brust::N,чееҗ,умӗ
27,Schulter::N,ээм,хул пуҫҫи
28,Arm::N,һар,алӑ
29,Ellenbogen::N,тоха,чавса
30,Hand::N,баһлцг,алӑ сыппи
31,Handfläche::N,альхн,ал лаппи
32,Finger::N,хурһн,пӳрне
33,Finger::N,һарин хурһн,пӳрне
34,Fingernagel::N,хумсн,чӗрне
35,Nagel[Anatomie]::N,хумсн,чӗрне
36,Zeh::N,хурһн,пӳрне
37,Zeh::N,көлин хурһн,пӳрне
38,Fuß::N,тавг,ура лаппи
39,Ferse::N,өскә,кӗле
40,Knie::N,өвдг,чӗркуҫҫи
41,Oberschenkel::N,һуй,пӗҫӗ
42,Bein::N,көл,ура
43,Körper::N,махмуд,ӳт
44,Körper::N,махмуд,ӳт-пӳ
45,Haut::N,арсн,тир
46,Blut::N,цусн,юн
47,Ader::N,судцн,вена
48,Sehne::N,шүрүсн,шӑнӑр
49,Knochen::N,ясн,шӑмӑ
50,Gehirn::N,экн,миме
51,Herz::N,зүркн,чӗре
52,Magen::N,гесн,хырӑмлӑх
53,Leber::N,элкн,пӗвер
54,Atem::N,әмсхл,сывлав
55,Hunger::N,харһнлһн,выҫлӑх
56,Träne::N,нульмсн,куҫҫуль
57,Geschmack::N,амтн,техӗм
58,Geruch::N,үнр,шӑршӑ
59,Schlaf::N,нөр,ыйхӑ
60,Traum::N,зүүдн,тӗлӗк
61,Himmel::N,теңгр,пӗлӗт
62,Sonne::N,нарн,хӗвел
63,Mond::N,сар,уйӑх
64,Stern::N,одн,ҫӑлтӑр
65,Luft::N,аһар,сывлӑш
66,Wind::N,салькн,ҫил
67,Welle::N,дольган,хум
68,Wasser::N,усн,шыв
69,Wasser::N,усн,шыв-шур
70,Stein::N,чолун,чул
71,Boden::N,Һазр,тӑпра
72,Erde::N,Һазр,ҫӗр
73,Staub::N,тоосн,тусан
74,Rauch::N,утан,тӗтӗм
75,Funke::N,очн,хӗм
76,Feuer::N,һал,вут
77,Feuer::N,һал,ҫулӑм
78,Licht::N,герл,ҫутӑ
79,Schatten::N,сүүдр,сулхӑн
80,Wetter::N,теңгр,ҫанталӑк
81,Nebel::N,будн,тӗтре
82,Wolke::N,үүлн,пӗлӗт
83,Regen::N,хур,ҫумӑр
84,Schnee::N,цасн,юр
85,Eis::N,мөсн,пӑр
86,Frost::N,киитн,сивӗ
87,Kälte::N,киитн,сивӗ
88,Hitze::N,халун,вӗри
89,Hitze::N,халун,шӑрӑх
90,Raureif::N,цаң,пас
91,Raureif::N,кирү,пас
92,Regenbogen::N,солңһ,асамат кӗперӗ
93,Donner::N,оһтрһун дун,аслати
94,Strömung::N,урсхл,юхӑ
95,Tropfen::N,дусал,тумлам
96,Schaum::N,көөсн,кӑпӑк
97,Schmutz::N,кир,пылчӑк
98,See::N,нур,кӳлӗ
99,Sumpf::N,унул,шур
100,Sumpf::N,унул,шурлӑх
101,Moor::N,улм,торфлӑ шурлӑх
102,Wiese::N,хадлһн,улӑх
103,Wiese::N,хадлһн,ҫаран
104,Wald::N,ө-модн,вӑрман
105,Hügel::N,толһа,сӑрт
106,Hügel::N,толһа,тӗмеске
107,Anhöhe::N,хамр,сӑрт
108,Berg::N,уул,ту
109,Gipfel::N,ора,тӳпе
