,Concept_ID,mn,lt
0,Auge::N,нүд,akis
1,Ohr::N,чих,ausis
2,Nase::N,хамар,nosis
3,Mund::N,ам,burna
4,Zahn::N,шүд,dantis
5,Zunge::N,хэл,liežuvis
6,Lippe::N,уруул,lūpa
7,Wange::N,хацар,žandas
8,Wange::N,хацар,skruostas
9,Gesicht::N,царай,veidas
10,Gesicht::N,нүүр,veidas
11,Stirn::N,дух,kakta
12,Haar::N,үс,plaukai
13,Schnurrbart::N,дээд сахал,ūsai
14,Schnurrbart::N,живэр сахал,ūsai
15,Bart::N,сахал,barzda
16,Kinn::N,эрүү,smakras
17,Kiefer[Anatomie]::N,эрүү,žandikaulis
18,Kehle::N,хоолой,gerklė
19,Hals::N,хүзүү,kaklas
20,Genick::N,шил,sprandas
21,Genick::N,хүзүү,sprandas
22,Kopf::N,толгой,galva
23,Rücken::N,ар,nugara
24,Rücken::N,нуруу,nugara
25,Bauch::N,хэвлий,pilvas
26,Bauch::N,гэдэс,pilvas
27,Nabel::N,хүйс,bamba
28,Busen::N,хөх,krūtinė
29,Brust::N,цээж,krūtis
30,Schulter::N,мөр,petys
31,Schulter::N,бугалга,petys
32,Arm::N,гар,ranka
33,Ellenbogen::N,тохой,alkūnė
34,Hand::N,гар,ranka
35,Hand::N,гар,plaštaka
36,Hand::N,алга,ranka
37,Hand::N,алга,plaštaka
38,Handfläche::N,алга,delnas
39,Handfläche::N,алга,plaštaka
40,Finger::N,хуруу,pirštas
41,Fingernagel::N,хурууны хумс,nagas
42,Nagel[Anatomie]::N,хумс,nagas
43,Zeh::N,хуруу,pirštas
44,Fuß::N,хөл,pėda
45,Ferse::N,өсгий,kulnas
46,Knie::N,өвдөг,kelis
47,Oberschenkel::N,гуя,kulšis
48,Oberschenkel::N,гуя,šlaunis
49,Bein::N,хөл,koja
50,Körper::N,бие,kūnas
51,Haut::N,арьс,oda
52,Blut::N,цус,kraujas
53,Ader::N,судас,kraujagyslė
54,Sehne::N,бүлх,sausgyslė
55,Sehne::N,шандас,sausgyslė
56,Knochen::N,яс,kaulas
57,Gehirn::N,тархи,smegenys
58,Herz::N,зүрх,širdis
59,Magen::N,ходоод,skrandis
60,Leber::N,элэг,kepenys
61,Atem::N,амьсгаа,kvapas
62,Hunger::N,өлсгөлөн,badas
63,Hunger::N,өлсгөлөн,alkis
64,Träne::N,нулимс,ašara
65,Geschmack::N,амт,skonis
66,Geruch::N,үнэр,kvapas
67,Schlaf::N,нойр,miegas
68,Traum::N,зүүд,sapnas
69,Himmel::N,тэнгэр,dangus
70,Himmel::N,огторгуй,dangus
71,Sonne::N,нар,saulė
72,Mond::N,сар,mėnulis
73,Stern::N,од,žvaigždė
74,Luft::N,агаар,oras
75,Wind::N,салхи,vėjas
76,Welle::N,долгио,banga
77,Welle::N,долгио,vilnis
78,Welle::N,давалгаа,banga
