,Concept_ID,ca,br
0,Auge::N,ull,lagad
1,Ohr::N,orella,skouarn
2,Nase::N,nas,fri
3,Mund::N,boca,genoù
4,Zahn::N,dent,dant
5,Zunge::N,llēngua,teod
6,Lippe::N,llavi,muzell
7,Wange::N,galta,chot
8,Gesicht::N,cara,dremm
9,Stirn::N,front,tal
10,Haar::N,cabēll,blev
11,Schnurrbart::N,bigoti,mourenn
12,Bart::N,barba,barv
13,Kinn::N,mentó,groñj
14,Kinn::N,barbeta,groñj
15,Kiefer[Anatomie]::N,queix,javed
16,Kiefer[Anatomie]::N,mandíbula,javed
17,Kehle::N,gola,gouzoug
18,Kehle::N,gorja,gouzoug
19,Hals::N,coll,gouzoug
20,Genick::N,nuca,choug
21,Kopf::N,cap,penn
22,Rücken::N,esquena,kein
23,Bauch::N,panxa,kof
24,Nabel::N,llombrígol,begel
25,Busen::N,pit,bronn
26,Busen::N,mama,bronn
27,Brust::N,pit,bruched
28,Schulter::N,espatlla,skoaz
29,Arm::N,braç,brec'h
30,Ellenbogen::N,colze,ilin
31,Hand::N,mà,dorn
32,Handfläche::N,palma,palv
33,Finger::N,dit,biz
34,Fingernagel::N,ungla,ivin
35,Nagel[Anatomie]::N,ungla,ivin
36,Zeh::N,dit del peu,biz-troad
37,Fuß::N,peu,troad
38,Ferse::N,taló,seul
39,Knie::N,genoll,glin
40,Oberschenkel::N,cuixa,morzhed
41,Bein::N,cama,gar
42,Körper::N,cos,korf
43,Haut::N,pell,kroc'hen
44,Blut::N,sang,gwad
45,Ader::N,vena,gwazhi
46,Sehne::N,tendó,stir
47,Knochen::N,os,askorn
48,Gehirn::N,cervell,empenn
49,Herz::N,cor,kalon
50,Magen::N,estómac,stomog
51,Leber::N,fetge,avu
52,Atem::N,alè,anal
53,Atem::N,hàlit,anal
54,Hunger::N,fam,naon
55,Hunger::N,gana,naon
56,Träne::N,llàgrima,daer
57,Geschmack::N,gust,blaz
58,Geschmack::N,sabor,blaz
59,Geruch::N,olor,c'hwezh
60,Schlaf::N,son,kousked
61,Traum::N,somni,hune
62,Himmel::N,celm,oabl
63,Sonne::N,sol,heol
64,Mond::N,lluna,loar
65,Stern::N,estel,steredenn
66,Stern::N,estrella,steredenn
67,Luft::N,aire,aer
68,Wind::N,vent,avel
69,Welle::N,ona,houlenn
70,Wasser::N,āigua,dour
71,Stein::N,pedra,maen
72,Boden::N,sòl,tachenn
73,Erde::N,terra,douar
74,Staub::N,pols,poultr
75,Rauch::N,fum,moged
76,Funke::N,guspira,ful
77,Funke::N,centella,ful
78,Feuer::N,foc,tan
79,Licht::N,llum,gouloù
80,Schatten::N,ombra,disheol
81,Wetter::N,temps,amzer
82,Nebel::N,boira,brumenn
83,Wolke::N,núvol,koumoulenn
84,Regen::N,pluja,glav
85,Schnee::N,neu,erc'h
86,Eis::N,gel,skorn
87,Eis::N,glaç,skorn
88,Frost::N,glaçada,rev
89,Kälte::N,fred,yen
90,Hitze::N,calor,tommder
91,Raureif::N,gebre,frim
92,Regenbogen::N,arc iris,gwareg-ar-glav
93,Donner::N,tro,kurun
94,Strömung::N,corrent,red
95,Tropfen::N,gota,bannac'h
96,Tropfen::N,gota,takenn
97,Schaum::N,escuma,spoum
98,Schmutz::N,brutícia,fank
99,See::N,llac,lenn
100,Sumpf::N,pantà,gwern
101,Moor::N,pantà,taouarc'heg
102,Wiese::N,prat,prad
103,Wiese::N,prada,prad
104,Wald::N,bosc,koad
105,Hügel::N,puig,torgenn
106,Hügel::N,pujol,torgenn
107,Anhöhe::N,turó,run
108,Berg::N,muntanya,menez
109,Gipfel::N,cim,barr
110,Höhle::N,cova,kav
111,Abhang::N,coster,naou
112,Quelle::N,font,feunteun
113,Bach::N,riera,gwazh
114,Fluss::N,riu,stêr
115,Ufer::N,riba,ribl
116,Küste::N,costa,aod
117,Festland::N,terra ferma,douar
118,Meer::N,mar,mor
119,Bucht::N,cala,mor-bihan
120,Bucht::N,badia,mor-bihan
121,Insel::N,illa,enez
122,Blume::N,flor,bleunienn
123,Gras::N,herba,geot
124,Wurzel::N,rel,gwrizienn
125,Wurzel::N,arrel,gwrizienn
126,Baum::N,arbre,gwezenn
127,Stamm::N,tronc,kef
128,Rinde::N,escorça,rusk
129,Ast::N,branca,barr
130,Zweig::N,ram,bod
131,Blatt::N,fulla,delienn
132,Birke::N,bedoll,bezvenn
133,Kiefer[Baum]::N,pi,pinenn
134,Weide[Baum]::N,salze,halegenn
135,Tanne::N,avet,sapenn
136,Horn::N,corn,korn
137,Horn::N,banya,korn
138,Feder::N,ploma,pluñv
139,Fell::N,pell,kreoñ
140,Flügel::N,ala,askell
141,Klaue::N,urpa,skilf
142,Kralle::N,grapa,skilf
143,Schwanz::N,cua,lost
144,Ei::N,ou,vi
145,Nest::N,niu,neizh
146,Bau::N,cau,douarenn
147,Tier::N,animāl,loen
148,Herde::N,ramat,tropell
149,Kuh::N,vaca,buoc'h
150,Bulle::N,toro,tarv
151,Pferd::N,cavāll,marc'h
152,Schaf::N,be,dañvad
153,Schaf::N,ovella,dañvad
154,Schwein::N,bacó,pemoc'h
155,Hund::N,ca,ki
156,Hund::N,gos,ki
157,Katze::N,gat,kazh
158,Bär::N,ós,arzh
159,Eichhörnchen::N,esquirol,gwiñver
160,Elch::N,ant,karv-dour
161,Fuchs::N,guilla,louarn
162,Hase::N,llebre,gad
163,Maus::N,ratolí,logodenn
164,Wolf::N,llop,bleiz
165,Vogel::N,au,labous
166,Vogel::N,ocēll,labous
167,Schwarm::N,bandada,nijad
168,Huhn::N,gallina,yar
169,Hahn::N,gall,kilhog
170,Gans::N,oca,gwazenn
171,Adler::N,àguila,erer
172,Ente::N,ànec,houad
173,Eule::N,òliba,toud
174,Eule::N,mussol,toud
175,Kranich::N,grua,garan
176,Krähe::N,cornella,bran
177,Kuckuck::N,cucut,koukoug
178,Schwan::N,cigne,alarc'h
179,Fisch::N,peix,pesk
180,Barsch::N,perca,brell
181,Hecht::N,lluç,beked
182,Schlange[Tier]::N,serp,naer
183,Wurm::N,cuc,preñv
184,Spinne::N,aranya,kevnidenn
185,Ameise::N,formiga,merion
186,Laus::N,poll,laouenn
187,Mücke::N,mosquit,moustik
188,Fliege::N,mosca,kelienenn
189,Schmetterling::N,papallona,balafenn
190,Beere::N,baia,hog
191,Apfel::N,poma,aval
192,Pilz::N,bolet,kabell-touseg
193,Zwiebel::N,ceba,ognonenn
194,Saat::N,sembra,had
195,Korn::N,gra,ed
196,Heu::N,fenc,foenn
197,Schale::N,closca,peliadur
198,Grube::N,sot,
199,Grube::N,clot,
200,Falle::N,trampa,pech
201,Schlinge::N,baga,krouglas
202,Spur::N,traça,
203,Asche::N,cendra,ludu
204,Dreck::N,llot,fank
205,Eisen::N,ferro,houarn
206,Gold::N,or,aour
207,Silber::N,plata,arc'hant
208,Kohle::N,carbó,glaou
209,Glas::N,vidre,gwer
210,Lehm::N,fang,
211,Lehm::N,argila,
212,Sand::N,arena,traezh
213,Mensch::N,humà,den
214,Mensch::N,persona,den
215,Mann::N,home,den
216,Frau::N,dona,maouez
217,Kind::N,nen,bugel
218,Junge::N,noi,paotr
219,Mädchen::N,noia,plac'h
220,Familie::N,família,familh
221,Großvater::N,avi,tad-kozh
222,Großmutter::N,àvia,mamm-gozh
223,Eltern::N,pares,kerent
224,Vater::N,pare,tad
225,Mutter::N,mare,mamm
226,Sohn::N,fill,mab
227,Tochter::N,filla,merc'h
228,Bruder::N,germà,breur
229,Schwester::N,germana,c'hoar
230,Onkel::N,oncle,eontr
231,Tante::N,tia,moereb
232,Ehemann::N,espòs,gwaz
233,Ehefrau::N,muller,gwreg
234,Freude::N,goig,levenez
235,Freude::N,alegria,levenez
236,Gelächter::N,riallada,c'hoarzherezh
237,Glück::N,felicitat,chañs
238,Kummer::N,pena,doan
239,Wunsch::N,desig,c'hoant
240,Lust::N,ganes,c'hoant
241,Geist::N,ment,spered
242,Geist::N,esperit,spered
243,Gedanke::N,pensament,soñj
244,Gedächtnis::N,memòria,eñvor
245,Verstand::N,raó,skiant
246,Verstand::N,seny,skiant
247,Sinn::N,solta,ster
248,Sinn::N,sentit,ster
249,Grund::N,raó,kaoz
250,Grund::N,causa,kaoz
251,Wahrheit::N,veritāt,gwirionez
252,Gespräch::N,conversa,kaozeadenn
253,Märchen::N,conte,kaoz korriganez
254,Erzählung::N,narració,kontadenn
255,Nachricht::N,missatge,keloù
256,Neuigkeit::N,novetat,kelaouenn
257,Name::N,nom,anv
258,Rätsel::N,endevinalla,divinatez
259,Rede::N,discurs,diskour
260,Sprache::N,llēngua,yezh
261,Stimme::N,veu,mouezh
262,Wort::N,mot,ger
263,Wort::N,paraula,ger
264,Zeichen::N,signe,sin
265,Zeichen::N,senyal,sin
266,Ruf::N,crida,galv
267,Lärm::N,sorōll,trouz
268,Laut::N,so,
269,Ton::N,to,ton
270,Lied::N,cançó,kanaouenn
271,Ruhe::N,calma,sioulded
272,Ruhe::N,silenci,sioulded
273,Leute::N,gent,tud
274,Volk::N,poble,pobl
275,Arbeit::N,labor,labour
276,Arbeit::N,treball,labour
277,Gast::N,hoste,kouviad
278,Geschenk::N,regal,prof
279,Geschenk::N,obsequi,prof
280,Spiel::N,joc,c'hoari
281,Gesellschaft::N,companyia,kompagnunezh
282,Gesellschaft::N,companyia,kavandad
283,Hilfe::N,ajut,sikour
284,Freund::N,amīc,mignon
285,Kamerad::N,company,kamarad
286,Kamerad::N,camarada,kamarad
287,Angelegenheit::N,afer,afer
288,Angelegenheit::N,assumpte,afer
289,Anzahl::N,nombre,niver
290,Anzahl::N,quantitat,niver
291,Art::N,tipus,sort
292,Art::N,classe,sort
293,Stück::N,peça,tamm
294,Teil::N,part,pezh
295,Hälfte::N,meitat,hanterenn
296,Kreis::N,cercle,kelc'h
297,Kreuz::N,creu,kroaz
298,Linie::N,línia,linenn
299,Strich::N,traç,tenn
300,Strich::N,ratlla,tenn
301,Abstand::N,distància,distok
302,Entfernung::N,distància,keid
303,Entfernung::N,distància,kehid
304,Gegend::N,regió,korn-bro
305,Gegend::N,contrada,korn-bro
306,Platz::N,cabuda,plasenn
307,Ort::N,lloc,lec'h
308,Seite::N,banda,tu
309,Seite::N,costāt,tu
310,Mitte::N,mig,kreiz
311,Mitte::N,centre,kreiz
312,Gegenstand::N,objecte,tra
313,Sache::N,cosa,tra
314,Rand::N,vora,kantenn
315,Rand::N,marge,kantenn
316,Kante::N,caire,kantenn
317,Kante::N,cantell,kantenn
318,Ecke::N,cantonada,korn
319,Spitze::N,punta,begell
320,Ende::N,cap,dibenn
321,Loch::N,forāt,toull
322,Winkel::N,racó,
323,Muster::N,dibuix,tresadenn
324,Muster::N,disseny,tresadenn
325,Größe::N,grandària,ment
326,Länge::N,longitud,hirder
327,Höhe::N,altura,uhelder
328,Höhe::N,altitud,uhelder
329,Gewicht::N,pes,pouez
330,Menge::N,quantitat,bern
331,Haufen::N,pila,bern
332,Reihe::N,fila,steud
333,Boot::N,bot,bag
334,Boot::N,barca,bag
335,Ruder::N,rem,roeñv
336,Schlitten::N,trineu,trainell
337,Ski::N,esquí,ski
338,Lagerfeuer::N,foc de campament,
339,Last::N,càrrega,karg
340,Gang::N,marxa,kerzh
341,Schritt::N,pas,paz
342,Norden::N,nord,norzh
343,Norden::N,nord,hanternoz
344,Süden::N,sud,su
345,Süden::N,sud,kreisteiz
346,Westen::N,oest,kuzh-heol
347,Westen::N,occident,kuzh-heol
348,Osten::N,est,reter
349,Osten::N,est,sav-heol
350,Osten::N,orient,reter
351,Osten::N,orient,sav-heol
352,Holz::N,fusta,koad
353,Brett::N,taula,plankenn
354,Platte::N,placa,plakenn
355,Stütze::N,suport,harp
356,Stange::N,vara,sparl
357,Stock::N,pal,bazh
358,Stab::N,bastó,bazh
359,Rohr::N,tub,tub
360,Rohr::N,tub,korz
361,Haus::N,casa,ti
362,Heim::N,llar,kêr
363,Ofen::N,estufa,forn
364,Fußboden::N,terra,plañchod
365,Tisch::N,taula,taol
366,Stuhl::N,cadira,kador
367,Wiege::N,bressol,kavell
368,Bett::N,llit,gwele
369,Regal::N,prestatgeria,estajerenn
370,Kiste::N,caixa,kased
371,Fenster::N,finestra,prenestr
372,Tür::N,porta,dor
373,Tor::N,portal,portal
374,Zaun::N,tanca,sklotur
375,Dach::N,teulada,toenn
376,Leiter::N,escala,skeul
377,Leiter::N,escala de mà,skeul
378,Besen::N,escombra,skubell
379,Spaten::N,pala,pal
380,Schaufel::N,pala,pal
381,Gabel::N,forquilla,fourchetez
382,Löffel::N,cullera,loa
383,Messer::N,coltell,kontell
384,Nagel::N,clau,tach
385,Netz::N,filat,roued
386,Haken::N,ganxo,krog
387,Griff::N,puny,kemer
388,Griff::N,mànec,kemer
389,Schloss::N,pany,potenn
390,Bild::N,imatge,skeudenn
391,Figur::N,figura,skeud
392,Figur::N,figura,figur
393,Puppe::N,nina,merc'hodenn
394,Beutel::N,bossa,sac'h
395,Bündel::N,feix,feskenn
396,Bündel::N,paquet,feskenn
397,Tasche::N,bossa,sac'h
398,Eimer::N,galleda,sailh
399,Deckel::N,tapa,pallenn
400,Deckel::N,tapadora,pallenn
401,Geschirr::N,vaixella,listriaj
402,Sack::N,sac,sac'h
403,Sack::N,saca,sac'h
404,Tasse::N,tassa,tas
405,Topf::N,pot,pod
406,Topf::N,olla,pod
407,Kessel::N,caldera,chaodouron
408,Essen::N,àpat,pred
409,Essen::N,menjada,pred
410,Nahrung::N,aliment,boued
411,Speise::N,plat,meuz
412,Fleisch::N,carn,kig
413,Getreide::N,cereals,ed
414,Brei::N,puré,yod
415,Brot::N,pa,bara
416,Scheibe::N,tall,tailhenn
417,Scheibe::N,llesca,tailhenn
418,Fett::N,greix,lard
419,Butter::N,mantega,amann
420,Öl::N,oli,eoul
421,Salz::N,sal,holen
422,Suppe::N,sopa,soubenn
423,Honig::N,mel,mel
424,Milch::N,llet,laezh
425,Tee::N,te,te
426,Leder::N,cuir,lêr
427,Wolle::N,llana,gloan
428,Stoff::N,tela,danvez
429,Nadel::N,agulla,nadoz
430,Faden::N,fil,neudenn
431,Knopf::N,botó,bouton
432,Knoten::N,nus,skoulm
433,Farbe::N,pintura,liv
434,Kleidung::N,roba,dilhad
435,Kleidung::N,vestits,dilhad
436,Hemd::N,camisa,roc'hed
437,Kragen::N,coll,gouzoug
438,Ärmel::N,màniga,milgin
439,Hose::N,pantalōns,bragoù
