,Concept_ID,da,ga
0,Auge::N,øje,súil
1,Ohr::N,øre,cluas
2,Nase::N,næse,soc
3,Mund::N,mund,béal
4,Zahn::N,tand,fiacail
5,Zunge::N,tunge,teanga
6,Lippe::N,læbe,liopa
7,Wange::N,kind,grua
8,Wange::N,kind,leiceann
9,Gesicht::N,ansigt,éadan
10,Gesicht::N,ansigt,aghaidh
11,Stirn::N,pande,baithis
12,Stirn::N,pande,clár éadain
13,Haar::N,hår,gruaig
14,Schnurrbart::N,overskæg,croiméal
15,Bart::N,skæg,féasóg
16,Kinn::N,hage,smig
17,Kiefer[Anatomie]::N,kæbe,giall
18,Kehle::N,strube,scornach
19,Hals::N,hals,muinéal
20,Genick::N,nakke,baic
21,Kopf::N,hoved,ceann
22,Rücken::N,ryg,droim
23,Bauch::N,mave,bolg
24,Nabel::N,navle,imleacán
25,Busen::N,barm,cíoch
26,Brust::N,bryst,brollach
27,Schulter::N,skulder,gualainn
28,Arm::N,arm,lámh
29,Ellenbogen::N,albue,uillinn
30,Hand::N,hånd,lámh
31,Handfläche::N,håndflade,bos
32,Finger::N,finger,méar
33,Fingernagel::N,fingernegl,ionga
34,Nagel[Anatomie]::N,negl,ionga
35,Zeh::N,tå,ladhar
36,Fuß::N,fod,cos
37,Fuß::N,fod,troigh
38,Ferse::N,hæl,sáil
39,Knie::N,knæ,glúin
40,Oberschenkel::N,lår,ceathrú
41,Bein::N,ben,cos
42,Körper::N,krop,corp
43,Körper::N,krop,colainn
44,Körper::N,legeme,corp
45,Körper::N,legeme,colainn
46,Haut::N,hud,cneas
47,Haut::N,hud,craiceann
48,Blut::N,blod,fuil
49,Ader::N,åre,
50,Sehne::N,sene,teannán
51,Sehne::N,sene,féitheog
52,Knochen::N,ben,cnámh
53,Gehirn::N,hjerne,inchinn
54,Herz::N,hjerte,croí
55,Magen::N,mave,bolg
56,Magen::N,mave,goile
57,Leber::N,lever,ae
58,Atem::N,ånde,anáil
59,Hunger::N,sult,ocras
60,Träne::N,tåre,deoir
61,Geschmack::N,smag,blas
62,Geruch::N,lugt,boladh
63,Schlaf::N,søvn,suan
64,Schlaf::N,søvn,codladh
65,Traum::N,drøm,taibhreamh
66,Himmel::N,himmel,spéir
67,Sonne::N,sol,grian
68,Mond::N,måne,ré
69,Mond::N,måne,gealach
70,Stern::N,stjerne,rinn
71,Stern::N,stjerne,réalta
72,Luft::N,luft,aer
73,Wind::N,vind,gaoth
74,Welle::N,bølge,tonn
75,Wasser::N,vand,uisce
76,Stein::N,sten,cloch
77,Boden::N,jord,talamh
78,Erde::N,jord,cré
79,Erde::N,jord,ithir
80,Staub::N,støv,dusta
81,Staub::N,støv,deannach
82,Rauch::N,røg,toit
83,Rauch::N,røg,deatach
84,Funke::N,gnist,drithle
85,Feuer::N,ild,tine
86,Licht::N,lys,solas
87,Schatten::N,skygge,scáth
88,Wetter::N,vejr,aimsir
89,Nebel::N,tåge,ceo
90,Wolke::N,sky,néal
91,Wolke::N,sky,scamall
92,Regen::N,regn,báisteach
93,Regen::N,regn,fearthainn
94,Schnee::N,sne,sneachta
95,Eis::N,is,oighear
96,Frost::N,frost,sioc
97,Kälte::N,kulde,fuacht
98,Hitze::N,hede,teas
99,Hitze::N,hede,teocht
100,Raureif::N,rimfrost,sioc bán
101,Regenbogen::N,regnbue,stua ceatha
102,Regenbogen::N,regnbue,bogha báistí
103,Donner::N,torden,toirneach
104,Strömung::N,strømning,sruth
105,Tropfen::N,dråbe,deoir
106,Schaum::N,skum,cúr
107,Schmutz::N,snavs,salachar
108,See::N,sø,loch
109,Sumpf::N,sump,portach
110,Moor::N,mose,caorán
111,Moor::N,mose,móinteán
112,Wiese::N,eng,cluain
113,Wiese::N,eng,móinéar
114,Wald::N,skov,coill
115,Wald::N,skov,foraois
116,Hügel::N,høj,ard
117,Hügel::N,bakke,ard
118,Anhöhe::N,høj,ard
119,Anhöhe::N,høj,ardán
120,Anhöhe::N,bakke,ard
121,Anhöhe::N,bakke,ardán
122,Berg::N,bjerg,sliabh
123,Gipfel::N,top,barr
124,Gipfel::N,top,mullach
125,Höhle::N,hule,uaimh
126,Höhle::N,hule,pluais
127,Abhang::N,skrænt,fána
128,Abhang::N,skråning,fána
129,Quelle::N,kilde,foinse
130,Bach::N,bæk,sruthán
131,Fluss::N,flod,abhainn
132,Ufer::N,bred,bruach
133,Küste::N,kyst,cósta
134,Küste::N,kyst,cladach
135,Festland::N,fastland,míntír
136,Meer::N,hav,muir
137,Meer::N,hav,farraige
138,Bucht::N,bugt,bá
139,Bucht::N,bugt,cuan
140,Insel::N,ø,inis
141,Insel::N,ø,oileán
142,Blume::N,blomst,bláth
143,Gras::N,græs,féar
144,Wurzel::N,rod,rúta
145,Wurzel::N,rod,fréamh
146,Baum::N,træ,crann
147,Stamm::N,stamme,stoc
148,Stamm::N,stamme,tamhan
149,Rinde::N,bark,coirt
150,Rinde::N,bark,craiceann
151,Ast::N,gren,géag
152,Zweig::N,kvist,géag
153,Zweig::N,kvist,craobh
154,Blatt::N,blad,duille
155,Blatt::N,blad,duilleog
156,Birke::N,birk,beith
157,Birke::N,birk,crann beithe
158,Kiefer[Baum]::N,fyrretræ,péine
159,Weide[Baum]::N,piletræ,saileach
160,Tanne::N,gran,giúis
161,Horn::N,horn,adharc
162,Feder::N,fjer,cleite
163,Fell::N,skind,clúmh
164,Flügel::N,vinge,eite
165,Flügel::N,vinge,sciathán
166,Klaue::N,klov,crúb
167,Klaue::N,klov,crobh
168,Kralle::N,klo,crobh
169,Schwanz::N,hale,eireaball
170,Ei::N,æg,ubh
171,Nest::N,rede,nead
172,Bau::N,bo,brocais
173,Tier::N,dyr,ainmhí
174,Tier::N,dyr,beithíoch
175,Herde::N,flok,tréad
176,Kuh::N,ko,bó
177,Bulle::N,tyr,tarbh
178,Pferd::N,hest,each
179,Pferd::N,hest,capall
180,Schaf::N,får,caora
181,Schwein::N,gris,muc
182,Hund::N,hund,madra
183,Katze::N,kat,cat
184,Bär::N,bjørn,béar
185,Eichhörnchen::N,egern,iora
186,Elch::N,elg,eilc
187,Fuchs::N,ræv,sionnach
188,Fuchs::N,ræv,madra rua
189,Hase::N,hare,giorria
190,Maus::N,mus,luch
191,Wolf::N,ulv,mac tíre
192,Vogel::N,fugl,éan
193,Schwarm::N,sværm,saithe
194,Huhn::N,høne,cearc
195,Hahn::N,hane,coileach
196,Gans::N,gås,gé
197,Adler::N,ørn,iolar
198,Ente::N,and,lacha
199,Eule::N,ugle,ulchabhán
200,Kranich::N,trane,grús
201,Krähe::N,krage,caróg
202,Krähe::N,krage,préachán
203,Kuckuck::N,gøg,cuach
204,Schwan::N,svane,eala
205,Fisch::N,fisk,iasc
206,Barsch::N,aborre,péirse
207,Hecht::N,gedde,liús
208,Schlange[Tier]::N,slange,nathair
209,Wurm::N,orm,péist
210,Spinne::N,edderkop,damhán alla
211,Ameise::N,myre,seangán
212,Laus::N,lus,míol
213,Mücke::N,myg,muiscít
214,Mücke::N,myg,corrmhíol
215,Fliege::N,flue,cuil
216,Fliege::N,flue,cuileog
217,Schmetterling::N,sommerfugl,féileacán
218,Beere::N,bær,caor
219,Apfel::N,æble,úll
220,Pilz::N,svamp,beacán
221,Pilz::N,svamp,muisiriún
222,Zwiebel::N,løg,oinniún
223,Saat::N,sæd,síol
224,Korn::N,korn,gráinne
225,Heu::N,hø,féar
226,Schale::N,skræl,scaimh
227,Grube::N,grav,poll
228,Falle::N,fælde,gaiste
229,Schlinge::N,snare,sealán
230,Spur::N,spor,rian
231,Asche::N,aske,luaith
232,Dreck::N,snavs,salachar
233,Eisen::N,jern,iarann
234,Gold::N,guld,ór
235,Silber::N,sølv,airgead
236,Kohle::N,kul,gual
237,Glas::N,glas,gloine
238,Lehm::N,ler,cré
239,Sand::N,sand,gaineamh
240,Mensch::N,mennesge,duine
241,Mann::N,mand,fear
242,Frau::N,kvinde,bean
243,Kind::N,barn,gasúr
244,Kind::N,barn,páiste
245,Junge::N,dreng,buachaill
246,Mädchen::N,pige,cailín
247,Familie::N,familie,teaghlach
248,Familie::N,familie,comhluadar
249,Großvater::N,bedstefar,seanathair
250,Großmutter::N,bedstemor,seanmháthair
251,Eltern::N,forældre,tuismitheoirí
252,Vater::N,far,athair
253,Mutter::N,mor,máthair
254,Sohn::N,søn,mac
255,Tochter::N,datter,iníon
256,Bruder::N,bror,deartháir
257,Schwester::N,søster,deirfiúr
258,Onkel::N,onkel,uncail
259,Tante::N,tante,aintín
260,Ehemann::N,ægtemand,fear céile
261,Ehefrau::N,hustru,bean chéile
262,Freude::N,glæde,áthas
263,Gelächter::N,latter,gáire
264,Glück::N,lykke,séan
265,Glück::N,lykke,sonas
266,Kummer::N,sorg,brón
267,Kummer::N,sorg,buairt
268,Wunsch::N,ønske,guí
269,Wunsch::N,ønske,achainí
270,Lust::N,lyst,fonn
271,Geist::N,ånd,meon
272,Geist::N,ånd,spiorad
273,Gedanke::N,tanke,smaoineamh
274,Gedächtnis::N,hukommelse,cuimhne
275,Verstand::N,forstand,ciall
276,Verstand::N,forstand,intinn
277,Sinn::N,mening,brí
278,Sinn::N,mening,ciall
