,Concept_ID,kl,lt
0,Auge::N,isi,akis
1,Ohr::N,siut,ausis
2,Mund::N,paaq,burna
3,Mund::N,qaneq,burna
4,Zahn::N,kigut,dantis
5,Zunge::N,oqaq,liežuvis
6,Lippe::N,qarloq,lūpa
7,Wange::N,ersaq,žandas
8,Wange::N,ersaq,skruostas
9,Gesicht::N,kiinaq,veidas
10,Stirn::N,qaaq,kakta
11,Haar::N,meqqoq,plaukai
12,Bart::N,umik,barzda
13,Kinn::N,talloq,smakras
14,Kiefer[Anatomie]::N,alleroq,žandikaulis
15,Kehle::N,malaq,gerklė
16,Hals::N,qungaseq,kaklas
17,Genick::N,pukusuk,sprandas
18,Kopf::N,niaqoq,galva
19,Rücken::N,qimerlut,nugara
20,Bauch::N,naaq,pilvas
21,Nabel::N,qalaseq,bamba
22,Busen::N,iviangeq,krūtinė
23,Brust::N,iviangeq,krūtis
24,Schulter::N,ersik,petys
25,Schulter::N,assaqqoq,petys
26,Arm::N,taleq,ranka
27,Ellenbogen::N,ikusik,alkūnė
28,Hand::N,assak,ranka
29,Hand::N,assak,plaštaka
30,Handfläche::N,itumak,delnas
31,Handfläche::N,itumak,plaštaka
32,Finger::N,inuak,pirštas
33,Fingernagel::N,kikiak,nagas
34,Nagel[Anatomie]::N,kukik,nagas
35,Zeh::N,isigak,pirštas
36,Ferse::N,kimmik,kulnas
37,Knie::N,seeqqoq,kelis
38,Oberschenkel::N,uppat,kulšis
39,Oberschenkel::N,uppat,šlaunis
40,Oberschenkel::N,quttoraq,kulšis
41,Oberschenkel::N,quttoraq,šlaunis
42,Bein::N,isigak,koja
43,Körper::N,timi,kūnas
44,Haut::N,mattak,oda
45,Blut::N,aak,kraujas
46,Ader::N,taqaq,kraujagyslė
47,Sehne::N,ujalu,sausgyslė
48,Sehne::N,ujaloq,sausgyslė
49,Knochen::N,saanikut,kaulas
50,Gehirn::N,qarasaq,smegenys
51,Herz::N,uummat,širdis
52,Magen::N,aqajaroq,skrandis
53,Leber::N,tinguk,kepenys
54,Atem::N,anerneq,kvapas
55,Hunger::N,kaanneq,badas
56,Hunger::N,kaanneq,alkis
57,Träne::N,qia,ašara
58,Träne::N,qiak,ašara
59,Geschmack::N,qilanaartuut,skonis
60,Geruch::N,tipi,kvapas
61,Geruch::N,tipik,kvapas
62,Traum::N,sinnattoq,sapnas
63,Traum::N,sinnattugaq,sapnas
64,Himmel::N,qilak,dangus
65,Sonne::N,seqineq,saulė
66,Mond::N,qaammat,mėnulis
67,Stern::N,ulloriaq,žvaigždė
68,Luft::N,silaannaq,oras
69,Wind::N,anori,vėjas
70,Wind::N,anorsarik,vėjas
71,Welle::N,aalappaa,banga
72,Welle::N,aalappaa,vilnis
73,Wasser::N,imeq,vanduo
74,Stein::N,ujarak,akmuo
75,Boden::N,nateq,žemė
76,Boden::N,nateq,dugnas
77,Erde::N,issoq,žemė
78,Staub::N,pujualanerit,dulkės
79,Staub::N,pujoralanerit,dulkės
80,Rauch::N,iseq,dūmai
81,Rauch::N,pujoq,dūmai
82,Funke::N,illoorneq,kibirkštis
83,Feuer::N,inneq,ugnis
84,Licht::N,qaamaneq,šviesa
85,Schatten::N,tarraq,paūksmė
86,Wetter::N,sila,oras
87,Nebel::N,pujoq,migla
88,Nebel::N,pujoq,rūkas
89,Wolke::N,nuia,debesis
90,Regen::N,sialuk,lietus
91,Schnee::N,aput,sniegas
92,Eis::N,siku,ledas
93,Frost::N,issi,šalna
94,Frost::N,issik,šalna
95,Kälte::N,issi,šaltis
96,Hitze::N,kianneq,karštis
97,Hitze::N,kiassuseq,karštis
98,Raureif::N,kaneq,šerkšnas
99,Regenbogen::N,neriusaaq,vaivorykštė
100,Donner::N,kalleq,perkūnas
101,Donner::N,kalleq,griaustinis
102,Tropfen::N,kuseriarneq,lašas
103,Schaum::N,qapuk,putos
104,Schmutz::N,minguk,purvas
105,See::N,taseq,ežeras
106,Sumpf::N,maqulluk,klampynė
107,Sumpf::N,maqulluk,liūnas
108,Wiese::N,masarsuk,pieva
109,Hügel::N,qattuneq,kalva
110,Hügel::N,majuariaq,kalva
111,Hügel::N,majorajaaq,kalva
112,Hügel::N,qaqqannguaq,kalva
113,Berg::N,qaqqaq,kalnas
114,Höhle::N,qaarusuk,ola
115,Abhang::N,ippik,šlaitas
116,Abhang::N,ippik,nuokalnė
117,Abhang::N,sivinganeq,šlaitas
118,Abhang::N,sivinganeq,nuokalnė
