,Concept_ID,ta,lez
0,Auge::N,கண்,вил
1,Ohr::N,காது,яб
2,Nase::N,மூக்கு,нер
3,Mund::N,வாய்,сив
4,Zahn::N,பல்,сас
5,Zahn::N,பல்,свах
6,Zunge::N,நாக்கு,мез
7,Lippe::N,உதடு,пӏуз
8,Wange::N,கன்னம்,хъвехъ
9,Gesicht::N,முகம்,ччин
10,Stirn::N,முன்னெற்றி,пел
11,Haar::N,முடி,чӏар
12,Schnurrbart::N,மீசை,спел
13,Schnurrbart::N,மீசை,спелар
14,Bart::N,தாடி,ччуру
15,Kinn::N,கீழதாடை,чене
16,Kiefer[Anatomie]::N,தாடை,чене
17,Kehle::N,தொண்டை,туьд
18,Hals::N,கழுத்து,гардан
19,Genick::N,கழுத்து,кьам
20,Kopf::N,தலை,кьил
21,Rücken::N,முதுகு,далу
22,Bauch::N,வயிறு,руфун
23,Nabel::N,தொப்புள்,пицӏ
24,Busen::N,மார்பகம்,мам
25,Brust::N, மார்பு,хур
26,Schulter::N,தோள்பட்டை,къуьн
27,Arm::N,கரம்,гъил
28,Ellenbogen::N,முழங்கை,кьуьнт
29,Hand::N,கை,капаш
30,Handfläche::N,உள்ளங்கை,капан юкь
31,Finger::N,விரல்,тӏуб
32,Fingernagel::N,விரல் நகம்,кек
33,Nagel[Anatomie]::N,நகம்,кек
34,Zeh::N,கால்விரல்,кул
35,Fuß::N,கால்,кӏвач
36,Ferse::N,குதிகால்,дабан
37,Knie::N,முழங்கால்,мет
38,Oberschenkel::N,தொடை,
39,Bein::N,கால்,кӏвач
40,Körper::N,உடல்,беден
41,Haut::N,சருமம்,хам
42,Blut::N,இரத்தம்,иви
43,Ader::N,நாளம்,дамар
44,Sehne::N,தசைநார்,кьуру дамар
45,Knochen::N,எலுமபு,кӏараб
46,Gehirn::N,மூனை,мефт
47,Herz::N,இதயம,рикӏ
48,Magen::N,வயிறு,хук
49,Leber::N,கல்லீரல்,лекь
50,Atem::N,மூச்சு,ял
51,Atem::N,மூச்சு,нефес
52,Hunger::N,பசி,каш
53,Träne::N,கண்ணீர்,вилин нагъв
54,Geschmack::N,நறுமணம்,дад
55,Geschmack::N,நறுமணம்,тӏям
56,Geruch::N,துர்நாற்றம்,ни
57,Schlaf::N,தூக்கம்,ахвар
58,Traum::N,கனவு,ахвар
59,Himmel::N,வானம்,цав
60,Sonne::N,சூரியன்,рагъ
61,Mond::N,சந்திரன்,варз
62,Stern::N,நட்சத்திரம்,гъед
63,Luft::N,காறறு,гьава
64,Wind::N,காற்று,гар
65,Welle::N,அலை,лепе
66,Wasser::N,நீர்,яд
67,Stein::N,கல்,къван
68,Boden::N,தரை,накьв
69,Erde::N,மண்,ччил
70,Staub::N,தூசி,руг
71,Rauch::N,புகை,гум
72,Funke::N,தீப்பொறி,цӏелхем
73,Feuer::N,தீ,цӏай
74,Licht::N,வெளிச்சம்,экв
75,Schatten::N,நிழல்,серин
76,Wetter::N,வானிலை,гьава
77,Nebel::N,பனிமூட்டம்,ччилин циф
78,Wolke::N,மேகம்,циф
79,Regen::N,மழை,марф
80,Schnee::N,உறைபனி,жив
81,Eis::N,பனிக்கட்டி,мурк
82,Frost::N,உறைபனி,аяз
83,Kälte::N,குளிர்ந்த,мекь
84,Kälte::N,குளிர்ந்த,мекьивал
85,Hitze::N,சூடு,зегьем
86,Raureif::N,உறைபனி வெண்திரை,къирав
87,Regenbogen::N,வானவில்,яргъируш
88,Donner::N,இடி,цавун ван
89,Strömung::N,நீரோட்டம்,
90,Tropfen::N,துளி,стӏал
91,Schaum::N,நுரை,каф
92,Schmutz::N,அழுக்கு,чирк
93,Schmutz::N,அழுக்கு,кьуруш
94,See::N,ஏரி,вир
95,Sumpf::N,சதுப்பு நிலம்,уьлен
96,Moor::N,முட்புதற்காடு,
97,Wiese::N,பசும் புல்தரை,векь
98,Wald::N,காடு,там
99,Hügel::N,குன்று,кӏунтӏ
100,Anhöhe::N,பதுக்கை,тепе
101,Anhöhe::N,பதுக்கை,гьуьндуьрвал
102,Berg::N,மலை,дагъ
103,Gipfel::N,உச்சி மாநாடு,кӏукӏ
104,Höhle::N,குகை,кьветӏ
105,Abhang::N,சரிவு,гуьне
106,Quelle::N,மூலம்,чешме
107,Bach::N,ஓடை,булах
108,Fluss::N,ஆறு,вацӏ
109,Ufer::N,நீர்க்கரை,къерех
110,Küste::N,கடற்கரை,къерех
111,Festland::N,நிலம்,кьурамат
112,Meer::N,கடல்,гьуьл
113,Bucht::N,சிறுகுடா,бухта
114,Insel::N,தீவு,остров
115,Blume::N,பூ,цуьк
116,Gras::N,புல்தரை,хъач
117,Wurzel::N,வேர்,дувул
118,Baum::N,மரம்,ттар
119,Stamm::N,அடிமரம்,тан
120,Rinde::N,பட்டை,чкал
121,Rinde::N,மரப்பட்டை,чкал
122,Ast::N,கினை,тӏур
123,Zweig::N,குச்சி,хел
124,Blatt::N,இலை,пеш
125,Birke::N,பிர்ச் மரம்,верх
126,Kiefer[Baum]::N,தேவதாரு மரம்,шамагъаж
127,Weide[Baum]::N,மர வகைகளுள் ஒன்று,цӏвелин ттар
128,Tanne::N,சாதிக்கய்,ель
129,Horn::N,கொம்பு,карч
130,Feder::N,இறகு,цӏакул
131,Fell::N,மென்முடி,хам
132,Flügel::N,இறக்கை,лув
133,Klaue::N,நகம்,къармах
134,Kralle::N,நகம்,пац
135,Kralle::N,நகம்,тапас
136,Schwanz::N,வால்,ттум
137,Ei::N,முட்டை,кака
138,Nest::N,கூடு,муг
139,Bau::N,குகை,тӏеквен
140,Tier::N,விலங்கு,гьайван
141,Herde::N,கூட்டம்,суьруь
142,Kuh::N,பசு,ккал
143,Bulle::N,காளை,яц
144,Bulle::N,காளை,бугъа
145,Pferd::N,குதிரை,балкӏан
146,Schaf::N,செம்மறிஆடு,хеб
147,Schwein::N,பன்றி,вак
148,Hund::N,நாய்,кицӏ
149,Katze::N,பூனை,кац
150,Bär::N,கரடி,сев
151,Eichhörnchen::N,அணில்,белка
152,Elch::N,கடம்பை,лось
153,Fuchs::N,நரி,сикӏ
154,Hase::N,முயல்,къуьр
155,Maus::N,எலி,кьиф
156,Wolf::N,ஓநாய்,жанавур
157,Vogel::N,பறவை,луван ничхир
158,Schwarm::N,தொகுதி,луж
159,Huhn::N,கோழிக்குஞசு,верч
160,Hahn::N,சேவல்,кӏек
161,Gans::N,பெண் வாத்து,къаз
162,Adler::N,பருநது,лекь
163,Ente::N,வாத்து,пӏатӏ
164,Eule::N,ஆந்தை,тӏиб
165,Kranich::N,நாரை,дурна
166,Krähe::N,காகம்,къаргъа
167,Kuckuck::N,குயில்,кукупӏ
168,Schwan::N,அன்னம்,къугь
169,Fisch::N,மீன்,гъед
170,Barsch::N,பேர்ச்,окунь
171,Hecht::N,கோலாச்சி மீன்,щука
172,Schlange[Tier]::N,பாம்பு,илан
173,Schlange[Tier]::N,பாம்பு,гъуьлягъ
174,Wurm::N,புழு,квак
175,Spinne::N,சிலந்தி,хуьшрекан
176,Ameise::N,எறும்பு,цегв
177,Laus::N,பேன்,нет
178,Mücke::N,கொசுவினப்பூச்சி,ветӏ
179,Fliege::N,ஈ,тӏветӏ
180,Schmetterling::N,வண்ணத்துப்பூச்சி,чепелукь
181,Beere::N,சதைப்பழம்,куьлуь емиш
182,Apfel::N,ஆப்பிள பழம்,ич
183,Pilz::N,காளான்,къарникъуз
184,Zwiebel::N,வெங்காயம்,чичӏек
185,Saat::N,விதை,тумар
186,Korn::N,தானியம்,твар
187,Heu::N,வைக்கோல்,векь
188,Heu::N,வைக்கோல்,векьер
189,Schale::N,தோல்,пириш
190,Schale::N,தோல்,хъуьруьш
191,Grube::N,குழி,фур
192,Falle::N,பொறி,ракьар
193,Schlinge::N,கண்ணி,гьалкъа
194,Spur::N,சுவடு,гел
195,Asche::N,சாம்பல்,руьхъ
196,Dreck::N,அழுக்கு,чирк
197,Dreck::N,அழுக்கு,кьуруш
198,Eisen::N,இரும்பு,ракь
199,Gold::N,தங்கம்,алтун
200,Silber::N,வெள்ளி,гимиш
201,Kohle::N,நிலக்கரி,цӏивин
202,Glas::N,கண்ணாடி,шуьше
203,Lehm::N,களிமண்,ччеб
204,Sand::N,மணல்,къум
205,Mensch::N,மனிதர்கள்,инсан
206,Mann::N,மனிதன்,итим
207,Frau::N,பெண்,паб
208,Frau::N,பெண்,дишегьли
209,Kind::N,குழந்தை,аял
210,Junge::N,பையன்,гада
211,Mädchen::N,சிறுமி,руш
212,Familie::N,குடும்பம்,хзан
213,Familie::N,குடும்பம்,килфет
214,Großvater::N,தாத்தா,чӏехи буба
215,Großmutter::N,பாட்டி,чӏехи диде
216,Eltern::N,பெற்றோர்,диде-буба
217,Vater::N,தந்தை,буба
218,Mutter::N,தாய்,диде
219,Sohn::N,மகன்,хва
220,Tochter::N,மகள்,руш
221,Bruder::N,சகோதரன்,стха
222,Schwester::N,அக்கா,вах
223,Onkel::N,தாய் மாமன்,ими
224,Onkel::N,தாய் மாமன்,халу
225,Tante::N,அத்தை,эме
226,Tante::N,அத்தை,хала
227,Ehemann::N,கணவன்,гъуьл
228,Ehefrau::N,மனைவி,паб
229,Freude::N,கொண்டாட்டம்,шадвал
230,Gelächter::N,சிரிப்பு,хъвер
231,Glück::N,மகிழ்ச்சி,бахт
232,Kummer::N,துயரம்,дерт
233,Kummer::N,துயரம்,хажалат
234,Wunsch::N,விருப்பம்,мурад
235,Lust::N,விருப்பம்,гьевес
236,Geist::N,ஆன்மா,руьгь
237,Gedanke::N,எண்ணம்,фикир
238,Gedächtnis::N,ஞாபகம்,
239,Verstand::N,மனம்,акьул
240,Sinn::N,அர்த்தம்,мана
241,Grund::N,காரணம்,себеб
242,Wahrheit::N,உண்நை,керчек
243,Wahrheit::N,உண்நை,гьакъикъат
244,Gespräch::N,பெசு,ихтилат
245,Märchen::N,நம்பத்தகாத கதை,мах
246,Erzählung::N,கதை,кьиса
247,Nachricht::N,செய்தி,хабар
248,Neuigkeit::N,செய்தி,цӏийи хабар
249,Name::N,பெயர்,тӏвар
250,Rätsel::N,புதிர்,мискӏал
251,Rede::N,பேச்சு,рахун
252,Sprache::N,மொழி,чӏал
253,Stimme::N,குரல்,ван
254,Wort::N,வார்த்தை,гаф
255,Zeichen::N,குறி,ишара
256,Ruf::N,அழைப்பு,эвер
257,Lärm::N,சத்தம்,ван-сес
258,Laut::N,ஒலி,ван
259,Laut::N,ஒலி,сес
260,Ton::N,குரல்,ван-сес
261,Lied::N,பாட்டு,мани
262,Ruhe::N,அமைதி,ласвал
263,Ruhe::N,அமைதி,фаракъат
264,Ruhe::N,அமைதி,асайиш
265,Leute::N,மக்கள்,инсанар
266,Volk::N,மக்கள்,халкь
267,Arbeit::N,வேலை,кӏвалах
268,Gast::N,விருந்தாளி,мугьман
269,Geschenk::N,பரிசுப் பொருள்,савкьат
270,Spiel::N,விளையாட்டு,къугъун
271,Gesellschaft::N,சமுதாயம்,жемят
