,Concept_ID,nl,kl
1135,schimpfen::V,schelden,qatimaarpoq
1136,sich ärgern::V,zich ergeren,ugguutigaa
1137,sich fürchten::V,bang zijn,eqqanaarpoq
1138,fürchten::V,vrezen,ersigaa
1139,fliehen::V,vluchten,qimaavoq
1140,flüchten::V,ontsnappen,allikarfigaa
1141,flüchten::V,ontkomen,allikarfigaa
1142,sehen::V,zien,isigaa
1143,anschauen::V,aankijken,
1144,ansehen::V,aanzien,alaatsinaappaa
1145,ansehen::V,bekijken,alaatsinaappaa
1146,hören::V,horen,tusarpaa
1147,zuhören::V,luisteren,naalappoq
1148,probieren::V,proeven,
1149,riechen::V,ruiken,tipippoq
1150,fühlen::V,voelen,misigaa
1151,scheinen::V,lijken,takutippoq
1152,zu sehen sein::V,te zien zijn,
1153,vernehmen::V,vernemen,
1154,frieren::V,het koud hebben,qiiavoq
1155,tun::V,doen,iliorpoq
1156,können::V,kunnen,
1157,wollen::V,willen,piumavaa
1158,anfangen::V,beginnen,pilerpoq
1159,anfangen::V,aanvangen,pilerpoq
1160,beenden::V,beëindigen,naggaserpaa
1161,aufhören::V,ophouden,naammatsippaa
1162,gelingen::V,lukken,
1163,gelingen::V,gelukken,
1164,geraten::V,uitvallen,
1165,öffnen::V,openen,ammarpaa
1166,öffnen::V,opendoen,ammarpaa
1167,schließen::V,sluiten,matuaa
1168,schließen::V,dichtdoen,matuaa
1169,stellen::V,stellen,ilivaa
1170,stellen::V,stellen,iliorarpai
1171,stellen::V,stellen,ilioqqarpai
1172,stellen::V,plaatsen,ilivaa
1173,stellen::V,plaatsen,iliorarpai
1174,stellen::V,plaatsen,ilioqqarpai
1175,setzen::V,zetten,iliorarpai
1176,setzen::V,zetten,ilioqqarpai
1177,setzen::V,plaatsen,iliorarpai
1178,setzen::V,plaatsen,ilioqqarpai
1179,legen::V,leggen,ilivaa
1180,berühren::V,aanraken,attorpaa
1181,verbinden::V,verbinden,taperserpaa
1182,bedecken::V,bedekken,iikkerpaa
1183,bedecken::V,bedekken,iikkersorpaa
1184,aufhängen::V,ophangen,inivaa
1185,aufhängen::V,ophangen,iniorarpai
1186,anzünden::V,aansteken,saggaavoq
1187,aufheben::V,oprapen,allisippaa
1188,zurücklassen::V,achterlaten,aallarpoq
1189,verlieren::V,verliezen,annaavaa
1190,fallen lassen::V,laten vallen,nakkaavaa
1191,machen::V,maken,iliorpoq
1192,herstellen::V,produceren,anillatsippaa
1193,herstellen::V,voortbrengen,anillatsippaa
1194,bauen::V,bouwen,marrarterpaa
1195,reparieren::V,repareren,iluarsaappaa
1196,reparieren::V,herstellen,iluarsaappaa
1197,verbessern::V,verbeteren,naqqippaa
1198,ändern::V,wijzigen,
1199,ändern::V,veranderen,
1200,graben::V,graven,assappaa
1201,beugen::V,buigen,qappappoq
1202,biegen::V,buigen,qappappoq
1203,drehen::V,draaien,
1204,wenden::V,keren,assappaa
1205,wenden::V,keren,assakarpoq
1206,wenden::V,wenden,assappaa
1207,wenden::V,wenden,assakarpoq
1208,umdrehen::V,omdraaien,assakartippaa
1209,heben::V,heffen,kivippaa
1210,heben::V,optillen,kivippaa
1211,hochheben::V,tillen,kissumiarpaa
1212,ergreifen::V,pakken,isaappaa
1213,ergreifen::V,pakken,isaguppaa
1214,ergreifen::V,grijpen,isaappaa
1215,ergreifen::V,grijpen,isaguppaa
1216,halten::V,houden,minarpaa
1217,drücken::V,drukken,naqittaat
1218,schieben::V,duwen,
1219,schieben::V,schuiven,
1220,kratzen::V,krassen,qitsuppaa
1221,lecken::V,likken,aluppaa
1222,beißen::V,bijten,kiivaa
1223,abreißen::V,afrukken,aqqarpaa
1224,abreißen::V,afrukken,isaterpaa
1225,abreißen::V,afscheuren,aqqarpaa
1226,abreißen::V,afscheuren,isaterpaa
1227,abschneiden::V,afsnijden,kipivaa
1228,binden::V,binden,kakkersarpaa
1229,stecken::V,steken,kussunneq
1230,brechen::V,breken,nallorpaa
1231,klopfen::V,kloppen,pattappaa
1232,hauen::V,houwen,aqivaa
1233,kleben::V,plakken,qaappoq
1234,reiben::V,wrijven,tagiarpaa
1235,reiben::V,wrijven,tangiarpaa
1236,streichen::V,smeren,erlerpoq
1237,schleifen::V,slijpen,sequppaa
1238,schneiden::V,snijden,uullivoq
1239,rütteln::V,schudden,
1240,schütteln::V,schudden,aalavoq
1241,schwenken::V,wuiven,issarpoq
1242,schwenken::V,zwaaien,issarpoq
1243,schütten::V,gieten,
1244,schütten::V,storten,
1245,füllen::V,vullen,immerpaa
1246,einwickeln::V,inwikkelen,immoqquserpaa
1247,tragen::V,dragen,maqippaa
1248,tragen::V,dragen,assartorpoq
1249,schleppen::V,slepen,assartorpoq
1250,ziehen::V,trekken,kalippaa
1251,ziehen::V,trekken,kalissarpoq
1252,aufbewahren::V,bewaren,toqqorpaa
1253,werfen::V,gooien,kuivaa
1254,fangen::V,vangen,anguaa
1255,packen::V,pakken,
1256,packen::V,vastpakken,
1257,verstecken::V,verstoppen,anngigaa
1258,teilen::V,delen,agguut
1259,teilen::V,delen,agguusersorpaa
1260,schicken::V,sturen,nassiuppaa
1261,bringen::V,brengen,aggiuppaa
1262,bringen::V,brengen,nassataraa
1263,hinzufügen::V,toevoegen,
1264,bekommen::V,verkrijgen,tiguaa
1265,erhalten::V,krijgen,tiguaa
1266,nehmen::V,nemen,pivoq
1267,nehmen::V,nemen,tiguaa
1268,wählen::V,kiezen,
1269,wählen::V,verkiezen,
1270,auswählen::V,uitkiezen,
1271,bewahren::V,bewaren,sukkunik simerserpaa
1272,behindern::V,hinderen,
1273,verderben::V,bederven,asiutippaa
1274,verderben::V,bederven,piuneerunnerit
1275,beschädigen::V,beschadigen,
1276,zerbrechen::V,breken,ukuvoq
1277,zerbrechen::V,stukbreken,ukuvoq
1278,zerreißen::V,scheuren,tisavaa
1279,zerreißen::V,scheuren,alittorpaa
1280,zerreißen::V,verscheuren,tisavaa
1281,zerreißen::V,verscheuren,alittorpaa
1282,zerstören::V,vernielen,aserorpaa
1283,verbrennen::V,branden,seerpoq
1284,verbrennen::V,verbranden,seerpoq
1285,geben::V,geven,pivoq
1286,reichen::V,reiken,
1287,reichen::V,aanreiken,
1288,schenken::V,schenken,
1289,versprechen::V,beloven,neriorsorpaa
1290,wünschen::V,wensen,kissaat
1291,loben::V,loven,nersorpaa
1292,loben::V,loven,nersornaat
1293,loben::V,prijzen,nersorpaa
1294,loben::V,prijzen,nersornaat
1295,küssen::V,kussen,kunippaa
1296,küssen::V,kussen,kunissorpaa
1297,wiegen::V,wiegen,
1298,zudecken::V,toedekken,majorpaa
1299,wecken::V,wekken,itersarpaa
1300,zeigen::V,tonen,tikkuuppaa
1301,zeigen::V,wijzen,tikkuuppaa
1302,führen::V,voeren,tasissiuppaa
1303,führen::V,voeren,ilitsersorpaa
1304,führen::V,voeren,tasissersuuppaa
1305,lehren::V,leren,ilinniartippaa
1306,unterrichten::V,onderwijzen,ajoqerpaa
1307,unterrichten::V,onderwijzen,ajoqersorpaa
1308,unterrichten::V,onderwijzen,ilinniartitsivoq
1309,aufziehen::V,grootbrengen,inororsarpaa
1310,leiten::V,leiden,iluatsippaa
1311,antreiben::V,aandrijven,ikusimmippaa
1312,lassen::V,laten,
1313,einladen::V,uitnodigen,qaaqquaa
1314,einladen::V,uitnodigen,qaasarpaa
1315,vereinigen::V,verenigen,taperserpaa
1316,besuchen::V,bezoeken,tikeraarpaa
1317,treffen::V,treffen,aporappaa
1318,treffen::V,ontmoeten,aporappaa
1319,sich versammeln::V,zich verzamelen,majorpoq
1320,spielen::V,spelen,pinnguarpoq
1321,singen::V,zingen,erinarsorpoq
1322,tanzen::V,dansen,qitippoq
1323,sich trennen::V,van elkaar gaan,immikkoortippaa
1324,verlassen::V,verlaten,
1325,retten::V,redden,annaappaa
1326,bewachen::V,bewaken,
1327,schützen::V,beschermen,eriagaa
1328,schützen::V,beschermen,pineqartaalivaa
1329,verteidigen::V,verdedigen,
1330,sich schlagen::V,knokken,
1331,schießen::V,schieten,aallaavaa
1332,schießen::V,schieten,piseriuppaa
1333,siegen::V,overwinnen,
1334,ärgern::V,ergeren,ninngassarpaa
1335,ärgern::V,ergeren,ninngassaarpaa
1336,schlagen::V,slaan,unatarpaa
1337,treten::V,trappen,tukerpoq
1338,treten::V,schoppen,tukerpoq
1339,stechen::V,steken,iguppaa
1340,stechen::V,steken,qasilippoq
1341,stechen::V,prikken,iguppaa
1342,stechen::V,prikken,qasilippoq
1343,stoßen::V,stoten,ikuserpaa
1344,stoßen::V,stoten,ikusimmippaa
1345,stehlen::V,stelen,tillippaa
1346,stören::V,storen,akornuserpaa
1347,stören::V,verstoren,akornuserpaa
1348,belästigen::V,lastig vallen,
1349,verbergen::V,verbergen,anngigaa
1350,täuschen::V,misleiden,
1351,betrügen::V,bedriegen,peqquserluttuliorfigaa
1352,töten::V,doden,maappaa
1353,töten::V,doden,toquppaa
1354,wohnen::V,wonen,najugaqarpoq
1355,arbeiten::V,werken,sulivoq
1356,sammeln::V,inzamelen,katersorpai
1357,sammeln::V,verzamelen,katersorpai
1358,pflücken::V,plukken,
1359,jagen::V,jagen,piniarpoq
1360,fischen::V,vissen,aalisarpoq
1361,fassen::V,vangen,
1362,hüten::V,hoeden,
1363,treiben::V,drijven,
1364,anbinden::V,vastbinden,qilerut
1365,anbinden::V,vastbinden,qilersorpaa
1366,anbinden::V,vastbinden,ungerlatserpaa
1367,füttern::V,voeren,nerlerpaa
1368,melken::V,melken,
1369,hacken::V,hakken,
1370,gießen::V,gieten,imerterpaa
1371,reifen::V,rijpen,
1372,zubereiten::V,klaarmaken,
1373,zubereiten::V,toebereiden,
1374,kochen::V,koken,igavoq
1375,backen::V,bakken,
1376,braten::V,braden,siappaa
1377,umrühren::V,omroeren,qeerlerpaa
1378,stricken::V,breien,
1379,nähen::V,naaien,
1380,färben::V,verven,misuppaa
1381,färben::V,kleuren,misuppaa
1382,reinigen::V,reinigen,sanniarpaa
1383,waschen::V,wassen,asappaa
1384,abwischen::V,afvegen,saligarpaa
1385,abwischen::V,afvegen,saligartorpaa
1386,spülen::V,spoelen,
1387,spülen::V,afwassen,
1388,fegen::V,vegen,sanngiarpaa
1389,kehren::V,vegen,
1390,baden::V,baden,uffarpoq
1391,sich waschen::V,zich wassen,uffarpoq
1392,ausziehen::V,uittrekken,annoraajarpaa
1393,anziehen::V,aantrekken,ativaa
1394,anziehen::V,aantrekken,atitippaa
1395,sich anziehen::V,zich aankleden,atisalersorpoq
1396,kämmen::V,kammen,
1397,schmücken::V,tooien,
1398,sagen::V,zeggen,oqarpoq
1399,sprechen::V,spreken,oqaluttarpoq
1400,reden::V,praten,oqaluppoq
1401,sich unterhalten::V,zich onderhouden,
