,Concept_ID,mhr,cy
0,Auge::N,шинча́,llygad
1,Ohr::N,пы́лыш,clust
2,Nase::N,нер,trwyn
3,Mund::N,умша́,ceg
4,Zahn::N,пӱй,dant
5,Zunge::N,йы́лме,tafod
6,Lippe::N,тӱ́рвӧ,gwefus
7,Wange::N,шӱ́ргӧ,boch
8,Gesicht::N,чури́й,wyneb
9,Stirn::N,саҥга́,talcen
10,Haar::N,ӱп,blew
11,Schnurrbart::N,ӧ́рыш,mwstas
12,Bart::N,понда́ш,barf
13,Kinn::N,оҥыла́ш,gên
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,gên
15,Kiefer[Anatomie]::N,пӱйората́,gên
16,Kehle::N,лога́р,gwddf
17,Hals::N,шӱй,gwddf
18,Genick::N,шӱйло́дыш,gwar
19,Genick::N,шӱйло́дыш,gwegil
20,Kopf::N,вуй,pen
21,Rücken::N,туп,cefn
22,Bauch::N,мӱ́шкыр,bol
23,Nabel::N,кы́лымде,bogail
24,Busen::N,чы́зе,bron
25,Brust::N,оҥ,brest
26,Schulter::N,ва́че,ysgwydd
27,Arm::N,кид,braich
28,Ellenbogen::N,кынерву́й,penelin
29,Hand::N,кид,llaw
30,Hand::N,копа́,llaw
31,Handfläche::N,со́во,palf
32,Finger::N,парня́,bys
33,Fingernagel::N,кидкӱ́ч,ewin
34,Fingernagel::N,парнягӱ́ч,ewin
35,Nagel[Anatomie]::N,кӱч,ewin
36,Zeh::N,йолварня́,bys troed
37,Fuß::N,йол,troed
38,Fuß::N,йолкопа́,troed
39,Ferse::N,тага́н,sawdl
40,Knie::N,пулву́й,glin
41,Oberschenkel::N,э́рде,clun
42,Bein::N,йол,coes
43,Körper::N,кап,corff
44,Haut::N,кова́ште,croen
45,Blut::N,вӱр,gwaed
46,Ader::N,шӧн,gwythïen
47,Sehne::N,шӧн,gewyn
48,Sehne::N,кӱсе́н,gewyn
49,Knochen::N,лу,asgwrn
50,Gehirn::N,вем,ymennydd
51,Gehirn::N,вуйве́м,ymennydd
52,Herz::N,шӱм,calon
53,Magen::N,пага́р,cylla
54,Magen::N,пага́р,stumog
55,Leber::N,мокш,iau
56,Atem::N,шӱ́лыш,anadl
57,Hunger::N,шужыма́ш,newyn
