,Concept_ID,en,ml
0,Auge::N,eye,കണ്ണ്
1,Ohr::N,ear,ചെവി
2,Nase::N,nose,മൂക്ക്
3,Mund::N,mouth,വായ
4,Zahn::N,tooth,പല്ല്
5,Zunge::N,tongue,നാക്ക്
6,Lippe::N,lip,ചുണ്ട്
7,Wange::N,cheek,കവിൾത്തടം
8,Gesicht::N,face,മുഖം
9,Stirn::N,forehead,നെറ്റി
10,Haar::N,hair,തലമുടി
11,Schnurrbart::N,moustache,മീശ
12,Bart::N,beard,താടിരോമം
13,Kinn::N,chin,താടി
14,Kiefer[Anatomie]::N,jaw,താടിയെല്ല്
15,Kehle::N,throat,കണ്ഠനാളം
16,Hals::N,neck,കഴുത്ത്
17,Genick::N,nape,പിടലി
18,Kopf::N,head,തല
19,Rücken::N,back,മുതുക്
20,Rücken::N,spine,മുതുക്
21,Bauch::N,belly,നയറ്
22,Nabel::N,navel,നാഭി
23,Busen::N,bosom,സ്തനം
24,Brust::N,chest,സ്തനം
25,Brust::N,breast,സ്തനം
26,Schulter::N,shoulder,തോൾ
27,Arm::N,arm,കൈ
28,Ellenbogen::N,elbow,കൈമുട്ട്
29,Hand::N,hand,കൈ
30,Handfläche::N,palm,ഉള്ളം കൈ
31,Finger::N,finger,വിരൽ
32,Fingernagel::N,fingernail,നഖം
33,Nagel[Anatomie]::N,nail,നഖം
34,Zeh::N,toe,കാൽവിരൽ
35,Fuß::N,foot,കാൽപ്പാദം
36,Ferse::N,heel,ഉപ്പൂറ്റി
37,Knie::N,knee,കാൽമുട്ട്
38,Oberschenkel::N,thigh,തുട
39,Bein::N,leg,കാൽ
40,Körper::N,body,ശരീരം
41,Haut::N,skin,ചർമ്മം
42,Blut::N,blood,രക്തം
43,Ader::N,vein,ഞരമ്പ്
44,Sehne::N,sinew,സ്നായു
45,Knochen::N,bone,അസ്ഥി
46,Gehirn::N,brain,തലച്ചോറ്
47,Herz::N,heart,ഹൃദയം
48,Magen::N,stomach,വയർ
49,Leber::N,liver,കരൾ
50,Atem::N,breath,ശ്വാസം
51,Hunger::N,hunger,വിശപ്പ്
52,Träne::N,tear,കണ്ണീർ
53,Geschmack::N,flavour,രുചി
54,Geschmack::N,flavor,രുചി
55,Geruch::N,odour,ഗന്ധം
56,Geruch::N,odor,ഗന്ധം
57,Schlaf::N,sleep,ഉറകും
58,Traum::N,dream,സ്വപ്നം
59,Himmel::N,sky,ആകാശം
60,Sonne::N,sun,സൂര്യൻ
61,Mond::N,moon,ചന്ദ്രൻ
62,Stern::N,star,നക്ഷത്രം
63,Luft::N,air,കാറ്റ്
64,Wind::N,wind,കാറ്റ്
65,Welle::N,wave,തിരമാല
66,Wasser::N,water,വെള്ളം
67,Stein::N,stone,ശില
68,Stein::N,stone,കല്ല്
69,Boden::N,soil,തറ
70,Boden::N,soil,നിലം
71,Boden::N,ground,തറ
72,Boden::N,ground,നിലം
73,Erde::N,earth,മണ്ണ്
74,Staub::N,dust,പൊടി
75,Rauch::N,smoke,പുക
76,Funke::N,spark,തീപ്പൊരി
77,Feuer::N,fire,തീ
78,Licht::N,light,വിളക്ക്
79,Licht::N,light,സൂര്യപ്രകാശം
80,Schatten::N,shadow,തണൽ
81,Wetter::N,weather,കാലാവസ്ഥ
82,Nebel::N,fog,മൂടൽമഞ്ഞ്
83,Wolke::N,cloud,മേഘം
84,Regen::N,rain,മഴ
85,Schnee::N,snow,മഞ്ഞ്
86,Eis::N,ice,ഐസ്
87,Frost::N,frost,മൂടൽമഞ്ഞ്
88,Kälte::N,chill,തണുപ്പ്
89,Hitze::N,heat,ചൂട്
90,Raureif::N,hoarfrost,കോടമഞ്ഞ്
91,Regenbogen::N,rainbow,മഴവില്ല്
92,Donner::N,thunder,ഇടി
93,Strömung::N,current,പ്രവാഹം
94,Tropfen::N,drop,തുള്ളി
95,Schaum::N,foam,നുര
96,Schmutz::N,dirt,അഴുക്ക്
97,See::N,lake,തടാകം
98,Sumpf::N,swamp,ചതുപ്പുനിലം
99,Moor::N,moor,പാഴ്നിലം
100,Wiese::N,meadow,പുൽത്തകിടി
101,Wald::N,forest,വനം
102,Wald::N,forest,കാട്
103,Hügel::N,hill,കുന്ന്
104,Anhöhe::N,elevation,ഉയർന്ന ഭൂമി
105,Berg::N,mountain,പർവ്വതം
106,Gipfel::N,summit,ഉച്ചകോടി
107,Höhle::N,cave,ഗുഹ
108,Abhang::N,slope,ചരിവ്
109,Quelle::N,source,ഉറവിടം
110,Bach::N,brook,അരുവി
111,Fluss::N,river,നദി
112,Ufer::N,shore,തീരം
113,Küste::N,coast,കടൽത്തീരം
114,Festland::N,land,കര
115,Meer::N,sea,കടൽ
116,Bucht::N,cove,ഉൾക്കടല്
117,Insel::N,island,ദ്വീപ്
