,Concept_ID,no,cs
0,Auge::N,øye,oko
1,Ohr::N,øre,ucho
2,Nase::N,nese,nos
3,Mund::N,munn,pusa
4,Zahn::N,tann,zub
5,Zunge::N,tunge,jazyk
6,Lippe::N,leppe,ret
7,Wange::N,kinn,tvář
8,Gesicht::N,fjes,obličej
9,Gesicht::N,ansikt,obličej
10,Stirn::N,panne,čelo
11,Haar::N,hår,vlas
12,Haar::N,hår,vlasy
13,Schnurrbart::N,bart,kníry
14,Bart::N,skjegg,vousy
15,Kinn::N,hake,brada
16,Kiefer[Anatomie]::N,kjeve,čelist
17,Kehle::N,strupe,hrdlo
18,Hals::N,hals,krk
19,Genick::N,nakke,týl
20,Kopf::N,hode,hlava
21,Rücken::N,rygg,záda
22,Rücken::N,rygg,hřbet
23,Bauch::N,buk,břicho
24,Bauch::N,mage,břicho
25,Nabel::N,navle,pupek
26,Busen::N,barm,ňadra
27,Brust::N,bryst,prsa
28,Schulter::N,skulder,plece
29,Schulter::N,skulder,rameno
30,Arm::N,arm,ruka
31,Ellenbogen::N,albue,loket
32,Hand::N,hånd,ruka
33,Handfläche::N,håndflate,dlaň
34,Finger::N,finger,prst
35,Fingernagel::N,fingernegl,nehet
36,Nagel[Anatomie]::N,negl,nehet
37,Zeh::N,tå,prst u nohy
38,Fuß::N,fot,noha
39,Ferse::N,hæl,pata
40,Knie::N,kne,koleno
41,Oberschenkel::N,lår,stehno
42,Bein::N,bein,noha
43,Körper::N,kropp,tělo
44,Körper::N,legeme,tělo
45,Haut::N,hud,kůže
46,Haut::N,skinn,kůže
47,Blut::N,blod,krev
48,Ader::N,åre,céva
49,Sehne::N,sene,šlacha
50,Knochen::N,bein,kost
51,Knochen::N,knokkel,kost
52,Gehirn::N,hjerne,mozek
53,Herz::N,hjerte,srdce
54,Magen::N,mage,žaludek
55,Leber::N,lever,játra
56,Atem::N,pust,dech
57,Hunger::N,sult,hlad
58,Träne::N,tåre,slza
59,Geschmack::N,smak,vkus
60,Geruch::N,lukt,vůně
61,Geruch::N,lukt,zápach
62,Schlaf::N,søvn,spánek
63,Traum::N,drøm,sen
64,Himmel::N,himmel,nebe
65,Sonne::N,sol,slunce
66,Mond::N,måne,měsíc
67,Stern::N,stjerne,hvězda
68,Luft::N,luft,vzduch
69,Wind::N,vind,vítr
70,Welle::N,bølge,vlna
71,Wasser::N,vann,voda
72,Stein::N,stein,kámen
73,Boden::N,bakke,půda
74,Erde::N,jord,země
75,Staub::N,støv,prach
76,Rauch::N,røyk,dým
77,Rauch::N,røyk,kouř
78,Funke::N,gnist,jiskra
79,Feuer::N,ild,oheň
80,Licht::N,lys,světlo
81,Schatten::N,skygge,stín
82,Wetter::N,vær,počasí
83,Nebel::N,tåke,mlha
84,Wolke::N,sky,mrak
85,Wolke::N,sky,oblak
86,Regen::N,regn,déšť
87,Schnee::N,snø,sníh
88,Eis::N,is,led
89,Frost::N,frost,mráz
90,Kälte::N,kulde,chlad
91,Hitze::N,hete,horko
92,Raureif::N,rimfrost,jinovatka
93,Regenbogen::N,regnbue,duha
94,Donner::N,torden,hrom
95,Strömung::N,strømning,proudění
96,Tropfen::N,dråpe,kapka
97,Schaum::N,skum,pěna
98,Schmutz::N,søl,špína
99,Schmutz::N,skitt,špína
100,See::N,sjø,jezero
101,Sumpf::N,sump,močál
102,Sumpf::N,sump,bažina
103,Sumpf::N,myrlende,močál
104,Sumpf::N,myrlende,bažina
105,Moor::N,myr,bažina
106,Moor::N,myr,slatina
107,Moor::N,myrhei,bažina
108,Moor::N,myrhei,slatina
109,Wiese::N,eng,louka
110,Wald::N,skog,les
111,Hügel::N,haug,kopec
112,Hügel::N,bakke,kopec
113,Anhöhe::N,haug,pahorek
114,Anhöhe::N,bakke,pahorek
115,Berg::N,berg,hora
116,Berg::N,fjell,hora
117,Gipfel::N,topp,vrchol
118,Höhle::N,hule,jeskyně
119,Abhang::N,li,svah
120,Abhang::N,li,stráň
121,Abhang::N,skråning,svah
122,Abhang::N,skråning,stráň
