,Concept_ID,ro,mrj
0,Auge::N,ochi,сӹнзӓ
1,Ohr::N,ureche,пӹлӹш
2,Nase::N,nas,нер
3,Mund::N,gură,ышма
4,Zahn::N,dinte,пӱ
5,Zunge::N,limbă,йӹлмӹ
6,Lippe::N,buză,тӹрвӹ
7,Wange::N,bucă,шӹргӹ
8,Wange::N,obraz,шӹргӹ
9,Gesicht::N,față,лицӓ
10,Gesicht::N,figură,лицӓ
11,Stirn::N,frunte,лепкӓ
12,Haar::N,păr,ӱп
13,Schnurrbart::N,mustață,öрш
14,Bart::N,barbă,пандаш
15,Kinn::N,bărbie,онгылаш
16,Kiefer[Anatomie]::N,falcă,пӱ арата
17,Kehle::N,beregată,логер
18,Hals::N,gât,шӱ
19,Genick::N,ceafă,ланга
20,Kopf::N,cap,вуй
21,Rücken::N,dos,туп
22,Rücken::N,spate,туп
23,Rücken::N,spinare,туп
24,Bauch::N,burtă,мӹшкӹр
25,Bauch::N,pântece,мӹшкӹр
26,Nabel::N,buric,кӹлӹмдӹ
27,Busen::N,sân,цӹзӹ
28,Brust::N,piept,мел
29,Schulter::N,umăr,ӹнгӹжӓ
30,Schulter::N,spate,ӹнгӹжӓ
31,Arm::N,braț,кид
32,Ellenbogen::N,cot,кӹнервуй
33,Hand::N,mână,лапа
34,Handfläche::N,palmă,кид лапа
35,Finger::N,deget,парня
36,Fingernagel::N,unghie,кӹч
37,Nagel[Anatomie]::N,unghie,кӹч
38,Zeh::N,deget de la picior,парня
39,Fuß::N,picior,ял лапа
40,Ferse::N,călcâi,ялгавал
41,Ferse::N,călcâi,ял кавал
42,Knie::N,genunchi,пылвуй
43,Oberschenkel::N,coapsă,ӓрдӹ
44,Bein::N,picior,ял
45,Körper::N,corp,монгыр
46,Haut::N,piele,кавашты
47,Blut::N,sânge,вӹр
48,Ader::N,vână,вӹршӓр
49,Ader::N,arteră,вӹршӓр
50,Sehne::N,tendon,кукшышӱн
51,Knochen::N,os,лу
52,Gehirn::N,creier,вим
53,Herz::N,inimă,шӱм
54,Magen::N,stomac,шӱм
55,Leber::N,ficat,мокш
56,Atem::N,răsuflare,шӱлӹш
57,Atem::N,respirație,шӱлӹш
58,Hunger::N,foame,шужымаш
59,Träne::N,lacrimă,сӹнзӓвӹд
60,Geschmack::N,gust,тот
61,Geruch::N,miros,пыш
62,Schlaf::N,somn,ом
63,Traum::N,vis,ом
64,Himmel::N,cer,пӹлгом
65,Sonne::N,soare,кечӹ
66,Mond::N,lună,тӹлзӹ
67,Stern::N,stea,шӹдӹр
68,Luft::N,aer,юж
69,Luft::N,aer,воздух
70,Wind::N,vânt,мардеж
71,Welle::N,val,ко
72,Welle::N,val,коэ
73,Welle::N,undă,ко
74,Welle::N,undă,коэ
75,Wasser::N,apă,вӹд
76,Stein::N,piatră,кӱ
77,Boden::N,sol,рок
78,Boden::N,pământ,рок
79,Erde::N,pământ,свет
80,Staub::N,praf,пырак
81,Rauch::N,fum,шӹкш
82,Funke::N,scânteie,ип
83,Funke::N,scânteie,тылип
84,Feuer::N,foc,тыл
85,Licht::N,lumină,соты
86,Licht::N,lumină,валгыды
87,Schatten::N,umbră,ӹмӹл
88,Wetter::N,timp,игечӹ
89,Wetter::N,vreme,игечӹ
90,Nebel::N,ceață,тӹтӹрӓ
91,Nebel::N,negură,тӹтӹрӓ
92,Wolke::N,nor,пӹл
93,Regen::N,ploaie,юр
94,Schnee::N,zăpadă,лым
95,Eis::N,gheață,и
96,Frost::N,ger,ӱштӹ
97,Kälte::N,frig,ӱштӹ
98,Hitze::N,arșiță,шокшы
99,Hitze::N,căldură,шокшы
100,Raureif::N,chiciură,пöрш
101,Regenbogen::N,curcubeu,шанавӹл
102,Donner::N,tunet,хӹдӹртӹш
103,Strömung::N,curent,йогы
104,Tropfen::N,picătură,капльы
105,Tropfen::N,picătură,капльык
106,Schaum::N,spumă,шонг
107,Schmutz::N,murdărie,лявӹрӓ
108,See::N,lac,йӓр
109,Sumpf::N,mlaștină,лӱкӹ
