,Concept_ID,cv,ga
0,Auge::N,куҫ,súil
1,Ohr::N,хӑлха,cluas
2,Nase::N,сӑмса,soc
3,Mund::N,ҫӑвар,béal
4,Zahn::N,шӑл,fiacail
5,Zunge::N,чӗлхе,teanga
6,Lippe::N,тута,liopa
7,Wange::N,пит ҫӑмарти,grua
8,Wange::N,пит ҫӑмарти,leiceann
9,Gesicht::N,пит,éadan
10,Gesicht::N,пит,aghaidh
11,Gesicht::N,пит-куҫ,éadan
12,Gesicht::N,пит-куҫ,aghaidh
13,Stirn::N,ҫамка,baithis
14,Stirn::N,ҫамка,clár éadain
15,Haar::N,ҫӳҫ,gruaig
16,Schnurrbart::N,усси,croiméal
17,Bart::N,сухал,féasóg
18,Kinn::N,янах,smig
19,Kiefer[Anatomie]::N,янах,giall
20,Kehle::N,пыр,scornach
21,Kehle::N,карланкӑ,scornach
22,Hals::N,пыр,muinéal
23,Genick::N,ӗнсе,baic
24,Kopf::N,пуҫ,ceann
25,Rücken::N,ҫурӑм,droim
26,Nabel::N,кӑвапа,imleacán
27,Busen::N,кӑкӑр,cíoch
28,Brust::N,умӗ,brollach
29,Schulter::N,хул пуҫҫи,gualainn
30,Arm::N,алӑ,lámh
31,Ellenbogen::N,чавса,uillinn
32,Hand::N,алӑ сыппи,lámh
33,Handfläche::N,ал лаппи,bos
34,Finger::N,пӳрне,méar
35,Fingernagel::N,чӗрне,ionga
36,Nagel[Anatomie]::N,чӗрне,ionga
37,Zeh::N,пӳрне,ladhar
38,Fuß::N,ура лаппи,cos
39,Fuß::N,ура лаппи,troigh
40,Ferse::N,кӗле,sáil
41,Knie::N,чӗркуҫҫи,glúin
42,Oberschenkel::N,пӗҫӗ,ceathrú
43,Bein::N,ура,cos
44,Körper::N,ӳт,corp
45,Körper::N,ӳт,colainn
46,Körper::N,ӳт-пӳ,corp
47,Körper::N,ӳт-пӳ,colainn
48,Haut::N,тир,cneas
49,Haut::N,тир,craiceann
50,Blut::N,юн,fuil
51,Ader::N,вена,
52,Sehne::N,шӑнӑр,teannán
53,Sehne::N,шӑнӑр,féitheog
54,Knochen::N,шӑмӑ,cnámh
55,Gehirn::N,миме,inchinn
56,Herz::N,чӗре,croí
