,Concept_ID,tr,fa
0,Auge::N,göz,چشم
1,Ohr::N,kulak,گوش
2,Nase::N,burun,بینی
3,Mund::N,ağız,دهان
4,Zahn::N,diş,دندان
5,Zunge::N,dil,زبان
6,Lippe::N,dudak,لب
7,Wange::N,yanak,لپ
8,Gesicht::N,yüz,رو
9,Gesicht::N,yüz,چهره
10,Stirn::N,alın,پیشانی
11,Haar::N,saç,مو
12,Schnurrbart::N,bıyık,سبیل
13,Bart::N,sakal,ریش
14,Kinn::N,çene,چانه
15,Kiefer[Anatomie]::N,çene,فک
16,Kiefer[Anatomie]::N,çene,آرواره
17,Kehle::N,boğaz,حلق
18,Hals::N,boyun,گردن
19,Hals::N,gerdan,گردن
20,Genick::N,ense,پشت گردن
21,Kopf::N,baş,سر
22,Kopf::N,baş,کله
23,Kopf::N,kafa,سر
24,Kopf::N,kafa,کله
25,Rücken::N,arka,پشت
26,Bauch::N,karın,شکم
27,Nabel::N,göbek,ناف
28,Busen::N,koyun,پستان
29,Brust::N,göğüs,سینه
30,Schulter::N,omuz,دوش
31,Schulter::N,omuz,شانه
32,Arm::N,kol,بازو
33,Ellenbogen::N,dirsek,آرنج
34,Hand::N,el,دست
35,Handfläche::N,avuç,کف دست
36,Handfläche::N,el ayası,کف دست
37,Finger::N,parmak,انگشت
38,Fingernagel::N,el tırnağı,ناخن دست
39,Nagel[Anatomie]::N,tırnak,ناخن
40,Zeh::N,ayak parmağı,انگشت پا
41,Fuß::N,ayak,پا
42,Ferse::N,topuk,پاشنه
43,Knie::N,diz,زانو
44,Oberschenkel::N,uyluk,ران
45,Bein::N,bacak,پا
46,Bein::N,bacak,لنگ
47,Körper::N,vücut,تن
48,Körper::N,vücut,بدن
49,Haut::N,cilt,پوست
50,Blut::N,kan,خون
51,Ader::N,damar,رگ
52,Sehne::N,kiriş,زردپی
53,Knochen::N,kemik,استخوان
54,Gehirn::N,beyin,مخ
55,Gehirn::N,beyin,مغز
56,Herz::N,kalp,دل
57,Herz::N,kalp,قلب
58,Herz::N,yürek,دل
59,Herz::N,yürek,قلب
60,Magen::N,mide,معده
61,Leber::N,karaciğer,کبد
62,Atem::N,nefes,نفس
63,Hunger::N,açlık,گرسنگی
64,Träne::N,gözyaşı,اشک
65,Geschmack::N,tat,مزه
66,Geschmack::N,lezzet,مزه
67,Geruch::N,koku,بو
68,Schlaf::N,uyku,خواب
69,Traum::N,düş,رؤیا
70,Traum::N,rüya,رؤیا
71,Himmel::N,gök,فلک
72,Himmel::N,gök,آسمان
73,Sonne::N,güneş,آفتاب
74,Sonne::N,güneş,خورشید
75,Mond::N,ay,ماه
76,Stern::N,yıldız,ستاره
77,Luft::N,hava,هوا
78,Wind::N,yel,باد
79,Wind::N,rüzgâr,باد
80,Welle::N,dalga,موج
81,Wasser::N,su,آب
82,Stein::N,taş,سنگ
83,Boden::N,yer,زمین
84,Boden::N,zemin,زمین
85,Erde::N,toprak,خاک
86,Erde::N,toprak,زمین
