,Concept_ID,be,eu
0,Auge::N,вока,begi
1,Ohr::N,вуха,belarri
2,Nase::N,нос,sudur
3,Mund::N,рот,aho
4,Zahn::N,зуб,hortz
5,Zunge::N,язык,mihi
6,Lippe::N,губа,ezpain
7,Wange::N,шчака,masail
8,Gesicht::N,твар,aurpegi
9,Stirn::N,лоб,bekoki
10,Haar::N,волас,ile
11,Haar::N,волас,bilo
12,Haar::N,валасы,ile
13,Haar::N,валасы,bilo
14,Schnurrbart::N,вус,bibote
15,Schnurrbart::N,вус,sudurpeko
16,Schnurrbart::N,вусы,bibote
17,Schnurrbart::N,вусы,sudurpeko
18,Bart::N,барада,bizar
19,Kinn::N,падбародак,kokots
20,Kiefer[Anatomie]::N,сківіца,masailezur
21,Kehle::N,горла,eztarri
22,Hals::N,шыя,sama
23,Genick::N,патыліца,garondo
24,Kopf::N,галава,buru
25,Rücken::N,спіна,bizkar
26,Bauch::N,жывот,sabel
27,Nabel::N,пупок,zilbor
28,Busen::N,грудзі,titi
29,Busen::N,грудзі,ugatz
30,Brust::N,грудзі,bular
31,Schulter::N,плячо,besaburu
32,Arm::N,рука,beso
33,Ellenbogen::N,локаць,ukondo
34,Hand::N,кісць,esku
35,Handfläche::N,далонь,ahur
36,Finger::N,палец,hatz
37,Fingernagel::N,ногаць,azazkal
38,Nagel[Anatomie]::N,ногаць,azazkal
39,Zeh::N,палец,behatz
40,Fuß::N,нага,oin
41,Ferse::N,пята,orpo
42,Ferse::N,пята,oinburu
43,Ferse::N,пятка,orpo
44,Ferse::N,пятка,oinburu
45,Knie::N,калена,belaun
46,Oberschenkel::N,бядро,izter
47,Oberschenkel::N,сцягно,izter
48,Bein::N,нага,zango
49,Körper::N,цела,soin
50,Haut::N,скура,azal
51,Blut::N,кроў,odol
52,Ader::N,вена,zain
53,Ader::N,сасуд,zain
54,Sehne::N,жыла,gihar-zain
55,Sehne::N,цеціва,gihar-zain
56,Sehne::N,сухажылле,gihar-zain
57,Knochen::N,косць,hezur
58,Gehirn::N,мозг,garun
59,Gehirn::N,мозг,burmuin
60,Herz::N,сэрца,bihotz
61,Magen::N,страўнік,urdail
62,Leber::N,печань,gibel
63,Atem::N,дыханне,hats
64,Atem::N,дыханне,arnasa
65,Hunger::N,голад,gose
66,Träne::N,сляза,malko
67,Geschmack::N,смак,dasta
68,Geruch::N,пах,usain
69,Schlaf::N,сон,lo
70,Traum::N,сон,amets
71,Himmel::N,неба,zeru
72,Sonne::N,сонца,eguzki
73,Mond::N,месяц,ilargi
74,Stern::N,зорка,izar
75,Luft::N,паветра,aire
76,Wind::N,вецер,haize
77,Welle::N,хваля,uhin
78,Welle::N,хваля,olatu
79,Wasser::N,вада,ur
80,Stein::N,камень,harri
81,Boden::N,глеба,lur
82,Boden::N,глеба,zoru
83,Erde::N,зямля,lur
84,Staub::N,пыл,hauts
85,Rauch::N,дым,ke
86,Funke::N,іскра,zirta
87,Funke::N,іскра,txinparta
88,Feuer::N,агонь,su
89,Licht::N,святло,argi
90,Schatten::N,цень,itzal
91,Schatten::N,цень,geriza
92,Wetter::N,пагода,eguraldi
93,Wetter::N,надворʼе,eguraldi
94,Nebel::N,туман,laino
95,Wolke::N,воблака,hodei
96,Regen::N,дождж,euri
97,Schnee::N,снег,elur
98,Eis::N,лёд,horma
99,Frost::N,мароз,izotzaldi
100,Kälte::N,холад,hotz
101,Hitze::N,спёка,bero
102,Raureif::N,іней,antzigar
103,Regenbogen::N,вясёлка,ostadar
104,Regenbogen::N,вясёлка,ortzadar
105,Donner::N,гром,ostots
106,Donner::N,гром,ihurtzuri
107,Strömung::N,цячэнне,laster
108,Tropfen::N,кропля,xorta
109,Schaum::N,пена,bits
110,Schmutz::N,гразь,lohi
111,Schmutz::N,гразь,zikin
112,See::N,возера,laku
113,See::N,возера,aintzira
114,Sumpf::N,багна,zingira
115,Moor::N,балота,zohikaztegi
116,Wiese::N,луг,larre
117,Wiese::N,луг,belardi
118,Wald::N,лес,baso
119,Wald::N,лес,oihan
120,Hügel::N,узгорак,muino
121,Hügel::N,узгорак,pentoka
122,Anhöhe::N,узвышша,garai
123,Anhöhe::N,узвышша,goragune
124,Berg::N,гара,mendi
125,Gipfel::N,вяршыня,gain
126,Gipfel::N,вяршыня,tontor
127,Höhle::N,пячора,kobazulo
128,Abhang::N,схіл,aldapa
129,Quelle::N,крыніца,iturri
130,Quelle::N,крыніца,iturbegi
131,Bach::N,ручай,lats
