,Concept_ID,el,is
0,Auge::N,μάτι,auga
1,Auge::N,οφθαλμός,auga
2,Ohr::N,αυτί,eyra
3,Nase::N,μύτη,nef
4,Mund::N,στόμα,munnur
5,Zahn::N,δόντι,tönn
6,Zunge::N,γλώσσα,tunga
7,Lippe::N,χείλος,vör
8,Wange::N,παρειά,kinn
9,Wange::N,παρειά,vangi
10,Wange::N,μάγουλο,kinn
11,Wange::N,μάγουλο,vangi
12,Gesicht::N,πρόσωπο,andlit
13,Stirn::N,μέτωπο,enni
14,Haar::N,μαλλιά,hár
15,Schnurrbart::N,μουστάκι,yfirskegg
16,Bart::N,γένια,skegg
17,Kinn::N,πιγούνι,haka
18,Kiefer[Anatomie]::N,σαγόνι,kjálki
19,Kiefer[Anatomie]::N,σαγόνι,skoltur
20,Kehle::N,λαρύγγι,kverk
21,Hals::N,λαιμός,háls
22,Genick::N,σβέρκος,hnakki
23,Kopf::N,κεφάλι,höfuð
24,Rücken::N,ράχη,hryggur
25,Bauch::N,κοιλιά,kviður
26,Nabel::N,αφαλός,nafli
27,Busen::N,στήθος,barmur
28,Brust::N,στήθος,brjóst
29,Schulter::N,ώμος,öxl
30,Arm::N,χέρι,armur
31,Arm::N,μπράτςο,armur
32,Ellenbogen::N,αγκώνας,olnbogi
33,Hand::N,χέρι,hönd
34,Handfläche::N,παλάμη,lófi
35,Finger::N,δάχτυλο,fingur
36,Fingernagel::N,νύχι,fingurnögl
37,Nagel[Anatomie]::N,νύχι,nögl
38,Zeh::N,δάχτυλο του ποδιού,tá
39,Fuß::N,πόδι,fótur
40,Ferse::N,φτέρνα,hæll
41,Knie::N,γόνατο,kné
42,Oberschenkel::N,μηρός,læri
43,Bein::N,πόδι,fótleggur
44,Körper::N,σώμα,búkur
45,Körper::N,σώμα,líkami
46,Körper::N,κορμί,búkur
47,Körper::N,κορμί,líkami
48,Haut::N,πετσί,húð
49,Haut::N,πετσί,skinn
50,Blut::N,αίμα,blóð
51,Ader::N,φλέβα,æð
52,Sehne::N,νεύρο,sin
53,Sehne::N,τένοντας,sin
54,Knochen::N,οστό,bein
55,Knochen::N,κόκκαλο,bein
56,Gehirn::N,μυαλό,heili
57,Gehirn::N,εγκέφαλος,heili
58,Herz::N,καρδιά,hjarta
59,Magen::N,στομάχι,magi
60,Leber::N,ήπαρ,lifur
61,Leber::N,συκωτί,lifur
62,Atem::N,αναπνοή,andi
63,Atem::N,αναπνοή,andardráttur
64,Hunger::N,πείνα,hungur
65,Träne::N,δάκρυ,tár
66,Geschmack::N,γεύση,smekkur
67,Geruch::N,οσμή,lykt
68,Geruch::N,μυρωδία,lykt
69,Schlaf::N,ύπνος,svefn
70,Traum::N,όνειρο,draumur
71,Himmel::N,ουρανός,himinn
72,Sonne::N,ήλιος,sól
73,Mond::N,σελήνη,tungl
74,Mond::N,φεγγάρι,tungl
75,Stern::N,άστρο,stjarna
76,Stern::N,αστέρι,stjarna
77,Luft::N,αέρας,loft
78,Wind::N,αέρας,vindur
79,Wind::N,άνεμος,vindur
80,Welle::N,κύμα,alda
81,Welle::N,κύμα,bylgja
82,Wasser::N,νερό,vatn
83,Stein::N,πέτρα,steinn
84,Boden::N,χώμα,botn
85,Erde::N,γη,jörð
86,Staub::N,σκόνη,ryk
87,Staub::N,σκόνη,duft
88,Rauch::N,καπνός,reykur
89,Funke::N,σπίθα,neisti
90,Funke::N,σπινθήρας,neisti
91,Feuer::N,φωτιά,eldur
92,Licht::N,φως,ljós
93,Schatten::N,σκιά,skuggi
94,Schatten::N,ίσκιος,skuggi
95,Wetter::N,καιρός,veður
96,Nebel::N,ομίχλη,þoka
97,Wolke::N,σύννεφο,ský
98,Regen::N,βροχή,regn
99,Schnee::N,χιόνι,snjór
100,Eis::N,πάγος,ís
101,Frost::N,παγωνία,frost
102,Kälte::N,κρύο,kuldi
103,Kälte::N,ψύχος,kuldi
104,Hitze::N,ζέστη,hiti
105,Raureif::N,πάχνη,hrím
106,Regenbogen::N,ουράνιο τόξο,regnbogi
107,Donner::N,βροντή,þruma
108,Strömung::N,ρεύμα,straumur
109,Tropfen::N,στάλα,dropi
110,Schaum::N,αφρός,froða
111,Schmutz::N,βρωμιά,óhreinindi
112,See::N,λίμνη,stöðuvatn
113,Sumpf::N,βάλτος,fen
114,Moor::N,έλος,mýri
115,Wiese::N,λιβάδι,engi
116,Wald::N,δάσος,skógur
117,Hügel::N,λόφος,hæð
118,Hügel::N,λόφος,hóll
119,Anhöhe::N,ύψωμα,hæð
120,Anhöhe::N,ύψωμα,hóll
121,Berg::N,όρος,fell
122,Berg::N,όρος,fjall
123,Berg::N,βουνό,fell
124,Berg::N,βουνό,fjall
125,Gipfel::N,κορυφή,tindur
126,Höhle::N,σπηλιά,hellir
127,Abhang::N,πλαγιά,hlíð
128,Abhang::N,πλαγιά,brekka
129,Quelle::N,πηγή,lind
130,Quelle::N,πηγή,uppspretta
131,Quelle::N,βρύση,lind
132,Quelle::N,βρύση,uppspretta
133,Bach::N,ρυάκι,lækur
134,Fluss::N,ποτάμι,á
