,Concept_ID,kv,kl
0,Auge::N,син,isi
1,Ohr::N,пель,siut
2,Nase::N,ныр,
3,Mund::N,ӧм,paaq
4,Mund::N,ӧм,qaneq
5,Zahn::N,пинь,kigut
6,Zunge::N,кыв,oqaq
7,Lippe::N,тырп,qarloq
8,Wange::N,рожабан,ersaq
9,Gesicht::N,бан,kiinaq
10,Stirn::N,кымӧс,qaaq
11,Haar::N,юрси,meqqoq
12,Schnurrbart::N,уссэз,
13,Bart::N,тош,umik
14,Kinn::N,тшӧка,talloq
15,Kiefer[Anatomie]::N,ан,alleroq
16,Kehle::N,юан,malaq
17,Hals::N,юан,qungaseq
18,Genick::N,юр бӧр,pukusuk
19,Kopf::N,юр,niaqoq
20,Rücken::N,мышк,qimerlut
21,Bauch::N,кынӧм,naaq
22,Nabel::N,гӧг,qalaseq
23,Busen::N,морос,iviangeq
24,Brust::N,морос,iviangeq
25,Schulter::N,пельпон,ersik
26,Schulter::N,пельпон,assaqqoq
27,Arm::N,ки,taleq
28,Ellenbogen::N,гырдзза,ikusik
29,Hand::N,кикар,assak
30,Handfläche::N,ки пыдӧс,itumak
31,Finger::N,чунь,inuak
32,Fingernagel::N,гыж,kikiak
33,Nagel[Anatomie]::N,гыж,kukik
34,Zeh::N,чунь,isigak
35,Fuß::N,кокпыдӧс,
36,Ferse::N,кокдзир,kimmik
37,Knie::N,пидзӧс,seeqqoq
38,Oberschenkel::N,лядьбей,uppat
39,Oberschenkel::N,лядьбей,quttoraq
40,Bein::N,кок,isigak
41,Körper::N,вывтыр,timi
42,Haut::N,кучик,mattak
43,Blut::N,вир,aak
44,Ader::N,сӧн,taqaq
45,Sehne::N,жила,ujalu
46,Sehne::N,жила,ujaloq
47,Knochen::N,коска,saanikut
48,Gehirn::N,вем,qarasaq
49,Herz::N,сьӧлӧм,uummat
50,Magen::N,жӧвдӧк,aqajaroq
51,Leber::N,мус,tinguk
52,Atem::N,лолалӧм,anerneq
53,Hunger::N,тшыг,kaanneq
54,Träne::N,синва,qia
55,Träne::N,синва,qiak
56,Geschmack::N,кӧр,qilanaartuut
57,Geruch::N,дук,tipi
58,Geruch::N,дук,tipik
59,Schlaf::N,он,
60,Traum::N,вӧт,sinnattoq
61,Traum::N,вӧт,sinnattugaq
62,Himmel::N,небо,qilak
63,Sonne::N,шондi,seqineq
64,Mond::N,тӧлiсь,qaammat
65,Stern::N,кӧдзыв,ulloriaq
66,Luft::N,ру,silaannaq
67,Wind::N,тӧв,anori
68,Wind::N,тӧв,anorsarik
69,Welle::N,гы,aalappaa
70,Wasser::N,ва,imeq
71,Stein::N,из,ujarak
72,Boden::N,му,nateq
73,Erde::N,му,issoq
74,Staub::N,бус,pujualanerit
75,Staub::N,бус,pujoralanerit
76,Rauch::N,тшын,iseq
77,Rauch::N,тшын,pujoq
78,Funke::N,бичир,illoorneq
79,Feuer::N,би,inneq
80,Licht::N,би,qaamaneq
81,Schatten::N,вуджӧр,tarraq
82,Wetter::N,погоддя,sila
83,Nebel::N,туман,pujoq
84,Wolke::N,кымӧр,nuia
85,Regen::N,зэр,sialuk
86,Schnee::N,лым,aput
87,Eis::N,йы,siku
88,Frost::N,мороз,issi
89,Frost::N,мороз,issik
90,Kälte::N,кӧдзыт,issi
91,Hitze::N,ӧд,kianneq
92,Hitze::N,ӧд,kiassuseq
93,Raureif::N,кижа,kaneq
94,Regenbogen::N,енӧшка,neriusaaq
95,Donner::N,гым,kalleq
96,Strömung::N,визывтӧм,
97,Tropfen::N,тёп,kuseriarneq
98,Schaum::N,быг,qapuk
99,Schmutz::N,нять,minguk
100,See::N,ты,taseq
101,Sumpf::N,арай,maqulluk
102,Moor::N,нюр,
103,Wiese::N,видз,masarsuk
104,Wald::N,вӧр,
105,Hügel::N,мыльк,qattuneq
106,Hügel::N,мыльк,majuariaq
107,Hügel::N,мыльк,majorajaaq
108,Hügel::N,мыльк,qaqqannguaq
109,Anhöhe::N,вывтас,
110,Anhöhe::N,вылынін,
111,Berg::N,керӧс,qaqqaq
112,Gipfel::N,йыв,
113,Höhle::N,нора,qaarusuk
114,Abhang::N,покат,ippik
115,Abhang::N,покат,sivinganeq
116,Abhang::N,покат,sivingajaaq
117,Abhang::N,покат,kussangajaaq
118,Quelle::N,больган,
119,Bach::N,шор,kuunnguaq
120,Fluss::N,ю,kuuk
121,Ufer::N,берег,sissap sinaa
122,Küste::N,берег,sineriak
123,Festland::N,му,
124,Meer::N,море,imaq
125,Bucht::N,курья,ikeq
126,Bucht::N,курья,kangerluk
127,Bucht::N,курья,kangerliumaneq
128,Blume::N,цветок,naasoq
129,Gras::N,турун,ivigaq
130,Wurzel::N,вуж,niulutaq
131,Baum::N,пу,orpik
132,Stamm::N,мыр,kanaartaq
133,Stamm::N,кер,kanaartaq
134,Rinde::N,кач,ameraq
135,Ast::N,ув,avalequt
136,Zweig::N,ув,avalequt
137,Blatt::N,лист,pilutaq
138,Birke::N,кыдз,patitsit
139,Kiefer[Baum]::N,пожум,
140,Weide[Baum]::N,бадь,palleq
141,Tanne::N,кӧз,orsuerneq
142,Horn::N,сюр,nassuk
143,Feder::N,гӧн,suluk
144,Fell::N,кучик,ameq
145,Flügel::N,борд,suluk
146,Flügel::N,борд,isaroq
147,Klaue::N,гыж,kukik
148,Kralle::N,кабыр,kukik
149,Schwanz::N,бӧж,pamioq
150,Schwanz::N,бӧж,paperuusaq
151,Ei::N,кольть,mannik
152,Nest::N,поз,ullut
153,Bau::N,осьта,ini
154,Bau::N,нора,ini
155,Tier::N,зверь,uumasoq
156,Herde::N,гурт,unguukkat
157,Kuh::N,мӧс,ussik
158,Bulle::N,ӧшка,angukulak
159,Bulle::N,ӧшка,anguteralak
160,Bulle::N,ӧшка,angutikulooq
161,Pferd::N,вӧв,
162,Schaf::N,баля,sava
163,Schwein::N,порсь,puuluki
164,Hund::N,пон,qimmeq
165,Katze::N,кань,puisaaq
166,Bär::N,ош,allaq
167,Eichhörnchen::N,ур,sissinnguaq
168,Elch::N,вӧр мӧс,
169,Fuchs::N,руч,terianniaq
170,Hase::N,кӧч,ukaleq
171,Maus::N,шыр,teriannguaq
172,Wolf::N,кӧин,amaroq
173,Vogel::N,кай,timmiaq
174,Schwarm::N,стая,
175,Schwarm::N,чукӧр,
176,Huhn::N,курӧг,kukkukooq
177,Huhn::N,курӧг,marloraaqaaq
178,Hahn::N,петух,kiasiusaq
179,Hahn::N,ай курӧг,kiasiusaq
180,Gans::N,дзодзог,nerleq
181,Adler::N,куч,nattoralik
182,Adler::N,кутш,nattoralik
183,Ente::N,утка,
184,Eule::N,тупка,uppik
185,Kranich::N,тури,qorlorfik
186,Krähe::N,рака,tuluatsiaq
187,Kuckuck::N,кӧк,kukkooq
188,Schwan::N,юсь,qussuk
189,Fisch::N,чери,aalisagaq
190,Barsch::N,ёкыш,
191,Hecht::N,сирпинь,
192,Schlange[Tier]::N,змей,pulateriarsuk
193,Schlange[Tier]::N,змей,pulateriaarsuk
194,Wurm::N,номыр,
195,Spinne::N,черань,aasiaq
196,Spinne::N,черань,nissavaarsuk
197,Ameise::N,кӧдзывкар,uniaaluk
198,Laus::N,ляпа той,kumak
199,Mücke::N,ном,ippernaq
200,Fliege::N,гут,ippernaq
201,Schmetterling::N,бабыв,paluaq
202,Schmetterling::N,бабыв,pakkaluaq
203,Schmetterling::N,бабыв,utsuppaluaq
204,Schmetterling::N,бабыв,taqaleqisaaq
205,Beere::N,ягӧд,paarmaq
206,Beere::N,ягӧд,paarngaq
207,Apfel::N,яблоко,iipili
208,Pilz::N,тшак,anngiusaq
209,Zwiebel::N,грез,uanitsoq
210,Saat::N,кӧдзыс,naatsiiassaq
211,Korn::N,сю,maannineq
212,Heu::N,турун,
213,Schale::N,кыш,niutsivik
214,Schale::N,кыш,ilulissaq qaartussaq
215,Schale::N,киль,niutsivik
216,Schale::N,киль,ilulissaq qaartussaq
217,Grube::N,яма,itersaq
218,Falle::N,нальк,pualavoq
219,Falle::N,кляпча,pualavoq
220,Schlinge::N,лӧч,orseq
221,Schlinge::N,лӧч,norloq
222,Spur::N,туй,tumaa
223,Asche::N,пӧим,arsat
224,Dreck::N,нять,minguk
225,Eisen::N,кӧрт,savimineq
