,Concept_ID,sq,mdf
0,Auge::N,sy,сельме
1,Ohr::N,vesh,пиле
2,Nase::N,hundë,шалхка
3,Mund::N,gojë,курга
4,Zahn::N,dhëmb,пей
5,Zunge::N,gjuhë,кяль
6,Lippe::N,buzë,търва́
7,Wange::N,faqe,щёка
8,Wange::N,mollëz,щёка
9,Gesicht::N,fytyrë,шама
10,Stirn::N,ballë,коня
11,Haar::N,flokë,шя́ярь
12,Schnurrbart::N,mustaqe,уса́
13,Bart::N,mjekër,сакал
14,Kinn::N,mjekër,ула
15,Kiefer[Anatomie]::N,nofull,саласка
16,Kehle::N,fyt,кълдома
17,Kehle::N,fyt,кърга́парь
18,Kehle::N,grykë,кълдома
19,Kehle::N,grykë,кърга́парь
20,Hals::N,qafë,сялдаз
21,Genick::N,arrëz,шовонь
22,Kopf::N,kokë,пря
23,Rücken::N,kurriz,копорь
24,Bauch::N,bark,пеке
25,Nabel::N,kërthizë,по́кон
26,Busen::N,gji,потя
27,Brust::N,gjoks,мяште
28,Brust::N,kraharor,мяште
29,Schulter::N,sup,лафту
30,Schulter::N,krah,лафту
31,Arm::N,krah,кядь
32,Ellenbogen::N,bërryl,кенерьба́карь
33,Hand::N,dorë,кядь
34,Handfläche::N,pëllëmbë,кядьлапш
35,Finger::N,gisht,сур
36,Fingernagel::N,thua,кенже
37,Nagel[Anatomie]::N,thua,кенже
38,Zeh::N,gisht i këmbës,пильгосу́р
39,Fuß::N,këmbë,пильге
40,Fuß::N,këmbë,пильгелапа
41,Ferse::N,thembër,кочкяря
42,Knie::N,gju,эль
43,Knie::N,gju,пълма́нжа
44,Oberschenkel::N,kofshë,пильгепукша
45,Bein::N,këmbë,пильге
46,Körper::N,trup,ро́нга
47,Körper::N,trup,по́нда
48,Haut::N,lëkurë,киське
49,Blut::N,gjak,вер
50,Ader::N,venë,сан
51,Ader::N,venë,верза́н
52,Sehne::N,dell,коське сан
53,Knochen::N,asht,пакарь
54,Knochen::N,kockë,пакарь
55,Gehirn::N,tru,уй
56,Herz::N,zemër,седи
57,Magen::N,stomak,коткърдазь
58,Leber::N,mëlçi,макса
59,Atem::N,frymë,лекома
60,Atem::N,frymë,ваймонь тарксема
61,Hunger::N,uri,вачеши
62,Träne::N,lot,сельмове́дь
63,Geschmack::N,shije,таньф
64,Geruch::N,erë,шине
65,Schlaf::N,gjumë,удома́
66,Traum::N,ëndërr,он
67,Himmel::N,qiell,менель
68,Sonne::N,diell,ши
69,Mond::N,hënë,ков
70,Stern::N,yll,тяште
71,Luft::N,ajër,кожф
72,Wind::N,erë,варма
73,Welle::N,valë,тавла
74,Welle::N,dallgë,тавла
75,Wasser::N,ujë,ведь
76,Stein::N,gur,кев
77,Boden::N,tokë,мода
78,Boden::N,tokë,потмакс
79,Boden::N,truall,мода
80,Boden::N,truall,потмакс
81,Erde::N,dhe,мода
82,Erde::N,dhe,мастор
83,Erde::N,baltë,мода
84,Erde::N,baltë,мастор
85,Staub::N,pluhur,пуль
86,Rauch::N,tym,качам
87,Funke::N,xixë,ця́тка
88,Funke::N,shkëndijë,ця́тка
89,Feuer::N,zjarr,тол
90,Licht::N,dritë,ва́лда
91,Schatten::N,hije,цильф
92,Wetter::N,mot,уша
93,Nebel::N,mjegull,тума́н
94,Wolke::N,re,ковол
95,Regen::N,shi,пизем
96,Schnee::N,borë,лов
97,Eis::N,akull,эй
98,Frost::N,ngricë,ке́льме
99,Kälte::N,të ftohtë,якшама
100,Hitze::N,vapë,пси
101,Hitze::N,nxehtësi,пси
102,Raureif::N,cikmë,леш
103,Regenbogen::N,ylber,а́тямъёнга
104,Donner::N,gjëmim,атям
105,Donner::N,bubullimë,атям
106,Strömung::N,rrymë,шудема́
107,Tropfen::N,pikë,путькс
108,Tropfen::N,pikë,пътняфкс
109,Schaum::N,shkumë,шов
110,Schmutz::N,baltë,ърда́з
111,See::N,liqen,эрьхке
112,Sumpf::N,batak,шяй
113,Moor::N,kënetë,шяй
114,Wiese::N,livadh,луга
115,Wald::N,pyll,вирь
116,Hügel::N,kodër,губо́р
117,Hügel::N,kodër,пандоня
118,Anhöhe::N,bregore,губо́р
119,Berg::N,mal,панда
120,Gipfel::N,kulm,пря
121,Höhle::N,shpellë,у́нда
122,Höhle::N,zgafelle,у́нда
123,Abhang::N,shpat,па́нда ша́ма
124,Abhang::N,tatëpjetë,па́нда ша́ма
125,Quelle::N,krua,эшиня
126,Quelle::N,burim,эшиня
127,Bach::N,virua,шудерькс
128,Fluss::N,lumë,ляй
129,Ufer::N,breg,търва́
130,Küste::N,anëdet,ляйтърва́
131,Küste::N,bregdet,ляйтърва́
132,Festland::N,kontinent,мода
133,Meer::N,det,моря
134,Bucht::N,gji deti,ведьуське
135,Insel::N,ishull,цёнга
136,Insel::N,ujdhesë,цёнга
137,Blume::N,lule,панчф
138,Gras::N,bar,тише
139,Wurzel::N,rrënjë,юр
140,Wurzel::N,rrënjë,ункс
141,Baum::N,pemë,шуфта
142,Stamm::N,trung,ро́нга
143,Rinde::N,lëvore,кер
144,Ast::N,degë,морга
145,Zweig::N,bisk,тарад
146,Blatt::N,fletë,лопа
147,Blatt::N,gjethe,лопа
148,Birke::N,mështekën,ке́лу
149,Kiefer[Baum]::N,pishë,пиче
150,Weide[Baum]::N,shelg,каль
151,Tanne::N,bredh,куз
152,Horn::N,bri,сюра
153,Feder::N,pupël,толга
154,Fell::N,lëkurë,кедь
155,Flügel::N,krah,паця
156,Flügel::N,fletë,паця
157,Klaue::N,kthetër,кенже
158,Kralle::N,thua,кенже
159,Kralle::N,kthetër,кенже
160,Schwanz::N,bisht,пула
161,Ei::N,vezë,ал
162,Nest::N,fole,пиза
163,Bau::N,strofkë,пиза
164,Tier::N,kafshë,жува́та
165,Herde::N,kope,нал
166,Herde::N,kope,стада
167,Herde::N,grigjë,нал
168,Herde::N,grigjë,стада
169,Kuh::N,lopë,скал
170,Kuh::N,lopë,тракс
171,Bulle::N,dem,бука
172,Pferd::N,kalë,лишме
173,Schaf::N,dele,уча́
174,Schwein::N,derr,тува
175,Hund::N,qen,пине
176,Katze::N,mace,катоня
177,Katze::N,mace,аваката
178,Bär::N,ari,офта
179,Eichhörnchen::N,ketër,ур
180,Elch::N,dre brilopatë,ся́рда
181,Fuchs::N,dhelpër,келазь
182,Hase::N,lepur,ну́мол
183,Maus::N,mi,шеер
