,Concept_ID,bg,hy
0,Auge::N,око,աչք
1,Ohr::N,ухо,ականջ
2,Nase::N,нос,քիթ
3,Mund::N,уста,բերան
4,Zahn::N,зъб,ատամ
5,Zunge::N,език,լեզու
6,Lippe::N,устна,շրթունք
7,Wange::N,буза,այտ
8,Wange::N,буза,թուշ
9,Gesicht::N,лице,դեմք
10,Gesicht::N,образ,դեմք
11,Stirn::N,чело,ճակատ
12,Haar::N,коса,մազ
13,Haar::N,косъм,մազ
14,Schnurrbart::N,мустаци,բեղ
15,Bart::N,брада,մորուք
16,Kinn::N,брада,կզակ
17,Kinn::N,брадичка,կզակ
18,Kiefer[Anatomie]::N,челюст,ծնոտ
19,Kehle::N,гърло,կոկորդ
20,Hals::N,врат,վիզ
21,Hals::N,врат,պարանոց
22,Genick::N,тил,ծոծրակ
23,Kopf::N,глава,գլուխ
24,Rücken::N,гръб,մեջք
25,Bauch::N,корем,փոր
26,Bauch::N,корем,որովայն
27,Nabel::N,пъп,պորտ
28,Busen::N,бозка,ծոց
29,Brust::N,гръд,կուրծք
30,Schulter::N,рамо,ուս
31,Schulter::N,плещи,ուս
32,Arm::N,ръка,թեւ
33,Arm::N,ръка,բազուկ
34,Ellenbogen::N,лакът,արմունկ
35,Hand::N,ръка,ձեռք
36,Hand::N,китка,ձեռք
37,Handfläche::N,длан,ափ
38,Finger::N,пръст,մատ
39,Fingernagel::N,нокът,եղունգ
40,Nagel[Anatomie]::N,нокът,եղունգ
41,Zeh::N,пръст на крак,ոտքի մատ
42,Fuß::N,крак,ոտք
43,Fuß::N,нога,ոտք
44,Ferse::N,пета,գարշապար
45,Knie::N,коляно,ծունկ
46,Oberschenkel::N,бедро,ազդր
47,Bein::N,крак,ոտք
48,Bein::N,нога,ոտք
49,Körper::N,тяло,մարմին
50,Haut::N,кожа,մաշկ
51,Blut::N,кръв,արյուն
52,Ader::N,вена,երակ
53,Ader::N,артерия,երակ
54,Sehne::N,жила,ջիղ
55,Sehne::N,жила,ձգտան
56,Sehne::N,сухожилие,ջիղ
57,Sehne::N,сухожилие,ձգտան
58,Knochen::N,кост,ոսկոր
59,Gehirn::N,мозък,խելք
60,Herz::N,сърце,սիրտ
61,Magen::N,стомах,ստամոքս
62,Leber::N,черен дроб,լյարդ
63,Atem::N,дишане,շունչ
64,Hunger::N,глад,քաղց
65,Träne::N,сълза,արտասուք
66,Geschmack::N,вкус,համ
67,Geschmack::N,вкус,բուրմունք
68,Geruch::N,миризма,հոտ
69,Geruch::N,миризма,բուրում
70,Schlaf::N,сън,քուն
71,Traum::N,сън,երազ
72,Himmel::N,небе,երկինք
73,Sonne::N,слънце,արեւ
74,Mond::N,луна,լուսին
75,Mond::N,месец,լուսին
76,Stern::N,звезда,աստղ
77,Luft::N,въздух,օդ
78,Wind::N,вятър,քամի
79,Welle::N,вълна,ալիք
80,Wasser::N,вода,ջուր
81,Stein::N,камък,քար
82,Boden::N,земя,գետին
83,Boden::N,почва,գետին
84,Erde::N,земя,հող
85,Erde::N,почва,հող
86,Staub::N,прах,փոշի
87,Rauch::N,дим,ծուխ
88,Rauch::N,пушек,ծուխ
89,Funke::N,искра,կայծ
90,Feuer::N,огън,կրակ
91,Feuer::N,огън,հրդեհ
92,Licht::N,светлина,լույս
93,Schatten::N,сянка,ստվեր
94,Wetter::N,време,եղանակ
95,Nebel::N,мъгла,մեգ
96,Nebel::N,мъгла,մառախուղ
97,Wolke::N,облак,ամպ
98,Regen::N,дъжд,անձրև
99,Schnee::N,сняг,ձյուն
100,Eis::N,лед,սառույց
101,Frost::N,мраз,սառնամանիք
102,Kälte::N,студ,դող
103,Hitze::N,жега,շոգ
104,Hitze::N,горещина,շոգ
105,Raureif::N,скреж,ցօղեղեամ
106,Raureif::N,слана,ցօղեղեամ
107,Regenbogen::N,дъга,ծիածան
108,Donner::N,гръм,որոտ
109,Strömung::N,течение,հոսանք
110,Tropfen::N,капка,կաթիլ
111,Schaum::N,пяна,փրփուր
112,Schmutz::N,кал,կեղտ
113,Schmutz::N,мръсотия,կեղտ
