,Concept_ID,ba,fr
0,Auge::N,күҙ,œil
1,Ohr::N,ҡолаҡ,oreille
2,Nase::N,танау,nez
3,Mund::N,ауыҙ,bouche
4,Zahn::N,теш,dent
5,Zunge::N,тел,langue
6,Lippe::N,ирен,lèvre
7,Wange::N,яцаҡтар,joue
8,Gesicht::N,бит,face
9,Gesicht::N,бит,visage
10,Stirn::N,маңлай,front
11,Haar::N,сәс,cheveu
12,Schnurrbart::N,мылтыҡ,moustache
13,Bart::N,һаҡал,barbe
14,Kinn::N,эйэк,menton
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,mâchoire
16,Kehle::N,тамаҡ,gorge
17,Hals::N,муйын,cou
18,Genick::N,соңҡа,nuque
19,Kopf::N,баш,tête
20,Rücken::N,арҡа,dos
21,Bauch::N,ҡорһаҡ,ventre
22,Nabel::N,кендек,nombril
23,Busen::N,күкрәк,sein
24,Brust::N,түш,poitrine
25,Schulter::N,яурын,épaule
26,Arm::N,ҡул,bras
27,Ellenbogen::N,терһәк,coude
28,Hand::N,ҡул,main
29,Hand::N,ҡул суғы,main
30,Handfläche::N,ус төбө,paume
31,Finger::N,бармаҡ,doigt
32,Fingernagel::N,тырнаҡ,ongle
33,Nagel[Anatomie]::N,тырнаҡ,ongle
34,Zeh::N,бармаҡ,orteil
35,Zeh::N,бармаҡ,doigt de pied
36,Fuß::N,табан,pied
37,Ferse::N,үксә,talon
38,Knie::N,тубыҡ,genou
39,Oberschenkel::N,сандыр,cuisse
40,Bein::N,аяҡ,jambe
41,Körper::N,тән,corps
42,Haut::N,тире,peau
43,Blut::N,ҡан,sang
44,Ader::N,тамыр,veine
45,Sehne::N,һеңер,tendon
46,Sehne::N,тарамыш,tendon
47,Knochen::N,һойәк,os
48,Gehirn::N,мейе,cerveau
49,Herz::N,йорәк,cœur
50,Magen::N,ашҡаҙан,estomac
51,Leber::N,бауыр,foie
52,Atem::N,һулыш,haleine
53,Hunger::N,аслыҡ,faim
54,Träne::N,күҙ иәше,larme
55,Geschmack::N,тәм,goût
56,Geschmack::N,тәм,saveur
57,Geruch::N,еҫ,odeur
58,Schlaf::N,йоҡлау,sommeil
59,Traum::N,төш,songe
60,Himmel::N,күк,ciel
61,Sonne::N,ҡояш,soleil
62,Mond::N,ай,lune
63,Stern::N,йондоҙ,étoile
64,Luft::N,һауа,air
65,Wind::N,ел,vent
66,Welle::N,тулҡын,vague
67,Wasser::N,һыу,eau
68,Stein::N,таш,pierre
69,Boden::N,тупраҡ,sol
70,Boden::N,тупраҡ,terrain
71,Erde::N,балсҡ,terre
72,Staub::N,туҙан,poussière
73,Rauch::N,төтөн,fumée
74,Funke::N,осҡон,étincelle
75,Feuer::N,ут,feu
76,Licht::N,яҡтылыҡ,lumière
77,Schatten::N,күләгә,ombre
78,Wetter::N,һауа торошо,temps
79,Nebel::N,төман,brume
80,Nebel::N,төман,brouillard
81,Wolke::N,болот,nuage
82,Regen::N,ямғыр,pluie
83,Schnee::N,ҡар,neige
84,Eis::N,боҙ,glace
85,Frost::N,һалҡын,gel
86,Frost::N,һалҡын,gelée
87,Kälte::N,һыуыҡ,froid
88,Hitze::N,томра,chaleur
89,Hitze::N,эҫелек,chaleur
90,Raureif::N,ҡырау,givre
91,Regenbogen::N,йәйғор,arc-en-ciel
92,Donner::N,күк күкрәү,tonnerre
93,Strömung::N,ағым,courant
94,Tropfen::N,тамсы,goutte
95,Schaum::N,күбек,écume
96,Schaum::N,күбек,mousse
97,Schmutz::N,батҡаҡ,boue
98,Schmutz::N,батҡаҡ,saleté
99,See::N,күл,lac
100,Sumpf::N,һаҙлык,marais
101,Sumpf::N,һаҙлык,marécage
102,Moor::N,һаҙ,tourbière
103,Wiese::N,болон,pré
104,Wald::N,урман,bois
105,Wald::N,урман,forêt
106,Hügel::N,түбә,coteau
107,Hügel::N,түбә,colline
108,Anhöhe::N,түбә,éminence
109,Anhöhe::N,түбә,élévation
110,Anhöhe::N,ҡалҡыулыҡ,éminence
111,Anhöhe::N,ҡалҡыулыҡ,élévation
112,Berg::N,тау,mont
113,Berg::N,тау,montagne
114,Gipfel::N,түбә,cime
115,Gipfel::N,түбә,sommet
116,Höhle::N,мәмерйә,caverne
117,Abhang::N,ипкен,pente
118,Abhang::N,ипкен,versant
119,Quelle::N,шишмә,source
120,Quelle::N,шишмә,fontaine
121,Bach::N,шишмә,ruisseau
122,Fluss::N,йылға,fleuve
123,Fluss::N,йылға,rivière
124,Ufer::N,яр,bord
125,Ufer::N,яр,rivage
126,Küste::N,яр буйы,côte
127,Festland::N,ҡоро ер,terre ferme
128,Meer::N,диңгез,mer
129,Bucht::N,бухта,baie
130,Insel::N,үтрау,île
131,Blume::N,сәскә,fleur
132,Gras::N,үлән,herbe
133,Wurzel::N,тамыр,racine
134,Baum::N,ағас,arbre
135,Stamm::N,олон,tronc
136,Stamm::N,көбәк,tronc
137,Rinde::N,ҡабыҡ,écorce
138,Ast::N,ботаҡ,branche
139,Zweig::N,ботаҡ,rameau
140,Zweig::N,тармаҡ,rameau
141,Blatt::N,япраҡ,feuille
142,Birke::N,ҡайын,bouleau
143,Kiefer[Baum]::N,ҡарғай,pin
144,Weide[Baum]::N,тал,saule
145,Tanne::N,шыршы,sapin
146,Horn::N,мөғөҙ,corne
147,Feder::N,ҡауырһын,plume
148,Fell::N,тире,peau
149,Flügel::N,ҡанат,aile
150,Klaue::N,тырнаҡ,serre
151,Kralle::N,аяҡ,ongle
152,Kralle::N,аяҡ,griffe
153,Schwanz::N,ҡойроҡ,queue
154,Ei::N,йомортҡа,œuf
155,Nest::N,оя,nid
156,Bau::N,оң,terrier
157,Tier::N,жайуан,animal
158,Tier::N,йыртҡыс,animal
159,Herde::N,көтөү,troupeau
160,Kuh::N,һыйыр,vache
161,Bulle::N,үгеҙ,taureau
162,Pferd::N,ат,cheval
163,Schaf::N,һарыҡ,mouton
164,Schwein::N,сусҡа,porc
165,Schwein::N,сусҡа,cochon
166,Hund::N,эт,chien
167,Katze::N,бесәй,chat
168,Bär::N,айыу,ours
169,Eichhörnchen::N,тейен,écureuil
170,Elch::N,мышы,élan
171,Fuchs::N,төлкө,renard
172,Hase::N,ҡуян,lièvre
173,Maus::N,сысҡан,souris
174,Wolf::N,бүре,loup
175,Vogel::N,ҡош,oiseau
176,Schwarm::N,көтөү,nuée
177,Schwarm::N,көтөү,volée
178,Huhn::N,тауыҡ,poule
179,Hahn::N,әтәс,coq
180,Gans::N,ҡаҙ,oie
181,Adler::N,бөркөт,aigle
182,Ente::N,өйрәк,canard
183,Eule::N,өкө,hibou
184,Eule::N,ябалаҡ,hibou
185,Kranich::N,торна,grue
186,Krähe::N,ҡарға,corneille
187,Kuckuck::N,кәкүк,coucou
188,Schwan::N,аҡҡош,cygne
189,Fisch::N,балыҡ,poisson
190,Barsch::N,алабуға,perche
191,Hecht::N,суртан,brochet
192,Schlange[Tier]::N,йылан,serpent
193,Wurm::N,селяүсен,ver
194,Spinne::N,үрмәксе,araignée
195,Ameise::N,ҡырмыҫҡа,fourmi
196,Laus::N,бет,pou
197,Mücke::N,серәкәй,moucheron
198,Fliege::N,себен,mouche
199,Schmetterling::N,күбәләк,papillon
200,Beere::N,еләк,baie
201,Apfel::N,алма,pomme
202,Pilz::N,бәшмәк,champignon
203,Zwiebel::N,һуган,oignon
204,Saat::N,орлоҡ,semence
205,Korn::N,иген,grain
206,Heu::N,бесән,foin
207,Schale::N,ҡабыҡ,pelure
208,Grube::N,соҡор,fosse
209,Falle::N,тоҙак,piège
210,Falle::N,ҡапҡан,piège
